"fire_station","fire_station_number","nature_of_911_call","monthly_total","year","month","month_num","station_address"
"Hillandale Volunteer Fire Department (Station 12)","12","OVERDOSE","1","2019","NOVEMBER","11","10617 New Hampshire Ave Silver Spring, MD 20903"
"Hillandale Volunteer Fire Department (Station 12)","12","OVERDOSE","1","2018","FEBRUARY","2","10617 New Hampshire Ave Silver Spring, MD 20903"
"Hillandale Volunteer Fire Department (Station 12)","12","OVERDOSE","7","2019","JUNE","6","10617 New Hampshire Ave Silver Spring, MD 20903"
"Hillandale Volunteer Fire Department (Station 12)","12","OVERDOSE","3","2018","NOVEMBER","11","10617 New Hampshire Ave Silver Spring, MD 20903"
"Hillandale Volunteer Fire Department (Station 12)","12","OVERDOSE","4","2019","DECEMBER","12","10617 New Hampshire Ave Silver Spring, MD 20903"
"Hillandale Volunteer Fire Department (Station 12)","12","OVERDOSE","2","2019","MARCH","3","10617 New Hampshire Ave Silver Spring, MD 20903"
"Hillandale Volunteer Fire Department (Station 12)","12","OVERDOSE","7","2017","OCTOBER","10","10617 New Hampshire Ave Silver Spring, MD 20903"
"Hillandale Volunteer Fire Department (Station 12)","12","OVERDOSE","2","2018","JUNE","6","10617 New Hampshire Ave Silver Spring, MD 20903"
"Hillandale Volunteer Fire Department (Station 12)","12","OVERDOSE","2","2019","FEBRUARY","2","10617 New Hampshire Ave Silver Spring, MD 20903"
"Hillandale Volunteer Fire Department (Station 12)","12","OVERDOSE","4","2019","JULY","7","10617 New Hampshire Ave Silver Spring, MD 20903"
"Hillandale Volunteer Fire Department (Station 12)","12","OVERDOSE","1","2019","SEPTEMBER","9","10617 New Hampshire Ave Silver Spring, MD 20903"
"Hillandale Volunteer Fire Department (Station 12)","12","OVERDOSE","2","2017","DECEMBER","12","10617 New Hampshire Ave Silver Spring, MD 20903"
"Hillandale Volunteer Fire Department (Station 12)","12","OVERDOSE","5","2018","AUGUST","8","10617 New Hampshire Ave Silver Spring, MD 20903"
"Hillandale Volunteer Fire Department (Station 12)","12","OVERDOSE","4","2018","OCTOBER","10","10617 New Hampshire Ave Silver Spring, MD 20903"
"Hillandale Volunteer Fire Department (Station 12)","12","OVERDOSE","2","2019","JANUARY","1","10617 New Hampshire Ave Silver Spring, MD 20903"
"Hillandale Volunteer Fire Department (Station 12)","12","OVERDOSE","5","2018","MAY","5","10617 New Hampshire Ave Silver Spring, MD 20903"
"Hillandale Volunteer Fire Department (Station 12)","12","OVERDOSE","2","2019","OCTOBER","10","10617 New Hampshire Ave Silver Spring, MD 20903"
"Hillandale Volunteer Fire Department (Station 12)","12","OVERDOSE","2","2018","APRIL","4","10617 New Hampshire Ave Silver Spring, MD 20903"
"Hillandale Volunteer Fire Department (Station 12)","12","OVERDOSE","2","2019","MAY","5","10617 New Hampshire Ave Silver Spring, MD 20903"
"Hillandale Volunteer Fire Department (Station 12)","12","OVERDOSE","4","2019","AUGUST","8","10617 New Hampshire Ave Silver Spring, MD 20903"
