Name,Address,City,ZIP,Phone Number,URL,Location,Council Districts,Councils,Communities,Zip Codes,Municipalities,:@computed_region_6ryf_isx3
NMS HEALTHCARE OF SPRINGBROOK,12325 NEW HAMPSHIRE AVE.,SILVER SPRING,20902,(301) 622-4600,http://nmshealthcare.com/our-facilities/springbrook,"12325 NEW HAMPSHIRE AVE.
SILVER SPRING 20902
(39.058575, -76.997554)",5,5,18,12,1,1
GENESIS FAIRLAND,2101 FAIRLAND RD.,SILVER SPRING,20904,(301) 384-6161,http://www.genesishcc.com/Fairland,"2101 FAIRLAND RD.
SILVER SPRING 20904
(39.076831, -76.968985)",5,5,53,12,1,1
ARCOLA HEALTH AND REHABILITATION-NH,901 ARCOLA AVE,SILVER SPRING,20902,(301) 649-2400,http://www.seniorcarecompass.com/communities/new-hampshire/north-conway/arcola-health-and-rehabilitation-center/,"901 ARCOLA AVE
SILVER SPRING 20902
(39.0364, -77.025614)",4,4,17,17,1,1
MANOR CARE HEALTH SERVICES - POTOMAC,10714 POTOMAC TENNIS LANE,POTOMAC,20854,(301) 299-2273,http://www.heartland-manorcare.com/Potomac,"10714 POTOMAC TENNIS LANE
POTOMAC 20854
(39.031948, -77.201406)",1,1,20,53,1,1
SANCTUARY AT HOLY CROSS,3415 GREENCASTLE RD,BURTONSVILLE,20866,(301) 557-1400,http://www.trinityseniorsanctuary.org/sanctuary-at-holy-cross-burtonsville,"3415 GREENCASTLE RD
BURTONSVILLE 20866
(39.096201, -76.939485)",5,5,53,47,1,1
HERMAN M WILSON HEALTH CARE CENTER,301 RUSSELL AVENUE,GAITHERSBURG,20877,(301) 216-4004,http://www.asburymethodistvillage.org/,"301 RUSSELL AVENUE
GAITHERSBURG 20877
(39.145782, -77.197793)",3,3,36,35,21,1
FRIENDS NURSING HOME,17340 QUAKER LN,SANDY SPRING,20860,(301) 924-4900,http://www.friendshouse.com/,"17340 QUAKER LN
SANDY SPRING 20860
(39.138785, -77.027363)",4,4,35,50,1,1
SHADY GROVE CENTER,9701 MEDICAL CENTER DR.,ROCKVILLE,20850,(301) 315-1900,http://www.genesishcc.com/ShadyGrove,"9701 MEDICAL CENTER DR.
ROCKVILLE 20850
(39.101175, -77.19541)",3,3,25,71,1,1
WOODSIDE CENTER,9101 SECOND AVE.,SILVER SPRING,20910,(301) 588-5544,http://www.genesishcc.com/Woodside,"9101 SECOND AVE.
SILVER SPRING 20910
(39.005285, -77.042338)",5,5,6,3065,1,1
MANOR CARE HEALTH SERVICES - CHEVY CHASE,8700 JONES MILL RD,CHEVY CHASE,20815,(301) 657-8686,http://www.heartland-manorcare.com/ChevyChase,"8700 JONES MILL RD
CHEVY CHASE 20815
(38.998977, -77.065794)",1,1,5,110,1,1
HEBREW HOME OF GREATER WASHINGTON,6121 MONTROSE RD.,ROCKVILLE,20852,(301) 770-8311,http://www.hebrew-home.org/site/PageServer,"6121 MONTROSE RD.
ROCKVILLE 20852
(39.052737, -77.124244)",3,3,19,60,1,1
COLLINGSWOOD NURSING/REHAB,299 HURLEY AVE,ROCKVILLE,20850,(301) 762-8900,http://www.collingswoodnursing.com/,"299 HURLEY AVE
ROCKVILLE 20850
(39.088501, -77.178964)",3,3,25,71,12,1
POTOMAC VALLEY NURSING CENTER,1235 POTOMAC VALLEY RD.,ROCKVILLE,20850,(301) 762-0700,https://www.potomacvalley.com/,"1235 POTOMAC VALLEY RD.
ROCKVILLE 20850
(39.074164, -77.160152)",3,3,25,71,12,1
MONTGOMERY VILLAGE HEALTH CARE CENTER,19301 WATKINS MILL RD.,MONTGOMERY VILLAGE,20886,(301) 527-2500,http://ma.care-one.com/,"19301 WATKINS MILL RD.
MONTGOMERY VILLAGE 20886
(39.173101, -77.208218)",2,2,38,28,1,1
MAPLEWOOD PARK PLACE,9707 OLD GEORGETOWN RD.,BETHESDA,20814,(301) 571-7410,http://www.maplewoodparkplace.com/,"9707 OLD GEORGETOWN RD.
BETHESDA 20814
(39.013165, -77.11728)",1,1,12,111,1,1
BETHESDA HEALTH  REHABILITATION CENTER-NH,5721 GROSVENOR LN,BETHESDA,20814,(301) 530-1600,http://www.city-data.com/montgomery-county-md-restaurants/bethesda-health-rehabilitation-center-nh.html,"5721 GROSVENOR LN
BETHESDA 20814
(39.022538, -77.115669)",1,1,12,111,1,1
NATIONAL LUTHERAN HOME & VILLAGE AT ROCKVILLE INC,9701 VEIRS DR.,ROCKVILLE,20850,(301) 424-9560,http://www.thevillageatrockville.org/,"9701 VEIRS DR.
ROCKVILLE 20850
(39.077226, -77.19424)",3,3,25,71,12,1
MANOR CARE HEALTH SERVICES BETHESDA,6530 DEMOCRACY BLVD.,BETHESDA,20817,(301) 530-9000,http://www.heartland-manorcare.com/Bethesda,"6530 DEMOCRACY BLVD.
BETHESDA 20817
(39.022083, -77.134397)",1,1,12,103,1,1
SLIGO CREEK CENTER,7525 CARROLL AVE.,TAKOMA PARK,20912,(301) 270-4200,http://www.genesishcc.com/SligoCreek,"7525 CARROLL AVE.
TAKOMA PARK 20912
(38.98248, -77.001071)",5,5,4,3062,11,1
NMS HEALTHCARE OF SILVER SPRING,4011 RANDOLPH RD.,SILVER SPRING,20902,(301) 933-2500,https://nmshealthcare.com/nms/index.php?option=com_content&view=article&id=130&Itemid=127,"4011 RANDOLPH RD.
SILVER SPRING 20902
(39.057624, -77.079303)",4,4,23,6,1,1
INGLESIDE @ KING FARM NH,701 KING FARM BLVD,ROCKVILLE,20850,(240) 499-9015,http://www.inglesideatkingfarm.org/,"701 KING FARM BLVD
ROCKVILLE 20850
(39.11156, -77.178697)",3,3,25,71,12,1
MANOR CARE HEALTH SERVICES - SILVER SPRING,2501 MUSGROVE RD.,SILVER SPRING,20904,(301) 890-5552,http://www.heartland-manorcare.com/SilverSpring,"2501 MUSGROVE RD.
SILVER SPRING 20904
(39.067802, -76.959245)",5,5,53,12,1,1
ALTHEA WOODLAND NURSING HOME,1000 DALEVIEW DR,SILVER SPRING,20901,(301) 434-2646,http://www.altheawoodland.net/home/,"1000 DALEVIEW DR
SILVER SPRING 20901
(39.008791, -76.992102)",5,5,8,21,1,1
OAKVIEW REHABILITATION & NURSING CENTER,2700 BARKER ST,SILVER SPRING,20910,(301) 565-0300,http://oakviewnursingandrehab.com/,"2700 BARKER ST
SILVER SPRING 20910
(39.021462, -77.057672)",5,5,10,3065,1,1
BEL PRE HEALTH & REHABILITATION-NH,2601 BEL PRE RD,SILVER SPRING,20906,(301) 598-6000,http://nursing-homes.healthgrove.com/l/5770/Bel-Pre-Health-And-Rehabilitation-Center,"2601 BEL PRE RD
SILVER SPRING 20906
(39.09039, -77.053446)",4,4,59,6,1,1
LAYHILL CENTER,3227 BEL PRE RD.,SILVER SPRING,20906,(301) 871-2000,http://www.genesishcc.com/Layhill,"3227 BEL PRE RD.
SILVER SPRING 20906
(39.091521, -77.069113)",4,4,62,6,1,1
BRIGHTON GARDENS OF TUCKERMAN LANE,5550 TUCKERMAN LANE NORTH,ROCKVILLE,20852,(301) 945-4173,http://www.sunriseseniorliving.com/communities/brighton-gardens-of-tuckerman-lane/overview.aspx,"5550 TUCKERMAN LANE NORTH
ROCKVILLE 20852
(39.029698, -77.112296)",1,1,19,60,1,1
ROCKVILLE NURSING HOME,303 ADCLARE RD.,ROCKVILLE,20850,(301) 279-9000,http://rockvillenursinghome.org/,"303 ADCLARE RD.
ROCKVILLE 20850
(39.082137, -77.170597)",3,3,25,71,12,1
CARRIAGE HILL- BETHESDA NH,5215 CEDAR LN.,BETHESDA,20814,(301) 897-5500,http://www.carriagehillbethesda.com/,"5215 CEDAR LN.
BETHESDA 20814
(39.005452, -77.102881)",1,1,12,111,1,1
MANOR CARE HEALTH SERVICES WHEATON,11901 GEORGIA AVE.,WHEATON,20902,(301) 942-2500,http://www.heartland-manorcare.com/Wheaton,"11901 GEORGIA AVE.
WHEATON 20902
(39.051213, -77.051362)",4,4,16,17,1,1
FOX CHASE NURSING & REHABILITATION,2015 EAST WEST HGWY.,SILVER SPRING,20910,(301) 587-2400,http://www.genesishcc.com/foxchase,"2015 EAST WEST HGWY.
SILVER SPRING 20910",,,,,,
BROOKE GROVE REHAB & NURSING,18131 SLADE SCHOOL RD.,SANDY SPRING,20860,(301) 924-5176,http://www.bgf.org/about-us/news/brooke-grove-rehabilitation-and-nursing-center-ranks-%231-in-county,"18131 SLADE SCHOOL RD.
SANDY SPRING 20860
(39.154638, -77.040427)",4,4,58,50,1,1
KENSINGTON NURSING & REHABILITATION,3000 MCCOMAS AVE.,KENSINGTON,20895,(301) 933-0060,http://www.kensingtonnursing.com/,"3000 MCCOMAS AVE.
KENSINGTON 20895
(39.032816, -77.061721)",4,4,15,25,1,1
BEDFORD COURT,3701 INTERNATIONAL DR.,SILVER SPRING,20908,(240) 681-2022,http://www.sunriseseniorliving.com/communities/bedford-court/overview.aspx,"3701 INTERNATIONAL DR.
SILVER SPRING 20908
(39.103746, -77.076522)",3,3,62,6,1,1
