"permitno","applicationtype","addeddate","issueddate","finaleddate","stno","predir","stname","suffix","postdir","city","state","zip","status","floorarea_of_house","floorarea_of_guest_rooms","lot_aera","no_guest_rooms","no_parking_space","special_exception","geolocation"
"836229","BED & BREAKFAST LODGING CERT","2018-05-02T02:05:41.000","2018-05-09T08:05:32.000","2018-05-09T08:05:32.000","3036",,"BROWNSTONE","CT",,"BURTONSVILLE","MD","20866","Finaled","3436","480","60354","3","6","N/A","3036 BROWNSTONE CT
BURTONSVILLE, MD 20866
(39.101909, -76.946706)"
"789816","BED & BREAKFAST LODGING CERT","2017-02-16T01:02:29.000","2017-06-02T09:06:10.000","2017-06-02T09:06:10.000","4107",,"SWISS STONE","DR",,"BURTONSVILLE","MD","20866","Finaled","2378","386","4950","2","1","N/A","4107 SWISS STONE DR
BURTONSVILLE, MD 20866
(39.103211, -76.926278)"
"776389","BED & BREAKFAST LODGING CERT","2016-10-13T10:10:36.000","2017-05-22T12:05:10.000","2017-05-22T12:05:10.000","1308",,"EDNOR","RD",,"SILVER SPRING","MD","20905","Finaled","8749","674","5.4AC","3","6",,"1308 EDNOR RD
SILVER SPRING, MD 20905
(39.138633, -76.983483)"
"755791","BED & BREAKFAST LODGING CERT","2016-05-16T03:05:06.000","2016-05-23T10:05:41.000","2016-05-23T10:05:41.000","11",,"SHALLOW BROOK","CT",,"OLNEY","MD","20832","Finaled","6500","4","101,","5","10",,"11 SHALLOW BROOK CT
OLNEY, MD 20832
(39.152827, -77.083076)"
"695818","BED & BREAKFAST LODGING CERT","2014-11-25T09:11:36.000","2014-11-25T09:11:26.000","2014-11-25T09:11:27.000","16112",,"BARNESVILLE","RD",,"BOYDS","MD","20841","Finaled","2184","1120","30ACR","2","5","0","16112 BARNESVILLE RD
BOYDS, MD 20841
(39.202722, -77.335293)"
"558467","BED & BREAKFAST LODGING CERT","2011-01-07T03:01:57.000","2011-01-07T03:01:23.000","2011-01-07T03:01:52.000","2009",,"LANSDOWNE","WAY",,"SILVER SPRING","MD","20910","Finaled","1400","850","5519","2","0","0","2009 LANSDOWNE WAY
SILVER SPRING, MD 20910
(39.012302, -77.044402)"
"556894","BED & BREAKFAST LODGING CERT","2010-12-15T01:12:34.000","2010-12-17T08:12:54.000","2011-01-07T03:01:52.000","10420",,"GREENACRES","DR",,"SILVER SPRING","MD","20903","Finaled","4154","364","15436","2","4","N/A","10420 GREENACRES DR
SILVER SPRING, MD 20903
(39.026986, -76.977166)"
"377959","BED & BREAKFAST LODGING CERT","2005-03-28T08:03:18.000","2005-03-28T08:03:50.000","2007-02-16T03:02:01.000","5402",,"TUSCARAWAS","RD",,"BETHESDA","MD","20816","Finaled","3732","325","15115","2","2","N/A","5402 TUSCARAWAS RD
BETHESDA, MD 20816
(38.962263, -77.125407)"
"324941","BED & BREAKFAST LODGING CERT","2003-11-17T07:11:44.000","2003-12-09T09:12:23.000","2003-12-09T09:12:26.000","7817",,"TOMLINSON","AVE",,"CABIN JOHN","MD","20818","Finaled","3000","811","12760","2","4",,"7817 TOMLINSON AVE
CABIN JOHN, MD 20818
(38.976663, -77.160715)"
"200064","BED & BREAKFAST LODGING CERT","1999-09-05T03:09:09.000","1999-09-05T03:09:39.000",,"5422",,"MOORLAND","LN",,"BETHESDA","MD","20814","Issued","2598","238","10450","2","3",,"5422 MOORLAND LN
BETHESDA, MD 20814
(38.986367, -77.10934)"
