"applicationtype","permitno","worktype","usecode","addeddate","issueddate","finaleddate","expireddate","status","buildingarea","description","stno","predir","stname","suffix","postdir","city","state","zip","latitude","longitude","loc","geolocation"
"FIRE PROTECTION SYSTEMS","1006244","INSTAL","SFD","2022-09-08T02:09:05.000","2022-09-12T12:09:18.000",,,"Issued","0","FIRE SPRINKLER PER NFPA 13D,Customer Wants To Use ePlans","9701",,"CHERYL FOREST","CT",,"MONTGOMERY VILLAGE","MD","20886","39.184222","-77.199307",,"POINT (-77.199307 39.184222)"
"FIRE PROTECTION SYSTEMS","1006246","INSTAL","SFD","2022-09-08T02:09:32.000","2022-09-12T08:09:07.000",,,"Issued","0","INSTALL FIRE SPRINKLER PER NFPA 13D,Customer Wants To Use ePlans","14705",,"POPLAR HILL","RD",,"GERMANTOWN","MD","20874","39.09648","-77.316128",,"POINT (-77.316128 39.09648)"
"FIRE PROTECTION SYSTEMS","988485","INSTAL","REST","2022-03-31T10:03:45.000","2022-09-12T02:09:16.000",,,"Issued","0","Install nozzles over new appliance,Customer Wants To Use ePlans,Fire Protection Fast Track Review.","20001",,"CENTURY","BLVD",,"GERMANTOWN","MD","20874","39.182815","-77.25969",,"POINT (-77.25969 39.182815)"
"FIRE PROTECTION SYSTEMS","1006391","INSTAL","REST","2022-09-09T02:09:57.000","2022-09-12T02:09:14.000",,,"Issued","0","install ANSUL R-102 commercial kitchen hood fire suppression system - Citizens Rest.,Customer Wants To Use ePlans","8113",,"GEORGIA","AVE",,"SILVER SPRING","MD","20910","38.990942","-77.026263",,"POINT (-77.026263 38.990942)"
"FIRE PROTECTION SYSTEMS","1006248","INSTAL","RESACC","2022-09-08T02:09:38.000","2022-09-09T12:09:38.000",,,"Issued","0","Install NFPA 13D Sprinkler System,Customer Wants To Use ePlans","4502",,"ELM","ST",,"CHEVY CHASE","MD","20815","38.98252","-77.090291",,"POINT (-77.090291 38.98252)"
"FIRE PROTECTION SYSTEMS","1006346","INSTAL","SFD","2022-09-09T10:09:54.000","2022-09-09T02:09:00.000",,,"Issued","0","Install NFPA 13D sprinkler system in new SF Home, public water.,Customer Wants To Use ePlans","12904",,"QUAIL RUN","CT",,"GAITHERSBURG","MD","20878","39.103842","-77.269549",,"POINT (-77.269549 39.103842)"
"FIRE PROTECTION SYSTEMS","1005487","INSTAL","EDUC","2022-08-31T07:08:40.000","2022-09-08T10:09:19.000",,,"Issued","0","RE SUBMISION OF PREVIEUSLY REJECTED ADDITION TO SPRINKLER SYSTEM,Customer Wants To Use ePlans","6801",,"GREENTREE","RD",,"BETHESDA","MD","20817","39.008385","-77.13857",,"POINT (-77.13857 39.008385)"
"FIRE PROTECTION SYSTEMS","1006127","INSTAL","BUSNSS","2022-09-07T03:09:07.000","2022-09-08T10:09:02.000",,,"Issued","0","MODIFY THE EXISTING WET SPRINKLER SYSTEM,Customer Wants To Use ePlans","9714",,"MEDICAL CENTER","DR",,"ROCKVILLE","MD","20850","39.098055","-77.194943",,"POINT (-77.194943 39.098055)"
"FIRE PROTECTION SYSTEMS","1005969","INSTAL","REST","2022-09-06T02:09:31.000","2022-09-08T09:09:34.000",,,"Issued","0","alter existing ANSUL R-102 commercial kitchen hood fire suppression system to provide proper protection for cooking equipment - Filo Cafe,Customer Wants To Use ePlans","4836",,"BOILING BROOK","PKWY",,"ROCKVILLE","MD","20852","39.046106","-77.099046",,"POINT (-77.099046 39.046106)"
"FIRE PROTECTION SYSTEMS","996231","INSTAL","BUSNSS","2022-06-09T11:06:03.000","2022-09-08T09:09:22.000",,,"Issued","0","Install new automatic wet/dry sprinkler system to protect entire building: (2,723) sprinkler heads, (2) risers, (1) fire pump, (8) dry systems, (1) pre-action system. Light and Ordinary Hazard. Largest pipe size = 8"",Customer Wants To Use ePlans","915",,"MEETING","ST",,"ROCKVILLE","MD","20852","39.050407","-77.11572",,"POINT (-77.11572 39.050407)"
