"publication_year","department","dataset_name","description","status","priority","url","score1","score2","score3","score4","score5","score6","score7","score8","score9","score10","score11","score12","total","published_somewhere_already","source_it_system","server_resides_in_county_network","date_range_of_data","data_update_frequency","estimated_annual_of_records","ease_of_publishing","attach_sample_data","frequency_of_data_being_used_consumed","accuracy_of_data","can_the_published_dataset_replace_an_existing_system_or_process","business_contact_name","business_phone","add_remove_rename","original_dataset_name"
"FY17","Agriculture","Annual Farm Tours","local farms and participating residents to indulge in seasonally fresh food.","Published","P2","https://data.montgomerycountymd.gov/Community-Recreation/Farm-Tour/pc9u-imet","10","2","10","10","0","5","5","10","5","10","10","5","82",,,,,,,,,,,,"Jacqueline Arnold","301-590-2859",,
"FY17","Agriculture","Easement","Landowners voluntarily give up their development rights in exchange for various financial incentives. Today,  there are seven programs that landowners can choose from and approximately 70, 000 acres","Published","P2","https://data.montgomerycountymd.gov/Community-Recreation/Agricultural-and-Conservation-Easement-Inventory/jh6m-rvdj/data","10","2","10","10","5","0","5","10","5","5","5","5","72",,,,,,,,,,,,,,"ADD",
"FY17","Agriculture","Geographic Representation of Reserves","Land Conservation and the preservation of farmland for future food and fiber production.","Published","P1","https://data.montgomerycountymd.gov/Environment/Agricultural-Preservation-District/wktf-pae6","10","10","5","10","5","0","5","10","5","5","10","5","80",,,,,,,,,,,,,,"ADD",
"FY18","Agriculture","Agricultural Development Rights Transfers","1980-present trends of TDR [transfer development rights] and also acres","Published","P1","https://data.montgomerycountymd.gov/Finance-Tax-Property/Agriculture-Transfer-Development-Rights/ue5w-cbi4/data","10","8","10","10","5","5","10","5","5","5","5","5","83",,,,,,,,,,,,"Jacqueline Arnold","301-590-2859",,
"FY18","Agriculture","Agriculture Transfer Tax collected","1980-present agricultural transfer taxes collected in the County","Published","P1","https://data.montgomerycountymd.gov/Finance-Tax-Property/Agricultural-Transfer-Tax/wxa7-rrb8/data","10","8","10","10","5","5","10","5","5","5","5","5","83",,,,,,,,,,,,"Jacqueline Arnold","301-590-2859",,
"FY18","Agriculture","Cumulative Agriculture Easement Acres","1980-present cumulative acres of land protected by easement by fiscal year","Published","P1","https://data.montgomerycountymd.gov/Environment/Agriculture-Preservation-Programs/kfkh-qtet/data","10","8","10","10","5","5","10","5","5","5","5","5","83",,,,,,,,,,,,"Jacqueline Arnold","301-590-2859",,
"FY18","Agriculture","Total Assessed Agricultural Acres","1980-present data of total acres of agriculturally assessed properties in the County","Published","P1","https://data.montgomerycountymd.gov/Finance-Tax-Property/Agriculture-Assessed-Acreage/iw2t-fcum/data","10","8","10","10","5","5","10","5","5","5","5","5","83",,,,,,,,,,,,"Jacqueline Arnold","301-590-2859",,
"FY19","Agriculture","Farmers Markets","List of the Farmer Markets in Montgomery County","Published","P3","https://data.montgomerycountymd.gov/Community-Recreation/Farmers-Markets/mkfx-p53h","10","8","10","5","5","0","10","10","5","10","5","5","69","Yes","Office of Agriculture","Yes","one year","Annually","50",,,,,,"Jacqueline Arnold","301-590-2859",,
"FY14","Alcohol Beverage Services","Alcoholic beverage license violations","AAC : Alcohol Awareness Certified Person   No One On remises; ABR : Alcoholic Beverages removed from ON SALE ONLY licensed facility for use at another AB licensed facility; AFTER HOURS : Selling/serving alcoholic beverages after permitted hours; ALCOHOL SALE : Sale to Minor;","Published",,"https://data.montgomerycountymd.gov/Business/Alcoholic-Beverage-License-Violations/4tja-rkhg",,,,,,,,,,,,,,,,,,,,,,"Monthly",,,,,,
"FY15","Alcohol Beverage Services","Liquor Stores","County retail stores with location,  hours,  inventory","Published","P1","https://data.montgomerycountymd.gov/Community-Recreation/Liquor-Stores/pjdr-8brr","9","2","10","10","5","0","10","10","5","10","10","5","86","Yes","CMS Website","Yes",,"Other","25",,,"Weekly",,,"Diane Wurdeman","2407771931",,
"FY16","Alcohol Beverage Services","DLC Licensee Data","Provide a listing of current Liquor licensees","Published","P1","https://data.montgomerycountymd.gov/Community-Recreation/Department-of-Liquor-Control-DLC-Licensee-Data/c6rw-fazn","8","4","10","10","5","0","5","10","5","10","10","5","82","No",,"Yes",,"Monthly","1200",,,,,,"Kathie Durbin","240-777-1917",,
