"applicationtype","permitno","worktype","usecode","addeddate","issueddate","status","buildingarea","declaredvaluation","description","stno","predir","stname","suffix","postdir","city","state","zip","latitude","longitude","geolocation"
"COMMERCIAL BUILDING","1002467","RESTORE AND / OR REPAIR","MULTIFAMILY DWELLING LOW RISE","2022-08-04T09:08:19.000","2022-09-12T12:09:45.000","Issued","80","136820","Customer Wants To Use ePlans,REPLACE EXISTING REINFORCED CONCRETE EXTERIOR STAIRS WITH PRECAST CONCRETE TREAD. REPLACE PAINTED METAL HANDRAILS AND GUARDS","13703",,"MODRAD","WAY",,"SILVER SPRING","MD","20904","39.081826","-76.936706","
,  
(39.081826, -76.936706)"
"COMMERCIAL BUILDING","932161","CONSTRUCT","TOWER","2020-11-03T01:11:21.000","2022-09-09T12:09:05.000","Issued","4000","149000","Existing 200 ft. Pepco structure to be replaced with a proposed 200 ft. Pepco structure to support Pepco antennas to be used as a utility use for Pepco use. With proposed shelter at base of structure to accomodate related ancillary equipment, Shelter under separate permit.","20397",,"ZION","RD",,"BROOKEVILLE","MD","20833","39.190952","-77.088086","
,  
(39.190952, -77.088086)"
"COMMERCIAL BUILDING","1000443","CONSTRUCT","MISCELLANEOUS STRUCTURE","2022-07-18T02:07:00.000","2022-09-09T11:09:44.000","Issued","64.51","3865","Customer Wants To Use ePlans,This is an order confirmation unit (OCU) with electronic screen for a new drive -through restaurant. Please direct any questions about this application to Claire McLane 301-404-2820 OR clairemclane@residentialconceptsmd.com","15421",,"NEW HAMPSHIRE","AVE",,"SILVER SPRING","MD","20905","39.10931","-76.996573","
,  
(39.10931, -76.996573)"
"COMMERCIAL BUILDING","993044","BUILD FOUNDATION","BUSINESS BUILDING","2022-05-11T12:05:03.000","2022-09-09T11:09:02.000","Issued","58035","1993458","Customer Wants To Use ePlans,Foundation To Grade Permit Application for a six story core and shell building which includes a 17,109 SF partial basement.Calculated Valuation is for the 58,035 Square Footage - FTG","9820",,"DARNESTOWN","RD",,"ROCKVILLE","MD","20850","39.095777","-77.2039","
,  
(39.095777, -77.2039)"
"COMMERCIAL BUILDING","1001024","RESTORE AND / OR REPAIR","COMMERCIAL MISCELLANEOUS STRUC","2022-07-21T12:07:47.000","2022-09-09T09:09:16.000","Issued","360","31750","Customer Wants To Use ePlans,Repair/replace bottom chord of heavy timber framing entrance feature at Roots Market. Existing beam(s) have rotten.","16800",,"GEORGIA","AVE",,"OLNEY","MD","20832","39.131854","-77.071424","
,  
(39.131854, -77.071424)"
"COMMERCIAL BUILDING","998922","INSTALL","WIRELESS EQUIPMENT","2022-07-05T02:07:10.000","2022-09-09T02:09:33.000","Issued","0","10000","Customer Wants To Use ePlans,T-Mobile plans to upgrade and modify the equipment to improve the service provided to the surrounding customers in the area.","6810",,"MONTROSE","RD",,"ROCKVILLE","MD","20852","39.053626","-77.139592","
,  
(39.053626, -77.139592)"
"COMMERCIAL BUILDING","1003993","INSTALL","WIRELESS EQUIPMENT","2022-08-17T11:08:53.000","2022-09-09T02:09:06.000","Issued","0","22000","Customer Wants To Use ePlans,Remove (12) antennas, install (9) antennas. Remove (9) RRHs, install (9) RRHs. All work to be done per plans and per code. No building or ground disturbance required.","5000",,"BRADLEY","BLVD",,"CHEVY CHASE","MD","20815","38.977448","-77.098986","
,  
(38.977448, -77.098986)"
"COMMERCIAL BUILDING","936343","CONSTRUCT","MULTIFAMILY DWELLING HIGH RISE","2020-12-14T10:12:49.000","2022-09-08T11:09:08.000","Issued","469466","76380987","Customer Wants To Use ePlans,New Construction to include: Foundation, Garage�90,425 SF, Retail area�5,649 SF, Main Apartment Building�326, 113 SF   PER MPDU AGREEMENT, 276 DWELLING UNITS (42 MPDU'S)","4931",,"ST ELMO","AVE",,"BETHESDA","MD","20814","38.988339","-77.098284","
,  
(38.988339, -77.098284)"
"COMMERCIAL BUILDING","967758","CONSTRUCT","SWIMMING POOL - ABOVE GROUND","2021-09-21T10:09:58.000","2022-09-08T10:09:57.000","Issued","837","173975","Customer Wants To Use ePlans,Construct a 1,118 in-ground concrete commercial splash pad. All MEP, decking and fencing work by others under separate permits.","9788",,"BLUESTAR","AVE",,"BETHESDA","MD","20817","39.017236","-77.142842","
,  
(39.017236, -77.142842)"
"COMMERCIAL BUILDING","988793","ADD","PLACE OF WORSHIP","2022-04-04T10:04:58.000","2022-09-08T09:09:39.000","Issued","5900","3500000","Customer Wants To Use ePlans,Addition of offices and chapel.&nbsp;Plans include Alteration 988794","9000",,"WARFIELD","RD",,"MONTGOMERY VILLAGE","MD","20886","39.194324","-77.185942","
,  
(39.194324, -77.185942)"
"COMMERCIAL BUILDING","992932","CONSTRUCT","SWIMMING POOL - ABOVE GROUND","2022-05-10T02:05:59.000","2022-09-08T02:09:34.000","Issued","493","70461","Customer Wants To Use ePlans,Construct an 493 sqft concrete swimming pool inside an existing waterproofed structural box.  All MEP, decking and fencing work by others under separate permits.","20013",,"CENTURY","BLVD",,"GERMANTOWN","MD","20874","39.183911","-77.260477","
,  
(39.183911, -77.260477)"
"COMMERCIAL BUILDING","1000737","RESTORE AND / OR REPAIR","RESTAURANT","2022-07-19T02:07:24.000","2022-09-07T01:09:58.000","Issued","320","1800","Customer Wants To Use ePlans,UB to pull building permit Scope to follow a. Replace damaged ceiling grid and tile up to 320 sq ft in the Kitchen.","928",,"ELLSWORTH","DR",,"SILVER SPRING","MD","20910","38.995403","-77.026825","
,  
(38.995403, -77.026825)"
"COMMERCIAL BUILDING","1002841","INSTALL","WIRELESS EQUIPMENT","2022-08-07T08:08:22.000","2022-09-06T11:09:35.000","Issued","0","40000","Customer Wants To Use ePlans,Install (6) antennas. Remove (9) RRHs, install (6) RRHs. All work to be done per plans and per code. No building or ground disturbance required.","8100",,"CONNECTICUT","AVE",,"CHEVY CHASE","MD","20815","38.991948","-77.077755","
,  
(38.991948, -77.077755)"
"COMMERCIAL BUILDING","1002835","INSTALL","WIRELESS EQUIPMENT","2022-08-07T03:08:53.000","2022-09-06T11:09:08.000","Issued","0","40000","Customer Wants To Use ePlans,Install (6) antennas. Remove (6) RRHs, install (6) RRHs. All work to be done per plans and per code. No building or ground disturbance required.","12630",,"VEIRS MILL","RD",,"ROCKVILLE","MD","20853","39.063322","-77.096437","
,  
(39.063322, -77.096437)"
"COMMERCIAL BUILDING","1002189","INSTALL","MISCELLANEOUS STRUCTURE","2022-08-02T10:08:19.000","2022-09-06T08:09:04.000","Issued","1500","125000","Customer Wants To Use ePlans,Install 30,000 gallon water tank for fire protection to comply with approved Fire Department Access Plan for subdivision preliminary plan No 120200180. Fire Protection System permit No 998156 has been approved. Sediment control permit No. 287716 has been approved. Crystal J. Maddox, P.E, Manager, Architectural / Life Safety &amp; Fire Protection Section (ph. 240-777-6383, email crystal.maddox@montgomerycountymd.gov) has requested that in addition to the Fire Protection System permit, that I also obtain a commercial building permit. All eplans have been uploaded the Fire Protection Permit.","21131",,"WHITES FERRY","RD",,"POOLESVILLE","MD","20837","39.158345","-77.440311","
,  
(39.158345, -77.440311)"
"COMMERCIAL BUILDING","978327","ADD","MERCANTILE BUILDING","2021-12-21T03:12:48.000","2022-09-02T12:09:40.000","Issued","750","75000","Customer Wants To Use ePlans,One story addition to an existing deli/market to hold walk-in refrigerators and freezers.","6124",,"MACARTHUR","BLVD",,"BETHESDA","MD","20816","0","0","
,  
(0.0, 0.0)"
"COMMERCIAL BUILDING","993402","ADD","MERCANTILE BUILDING","2022-05-13T07:05:09.000","2022-09-02T10:09:23.000","Issued","1500","25000","Customer Wants To Use ePlans,Addition at Stock room area, for added cooler storage and trash compactor. Fence around compactor. Alter permit 993404","7919",,"TUCKERMAN","LN",,"POTOMAC","MD","20854","39.040719","-77.156474","
,  
(39.040719, -77.156474)"
"COMMERCIAL BUILDING","948614","INSTALL","MISCELLANEOUS STRUCTURE","2021-04-10T05:04:43.000","2022-09-02T10:09:05.000","Issued","40","55000","Revision ,1 - Changing diesel generator size from 48kw to 25kw; Connections and placement remain the same,Customer Wants To Use ePlans Customer Wants To Use ePlans,INSTALL (1) 10'X4' CONCRETE PAD. INSTALL 48KW GENERATOR WITH 220 GALLON WITH SUBBASE FUEL TANK. INSTALL AUTOMATIC TRANSFER SWITCH. INSTALL H-FRAME WITH NEW CAMLOCK.","201",,"VALLEY BROOK","DR",,"SILVER SPRING","MD","20904","39.058204","-77.005629","
,  
(39.058204, -77.005629)"
"COMMERCIAL BUILDING","1003081","RESTORE AND / OR REPAIR","MERCANTILE BUILDING","2022-08-09T02:08:09.000","2022-09-02T09:09:43.000","Issued","500","4500","Customer Wants To Use ePlans,RESTORING PREVIOUS WALLS - EXPEDITED REVIEW","18630",,"WOODFIELD","RD",,"GAITHERSBURG","MD","20879","39.162703","-77.1587","
,  
(39.162703, -77.1587)"
"COMMERCIAL BUILDING","992851","CONSTRUCT","COMMERCIAL MISCELLANEOUS STRUC","2022-05-10T10:05:03.000","2022-09-01T12:09:38.000","Issued","5184","5000","Customer Wants To Use ePlans,Add a covered queue line waiting area structure. The structure is identical to an existing structure that was built in 2019. The structure is on the special exception S-2385.","4501",,"OLNEY LAYTONSVILLE","RD",,"OLNEY","MD","20832","39.171928","-77.088689","
,  
(39.171928, -77.088689)"
"COMMERCIAL BUILDING","1004499","CONSTRUCT","COMMERCIAL MISCELLANEOUS STRUC","2022-08-22T11:08:11.000","2022-09-01T12:09:08.000","Issued","1020","20548","Customer Wants To Use ePlans,New commercial fence on owner property. 6ft. wooden fence","929",,"NORTHAMPTON","DR",,"SILVER SPRING","MD","20903","39.006475","-76.981517","
,  
(39.006475, -76.981517)"
"COMMERCIAL BUILDING","999656","INSTALL","WIRELESS EQUIPMENT","2022-07-11T03:07:49.000","2022-09-01T02:09:37.000","Issued","0","20000","Customer Wants To Use ePlans,AT&amp;T to install (6) new antennas. Relocate (3) existing antennas and (6) RRH's with associated equipment. Ground SOW: Install (4) rectifiers.","15700",,"GEORGIA","AVE",,"SILVER SPRING","MD","20910","0","0","
,  
(0.0, 0.0)"
"COMMERCIAL BUILDING","998838","RESTORE AND / OR REPAIR","SWIMMING POOL - ABOVE GROUND","2022-07-04T02:07:27.000","2022-09-01T02:09:19.000","Issued","11000","60500","Customer Wants To Use ePlans,Remove and Replace Swimming pool concrete deck. No alteration/no remodel/ drain network to remain the same","1",,"SWIM CLUB","WAY",,"ROCKVILLE","MD","20852","39.054047","-77.141346","
,  
(39.054047, -77.141346)"
"COMMERCIAL BUILDING","1000445","CONSTRUCT","MISCELLANEOUS STRUCTURE","2022-07-18T02:07:48.000","2022-08-31T02:08:49.000","Issued","84","5000","Customer Wants To Use ePlans,Fenced dumpster enclosure for new drive-through restaurant","15421",,"NEW HAMPSHIRE","AVE",,"SILVER SPRING","MD","20905","39.10931","-76.996573","
,  
(39.10931, -76.996573)"
"COMMERCIAL BUILDING","1001875","CONSTRUCT","COMMERCIAL MISCELLANEOUS STRUC","2022-07-29T11:07:45.000","2022-08-30T09:08:57.000","Issued","60","10000","Customer Wants To Use ePlans,Exterior structural and electrical work associated with the installation of a sculpture that Marriott has commissioned in honor of their prior CEO, Arne Sorenson, who passed away in 2021. The permit would cover the installation of a 60"" square concrete pad (18"" deep) and wiring for lighting that highlights the piece.","7750",,"WISCONSIN","AVE",,"BETHESDA","MD","20814","38.98752","-77.095174","
,  
(38.98752, -77.095174)"
"COMMERCIAL BUILDING","1003871","RESTORE AND / OR REPAIR","TOWNHOUSE","2022-08-16T12:08:41.000","2022-08-29T12:08:24.000","Issued","46","10789","Customer Wants To Use ePlans,Damage repair to exterior wall due to Car impact. No structural damage. Remove and replace in kind and as need Drywall, insulation, 2x4 wood framing, sheathing, tyvec wrap, siding matching existing and finishes. Electrical wires to be checked and serviced.***EXPEDITE REVIEW****","10832",,"LUXBERRY","DR",,"ROCKVILLE","MD","20852","39.035198","-77.118056","
,  
(39.035198, -77.118056)"
"COMMERCIAL BUILDING","999492","INSTALL","WIRELESS EQUIPMENT","2022-07-08T03:07:34.000","2022-08-29T07:08:21.000","Issued","0","32000","Customer Wants To Use ePlans,T-Mobile proposes removing 9 antennas, 9 TMAs, 3 RRUs, 1 cabinet, and installing 9 antennas, 6 RRUs, 2 cabinets, per plans, at the existing telecommunications facility.","21612",,"NEW HAMPSHIRE","AVE",,"BROOKEVILLE","MD","20866","0","0","
,  
(0.0, 0.0)"
"COMMERCIAL BUILDING","1003100","BUILD FOUNDATION","BUSINESS BUILDING","2022-08-09T04:08:09.000","2022-08-26T12:08:36.000","Issued","755","100000","Foundation Only permit application related to existing Building Permit Application COMBUILD 975797In this phase, only foundation to grade for Building C construction allowed. Any construction above ground must be approved by the Land Development Division. PERMIT ISSUED AHEAD OF FINAL WSSC APPROVAL.&nbsp;THE PERMIT HOLDER ASSUMES ALL RISKS FOR COMPLIANCE WITH WSSC REQUIREMENTS&nbsp;","12255",,"PROSPERITY","DR",,"SILVER SPRING","MD","20904","39.055323","-76.970034","
,  
(39.055323, -76.970034)"
"COMMERCIAL BUILDING","958863","ADD","EDUCATIONAL BUILDING","2021-07-07T09:07:33.000","2022-08-25T07:08:50.000","Issued","5850","306000","Customer Wants To Use ePlans,This permit application is associated with COMBUILD 957433.   This application splits the units into three clusters. This is for ""Group B"" and the four units.","13313",,"OLD COLUMBIA","PIKE",,"SILVER SPRING","MD","20904","39.074873","-76.957806","
,  
(39.074873, -76.957806)"
"COMMERCIAL BUILDING","1002160","CONSTRUCT","MISCELLANEOUS STRUCTURE","2022-08-02T09:08:09.000","2022-08-24T02:08:45.000","Issued","135","1000","Customer Wants To Use ePlans,Install (1) Freestanding pylon sign for Porsche.","3131",,"AUTOMOBILE","BLVD",,"SILVER SPRING","MD","20904","39.077348","-76.948192","
,  
(39.077348, -76.948192)"
"COMMERCIAL BUILDING","998569","BUILD FOUNDATION","COMMERCIAL MISCELLANEOUS STRUC","2022-06-30T08:06:50.000","2022-08-23T10:08:59.000","Issued","66","18584","Customer Wants To Use ePlans,Foundation only","3701",,"INTERNATIONAL","DR",,"SILVER SPRING","MD","20906","39.103601","-77.074457","
,  
(39.103601, -77.074457)"
"COMMERCIAL BUILDING","989743","ADD","COMMERCIAL MISCELLANEOUS STRUC","2022-04-12T10:04:50.000","2022-08-23T10:08:28.000","Issued","250","64989","Customer Wants To Use ePlans,Permit to construct a generator enclosure by loading dock of existing building. Plans to include interior alterations under A/P 987466.","20440",,"CENTURY","BLVD",,"GERMANTOWN","MD","20874","39.193367","-77.266569","
,  
(39.193367, -77.266569)"
