Name,Address 1,City,Zip,Inspection Date,Inspection Results,Food from Approved Source (C),Food Protected from Contamination (C),Ill Workers Restricted (C),Proper Hand Washing (C),Cooling Time and Temperature (C),Cold Holding Temperature (C),Hot Holding Temperature (C),Cooking Time and Temperature (C),Reheating Time and Temperature (C),Hot and Cold Running Water Provided (C),Proper Sewage Disposal (C),Toxic Substances & Pesticides,Rodent and Insects,Nutritional Labeling,Trans Fat Ban,No-Smoking Sign Posted,Inspection Type,Owner,Category,Type,Latitude,Longitude,Location,Council Districts,Councils,Communities,Zip Codes,Municipalities,Montgomery County Boundary
PHO NOM NOM,842-A ROCKVILLE PIKE,ROCKVILLE,20852,09/08/2022,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Re-inspection Billable,PHO NOM NOM INC.,Restaurant,Food,39.0758,-77.1369,"(39.0758, -77.1369)",3,3,25,60,12,1
DUCK DONUTS,511 QUINCE ORCHARD RD,GAITHERSBURG,20878,09/06/2022,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Visit/No Action,7T7 CAFE LLC,Market,Food,39.1442,-77.2195,"(39.1442, -77.2195)",3,3,36,33,21,1
LA UNION MARKET,8035-G SNOUFFER SCHOOL RD.,GAITHERSBURG,20879,09/02/2022,Facility Closed,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Reinspection,MONTGOMERY FOODS CORP.,Market,Food,39.1611,-77.1629,"(39.1611, -77.1629)",4,4,36,31,1,1
KARA HIBACHI & SUSHI,12146 DARNESTOWN RD,GAITHERSBURG,20878,08/31/2022,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,KARA HIBACHI & SUSHI LLC,Restaurant,Food,39.1167,-77.252,"(39.1167, -77.252)",2,2,24,33,1,1
YURAKU JAPANESE RESTAURANT,19773 FREDERICK RD,GERMANTOWN,20876,08/17/2022,Facility Closed,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,Out of Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Complaint Invest w/Comprehensive,LOVEGOD 123 INC,Restaurant,Food,39.1805,-77.2367,"(39.1805, -77.2367)",2,2,39,36,1,1
MCDONALD'S #4539,18010 GEORGIA AVE.,OLNEY,20832,07/22/2022,Facility Closed,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,MCDONALD'S CORPORATION,Restaurant,Food,39.1516,-77.0673,"(39.1516, -77.0673)",4,4,58,100,1,1
COPPER CANYON GRILL,928 ELLSWORTH DR.,SILVER SPRING,20910,07/12/2022,Facility Closed,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Fire Call,"COPPER CANYON GRILL, LLC",Restaurant,Food,38.9954,-77.0268,"(38.9954, -77.0268)",5,5,7,3065,1,1
INDUS FOOD INTERNATIONAL GROCERY,15513 NEW HAMPSHIRE AVE.,SILVER SPRING,20905,07/07/2022,Facility Closed,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Food Complaint,"INDUS FOOD INTERNATIONAL, INC.",Market,Food,39.1103,-76.9955,"(39.1103, -76.9955)",5,5,29,8,1,1
LEWI CAFE,911 BONIFANT ST,SILVER SPRING,20910,06/28/2022,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Other,LEWI IMPORT & EXPORT LLC,Restaurant,Food,38.9946,-77.0247,"(38.9946, -77.0247)",5,5,7,3065,1,1
HERSHEY'S RESTAURANT,17030 OAKMONT AVE.,GAITHERSBURG,20877,06/28/2022,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Reinspection,"GORMAN, INC.",Restaurant,Food,39.1357,-77.1776,"(39.1357, -77.1776)",3,3,36,35,1,1
