"caseno","opendate","closedate","casedesc","caseyear","type","sub_type","street_no","street_name","city","zip","geolocation"
"20222205","2022-09-08T00:00:00.000","2022-09-12T00:00:00.000","Case Description From 311: Anonymous complaint, next to address provided on when facing address to the right.. illegal dumping of items.. caller stated 1 grill was visible multiple other items have been dumped but can not see dur to the high grass hiding items.","2022","Solid Waste","Residential","18903","Perrone","GERMANTOWN","20874","POINT (-77.282454 39.167517)"
"20222141","2022-08-23T00:00:00.000","2022-09-09T00:00:00.000","Case Description From 311: SR Open date :08/22/2022 17:3: They have lots of dum trucks and debris everywhere. Tired trailors broken down cars it looks like a dump","2022","Solid Waste","Residential","19044","Chandlee Mill","SANDY SPRING","20860","POINT (-77.028947 39.169709)"
"20222186","2022-09-06T00:00:00.000","2022-09-09T00:00:00.000","Case Description From 311: SR Open date :09/02/2022 12:5: caller stated someone dumped  3 wood frame boxes at the end of his driveway, stated this has happened before SR# 1398098627, he requested again that the county remove this","2022","Solid Waste","Residential","13409","BRACKLEY","SILVER SPRING","20904","POINT (-76.986429 39.075112)"
"20222160","2022-08-29T00:00:00.000","2022-09-06T00:00:00.000","Case Description From 311: Anonymous complaint.  Sometime on Wednesday, August 24, someone deposited a 4x8 pallet of exercise equipment in the street directly in front of this property.  The shipping labels are all addressed to:  Janse Schermerhorn, 4708 Rosedale Ave, Bethedsa MD 20814","2022","Solid Waste","Public Land","4708","ROSEDALE","Bethesda","20814","POINT (-77.094847 38.992728)"
"20222085","2022-08-10T00:00:00.000","2022-09-06T00:00:00.000","Case Description From 311: SR Open date :08/10/2022 09:5: On Friday, July 29, 2022 at 14:25:25, a man dumped a large TV next to the dumpsters for my business, Hollywood Ballroom.  The TV was on his truck, a white Ford Pickup, MD tag 6EM8644.  I have camera footage if that helps.","2022","Solid Waste","Commercial","2126","INDUSTRIAL","SILVER SPRING","20904",
"20222159","2022-08-29T00:00:00.000","2022-09-06T00:00:00.000","Case Description From 311: At 8:36am on 28 August 2022, I observed a white man in a black or blue BMW 330i with DC tags ES0918 dump what appeared to be paint and lithium batteries in Amazon boxes on the curb near 5310 Western Avenue NW. I took a picture of it.","2022","Solid Waste","Public Land","5310","WESTERN","Chevy Chase","20815",
"20221912","2022-07-07T00:00:00.000","2022-09-06T00:00:00.000","Case Description From 311: SR Open date :07/07/2022 09:0: We are experiencing major issues with dumping and at Clarksburg Village Center. One of the dumpsters sit behind Wells Fargo Bank but there are other at the site.  I have pictures available and one address. We are getting furniture, house hold trash and lots of other items. Please help.","2022","Solid Waste","Commercial","12101","Chestnut Branch","CLARKSBURG","20871","POINT (-77.250555 39.230504)"
"20222188","2022-09-06T00:00:00.000","2022-09-06T00:00:00.000","Case Description From 311: Someone left a giant bag of trash at this intersection near the trash can.","2022","Solid Waste","Public Land",,"Cedar Tree","BURTONSVILLE","20866",
"20222169","2022-08-29T00:00:00.000","2022-09-06T00:00:00.000","Caller complains about dumped tree debris on the ROW near the intersection of Georgia Ave and Carollton Rd.","2022","Solid Waste","Public Land","14404","Georgia","ROCKVILLE","20853","POINT (-77.079982 39.093497)"
"20211809","2021-06-01T00:00:00.000","2022-08-31T00:00:00.000","Referral from Wright Jolly with DHCA.  The property owner at 10610 Mantz Rd., Silver Spring. placed bulk solid waste on the County ROW.  The property is vacant and they were cited for solid waste issues.  Now the owner is claiming the solid waste was placed in the ROW for trash collection.","2021","Solid Waste","Public Land","10610","Mantz","SILVER SPRING","20903","POINT (-76.97749 39.029483)"
