Branch,Webpage,Address,City,Zip,Square Feet,Inventory,Population Size,Phone,TTY Phone,Sunday Open,Sunday Close,Monday Open,Monday Close,Tuesday Open,Tuesday Close,Wednesday Open,Wednesday Close,Thursday Open,Thursday Close,Friday Open,Friday Close,Saturday Open,Saturday Close,Wi-Fi,Charging,Go Kits,Literacy After School,Collaboration,Computers,Discovery Room,3D printers,makerspace,E-Reader,Laptops,amharic adult,amharic child,chinese adult,chinese child,farsi adult,farsi child,french adult,french child,korean adult,korean child,russian adult,russian child,spanish adult,spanish child,vietnamese adult,vietnamese child,Metro Station,Bike Share 2,Bike Share 1,Bus 4,Bus 5,Bus 6,Bus 7,Bus 9,Bus 12,Bus 14,Bus 15,Bus 16,Bus 17,Bus 19,Bus 20,Bus 23,Bus 26,Bus 29,Bus 33,Bus 34,Bus 36,Bus 45,Bus 47,Bus 48,Bus 53,Bus 55,Bus 56,Bus 58,Bus 59,Bus 76,Bus 90,Bus 97,Bus 98,Bus j2,Bus l8,metrobus c2,metrobus c4,metrobus C8,metrobus d5,metrobus f4,metrobus j2,metrobus j3,metrobus j4,metrobus l8,metrobus Q1,metrobus Q2,metrobus T2,metrobus z2,metrobus Z8,metrobus Z6,metrobus Z9,Latitude,Longitude,Location,Council Districts,Councils,Communities,Zip Codes,Municipalities,Service Regions
White Oak,http://montgomerycountymd.gov/Library/branches/WhiteOak.html,11701 New Hampshire Avenue,Silver Spring,20904,16205,94217,,240-773-9555,,1,5,10,6,12,8,10,6,12,8,10,6,10,6,y,y,y,y,0,21,n,n,n,y,n,y,y,n,n,n,n,n,n,n,n,n,n,y,y,n,n,n,walden rd,garland ave,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,y,y,n,n,39.048025,-76.992139,"11701 New Hampshire Avenue
(39.047701, -76.992799)",5,5,18,12,1,2
Silver Spring,http://montgomerycountymd.gov/Library/branches/SilverSpring.html,900 Wayne Avenue,Silver Spring,20910,90000,118397,,240-773-9420,,1,5,10,6,1,9,10,6,1,9,10,6,10,6,y,y,y,y,10,43,n,y,n,n,y,y,y,y,y,n,n,n,n,n,n,n,n,y,y,y,y,silver spring,ellsworth dr,fenton st,n,n,n,n,n,n,n,y,y,y,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,38.994918,-77.024769,"900 Wayne Ave
(38.995311, -77.024591)",5,5,7,3065,1,1
Twinbrook,http://montgomerycountymd.gov/Library/branches/Twinbrook.html,202 Meadow Hall Drive,Rockville,20851,16895,64453,,240-777-0240,,1,5,10,6,12,8,10,6,12,8,10,6,10,6,y,y,y,y,3,15,n,n,n,n,y,n,n,y,y,n,n,y,y,y,y,n,n,y,y,n,n,twinbrook,ritchie parkway,fleet st,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,n,n,n,n,n,39.075058,-77.113561,"202 Meadow Hall Drive
Rockville 20851
(39.074824, -77.113291)",3,3,25,68,12,3
Rockville,http://montgomerycountymd.gov/Library/branches/rockville.html,21 Maryland Avenue,Rockville,20850,82030,154292,,240-777-0140,,1,5,10,6,1,9,10,6,1,9,10,6,10,6,y,y,y,y,5,37,n,n,y,n,n,n,n,y,y,n,n,y,y,y,y,y,y,y,y,y,y,rockville,maryland ave,e montgomery ave,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,39.08656,-77.151429,"21 Maryland Avenue
Rockville 20850
(39.086578, -77.151051)",3,3,25,71,12,3
Wheaton,http://montgomerycountymd.gov/Library/branches/Wheaton.html,11701 Georgia Avenue,Wheaton,20902,32000,23150,,240-777-0678,,1,5,10,6,1,9,10,6,1,9,10,6,10,6,y,y,y,y,0,30,n,n,n,n,n,n,n,y,y,n,n,n,n,n,n,n,n,y,y,y,y,wheaton,lyttonsville pl,lyttonsville rd,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,39.04678,-77.051307,"2400 Arcola Ave
Wheaton 20902
(39.047149, -77.050284)",4,4,16,17,1,4
Quince Orchard,http://montgomerycountymd.gov/Library/branches/QuinceOrchard.html,15831 Quince Orchard Road,Gaithersburg,20878,17991,110165,,240-777-0200,,1,5,10,6,1,9,10,6,1,9,10,6,10,6,y,y,y,y,0,15,n,n,n,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,y,n,n,n,blackwell rd,broshart rd,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,39.115807,-77.252118,"15831 Quince Orchard Road
Gaithersburg 20878
(39.115805, -77.252898)",2,2,24,33,1,5
Aspen Hill,http://montgomerycountymd.gov/Library/branches/aspenhill.html,4407 Aspen Hill Road,Rockville,20853,16100,78647,,240-773-9410,301-871-2097,1,5,10,6,12,8,10,6,12,8,10,6,10,6,y,y,y,y,1,21,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,twinbrook,E. gude,taft st.,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,39.079524,-77.088752,"4407 Aspen Hill Rd
Rockville 20853
(39.079163, -77.087308)",3,3,61,58,1,4
Gaithersburg,http://montgomerycountymd.gov/Library/branches/gaithersburg.html,18330 Montgomery Village Avenue,Gaithersburg,20879,62525,153055,,240-773-9490,,1,5,10,6,1,9,10,6,1,9,10,6,10,6,y,y,y,y,7,44,y,n,n,y,n,y,y,y,y,y,y,y,y,y,y,n,n,y,y,y,y,shady grove,shady grove metro,shady grove metro,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,39.158089,-77.205466,"18330 Montgomery Village Ave
Gaithersburg 20879
(39.157594, -77.205133)",2,2,38,28,1,5
Maggie Nightingale,http://montgomerycountymd.gov/Library/branches/poolesville.html,19633 Fisher Avenue,Poolseville,20837,6250,38456,,240-773-9550,301-972-7825,,,10,6,12,8,12,8,10,6,10,6,10,6,y,y,y,y,0,5,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,blackwell rd,broshart rd,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,39.145139,-77.410286,"19633 Fisher Avenue
Poolseville 20837
(39.144381, -77.41053)",1,1,34,97,16,5
Potomac,http://montgomerycountymd.gov/Library/branches/Potomac.html,10101 Glenolden Drive,Potomac,20854,16000,92628,,240-777-0690,301-765-4083,1,5,10,6,12,8,10,6,12,8,10,6,10,6,y,y,y,y,0,11,n,n,n,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n,southwick street,old georgetown rd,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,39.019274,-77.207797,"10101 Glenolden Drive
Potomac 20854
(39.018886, -77.207624)",1,1,20,53,1,3
