OBJECTID,CATEGORY,NAME,ADDRESS,CITY,ZIPCODE,PHONE,URL,DATA,POINT_X,POINT_Y,SHAPE,LATITUDE,LONGITUDE
1,BUSINESS PARK,Park Plaza at Shady Grove,2101 Gaither Rd,Rockville,20850,202-783-8200,http://www.cbre.com/usa,Business Park,1260878.246275250101462,528623.054158660001121,"(39.11803908700006, -77.18135969099995)",39.118031219999999,-77.181357370000001
2,BUSINESS PARK,Princemont Industrial Pk,326 N Stonestreet Ave,Rockville,20850,301-424-5151, ,Industrial Park,1270098.481803830014542,517983.103300750022754,"(39.088871479000034, -77.14880119999998)",39.088863619999998,-77.148798889999995
3,BUSINESS PARK,Quince Orchard Corporate Park,101 Orchard Ridge Dr,Gaithersburg,20878,240-499-9600,http://www.quadrangledevcorp.com/quadrangle_w/files/home.htm,Business Park,1246520.557941870065406,532383.529298159992322,"(39.128274659000056, -77.23199795199997)",39.128104870000001,-77.234939179999998
4,BUSINESS PARK,270 Corporate Center,20201 Century Blv,Germantown,20874,301-815-9961,http://270corporatecenter.com/,Business Park,1237864.249965809984133,554950.874983179965056,"(39.18819897600008, -77.26016024799998)",39.190163009999999,-77.262738630000001
5,BUSINESS PARK,270 Corporate Center,20251 Century Blv,Germantown,20874,301-815-9961,http://270corporatecenter.com/,Business Park,1237864.249965809984133,554950.874983179965056,"(39.18866721200004, -77.26059866199995)",39.190163009999999,-77.262738630000001
6,BUSINESS PARK,270 Corporate Center,20250 Century Blv,Germantown,20874,301-815-9961,http://270corporatecenter.com/,Business Park,1237864.249965809984133,554950.874983179965056,"(39.187728992000075, -77.26292007799998)",39.190163009999999,-77.262738630000001
7,BUSINESS PARK,Rock Spring Industrial Park,6500 Rockledge Dr,Bethesda,20817,202-833-5800,http://www.bostonproperties.com,Industrial Park,1274156.056975610088557,494862.802223209990188,"(39.02540821200006, -77.13438594099995)",39.030756080000003,-77.134757769999993
8,BUSINESS PARK,Rock Spring Industrial Park,6901 Rockledge Dr,Bethesda,20817,202-585-0800,http://www.brandywinerealty.com,Industrial Park,1272570.973838140023872,495737.332272030005697,"(39.027802853000026, -77.13997012999994)",39.030756080000003,-77.134757769999993
9,BUSINESS PARK,Shady Grove Life Sciences Center,9700 Medical Center Dr,Rockville,20850,202-478-2300, ,Business Park,1257138.889599760062993,521470.192967990005855,"(39.09837886100007, -77.19448558999994)",39.100567519999998,-77.198817770000005
10,BUSINESS PARK,30 West Watkins Mill Rd LLC,30 W Watkins Mill Rd,Gaithersburg,20878,301-527-9219, ,Business Park,1246957.812086279969662,540312.427097539999522,"(39.15004730800007, -77.23052718199995)",39.15003944,-77.230524840000001
