"application_type","permit_number","processed_date","approved_date","project_name","description_of_work","street_number","pre_direction","street_name","street_suffix","post_direction","city","state","zip_code","latitude","longitude","general_location","geolocation"
"SOILS TESTING PROCESS","215026","2004-11-02T12:11:00.000","2022-05-04T12:05:00.000",,,"17701",,"MOORE","RD",,"DICKERSON","MD","20842","39.183483","-77.367404",,"POINT (-77.367404 39.183483)"
"SOILS TESTING PROCESS","242399","2012-03-15T12:03:00.000","2015-05-07T12:05:00.000",,,"230",,"OLD BUCKLODGE","LN",,"BOYDS","MD","20841","39.170358","-77.342016",,"POINT (-77.342016 39.170358)"
"SOILS TESTING PROCESS","241835","2012-01-20T12:01:00.000","2015-02-10T12:02:00.000",,,"15479",,"BARNESVILLE","RD",,"BOYDS","MD","20841","39.191773","-77.322299",,"POINT (-77.322299 39.191773)"
"SOILS TESTING PROCESS","242493","2012-03-26T12:03:00.000","2012-04-02T12:04:00.000",,"BLT","26800",,"PURDUM","RD",,"DAMASCUS","MD","20872","39.298436","-77.243869",,"POINT (-77.243869 39.298436)"
"SOILS TESTING PROCESS","211911","2004-03-24T12:03:00.000","2011-08-23T12:08:00.000",,,"3727",,"GREGG","RD",,"BROOKEVILLE","MD","20833","39.208023","-77.072975","Escrow #0193SL","POINT (-77.072975 39.208023)"
"SOILS TESTING PROCESS","237513","2010-03-19T12:03:00.000","2011-05-11T12:05:00.000",,"demolish existing house and build new home","10800",,"STANMORE","DR",,"POTOMAC","MD","20854","39.013813","-77.224249",,"POINT (-77.224249 39.013813)"
"SOILS TESTING PROCESS","703014053","2003-03-27T12:03:00.000","2011-03-07T12:03:00.000",,,"20806",,"MERLE","DR",,"GAITHERSBURG","MD","20882","0","0",,"POINT (0 0)"
"SOILS TESTING PROCESS","703014052","2003-03-27T12:03:00.000","2011-03-04T12:03:00.000",,,"20806",,"MERLE","DR",,"GAITHERSBURG","MD","20882","0","0",,"POINT (0 0)"
"SOILS TESTING PROCESS","239273","2010-12-10T12:12:00.000","2010-12-10T12:12:00.000",,"Septic area revision only.","22405",,"GEORGIA","AVE",,"BROOKEVILLE","MD","20833","39.223991","-77.058134",,"POINT (-77.058134 39.223991)"
"SOILS TESTING PROCESS","232141","2007-08-28T12:08:00.000","2010-06-29T12:06:00.000",,,"5600",,"MUNCASTER MILL","RD",,"ROCKVILLE","MD","20855","39.121094","-77.114868",,"POINT (-77.114868 39.121094)"
"SOILS TESTING PROCESS","210928","2003-12-31T12:12:00.000","2010-06-17T12:06:00.000",,,"15316",,"BARNESVILLE","RD",,"BOYDS","MD","20841","39.18725","-77.318749",,"POINT (-77.318749 39.18725)"
"SOILS TESTING PROCESS","232464","2007-10-29T12:10:00.000","2010-03-24T12:03:00.000",,,"9440",,"HOLSEY","RD",,"DAMASCUS","MD","20872","39.308717","-77.194589",,"POINT (-77.194589 39.308717)"
"SOILS TESTING PROCESS","236789","2009-10-16T12:10:00.000","2009-10-16T12:10:00.000",,,"12905",,"ESWORTHY","RD",,"GAITHERSBURG","MD","20878","39.067604","-77.280766",,"POINT (-77.280766 39.067604)"
"SOILS TESTING PROCESS","224619","2006-03-14T12:03:00.000","2009-10-05T12:10:00.000",,,"18549",,"BROOKE","RD",,"SANDY SPRING","MD","20860","39.159802","-77.031542",,"POINT (-77.031542 39.159802)"
"SOILS TESTING PROCESS","234828","2008-11-18T12:11:00.000","2009-09-23T12:09:00.000",,,"9240",,"BROWN CHURCH","RD",,"MOUNT AIRY","MD","21771","39.327457","-77.189968",,"POINT (-77.189968 39.327457)"
"SOILS TESTING PROCESS","207436","2003-03-13T12:03:00.000","2009-07-29T12:07:00.000",,,"13931",,"ESWORTHY","RD",,"GERMANTOWN","MD","20874","39.085421","-77.289282",,"POINT (-77.289282 39.085421)"
"SOILS TESTING PROCESS","233102","2008-02-22T12:02:00.000","2009-02-26T12:02:00.000",,"SEE ALSO PROJECT #233101 - INSPECTOR ORIGINALLY PUT INFO FOR BOTH PROJECT #'S UNDER #233102","10421",,"GARY","RD",,"POTOMAC","MD","20854","39.027376","-77.207347",,"POINT (-77.207347 39.027376)"
"SOILS TESTING PROCESS","232629","2007-12-03T12:12:00.000","2009-01-14T12:01:00.000",,"water table test waived by kim beall-who feels adjacent wt data is sufficient.","11012",,"CHANDLER","RD",,"POTOMAC","MD","20854","38.996742","-77.228139",,"POINT (-77.228139 38.996742)"
"SOILS TESTING PROCESS","217001","2005-03-18T12:03:00.000","2008-10-01T12:10:00.000",,"Final plan approved 10-1-2008, 4 bedroom max.","27915",,"BARNES","RD",,"DAMASCUS","MD","20872","39.313458","-77.252265",,"POINT (-77.252265 39.313458)"
"SOILS TESTING PROCESS","231398","2007-05-21T12:05:00.000","2008-09-09T12:09:00.000",,,"17",,"AWKARD","LN",,"SILVER SPRING","MD","20905","39.107024","-77.008466",,"POINT (-77.008466 39.107024)"
"SOILS TESTING PROCESS","217020","2005-03-21T12:03:00.000","2008-08-12T12:08:00.000",,,"16923",,"NORWOOD","RD",,"SANDY SPRING","MD","20860","0","0",,"POINT (0 0)"
"SOILS TESTING PROCESS","214626","2004-10-01T12:10:00.000","2008-08-11T12:08:00.000",,,"20915",,"BIG WOODS","RD",,"DICKERSON","MD","20842","39.199774","-77.404994",,"POINT (-77.404994 39.199774)"
"SOILS TESTING PROCESS","233062","2008-02-11T12:02:00.000","2008-08-11T12:08:00.000",,,"5715",,"DIMES","RD",,"ROCKVILLE","MD","20855","39.109189","-77.117919",,"POINT (-77.117919 39.109189)"
"SOILS TESTING PROCESS","233272","2008-03-25T12:03:00.000","2008-07-25T12:07:00.000",,,"9107",,"RIVER","RD",,"POTOMAC","MD","20854","39.004683","-77.185442",,"POINT (-77.185442 39.004683)"
"SOILS TESTING PROCESS","231662","2007-06-27T12:06:00.000","2008-06-16T12:06:00.000",,,"15200",,"MCKNEW","RD",,"BURTONSVILLE","MD","20866","39.105586","-76.919905",,"POINT (-76.919905 39.105586)"
"SOILS TESTING PROCESS","233180","2008-03-05T12:03:00.000","2008-06-05T12:06:00.000",,,"8919",,"BEL AIR","PL",,"POTOMAC","MD","20854","39.001906","-77.233887",,"POINT (-77.233887 39.001906)"
"SOILS TESTING PROCESS","232356","2007-10-05T12:10:00.000","2008-05-30T12:05:00.000",,,"10000",,"BRATTON","DR",,"ROCKVILLE","MD","20850","0","0",,"POINT (0 0)"
