"agencyid","agencyname","id","dateadded","dateupdated","needlink","needtitle","needdetails","needaddress","needcity","needstate","needzip","needdatetype","needdate","registrationclosed","needhoursdescription","needagerequirements","needallowteams","needvolunteersneeded","needcontact","interests","qualifications","initiativetitle","geo_location"
"86530","ART - Association of Russian Speaking Theaters","395444","2019-01-17T00:00:00.000","2019-01-17T00:00:00.000","http://montgomerycountymd.galaxydigital.com/volunteer/agency/need/?need_id=395444","Marketing manager","Our organization is highly interested in motivated person who can help us to promote theater events and camp for the children of different age. ","11708 Coldstream dr","Potomac","MD","20854","ongoing",,,"9am-6pm","21-120","false",,,"Admin Support",,,"POINT (-77.181608 39.048674)"
"124349","The Washington English Center","721256","2022-08-12T00:00:00.000","2022-08-12T00:00:00.000","http://montgomerycountymd.galaxydigital.com/volunteer/agency/need/?need_id=721256","Opportunities to Teach English to Adult Refugees In-Person and Online This Fall!","Are you looking to meet new people and make a difference in the community this fall? Consider volunteering with The Washington English Center (WEC)! WEC is a DC-based nonprofit organization that is looking for volunteers to teach English to immigrants and refugees this September. Join our community of over 350 volunteers to teach either online or in-person in downtown DC. No prior experience is required, as we provide training, support, and resources. You can also sign up to be an online conversation or writing tutor!
WEC serves several hundred adult language learners, including many recently resettled refugees from Afghanistan and Ukraine. As a WEC volunteer, you’ll have the opportunity to be exposed to new cultures and languages, attend free teacher training, and meet like-minded people at volunteer socials throughout the term. The commitment is for 11 weeks (2 hours a week) to teach a class, or an 11-session commitment once a week for 1 hour to tutor a student one-on-one. If you do not want to commit to 11 weeks there are opportunities to substitute teach, we can work with your schedule! 
Group classes start September 26th,2022 and go through December 15th, 2022. Tutoring is flexible and happens on a rolling basis. To see all our open volunteer opportunities please check out our fall flyer here: https://tinyurl.com/3bn5raxa 
If interested in volunteering, please sign up here: https://tinyurl.com/3juzbkz2
For more information about our programs please visit  www.washingtonenglish.org/volunteers/ or contact the Associate Director of Volunteers, Yaritza Abrego at yabrego@washingtonenglish.org.
 
WEC looks forward to welcoming you!
 ",,,"DC","20004","ongoing",,,"Monday-Thursday 10AM-12PM and 6:30-8:30 PM ET","18-120","false",,,"Education / Mentoring, Languages",,,"POINT (-77.022989 38.892188)"
"76436","Mercy Health Clinic","704522","2022-06-21T00:00:00.000","2022-06-21T00:00:00.000","http://montgomerycountymd.galaxydigital.com/volunteer/agency/need/?need_id=704522","Medical Assistant","(Certification required): Performs a variety of direct and indirect patient care activities, including taking and recording vital signs and medical histories, preparing patients for examination, drawing blood, performing “Fit” tests (hemocults) and pregnancy tests, administering medications as directed by Provider, and other routine and/or related duties that medical assistants are trained and certified to perform. 
Proficiency in Spanish a plus.
Mondays to Thursdays.
See also:
https://www.mercyhealthclinic.org/donate-2/non-provider-and-medical-professional-volunteers/","7 Metropolitan Ct, Ste. 1","Gaithersburg","MD","20878","ongoing",,,"8am-12pm or 1pm-5pm","19-120","false",,,"Health",,,"POINT (-77.228509 39.148779)"
"76147","Echelon Academy","449848","2019-08-10T00:00:00.000","2022-07-29T00:00:00.000","http://montgomerycountymd.galaxydigital.com/volunteer/agency/need/?need_id=449848","Co-Admin Manager for a small private school","Echelon Academy needs a volunteer receptionist for our school.  This position requires phone services and message taking, hours from 8:30-3:30pm, or any time frame that works best for you.  You will work in a wonderful environment with smiling facings of students.  You may also greet visitors and a few clerical duties. (library, copying, filing).  Thank you.","4032 Blckburn Lane","Burtonsville","MD","20866","ongoing",,,"8:15am-3:30pm","20-120","false",,,"Education / Mentoring",,,"POINT (-76.929624 39.105)"
"77347","Student Global Ambassador Program (SGAP Leaders)","694966","2022-05-19T00:00:00.000","2022-05-23T00:00:00.000","http://montgomerycountymd.galaxydigital.com/volunteer/agency/need/?need_id=694966","Board Member","BOARD MEMBER
Part time (virtual), volunteer positionJune 1, 2022 -
The Student Global Ambassador Program (SGAP Leaders), a nonprofit located in Rockville, Maryland with offices in Montclair, NJ is seeking a dedicated and strategic board volunteer to serve on a governing board. The prospective Board member should have some experience teaching/training youth, familiar with curriculum development and professional development tools, affinity to climate change and environmental education of youth, business acumen and strong financial background is a plus.The ideal candidate supports our mission, and develops a positive healthy environment for staff, fellow board members, volunteers, interns and students alike.
Board Member Responsibilities:
Board members are required to participate on quarterly virtual calls (1.5 hours). Date, time and/or location TBD. Directors are recommended to serve a three year term for a maximum of six years.Members of the Board of Directors are expected to participate/volunteer at two SGAP Leaders workshops, programs and/or projects (virtual or in-person) per year.In addition, members are expected to participate in two 1/2 day brainstorming/strategy workshops (virtual or in-person) in December and in August. Those who wish to participate beyond a six year term, matriculate to the Emeritus Membership of the Board. Two members of the board shall be students who have participated in at least four projects or programs and/or who have graduated from our Leadership Series. All members of the Board have the right to vote.
Committees
Members of the Board of Directors must participate in at least one committee during their term. Committees must comprise of at least two members of the Board of Directors, and regularly report their findings and research to fellow board members BEFORE each quarterly meetings:

Student Advocacy

Program alignment
School recruitment

Recruitment & Governance

Recruitment and On-Boarding
Performance Review/Compliance

Resource Development & Fundraising

Earned Income Strategy

Finance, Audit & Compliance
Legal compliance
Financial stewardship

Specific Projects for the Board - Georgetown University: Board Fellows - (October - May)


 
Requirements:

High integrity, reliability and dedication (follow-through) a must
Financial and non-profit background, a plus
Outstanding work ethic
Impeccable time management skills with the ability to multitask
Detail-oriented approach with ability to work, under pressure, to meet deadlines
Collaborative management style
Excellent communicator
Problem solver with the ability to galvanize a team
Persuasive presenter
Access to wide network of potential sponsors and funders, a plus

If you are interested in this position, please forward your resume, a cover letter, and two writing samples to researcher@sgapleaders.org by June 1, 2022. Please put in the subject line of your email: Board Member
Board candidates will be interviewed on a rolling basis. We will contact you if we’re interested in scheduling an interview. Please send an email to the above address with questions.
SGAP Leaders provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, gender, gender identity, sexual orientation, national origin, age, disability or genetics. In addition to federal law requirements, SGAP Leaders complies with applicable state and local laws governing nondiscrimination in employment in every location in which the organization has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, and transfer, leaves of absence, compensation and training.
 ",,,,"20855","ongoing",,,"Asynchronous","18-120","false",,"researcher@sgapleaders.org","Board Service, Education / Mentoring, Events / Collections, Legal / Finance / Taxes, Professional Skills",,,"POINT (-77.141459 39.134606)"
"76426","MCAEL--Montgomery Coalition for Adult English Literacy","543041","2020-09-25T00:00:00.000","2020-09-28T00:00:00.000","http://montgomerycountymd.galaxydigital.com/volunteer/agency/need/?need_id=543041","Board Member","Interested in joining an organization that is critical to the future of Montgomery County?
The success of a community rests on the ability of its members to be able to connect, share ideas, and address challenges together. To do this, its members must be able to communicate in a common language. ESOL instruction (English for Speakers of Other Languages) has a positive impact on the whole community.
The Montgomery Coalition for Adult English Literacy (MCAEL, a community coalition which expands the quantity and quality of adult English literacy classes in Montgomery County, MD, seeks members for its Board of Directors. English literacy is a core skill for adults to achieve their goals and to clearly steer their families onto a pathways to success. MCAEL’s role as a backbone organization allows it to leverage data, resources and funding to create a multiplier effect for the 60+ organizations and their 1500+ staff and instructors who serve almost 15,000 adults in the county each year.
MCAEL Board Members have the following responsibilities: to ensure that the organization does the best work possible in pursuit of its mission, vision, and goals. Basic fundamental responsibilities of board leadership include:•    determine MCAEL’s mission, setting strategic goals, and establishing long-term plans; •    ensure the execution of strategic priorities and long term goals•    select the Executive Director;•    secure financial resources;•    assess the board’s performance; •    participate in board recruitment, orientation, and ongoing board education;  provide appropriate fiscal oversight. 
The Board meets every other month on the third Wednesday from 6:00 pm – 8:00 pm. Board committees meet during the off months and often by conference call. Board members are invited to represent MCAEL throughout the year at other events, meetings, conferences and community gatherings. Board terms are 3 years in length with the opportunity for renewal. Board members are required to regularly attend meetings and events and to contribute a personal financial contribution at a level that reflects that MCAEL is a high priority for me to support charitably annually to the organization.
Some preferred qualifications (this is not an exclusive list):(1) Ability to contribute time including in-person meetings, web-based communications, and volunteer hours to support MCAEL (2) Connections to the local community, particularly with businesses of all sizes(3) Areas of interest and/or expertise in at least one of the following areas:     (a) Fundraising     (b) Technology for education and/or cross sector communication     (c) Business development and financial management     (d) Marketing(4) live or work in East County or Up County
Note: Due to current pandemic situation, all events and meetings are being held online.","9210 Corporate Blvd","Rockville","MD","20850","ongoing",,,"2 hours per month, evenings","0-0","false",,,"Board Service, Languages",,,"POINT (-77.189603 39.107506)"
"76604","Healthy School Food Maryland","482537","2019-12-18T00:00:00.000","2019-12-20T00:00:00.000","http://montgomerycountymd.galaxydigital.com/volunteer/agency/need/?need_id=482537","Nutrition Research and Analysis Internship","This is an opportunity to gain experience doing research for a small non-profit organization working for healthier food in the Montgomery County Public Schools in Maryland and in the state of Maryland. The intern will work directly with the Executive Director and will have the opportunity to be involved in meetings with the organization's Board of Directors. Time commitment: 15 hours/week. At least one half-day a week must be done at the organization's office in Rockville and the rest can be done from home. Qualified candidates will be interviewed until an intern is selected. The internship period can be adjusted to the intern's availability, although we would prefer interns who can commit to a minimum of three months. Internships are available year-round, so do not hesitate to inquire about other possibilities
Responsibilities

Collecting data on menus in Maryland public schools
Analyzing food options
Updating a grading rubric in collaboration with other stakeholders
Keeping rubric criteria updated with current regulations
Reporting findings in a comprehensive article for publication
Adapting summaries of scientific materials for a more general audience
Creating infographics

 
Required Qualifications

A commitment to healthy eating for school children
Some academic background or personal interest in nutrition
Currently enrolled in or recently completed university or changing career tracks and looking for experience in development
Strong written and oral communication skills with excellent grammar
Extensive writing experience in any formal context
Strong attention to detail
Proficiency in MS Word and Excel
Excellent organizational skills and ability to meet deadlines
Strong initiative and self-motivation
Located in the DC metro area (or able to spend at least 1 day/week working at our office in Rockville)
Must be able to work on an occasional Saturday or Sunday (no more than 2/term)

Preferred Qualifications

Have a PC (not a Mac) with MS Access on it
Some experience in grant writing and/or event planning is preferred but not required
Experience using MS Access

To apply, please send a cover letter and resume to info@healthyschoolfoodmd.org. Please indicate desired start and end dates of internship and number of hours/week you can commit to working (during work week M-F).","15800 Crabbs Branch Way, Ste 300","Rockville","MD","20855","ongoing",,,,"18-120","false",,,"Education / Mentoring, Health",,,"POINT (-77.156915 39.113724)"
"76097","Court Watch Montgomery","582127","2021-04-19T00:00:00.000","2022-07-09T00:00:00.000","http://montgomerycountymd.galaxydigital.com/volunteer/agency/need/?need_id=582127","Court Monitor for Victims of Domestic Violence","Court Watch Montgomery's more than 50 conscientious volunteers of diverse ages and backgrounds believe that every victim of intimate partner violence deserves rapid and comprehensive legal protection and respectful treatment by judges, lawyers, bailiffs, and court personnel. As a nonprofit research organization, we have compiled data on more than 5,000  protective order and domestic violence criminal cases and published numerous reports on our findings that have resulted in life-saving improvements at court.
Volunteers are the heart and soul of our effort and we need your help. We seek objective court monitors with superior listening skills. As unbiased observers with a penchant for detail, we need you to collect accurate data that could have a profound impact on the lives of future victims. Becoming involved with Court Watch will not only provide you with the opportunity to connect with the community in a meaningful way but will allow you to witness first-hand how a data-driven nonprofit organization can create lasting changes to the court system.
Note: Courts are now fully open to the public. Effective April 4, 2-22 the Covid emergency protocols have been lifted. We are seeking volunteers who are comfortable attending court in-person. 
Court Monitor Requirements

Observe and document court data on monitoring forms in Silver Spring District Court (across from downtown Silver Spring metro) or Rockville District court (a few blocks from Rockville metro)
Volunteers are asked to commit to two weekday mornings per month of their choice to attend protective order hearings held 8:30 a.m to around noon.
Due to the learning curve and training involved, we require a commitment of at least 6 months, preferably longer. 


Collaborates immediately after court session with other volunteers in attendance to create a Master Monitoring Form for quality-control purposes


Willing to attend training, receive feedback, and make revisions to completed monitoring forms
Ability to scan forms or take a cell phone photo for electronic submission

To complete an application: https://courtwatchmontgomery.org/volunteer/volunteer-form/
If you have additional questions: akass@courtwatchmontgomery.org
Court Watch is a respectful inclusive organization. We welcome everyone and do not discriminate based on race, sex, age, gender identity, sexual orientation or creed. Volunteers are expected to conform to our culture of inclusion when attending organization events and when in court.",,"Silver Spring","MD","20910","ongoing",,,"8:30 to around noon","21-120","false",,,"Legal / Finance / Taxes, Professional Skills",,,"POINT (-77.034885 39.001851)"
"76890","Winter Growth, INC","676570","2022-03-23T00:00:00.000","2022-08-30T00:00:00.000","http://montgomerycountymd.galaxydigital.com/volunteer/agency/need/?need_id=676570","Philosophy Discussion","Spend time with some of our clients and have a stimulating conversation about philosophy. Have conversations about different world views, as well as parts of philosophy that interests you. We have some clients who enjoy philosophy, and did it for part of their career. ","18110 Prince Phillip Dr","Olney","MD","20832","ongoing",,,"11:30 am-12:30 pm","18-120","false",,,"Arts / Culture",,,"POINT (-77.056824 39.153872)"
"76568","Montgomery Parks, M-NCPPC","726469","2022-08-26T00:00:00.000","2022-08-28T00:00:00.000","http://montgomerycountymd.galaxydigital.com/volunteer/agency/need/?need_id=726469","10/01/2022 - 10/29/2022 | Haunted Trail - Little Bennett Campground | Clarksburg - Saturdays, 5:30pm to 9:00pm","Little Bennett Campground is hosting a spooky Haunted Trail on Saturdays this October, and needs volunteers to help it be the scariest place in the woods!Volunteers will wear costumes and stand at assigned locations and follow a script. Other volunteers will help out behind the scenes.Campground guests will visit each of the 10 sites along the trail, where the volunteers will be stationed to do their scariest!There will be a volunteer orientation before the trail opens to the campground guests.This is SSL approved.Volunteers are asked to:- Bring their own flashlights- Wear their own scary costumes/masks - it doesn't have to be elaborate, you can be a zombie in old clothes with the right make-up!- Dress for the weather, especially the cooler temps in the evening.- Wear shoes that can get muddy!COVID REQUIREMENTS:Volunteers should not come to help if they or someone they have been around has been sick or exhibiting signs of COVID. They should give us as much notice as possible.
An email with all of these details and more will be sent to applicants.
Go HERE and Click on SCHEDULE OR CALENDAR TO PICK YOUR NIGHT!  Get your friends to sign up too!
Website: https://montgomeryparks.org/parks-and-trails/little-bennett-regional-park/little-bennett-campground/
Student participation in this service project is at the discretion of the student’s parent/guardian  and must be completed outside of school hours. The nonprofit organization is responsible for maintaining student safety. Parents/guardians should contact the nonprofit directly with any questions and/or concerns.","Little Bennett Campground","Clarksburg","MD","20871","multi","10/01/2022","10/27/2022","5:30pm to 9pm","14-120","true",,,"Events / Collections",,"MCPS SSL",
