"farm","description","website","saturday_only","saturday_and_sunday","saturday_times","sunday_times","handicap_parking","food_refreshments","artwork_crafts","animals","christmas_trees","fruits_and_vegetables","pick_your_own","hayrides","winery","brewery","education_center","pumpkins","flowers","buses_and_groups","contact_number","contact","location","location_1"
"KINGSBURY’S ORCHARD","Kingsbury's Orchard is a family owned and operated farm dating back to 1907. We grow more than 50 varieties of peaches, 20 varieties of apples and a wide selection of cherries, nectarines and Asian pears. This year's Farm Tour we will be open Saturday and Sunday from 9:00 am to 6:00 pm. For additional information, please visit our website at www.kingsburysorchard.com.","http://www.kingsburysorchard.com",,"Y","9:00AM - 6:00PM ","9:00AM - 6:00PM ",,,,,,"Y",,,,,,,,,"301-972-8755","Gene Kingsbury","19415 Peach Tree Rd.
Dickerson 20842
(39.173297, -77.387293)","19415 Peach Tree Rd.
Dickerson,  20842
(39.173302, -77.38729)"
"RED WIGGLER COMMUNITY FARM","Join us on the farm for tours, farm stand, music and games. Interpretive field walks, on the hour, will describe cutting edge organic farming practices, our unique CSA program and how we create an inclusive environment for all on the farm. There will also be plenty of opportunities to taste, smell and take in the beauty of the fields. There will be Red Wiggler Certified Organic produce and local honey for sale. Bring a picnic and make a day of it! This year's Farm Tour we will be open Saturday ONLY from 10:00 am to 3:00 pm.","http://www.redwiggler.org","Y",,"10:00AM - 3:00PM",,,,,,,"Y",,,,,"Y",,,,"301-916-2216","Woody Woodroof","23400 Ridge Rd
Germantown 20876
(39.2408111, -77.2371793)","23400 Ridge Rd
Germantown,  20876"
"HEYSER FARMS, INC.","It's our 71st season at the farm in Colesville! Walk through our orchard and gardens, take a wagon ride around the farm & sample delicious fresh fruits including some of the best peaches around. Antique farm equipment on display, Pick-Ur-Own Flower Bouquets available & local artists showcasing their wares. We're open year-round! This year, we'll be celebrating Farm Tour all week, during our regular hours, with daily events starting on Monday July 17th. For Farm Tour weekend, in addition to Saturday July 22nd, we'll be open Sunday July 23rd from 10:00 am to 4:00 pm (the only Sunday we are open during summer). For event details, visit our website: www.HeyserFarms.com. See you at the farm!","https://www.HeyerFarms.com",,"Y","9:00AM - 6:00PM ","10:00AM - 4:00PM",,"Y","Y",,"Y","Y","Y","Y",,,,"Y","Y",,"301-384-7859","Mike Heyser","14526 New Hampshire Avenue, Silver Spring 20904","14526 New Hampshire Avenue
Silver Spring,  20904
(39.094688, -77.001707)"
"WAREDACA BREWERY COMPANY","Waredaca Brewing Company is Montgomery County's premier farm brewery.  Our family owned and operated 230 acre working horse farm now includes an on-farm microbrewery!  We focus on approachable ales of the highest quality using farm-grown ingredients.  Visit our tasting room for sampling the beers and enjoy the gorgeous views of our hillside pastures dotted with horses.  We are very family friendly. We will be open on Saturday from 1:00 pm to 8:00 pm and Sunday from 1:00 pm to 6:00 pm.","www.waredacabrewing.com/   ",,"Y","1:00PM - 8:00PM","1:00PM - 6:00PM",,,,,,,,,,"Y",,,,,"301-774-2337",,"4015 Damascus Road Laytonsville, 20882","4015 Damascus Road
Laytonsville,  20882
(39.228554, -77.080806)"
"HOMESTEAD FARM","Pick-your-own fruit farm growing a variety of crops throughout summer and fall. Hayrides during pumpkin season in the fall. This weekend come pick-your-own peaches and thornless blackberries. Farm market has pre-picked produce, preserves, and honey. Family owned and operated farm. Visit our goats and other animals. We will be open Saturday and Sunday from 9:00 am to 6:00 pm with pick-your-own areas closing at 5:00 pm. Sign up for our email list at www.Homestead-Farm.net for weekly updates throughout season. Our email is Homesteadfarmemail@gmail.com.","http://www.Homestead-Farm.net",,"Y","9:00AM - 6:00PM ","9:00AM - 6:00PM ","Y","Y",,"Y",,"Y","Y","Y",,,,"Y",,,"301-977-3761","Allnutt Family","15604 Sugarland Rd
Poolesville 20837
(39.112865, -77.352022)","15604 Sugarland Rd
Poolesville,  20837
(39.109992, -77.352423)"
"KING BARN DAIRY MOOseum","New for 2017 is a walking tour of the farm road, with pictures of the James and Macy King family, and stories about life on the dairy farm. Once again the MOOseum Barn will be showing a video called ""Growing Legacy-The Agricultural Reserve in Montgomery County, Maryland"", created by the Montgomery Countryside Alliance!! Our restored Model T Ford milk delivery truck will be open for visitors to view and learn more about. It joins the restored 1890's milk wagon and model of B&O Railroad in our Transportation Section. Other exhibits include interactive Nutrition Exhibit, butter churning, life-size dairy breed models, milking equipment, dairy farm locations map, farm family histories, a model of the King farm home, as well as crafts, children's room and TWO milkable model cows! Macie's Attic, our gift shop will offer ""All Things MOO"" for purchase.This year's Farm Tour we will be open both Saturday from 10:00 am to 3:00 pm and Sunday from 12:00 pm to 4:00 pm. Sunday only meet a farm family and hear about their farm. See our website www.mooseum.com for more information.","http://www.mooseum.com",,"Y","10:00AM - 3:00PM","12:00 - 4:00PM","Y",,"Y",,,,,,,,"Y",,,,"301-254-6575","Peg Donnellon","18028 Central Park Cir., S.
Boyds 20841
(39.152994, -77.306773)","18028 Central Park Cir., S.
Boyds,  20841
(39.152994, -77.306773)"
"GLOBAL AQUAPONIC SYSTEMS CORPORATION","Visit the first owner operated Aquaponic farm in Maryland, and taste our naturally grown produce and fresh berries. Take a tour through our facility and learn about Aquaponics, reusable (alternate) energy system, rainwater collecting system, and much more.  We also have free-range chickens and duck eggs, local honey, and fresh produce for you to purchase and taste.  We will only be open during farm tour on Saturday from 12:00 pm-5:00 pm. Visit our Facebook Page at https://www.facebook.com/globalaquaponicsystems/","https://www.facebook.com/globalaquaponicsystems/","Y",,"12:00AM - 5:00PM",,,"Y",,,,"Y",,,,,"Y",,,,"301-433-3614",,"2511 Fairland Road, Silver Spring 20902","2511 Fairland Road
Silver Spring,  20902
(39.077461, -76.959637)"
"POPLAR SPRING ANIMAL SANCTUARY","Come tour a beautiful 400 acre farm bordering the C&O Canal and Potomac River, and meet friendly horses, cows, sheep, goats, chickens, and turkeys. Poplar Spring is an animal refuge dedicated to the protection of wildlife and the rescue of abused and abandoned farm animals. Hay rides and sale of refreshments, giant yard sale, t-shirts and crafts to benefit the non-profit sanctuary.","http://www.animalsanctuary.org","Y",,"10:00AM - 4:00PM",,,"Y","Y","Y",,,,"Y",,,"Y",,,,"301-428-8128","Teresa Cummings & Dave Hoerauf","15200 Mt. Nebo Rd
Poolesville 20837
(39.101604, -77.446892)","15200 Mt. Nebo Rd
Poolesville,  20837
(39.102478, -77.447263)"
"ROCK HILL ORCHARD","Peaches and ice cream? Visit our farm to pick-your-own peaches then walk to the dairy and watch our cows being milked with our robotic milker. We also have cut-your-own bouquets, pick-your-own vegetables and blackberries. Hayrides are free through the farm & orchard. Meet our beekeeper with his educational observation beehive while you're enjoying a delicious dish of our own homemade ice cream topped with our own juicy tree-ripened peaches. Fruit and fresh vegetables, milk from our grass-fed Guernsey cows, honey, jams & jellies will be for sale at our farm market. This year& Farm Tour we will be open Saturday 10:00 am to 6:00 pm and Sunday 10:00 am to 5:00 pm. Come back in the fall for apples, pumpkins and our 9 acres corn maze.","http://www.rockhillorchard.com",,"Y","10:00AM - 6:00PM","10:00AM - 5:00PM","Y","Y",,,,"Y","Y","Y",,,"Y","Y","Y",,"301-831-7427","Fendrick Family","28600 Ridge Rd
Mount Airy 21771
(39.327516, -77.193095)","28600 Ridge Rd
Mount Airy,  21771
(39.327524, -77.193087)"
"HILTON’S FARM & GARDEN","Designated a Maryland Century Farm, the farm has been in our family since the 1700s and is located two miles from Clarksburg Town Center. Stop by and enjoy music, kid's activities, educational displays, 1930s farm equipment, our miniature Appaloosa Horse & Micro Mini white Donkey, fainting goats, pot belly pig, free range chickens and Momma Pigs with their baby piglets. Visit our farm market where more than 50+ varieties of seasonal fruits and vegetables, Maryland White Sweet Corn and herbs are available during May-November, recycled material bird houses and feeders, USDA inspected grass fed beef and pork (individual cuts available) and fresh brouwn eggs. This years Farm Tour we will be open Saturday and Sunday from 10:00 am to 4:00 pm. Breakfast & lunch available $. Come back in October for our Annual Farm Farm Friendzy! for pick your own pumpkins and family friendly activities. Follow and 'Like' us on Facebook for the latest updates.","http://www.facebook.com/HiltonsFarmandGarden",,"Y","10:00AM - 4:00PM","10:00AM - 4:00PM",,"Y",,"Y",,"Y","Y",,,,"Y","Y",,,"301-704-2418","Bobby & Tarra Hilton","24801 Burnt Hill Road
Clarksburg 20871
(39.263185, -77.257481)","24801 Burnt Hill Road
Clarksburg,  20871
(39.263203, -77.257464)"
"LEWIS ORCHARDS","Family owned and operated since 1888. We specialize in peaches, sweet corn, cherries, apricots, plums, nectarines, apples, tomatoes, peppers, squash, okra, eggplant, cucumbers, pumpkins and many other summer and fall vegetables. Pick-your-own apples in the fall. We also have honey & jellies and many other things. We are open mid-June thru Thanksgiving - Daily -This year's Farm Tour we will be open Saturday and Sunday from 9:00 am to 7:00 pm.Come and see our beautiful view. www.LewisOrchardFarmMarket.com","http://www.LewisOrchardFarmMarket.com",,"Y","9:00AM - 7:00PM","9:00AM - 7:00PM","Y",,,,,"Y","Y",,,,,"Y","Y","Y","301-349-4101","Lewis Family","18901 Peach Tree Rd
Dickerson 20842
(39.166872, -77.38824)","18901 Peach Tree Rd
Dickerson,  20842
(39.166872, -77.38824)"
"BUTLER’S ORCHARD","A family farm providing good, green fun and local produce for over 65 years! Enjoy free hayrides, veggie races, view farm animals, giant slides, pedal tractors. Food $. Visit our Farm Market for free samples. Seasonal pick your own crops include strawberries, blueberries, flowers, potatoes, pumpkins and Christmas trees. Fresh seasonal produce, preserves, gifts, baked goods in our Market. 37th Annual Pumpkin Festival all October weekends. For Farm Tour we will have activities from 10:00 am to 4:00 pm.","http://www.ButlersOrchard.com.",,"Y","10:00AM - 4:00PM","10:00AM - 4:00PM","Y","Y","Y",,"Y","Y","Y","Y",,,,"Y","Y","Y","301-972-3299","Butler Family","22222 Davis Mill Rd
Germantown 20876
(39.2216, -77.222817)","22222 Davis Mill Rd
Germantown,  20876
(39.221602, -77.222819)"
"STAR GAZING FARM","A haven for abused, neglected, abandoned, and special needs farm animals. Come and visit with our very special and friendly residents who include: sheep, goats, horses, chickens, ducks, cows, llamas, dogs, cats, and rabbits! There will be educational demonstrations of shearing, spinning and wool crafting, humane and caring animal handling, and more. Lots of hands-on activities for children: face painting, crafting and games, as well as guided tours of the pastures with face-to-face meet-and-greets with the residents. Wool crafts, woven rugs, yarn, and other hand-made gift items. Light refreshments for sale. This year's Farm Tour we will be open Saturday and Sunday from 10:00 am to 4:00 pm.","http://www.stargazingfarm.org",,"Y","10:00AM - 4:00PM","10:00AM - 4:00PM","Y","Y","Y","Y",,,,,,,"Y",,,"Y","301-349-0802","Anne Shroeder","16760 Whites Store Rd
Boyds 20841
(39.184844, -77.348639)","16760 Whites Store Rd
Boyds,  20841
(39.184903, -77.348668)"
"MADISON FIELDS","Madison House Autism Foundation's 400+ acre farm, Madison Fields, offers farm activities and riding lessons for all. Learn how we integrate equine therapy for children and adults with autism or special needs with farm experiences for everyone. Breathtaking farm views, state-of-the-art riding arena (ADA accessible), horse boarding, recreational riding, family friendly. Come buy or pick your own berries and veggies, fresh eggs, catch and release fishing, and picnic areas. This year's Farm Tour we will be open Saturday and Sunday from 10:00 am to 4:00 pm. Check out Madision Fields on our Facebook page.",,,"Y","10:00AM - 4:00PM","10:00AM - 4:00PM",,,,,,"Y",,,,,,,,,"301-349-4007","James Baird, CEO/Farm Director","21355 Big Woods Rd. Dickerson, 20842","21355 Big Woods Rd
Dickerson,  20842
(39.209037, -77.416948)"
"R.B. SAVAGE & SONS FARM, LLC","A family-owned and operated farm in the Montgomery County Agricultural Reserve. Our on-farm-market offers produce from our garden, locally hand crafted items and USDA inspected, farm raised beef, pork and chicken. We also have hay and straw. Pumpkins, gourds and mums in the fall for your decorating needs. Open year-round, Wednesday to Friday 12:00 to 6:00 pm, Saturday & Sunday 10:00 am to 4:00 pm. We will be open from 10:00 am to 6:00 pm and providing burger, chips and a drink as a special for the Farm Tour. Find us on Facebook @R B Savage & Sons Farm, LLC.","https://www.facebook.com/RBSavageandSonsFarm/",,"Y","10:00AM - 6:00PM","10:00 am to 6:00 pm",,"Y","Y",,,"Y",,,,,,"Y",,,"301-370-7111","R.B. Savage & Family","23035 Mt. Ephraim Rd
Dickerson 20842
(39.234091, -77.4092)","23035 Mt. Ephraim Rd
Dickerson,  20842
(39.234004, -77.409286)"
"CAMP OLYMPIA","Come visit a Montgomery County landmark for our 59th Anniversary. CAMP OYMPIA has been serving children and adults through our year-round horseback riding center, year-round nursery/kindergarten and our exciting summer sports day camp. On Farm Tour Day you are invited to see a variety of demonstrations including riding, sports and swimming performed by staff and campers. Different demonstrations will be offered every half hour. Pony ridesthroughout the day $. This year's Farm Tour we will be open from 10:00 am to 3:00 pm.","http://www.camp-olympia.com","Y",,"10:00AM - 3:00PM",,,,,"Y",,,,,,,,,,,"301-926-9281",,"5511 Muncaster Mill Rd
Rockville 20855
(39.119653, -77.108716)","5511 Muncaster Mill Rd
Rockville,  20855
(39.119653, -77.108717)"
"ROCKLANDS FARM AND WINERY","Enjoy our scenic and historical farm property located in the Montgomery County Agricultural Reserve. Walk through our gardens, watch animals grazing the land, and take a tour of the farm and winery. Award-winning wine by the glass and tastings available. All wines are produced and bottled at Rocklands Farm! Grass-fed beef and lamb, pasture-raised chicken, free-range eggs, heritage breed pork for sale in our market. Delicious wood-fired pizzas available all day! Meet all the farmers and come join us for the tour! Organized tours at 12:00 pm and 3:00 pm both days. This year's Farm Tour we will be open Saturday and Sunday from 11:00 am to 6:00 pm.","http://www.RocklandsFarmMD.com",,"Y","11:00AM - 6:00PM","11:00AM - 6:00PM",,"Y",,"Y",,"Y",,,"Y",,,,,,"301-825-8075","Glenn Family","14525 Montevideo Rd
Poolesville 20837
(39.095124, -77.347947)","14525 Montevideo Rd
Poolesville,  20837
(39.095118, -77.347937)"
