"license_number","trade_name","business_name","phone","street_address","city","state","zip","status","date_issued","date_expired","geolocation"
"SH-09-0004","Engage Armament LLC","Engage Armament LLC","(301) 838-3151","101","Rockville","MD","20850","Renewed","2016-08-03T00:00:00.000","2017-07-30T00:00:00.000",
"16-SH-001073","Star Jewelry & Supplies","Star Jewelry Supplies","(301) 947-0838","Suite 216","Gaithersburg","MD","20879","New","2016-08-04T00:00:00.000","2017-07-30T00:00:00.000",
"SH-15-0050","Curavere","Esterman Estate Jewelers, LLC","(305) 546-9119","5425 Wisconsin Avenue, Office 6065","Chevy Chase","MD","20815","Renewed","2016-07-15T00:00:00.000","2017-07-30T00:00:00.000",
"SH-11-0020","LPT Designs","Akbar Fakhar","3017923108","205 Washington Blvd.","Laurel","MD","20707","Expired","2010-12-10T00:00:00.000","2011-07-30T00:00:00.000",
"SH-11-0027","JEWELRY CREATION","JEWELRY CREATION AT GAITHERSBURG LLC","(301) 948-3355","# D207","GAITHERSBURG","MD","20877","Renewed","2016-07-13T00:00:00.000","2017-07-30T00:00:00.000",
"16-SH-001078","Jared Vault, #3152","Sterling","(330) 665-6564","Suite 940","Clarksburg","MD","20871","New","2016-09-29T00:00:00.000","2017-07-30T00:00:00.000",
"SH-12-0005","Furman Estate Buyers","Furman Estate Buyers","(301) 881-0234","#270","Rockville","MD","20852","Renewed","2016-08-09T00:00:00.000","2017-07-30T00:00:00.000",
"SH-13-0008","Liljenquist & Beckstead","Liljenquist & Beckstead","3014697575","2142 Montgomery Mall","Bethesda","MD","20814","Expired","2012-08-23T00:00:00.000","2013-07-30T00:00:00.000",
"16-SH-001077","Kay Jewelers Outlet, #2978","Sterling Inc.","(330) 665-6564","Suite 800","Clarksburg","MD","20871","New","2016-09-29T00:00:00.000","2017-07-30T00:00:00.000",
"SH-15-0009","GAMESTOP, #5574","GAMESTOP, INC.","3015980863","13503 Conecticut Avenue","Silver Spring","MD","20906","Renewed","2016-08-10T00:00:00.000","2017-07-30T00:00:00.000",
"SH-12-0001","Midiya Jewelry Repair Shop","Midiya Jewelry Repair Shop","3019518895","7902 Georgetown Road","Bethesda","MD","20814","Renewed","2016-07-15T00:00:00.000","2017-07-30T00:00:00.000",
"SH-97-0001","Masica Diamonds","Masica, Inc.","(301) 255-0000","#100-4","Rockville","MD","20852","Renewed","2016-07-13T00:00:00.000","2017-07-30T00:00:00.000",
