"application_type","permit_number","work_type","added_date","issue_date","final_date","expired_date","status","building_area","description_of_work","street_number","pre_direction","street_name","street_suffix","post_direction","city","state","zip_code","latitude","longitude","general_location","geolocation"
"NON CONFORMING USE CERTIFICATE","387118","INSPAP","2022-04-14T10:04:21.000","2022-04-26T03:04:52.000",,,"Issued","0","TRUCK PARKING SPACE AND LANDSCAPE BUSINESS&nbsp; FOR OJEDA BROTHERS LANDSCAPING","17120",,"LONGDRAFT","RD",,"GAITHERSBURG","MD","20878","39.13706","-77.244154",,"POINT (-77.244154 39.13706)"
"NON CONFORMING USE CERTIFICATE","382565","INSPAP","2021-07-22T02:07:51.000","2021-10-15T02:10:34.000","2021-10-15T02:10:29.000",,"Finaled","0","NON-CONFIRMING USE - INDUSTRIAL USE FOR LANDSCAPING CONTRACTOR.- VEHICLE &amp; EQUIPMENT PARKING; BUSINESS AND CONTRACTORS STORAGE YARD, GENERAL OPERATIONS&nbsp; AND DISPATCH OF TRUCKS ; &nbsp;; DISTRIC 13 : TAX ACCOUNT NUMBERS: 01412447 ; 01412436;01412458;01412471; 01412482; 01412425;01412460","10513",,"WARFIELD","ST",,"KENSINGTON","MD","20895","39.029129","-77.079695","DISTRIC 13 : TAX ACCOUNT NUMBERS: 01412447 ; 01412436;01412458;01412471; 01412482; 01412425;01412460","POINT (-77.079695 39.029129)"
"NON CONFORMING USE CERTIFICATE","376939","INSPAP","2020-09-01T07:09:42.000","2020-09-01T09:09:24.000","2020-09-01T09:09:59.000",,"Finaled","0","Historic house with 3 dwelling units that existed prior to the 1928 Zoning Ordinance. There are 3, one bedroom dwelling units in the house.","5000",,"BREADY","RD",,"ROCKVILLE","MD","20853","39.150659","-77.099898",,"POINT (-77.099898 39.150659)"
"NON CONFORMING USE CERTIFICATE","376177","INSPAP","2020-07-22T04:07:00.000","2020-08-14T03:08:57.000","2020-08-14T03:08:41.000",,"Finaled","0","Nonconforming Veterinary Clinic","4201",,"NORBECK","RD",,"ROCKVILLE","MD","20853","39.107906","-77.083102",,"POINT (-77.083102 39.107906)"
"NON CONFORMING USE CERTIFICATE","371167","INSPAP","2019-09-06T09:09:39.000","2019-09-06T10:09:41.000","2019-09-06T10:09:45.000",,"Finaled","0","Parcel P877 and Parcel 873The Non-Conforming Use cannot expand or increase in size.","17512",,"BOWIE MILL","RD",,"ROCKVILLE","MD","20855","39.143757","-77.120068",,"POINT (-77.120068 39.143757)"
"NON CONFORMING USE CERTIFICATE","366695","INSPAP","2019-01-11T11:01:52.000","2019-05-16T01:05:33.000","2019-05-16T01:05:11.000",,"Finaled","0","TOURIST HOME. Has NEW ROOF , PORCH, WATERPROOFING SYSTMES ETC.","7063",,"CARROLL","AVE",,"TAKOMA PARK","MD","20912","38.975182","-77.009617",,"POINT (-77.009617 38.975182)"
"NON CONFORMING USE CERTIFICATE","365217","INSPAP","2018-09-21T10:09:51.000","2018-10-15T08:10:37.000",,,"Issued","0","NON-CONFIRMING USE TO ALLOW GRAVEL PARKING &nbsp;LOCATED AT THE REAR OF : 12940 TRAVILAH ROAD, POTOMAC, MC 20854 &nbsp;( PARCEL: P736 ; TAX ID: 00397846)","12940",,"TRAVILAH","RD",,"POTOMAC","MD","20854","39.067758","-77.263862","PARCEL P 736; TAX ID: 00397846","POINT (-77.263862 39.067758)"
"NON CONFORMING USE CERTIFICATE","200206",,"1999-09-05T03:09:23.000","2018-08-20T02:08:49.000","2018-08-20T02:08:38.000",,"Finaled","0","Noncomplying multi-family dwelling in the built as category; may be continued to use as a 2 dwelling unit1988 Approval Per Frank De Lange &amp; Susan Scala-Demby","3",,"VASSAR","CIR",,"GLEN ECHO","MD","20812","38.970886","-77.14319",,"POINT (-77.14319 38.970886)"
"NON CONFORMING USE CERTIFICATE","361871","INSPAP","2018-01-29T10:01:25.000","2018-01-29T11:01:13.000",,,"Issued","0","NON-CONFORMING USE: LANDSCAPE CONTRACTOR/FARM FOR: Parcel B&nbsp; BLK C. 32.0638 acres &nbsp;","16110",,"DRAYTON FARM","DR",,"SPENCERVILLE","MD","20868","39.120141","-76.979844",,"POINT (-76.979844 39.120141)"
"NON CONFORMING USE CERTIFICATE","360783","INSPAP","2017-11-09T10:11:50.000","2017-11-09T10:11:56.000",,,"Issued","0","NON-CONFIRMING USE : LANDSCAPE CONTRACTOR/ FARM FOR:&nbsp;&nbsp;

&nbsp;LOT 28 BLK.C 4.139 acres&nbsp;&amp;&nbsp;Parcel A BLK.C 8.384 acres","16110",,"DRAYTON FARM","DR",,"SPENCERVILLE","MD","20868","39.120141","-76.979844",,"POINT (-76.979844 39.120141)"
