"fall_term","student_type","student_status","gender","ethnicity","race","attending_germantown","attending_rockville","attending_takoma_park_ss","attend_day_or_evening","mc_program_description","age_group","hs_category","mcps_high_school","city_in_md","state","zip","county_in_md"
"2015","Continuing","Full-Time","Female","Not Hispanic","White","Yes","Yes","No","Day Only","Health Sciences (Pre-Clinical Studies)","25 - 29","Foreign Country",,"Bethesda","MD","20816","Montgomery"
"2015","Continuing","Part-Time","Male","Not Hispanic","White","No","Yes","No","Evening Only","Building Trades Technology (AA & AAS)","21 - 24","MCPS","Sherwood High School","Olney","MD","20832","Montgomery"
"2015","Continuing","Part-Time","Male","Not Hispanic","Black","No","Yes","No","Day & Evening","Computer Gaming & Simulation (AA - All Tracks)","20 or Younger","MCPS","Quince Orchard Sr High School","Gaithersburg","MD","20877","Montgomery"
"2015","New","Full-Time","Male","Not Hispanic","Asian","No","Yes","No","Day Only","Graphic Design (AA, AAS, & AFA - All Tracks)","20 or Younger","MCPS","Thomas Sprigg Wootton High Sch","North Potomac","MD","20878","Montgomery"
"2015","New","Full-Time","Female","Hispanic","White","No","Yes","No","Day & Evening","General Studies (AA - All Tracks)","20 or Younger","MCPS","Montgomery Blair High School","Silver Spring","MD","20906","Montgomery"
"2015","Continuing","Full-Time","Female","Hispanic","Hispanic","Yes","No","No","Day Only","General Studies (AA - All Tracks)","20 or Younger","MCPS","Clarksburg High School","Germantown","MD","20876","Montgomery"
"2015","Continuing","Full-Time","Female","Hispanic","Hispanic","Yes","No","No","Day Only","General Studies (AA - All Tracks)","20 or Younger","MCPS","Clarksburg High School","Germantown","MD","20876","Montgomery"
"2015","New","Full-Time","Male","Hispanic","Black","No","No","Yes","Day Only","Engineering Science (AA & AS - All Tracks)","20 or Younger","Mont.County Other",,"Silver Spring","MD","20903","Montgomery"
"2015","Continuing","Part-Time","Female","Not Hispanic","Black","No","No","Yes","Day Only","Education / Teacher Education (AA & AAT)","21 - 24","Foreign Country",,"Silver Spring","MD","20901","Montgomery"
"2015","Continuing","Part-Time","Male","Not Hispanic","White","No","Yes","No","Day Only","Business / International Business (AA)","25 - 29","Other State",,"Rockville","MD","20851","Montgomery"
