"vacancynumber","department","jobtitle","numberofopenings","startdate","enddate","employmentcategory","recruitmenttype","professionalarea"
"IRC55282","Department of Correction and Rehabilitation","Correctional Dietary Supervisor, Grade N22","1","2022-08-11T00:00:00.000",,"FULLTIME","Open Until Filled","Public Safety"
"IRC53142","Department of Police","Public Safety Emergency Communications Specialist - Grade 15","7","2022-01-31T00:00:00.000",,"FULLTIME","Closing Date","Public Safety"
"IRC54600","Department of Police","Police Officer","1","2022-06-13T00:00:00.000",,"FULLTIME","Open Until Filled","Public Safety"
"IRC53605","Department of Housing and Community Affairs","MLS Manager II, Division Chief of Community Development, Grade M2","1","2022-02-28T00:00:00.000",,"FULLTIME","Open Until Filled","Managerial Executive"
"IRC54213","Department of Health and Human Services","Nurse Manager (Public Health Services, Maternal Child Services), Grade 25","1","2022-05-11T00:00:00.000",,"FULLTIME","Closing Date","Health and Social Services"
"IRC46175","Department of Health and Human Services","Therapist I/II (Behavioral Health Services, Bilingual Spanish Proficiency Required), Grade 23/24","10","2020-10-14T00:00:00.000",,"EITHER","Closing Date","Health and Social Services"
"IRC55222","Department of Correction and Rehabilitation","Correctional Officer, Grade C3","10","2022-08-10T00:00:00.000","2022-08-31T00:00:00.000","FULLTIME","Closing Date","Public Safety"
"IRC49782","Department of Permitting Services","Senior Permitting Services Specialist (Building and Construction), Grade 26","2","2021-07-28T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC55014","Department of Technology and Enterprise Business Solutions","Lead ServiceNow Developer, Grade 34","1","2022-07-15T00:00:00.000",,"FULLTIME","Open Until Filled","Information Technology"
"IRC53821","Department of Transportation, Division of Transportation Engineering, Transportation Design Section","Engineer I/II/III, Grade 19/22/25","2","2022-03-22T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC49343","Department of Housing and Community Affairs","Housing Code Inspector III, Grade 23","8","2021-06-23T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC53399","Department of Correction and Rehabilitation","Correctional Dietary Officer, Grade 17","1","2022-02-14T00:00:00.000",,"FULLTIME","Open Until Filled","Public Safety"
"IRC54660","Sheriff's Office","Deputy Sheriff Candidate","3","2022-07-02T00:00:00.000","2022-12-21T00:00:00.000","FULLTIME","Closing Date","Public Safety"
"IRC53812","Department of Finance","Accountant/Auditor, Lead/Senior (Financial Analysis, Audit & Compliance Analyst), Grade N25","1","2022-03-17T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC46913","Department of Health and Human Services","Therapist II (Behavioral Health and Crisis Services, 24 Hour Crisis Center), Grade 24","5","2020-12-10T00:00:00.000",,"EITHER","Open Until Filled","Health and Social Services"
"IRC53812","Department of Finance","Accountant/Auditor, Lead/Senior (Financial Analysis, Audit & Compliance Analyst), Grade N25","1","2022-03-17T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC54213","Department of Health and Human Services","Nurse Manager (Public Health Services, Maternal Child Services), Grade 25","1","2022-05-11T00:00:00.000",,"FULLTIME","Closing Date","Health and Social Services"
"IRC55061","Department of Correction and Rehabilitation","Nurse Practitioner, Grade 26","1","2022-07-21T00:00:00.000",,"FULLTIME","Open Until Filled","Health and Social Services"
"IRC54017","Office of Management and Budget","Fiscal and Policy Analyst III, Grade N28","8","2022-04-14T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC55200","Department of Finance","Manager II (Administrative Chief), Grade M2","1","2022-08-11T00:00:00.000","2022-09-12T00:00:00.000","FULLTIME","Closing Date","Montgomery County Government Employees Only"
"IRC55242","Office of Human Resources","Compensation Analyst, (Compensation Structures); Grade 27","1","2022-08-09T00:00:00.000","2022-08-30T00:00:00.000","FULLTIME","Closing Date","General Professional"
"IRC54360","Department of Correction and Rehabilitation","Manager II (Division Chief, Medical and Behavioral Health Services), Grade M2","1","2022-05-25T00:00:00.000",,"FULLTIME","Open Until Filled","Managerial Executive"
"IRC54017","Office of Management and Budget","Fiscal and Policy Analyst III, Grade N28","8","2022-04-14T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC51106","Board of Elections","Election Aide II, Grade 10","85","2021-09-30T00:00:00.000","2022-12-30T00:00:00.000","EITHER","Open Until Filled","Temporary/Seasonal/Substitute"
"IRC54386","Department of Public Libraries","Library Page, Grade S2","25","2022-05-26T00:00:00.000","2022-11-28T00:00:00.000","PARTTIME","Open Continuous","Temporary/Seasonal/Substitute"
"IRC54541","Department of Finance","Fiscal and Policy Analyst III (Debt Management), Grade N28","1","2022-06-15T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC54541","Department of Finance","Fiscal and Policy Analyst III (Debt Management), Grade N28","1","2022-06-15T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC54420","Department of Fire and Rescue Services","FRS Master Firefighter/Rescuer, Grade F4","1","2022-07-15T00:00:00.000","2022-09-17T00:00:00.000","FULLTIME","Intra-Departmental Recruitment","Montgomery County Government Employees Only"
"IRC54445","Department of Health and Human Services","School Health Room Technician I (Part-time merit and Temporary Part-time Substitutes), Grade 15","1","2022-06-01T00:00:00.000","2022-09-01T00:00:00.000","PARTTIME","Closing Date","Health and Social Services"
"IRC53384","Department of General Services","Mechanic Technician I/Apprentice, Grade 16/12","8","2022-02-07T00:00:00.000",,"FULLTIME","Open Until Filled","Trades and Labor"
"IRC53004","Department of Health and Human Services","Community Health Nurse II (Public Health Services, School Health Services), Grade 24","1","2022-01-12T00:00:00.000",,"EITHER","Open Until Filled","Health and Social Services"
"IRC54241","ABS 85 Liquor and Wine Delivery Operations","Truckdriver/Warehouse Worker; (Delivery Driver); Grade 15","4","2022-06-01T00:00:00.000",,"FULLTIME","Open Until Filled","Trades and Labor"
"IRC54206","Community Engagement Cluster/Office of Community Partnerships","Community Outreach Manager (Language Access Manager); Grade 28","1","2022-08-19T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC54680","Department of Health and Human Services","Supervisory Therapist (Behavioral Health and Crisis Services, Access to Behavioral Health Services), Grade 26","1","2022-06-15T00:00:00.000",,"FULLTIME","Closing Date","Health and Social Services"
"IRC53813","Board of Elections","Program Manager I, (Operations Division Chief), Grade 23","1","2022-03-28T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC54206","Community Engagement Cluster/Office of Community Partnerships","Community Outreach Manager (Language Access Manager); Grade 28","1","2022-08-19T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC54741","Department of Technology Enterprise & Business Solutions/OBP FiberNet Engineering and Operations","FiberNet Infrastructure Manager, M3","1","2022-08-17T00:00:00.000","2022-08-31T00:00:00.000","FULLTIME","Closing Date","Managerial Executive"
"IRC55100","Department of Housing and Community Affairs","Program Manager I, Grade 23","1","2022-07-25T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC53762","Department of Finance","Accountant/Auditor Supervisor (General Accounting Supervisor), Grade N26","2","2022-03-11T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC55345","Department of Recreation","Recreation Assistant III (Grade S3)","50","2022-08-18T00:00:00.000","2022-11-30T00:00:00.000","PARTTIME","Closing Date","Temporary/Seasonal/Substitute"
"IRC52362","Department of Health and Human Services","Social Worker III (Adult Protective Services), Grade 24","2","2021-12-08T00:00:00.000",,"FULLTIME","Open Until Filled","Health and Social Services"
"IRC55344","Department of Recreation","Recreation Assistant II (Grade S2)","50","2022-08-18T00:00:00.000","2022-11-30T00:00:00.000","PARTTIME","Closing Date","Temporary/Seasonal/Substitute"
"IRC55325","POL 47 MSB Communications Division","Public Safety Communications Supervisor/Manager","1","2022-08-18T00:00:00.000","2022-09-01T00:00:00.000","FULLTIME","Intra-Departmental Recruitment","Montgomery County Government Employees Only"
"IRC55322","Department of Health and Human Services","Program Manager I (Services to End and Prevent Homelessness, Data and Research), Grade N23","2","2022-08-18T00:00:00.000","2022-09-14T00:00:00.000","FULLTIME","Closing Date","Health and Social Services"
"IRC55062","Department of Housing and Community Affairs","Information Technology Supervisor, Grade N30","1","2022-07-21T00:00:00.000",,"FULLTIME","Open Until Filled","Information Technology"
"IRC54900","Department of Fire and Rescue Services","FRS Lieutenant  Grade B1","1","2022-07-15T00:00:00.000","2022-09-17T00:00:00.000","FULLTIME","Intra-Departmental Recruitment","Montgomery County Government Employees Only"
"IRC53423","Office of Labor Relations","Deputy Chief Labor Relations Officer; MII","1","2022-02-14T00:00:00.000",,"FULLTIME","Open Until Filled","Managerial Executive"
"IRC46175","Department of Health and Human Services","Therapist I/II (Behavioral Health Services, Bilingual Spanish Proficiency Required), Grade 23/24","10","2020-10-14T00:00:00.000",,"EITHER","Closing Date","Health and Social Services"
"IRC54824","Alcohol Beverage Services","Accountant/Auditor Supervisor; Grade 26","1","2022-06-27T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC55342","Department of Housing and Community Affairs","Manager III, Code Enforcement Manager, Grade M3","1","2022-08-17T00:00:00.000",,"FULLTIME","Open Until Filled","Managerial Executive"
"IRC55343","Department of Recreation","Recreation Assistant I (Grade S1)","50","2022-08-18T00:00:00.000","2022-11-30T00:00:00.000","PARTTIME","Closing Date","Temporary/Seasonal/Substitute"
"IRC53960","Department of Technology & Enterprise Business Solutions/Office of Change Management","Change Management Specialist, Grade 27","2","2022-04-08T00:00:00.000",,"FULLTIME","Open Until Filled","Information Technology"
"IRC45993","Department of Health and Human Services","Social Worker I/II (Child Welfare Services) Grade 21/23","10","2020-10-01T00:00:00.000",,"EITHER","Open Until Filled","Health and Social Services"
"IRC54118","Department of Health and Human Services","Program Manager II (Aging and Disability Services, Area Agency on Aging, Family Caregiver Program), Grade 25","1","2022-08-02T00:00:00.000","2022-09-06T00:00:00.000","FULLTIME","Closing Date","General Professional"
"IRC45993","Department of Health and Human Services","Social Worker I/II (Child Welfare Services) Grade 21/23","10","2020-10-01T00:00:00.000",,"EITHER","Open Until Filled","Health and Social Services"
"IRC54118","Department of Health and Human Services","Program Manager II (Aging and Disability Services, Area Agency on Aging, Family Caregiver Program), Grade 25","1","2022-08-02T00:00:00.000","2022-09-06T00:00:00.000","FULLTIME","Closing Date","General Professional"
"IRC54983","Department of Health and Human Services","Social Worker III (Public Health Services, Mobile Health Clinic), Grade 24","1","2022-07-08T00:00:00.000","2022-09-08T00:00:00.000","FULLTIME","Closing Date","Health and Social Services"
