Facility Owner,Site,Address,City,State,Zip,Location,Zip Codes,Municipalities,Communities,Councils
MNCPPC,Aberdeen Local Park,12231 Triple Crown RD,N. Potomac,MD,20878,"12231 Triple Crown RD
N. Potomac, MD 20878
(39.098854, -77.257063)",33,1,24,2
Montgomery County Public Schools,Arcola ES,1820 Franwall Ave,Silver Spring,MD,20902,"1820 Franwall Ave
Silver Spring, MD 20902
(39.046067, -77.039516)",17,1,16,4
MNCPPC,Arcola LP/ES,11501 Channing DR,Wheaton,MD,20902,"11501 Channing DR
Wheaton, MD 20902
(39.043998, -77.040551)",17,1,16,4
MNCPPC,Argyle Local Park,1030 Forest Glen RD,Silver Spring,MD,20901,"1030 Forest Glen RD
Silver Spring, MD 20901
(39.018034, -77.026421)",21,1,17,5
Montgomery County Public Schools,Argyle MS,2400 Bel Pre Road,Silver Spring,MD,20906,"2400 Bel Pre Road
Silver Spring, MD 20906
(39.090457, -77.049724)",6,1,59,4
MNCPPC,Arora Hills Local Park,22344 Arora Hills DR,Clarksburg,MD,20871,"22344 Arora Hills DR
Clarksburg, MD 20871",,,,
Montgomery County Public Schools,Ashburton ES,6314 Lone Oak Drive,Bethesda,MD,20817,"6314 Lone Oak Drive
Bethesda, MD 20817
(39.020113, -77.127556)",103,1,12,1
Libraries,Aspen Hill Community Library,4407 Aspen Hill RD,Rockville,MD,20853,"4407 Aspen Hill RD
Rockville, MD 20853
(39.079163, -77.087308)",58,1,61,3
MNCPPC,Aspen Hill Local Park,5013 Baltic AVE,Aspen Hill,MD,20853,"5013 Baltic AVE
Aspen Hill, MD 20853
(39.071185, -77.103838)",58,1,61,3
MNCPPC,Avenel Local Park,10551 Oaklyn DR,Potomac,MD,20854,"10551 Oaklyn DR
Potomac, MD 20854
(39.006919, -77.21785)",53,1,20,1
MNCPPC,Ayrlawn Local Park,5652 Oakmont AVE,Bethesda,MD,20817,"5652 Oakmont AVE
Bethesda, MD 20817
(39.004333, -77.115154)",103,1,12,1
Montgomery County Public Schools,"Baker, John T. MS",25400 Oak Drive,Damascus,MD,20872,"25400 Oak Drive
Damascus, MD 20872
(39.273333, -77.218271)",42,1,51,2
Montgomery County Public Schools,"Banneker, Benjamin MS",14800 Perrywood Drive,Burtonsville,MD,20866,"14800 Perrywood Drive
Burtonsville, MD 20866
(39.097395, -76.947963)",47,1,53,5
Montgomery County Public Schools,Bannockburn ES,6520 Dalroy Lane,Bethesda,MD,20817,"6520 Dalroy Lane
Bethesda, MD 20817
(38.97458, -77.137169)",103,1,12,1
Montgomery County Public Schools,"Barnsley, Lucy V. ES",14516 Nadine Drive,Rockville,MD,20853,"14516 Nadine Drive
Rockville, MD 20853
(39.094576, -77.102842)",58,1,61,3
MNCPPC,Bauer Drive Local Park,14625 Bauer DR,Aspen Hill,MD,20853,"14625 Bauer DR
Aspen Hill, MD 20853
(39.095324, -77.109491)",58,1,61,3
Montgomery County Public Schools,Beall ES,451 Beall Avenue,Rockville,MD,20850,"451 Beall Avenue
Rockville, MD 20850
(39.08722, -77.161572)",71,12,25,3
Montgomery County Public Schools,Bells Mill ES,8225 Bells Mill Road,Rockville,MD,20854,"8225 Bells Mill Road
Rockville, MD 20854
(39.03128, -77.168772)",53,1,20,1
Montgomery County Public Schools,Belmont ES,19528 Olney Mill Road,Olney,MD,20832,"19528 Olney Mill Road
Olney, MD 20832
(39.177863, -77.066666)",100,1,58,4
Montgomery County Public Schools,Bel Pre ES @ North Lake Center,15101 Bauer Dr.,Rockville,MD,20853,"15101 Bauer Dr.
Rockville, MD 20853
(39.10328, -77.104608)",58,1,61,3
Montgomery County Public Schools,Bethesda-Chevy Chase HS,4301 East-West Highway,Bethesda,MD,20814,"4301 East-West Highway
Bethesda, MD 20814
(38.985326, -77.089222)",111,1,12,1
Montgomery County Public Schools,Bethesda ES,7600 Arlington Road,Bethesda,MD,20814,"7600 Arlington Road
Bethesda, MD 20814
(38.986176, -77.098716)",111,1,12,1
Libraries,Bethesda Regional Library,7400 Arlington Road,Bethesda,MD,20814,"7400 Arlington Road
Bethesda, MD 20814
(38.983745, -77.098579)",111,1,12,1
Montgomery County Public Schools,Beverly Farms ES,8501 Post Oak Road,Rockville,MD,20854,"8501 Post Oak Road
Rockville, MD 20854
(39.052344, -77.174688)",53,1,20,1
MNCPPC,Beverly Farms LP/ES,8505 Postoak RD,Potomac,MD,20854,"8505 Postoak RD
Potomac, MD 20854
(39.05208, -77.175264)",53,1,20,1
MNCPPC,Big Pines Local Park,13900 Travilah RD,Travilah,MD,20878,"13900 Travilah RD
Travilah, MD 20878",,,,
Montgomery County Public Schools,"Blair, Montgomery HS",51 University Blvd. E.,Silver Spring,MD,20901,"51 University Blvd. E.
Silver Spring, MD 20901
(39.019175, -77.011951)",21,1,13,5
Montgomery County Public Schools,"Blake, James HS",300 Norwood Road,Silver Spring,MD,20905,"300 Norwood Road
Silver Spring, MD 20905
(39.115713, -77.017181)",8,1,26,4
MNCPPC,Blueberry Hill Local Park,16617 Bethayres RD,Gaithersburg,MD,20855,"16617 Bethayres RD
Gaithersburg, MD 20855
(39.131112, -77.157843)",51,1,36,3
MNCPPC,Bowie Mill Local Park,17311 Bowie Mill RD,Derwood,MD,20855,"17311 Bowie Mill RD
Derwood, MD 20855
(39.140134, -77.119504)",51,1,55,4
Montgomery County Public Schools,Bradley Hills ES,8701 Hartsdale Avenue,Bethesda,MD,20817,"8701 Hartsdale Avenue
Bethesda, MD 20817
(38.999129, -77.118386)",103,1,12,1
MNCPPC,Bradley LP (Bradley Hills ES),8703 Hartsdale AVE,Bethesda,MD,20817,"8703 Hartsdale AVE
Bethesda, MD 20817
(38.998689, -77.117919)",103,1,12,1
Montgomery County Public Schools,Briggs Chaney MS,1901 Rainbow Drive,Silver Spring,MD,20904,"1901 Rainbow Drive
Silver Spring, MD 20904
(39.110862, -76.972352)",8,1,29,5
Montgomery County Public Schools,Broad Acres ES,710 Beacon Road,Silver Spring,MD,20903,"710 Beacon Road
Silver Spring, MD 20903
(39.008937, -76.984067)",15,1,9,5
MNCPPC,Broadacres LP (Broad Acres ES),710 Beacon RD,Silver Spring,MD,20903,"710 Beacon RD
Silver Spring, MD 20903
(39.008937, -76.984067)",15,1,9,5
Montgomery County Public Schools,Brooke Grove ES,2700 Spartan Road,Olney,MD,20832,"2700 Spartan Road
Olney, MD 20832
(39.157561, -77.051491)",100,1,58,4
Montgomery County Public Schools,Brookhaven ES,4610 Renn Street,Rockville,MD,20853,"4610 Renn Street
Rockville, MD 20853
(39.083212, -77.092408)",58,1,61,3
Montgomery County,Broome MS,751 Twinbrook Pkwy.,Rockville,MD,20853,"751 Twinbrook Pkwy.
Rockville, MD 20853
(39.08179, -77.114307)",68,12,25,3
Montgomery County Public Schools,Brown Station ES,851 Quince Orchard Boulevard,Gaithersburg,MD,20878,"851 Quince Orchard Boulevard
Gaithersburg, MD 20878
(39.13776, -77.230401)",33,21,36,3
MNCPPC,Buck Branch Nghbrhd Park,8704 Bells Mill RD,Potomac,MD,20854,"8704 Bells Mill RD
Potomac, MD 20854
(39.032143, -77.179118)",53,1,20,1
MNCPPC,Bullis Local Park,8501 Houston ST,Silver Spring,MD,20910,"8501 Houston ST
Silver Spring, MD 20910
(38.995228, -77.020178)",3065,1,7,5
Montgomery County Public Schools,Burning Tree ES,7900 Beach Tree Road,Bethesda,MD,20817,"7900 Beach Tree Road
Bethesda, MD 20817
(38.989399, -77.14208)",103,1,12,1
MNCPPC,Burning Tree LP/ES,7904 Beechtree RD,Bethesda,MD,20817,"7904 Beechtree RD
Bethesda, MD 20817
(38.989507, -77.142022)",103,1,12,1
Montgomery County Public Schools,Burnt Mills ES,11211 Childs Street,Silver Spring,MD,20901,"11211 Childs Street
Silver Spring, MD 20901
(39.039309, -77.002562)",21,1,18,5
Montgomery County Public Schools,Burtonsville ES,15516 Old Columbia Pike,Burtonsville,MD,20866,"15516 Old Columbia Pike
Burtonsville, MD 20866
(39.109871, -76.934674)",47,1,30,5
MNCPPC,Burtonsville Local Park,15700 Oursler RD,Burtonsville,MD,20866,"15700 Oursler RD
Burtonsville, MD 20866
(39.114245, -76.954454)",47,1,30,5
MNCPPC,Cabin John Local Park,7401 MacArthur BLVD,Cabin John,MD,20818,"7401 MacArthur BLVD
Cabin John, MD 20818
(38.972734, -77.151235)",102,1,3,1
Montgomery County Public Schools,Cabin John MS,10701 Gainsborough Road,Potomac,MD,20854,"10701 Gainsborough Road
Potomac, MD 20854
(39.03049, -77.172753)",53,1,20,1
MNCPPC,Calverton-Galway LP (Galway ES),3039 Fairland RD,Silver Spring,MD,20904,"3039 Fairland RD
Silver Spring, MD 20904
(39.066747, -76.94702)",12,1,53,5
Montgomery County Public Schools,Candlewood ES @ Emory Grove Center,18100 Washington Grove Lane,Gaithersburg,MD,20902,"18100 Washington Grove Lane
Gaithersburg, MD 20902
(39.152385, -77.164791)",35,1,36,4
Montgomery County Public Schools,Cannon Road ES,901 Cannon Road,Silver Spring,MD,20904,"901 Cannon Road
Silver Spring, MD 20904
(39.069581, -76.994031)",12,1,26,5
MNCPPC,Cannon Road LP (Cannon Road ES),921 Cannon RD,Colesville,MD,20904,"921 Cannon RD
Colesville, MD 20904
(39.069496, -76.99312)",12,1,26,5
MNCPPC,Capital View LP (Oakland Terr ES),2929 Edgewood RD,Kensington,MD,20895,"2929 Edgewood RD
Kensington, MD 20895
(39.026159, -77.060418)",25,1,15,5
Montgomery County Public Schools,Carderock Springs ES,7401 Persimmon Tree Lane,Bethesda,MD,20817,"7401 Persimmon Tree Lane
Bethesda, MD 20817
(38.982359, -77.173102)",103,1,12,1
Montgomery County Public Schools,"Carson, Rachel ES",100 Tschiffely Square Road,Gaithersburg,MD,20878,"100 Tschiffely Square Road
Gaithersburg, MD 20878
(39.116398, -77.2461)",33,21,36,3
Montgomery County Public Schools,Cashell ES,17101 Cashell Road,Rockville,MD,20853,"17101 Cashell Road
Rockville, MD 20853",,,,
MNCPPC,Cedar Creek Local Park,13513 Richter Farm RD,Germantown,MD,20874,"13513 Richter Farm RD
Germantown, MD 20874
(39.148551, -77.278938)",39,1,39,2
Montgomery County Public Schools,Cedar Grove ES,24001 Ridge Road,Germantown,MD,20876,"24001 Ridge Road
Germantown, MD 20876
(39.248823, -77.233905)",42,1,44,2
MNCPPC,Centerway Local Park,9551 Centerway RD,Gaithersburg,MD,20879,"9551 Centerway RD
Gaithersburg, MD 20879
(39.170663, -77.196783)",28,1,38,2
MNCPPC,Cherrywood Local Park,4100 Cherry Valley DR,Olney,MD,20832,"4100 Cherry Valley DR
Olney, MD 20832
(39.137409, -77.079546)",100,1,58,4
Libraries,Chevy Chase Community Library,8005 Connecticut AVE,Chevy Chase,MD,20815,"8005 Connecticut AVE
Chevy Chase, MD 20815
(38.991122, -77.077082)",110,1,5,1
Montgomery County Public Schools,Chevy Chase ES,4015 Rosemary Street,Chevy Chase,MD,20815,"4015 Rosemary Street
Chevy Chase, MD 20815
(38.97806, -77.080335)",110,20,5,1
MNCPPC,Chevy Chase Local Park,3315 Shepherd ST,Chevy Chase,MD,20815,"3315 Shepherd ST
Chevy Chase, MD 20815
(38.979546, -77.066305)",110,1,5,1
Montgomery County Public Schools,"Churchill, Winston HS",11300 Gainsborough Road,Potomac,MD,20854,"11300 Gainsborough Road
Potomac, MD 20854
(39.043008, -77.17248)",53,1,20,1
Montgomery County,Clarksburg Cottage,23201 Stringtown Road,Clarksburg,MD,20871,"23201 Stringtown Road
Clarksburg, MD 20871
(39.237766, -77.277374)",44,1,50,2
Montgomery County Public Schools,Clarksburg ES,13530 Redgrave Place,Clarksburg,MD,20871,"13530 Redgrave Place
Clarksburg, MD 20871
(39.236563, -77.282353)",44,1,50,2
Montgomery County Public Schools,Clarksburg HS,22500 Wims Road,Clarksburg,MD,20871,"22500 Wims Road
Clarksburg, MD 20871
(39.226275, -77.264144)",44,1,50,2
Montgomery County Public Schools,Clearspring ES,9930 Moyer Road,Damascus,MD,20872,"9930 Moyer Road
Damascus, MD 20872
(39.266764, -77.207203)",42,1,51,2
MNCPPC,Clear Spring Local Park,20301 Brandermill DR,Germantown,MD,20876,"20301 Brandermill DR
Germantown, MD 20876
(39.190227, -77.23234)",36,1,39,2
