Building Name,Program Name,Phone Number,Days of Operation,Hours of Operation,Street Number,Street Name,Zip,Link,New Georeferenced Column,Council Districts_from_i23j_3mj8,Council Districts,Councils,Communities,Zip Codes,Municipalities,Service Regions
Community Based Services,Mental Health Services for Seniors,240-777-1770,Monday - Friday,8:30 AM - 5:00 PM,,,,http://www.montgomerycountymd.gov/hhs/,,,,,,,,
Delivered Statewide,LOCATE: Child Care,877-261-0060,Monday - Friday,8:30 AM - 5:00 PM,,,,http://www.montgomerycountymd.gov/hhs/,"608 Water Street
Baltimore, MD
(39.288682, -76.607757)",,,,,2090,,
MidCounty DHHS Building,Rental Assistance Program,240-777-4400,Monday - Friday,8:30 AM - 5:00 PM,1301,Piccard Drive,20850,http://www.montgomerycountymd.gov/hhs/,"1301 Piccard Drive
Rockville, MD 20850
(39.102672, -77.177593)",3,3,3,25,71,12,3
DHHS Offices at 1401 Rockville Pike,ChildLink,240-777-4769,Monday - Friday,8:00 AM - 4:30 PM,1401,Rockville Pike,20852,http://www.montgomerycountymd.gov/hhs/,"1401 Rockville Pike
Rockville, MD 20852
(39.067396, -77.128766)",3,3,3,25,60,12,3
DHHS Colesville Center,African American Health Program,240-777-1833,Monday - Friday,9:00 AM - 5:30 PM,14015,New Hampshire Avenue,20904,http://www.montgomerycountymd.gov/hhs/,"14015 New Hampshire Avenue
Silver Spring, MD 20904
(39.086489, -76.999331)",5,5,5,26,12,1,2
MidCounty DHHS Building,Emergency Eviction Prevention,240-777-0311,Monday - Friday,8:30 AM - 5:00 PM,1301,Piccard Drive,20850,http://www.montgomerycountymd.gov/hhs/,"1301 Piccard Drive
Rockville, MD 20850
(39.102672, -77.177593)",3,3,3,25,71,12,3
UpCounty Regional Services Center,Dental Services,240-777-1875,Monday - Friday,7:45 AM - 5:00 PM,12900,Middlebrook Road,20874,http://www.montgomerycountymd.gov/hhs/,"12900 Middlebrook Road
Germantown, MD 20874
(39.179332, -77.267914)",2,2,2,39,39,1,5
DHHS Administrative Offices,Senior Assisted Living Group Home Subsidy,240-777-3000,Monday - Friday,8:30 AM - 5:00 PM,401,Hungerford Drive,20850,http://www.montgomerycountymd.gov/hhs/,"401 Hungerford Drive
Rockville, MD 20850
(39.08858, -77.150924)",3,3,3,25,71,12,3
MidCounty DHHS Building,Mobile Crisis Team (Crisis Center),240-777-4000,Monday - Sunday,12:00 AM - 11:59 PM,1301,Piccard Drive,20850,http://www.montgomerycountymd.gov/hhs/,"1301 Piccard Drive
Rockville, MD 20850
(39.102672, -77.177593)",3,3,3,25,71,12,3
Based in schools,Linkages to Learning,240-777-1731,Monday - Friday,8:00 AM - 4:30 PM,1401,Rockville Pike,20852,http://www.montgomerycountymd.gov/hhs/,"1401 Rockville Pike
Rockville, MD 20852
(39.067396, -77.128766)",3,3,3,25,60,12,3
