Farm,Address,City,Zip,Description,Website,Time,Saturday Only,Saturday and Sunday,Handicap Parking,Food Refreshments,Artwork & Crafts,Animals,Christmas Trees,Fruits and Vegetables,Pick-Your-Own,Hayrides,Winery,Education Center,Pumpkins,Flowers,Buses and Groups,Contact Number,Contact,Location,Council Districts,Councils,Communities,Zip Codes,Municipalities
RED WIGGLER COMMUNITY FARM,23400 Ridge Rd,Germantown,20876,"Join us on the farm for tours, farm stand, music and games. Interpretive field walks, on thehour, will describe cutting edge organic farming practices, our unique CSA program and howwe create an inclusive environment for all on the farm. There will also be plenty ofopportunities to taste, smell and take in the beauty of the fields. There will be Red WigglerCertified Organic produce and local honey for sale. Bring a picnic and make a day of it!",http://www.redwiggler.org,10:00 am to 3:00 pm,Y,,,,,,,Y,,,,Y,,,,301-916-2216,Woody Woodroof,"23400 Ridge Rd
Germantown 20876
(39.2408111, -77.2371793)",2,2,50,44,1
LEWIS ORCHARDS,18901 Peach Tree Rd,Dickerson,20842,"Family owned and operated since 1888. We specialize in peaches, sweet corn, cherries,apricots, plums, nectarines, apples, tomatoes, peppers, squash, okra, eggplant, cucumbers,pumpkins and many other summer and fall vegetables. Pick-your-own apples in the fall. Wealso have honey & jellies and many other things. We are open mid-June thru Thanksgiving –Daily – This year’s Farm Tour we will be open Saturday and Sunday from 9:00 am to 7:00 pm.Come and see our beautiful view.",http://www.LewisOrchardFarmMarket.com,9:00 am to 7:00 pm,,Y,Y,,,,,Y,Y,,,,Y,Y,Y,301-349-4101,Lewis Family,"18901 Peach Tree Rd
Dickerson 20842
(39.166872, -77.38824)",2,2,48,74,1
CHOCOLATES AND TOMATOES FARM,18801 River Rd,Poolesville,20837,"Chocolate and Tomatoes Farm is a 4-acre, Certified Organic Farm specializing in uniquecrops ranging over 130 different varieties representing all seasons. Farmer Mark Mills is alsoa Chef and Chocolatier of 26 years and makes artisan chocolates featuring products from thefarm.",http://www.chocolatesandtomatoes.com,11:00am to 4:00 pm,Y,,,Y,,,,Y,,,,,,,,571-271-2686,Mark Mills,"18801 River Rd
Poolesville 20837
(39.084467, -77.393223)",1,1,34,97,1
EAST RIVENDELL FARM,26904 Clarksburg Rd,Damascus,20872,"Located in the Montgomery County Agricultural Reserve, our farm offers a wide variety offarm animals to see and interact with. We also grow fruits and vegetables that are non-GMOand chemical free. Come spend some time at the farm and visit our on-farm-market filled withlocal produce and products.",http://www.eastrivendellfarm.com,10:00 am to 6:00 pm.,Y,,,,,Y,,Y,,,,,,,,301-253-5080,Sharon Fraley,"26904 Clarksburg Rd
Damascus 20872
(39.298177, -77.258435)",2,2,51,42,1
HILTON’S FARM & GARDEN,24801 Burnt Hill Road,Clarksburg,20871,"Designated a Maryland Century Farm in the mid 1990’s, we are located two miles fromClarksburg Town Center. Stop by and enjoy music, kid’s activities, educational tours, ourminiature Appaloosa Horse & Micro Mini Donkey, fainting goats, pot belly pig and free rangechickens and ducks. Visit our farm market where more than 50+ varieties of seasonalvegetables and herbs are available during May-November, recycled material bird houses andfeeders, farm raised beef and pork and fresh eggs. This year’s Farm Tour we will be openSaturday and Sunday from 10:00 am to 4:00 pm. Breakfast & lunch available $. Follow and‘Like’ us on Facebook for the latest updates",http://www.facebook.com/HiltonsFarmandGarden,10:00 am to 4:00 pm,,Y,,,,,,,,,,,,,,301-704-2418,Bobby & Tarra Hilton,"24801 Burnt Hill Road
Clarksburg 20871
(39.263185, -77.257481)",2,2,50,44,1
STAR GAZING FARM,16760 Whites Store Rd,Boyds,20841,"A haven for abused and abandoned farm animals, Star Gazing Farm invites you to learn allabout the lives of the friendly residents: sheep, goats, horses, chickens, ducks, cows, llamas,and more! There will be demonstrations of shearing, wool processing, spinning, weaving andknitting. Lots of hands-on activities for children: face painting, crafting and games, as well asguided tours of the pastures with face-to-face meet-and-greets with the residents. Woolcrafts, woven rugs, yarn, crafts and refreshments for sale.",http://www.stargazingfarm.org,10:00 am to 5:00 pm.,,Y,Y,Y,Y,Y,,,,,,Y,,,Y,301-349-0802,Anne Shroeder,"16760 Whites Store Rd
Boyds 20841
(39.184844, -77.348639)",2,2,42,75,1
ROCKLANDS FARM AND WINERY,14525 Montevideo Rd,Poolesville,20837,"Enjoy our scenic and historical farm property located in the Montgomery County AgriculturalReserve. Walk through our gardens, watch animals grazing the land, and take a tour of thefarm and winery. Award-winning wine by the glass and tastings available. All wines areproduced and bottled at Rocklands Farm! Grass-fed beef and lamb, pasture-raised chicken,free-range eggs, heritage breed pork, and organic produce for sale in our market. Deliciouswood-fired pizzas available all day! Meet all the farmers and come join us for the tour!Organized tours at 12:00 pm and 3:00 pm both days. This year’s Farm Tour we will be openSaturday and Sunday from 11:00 am to 6:00 pm.",http://www.RocklandsFarmMD.com,11:00 am to 6:00 pm,,Y,,Y,,Y,,Y,,,Y,,,,,301-825-8075,Glenn Family,"14525 Montevideo Rd
Poolesville 20837
(39.095124, -77.347947)",1,1,34,97,1
POPLAR SPRING ANIMAL SANCTUARY,15200 Mt. Nebo Rd,Poolesville,20837,"Come tour a beautiful 400 acre farm bordering the C&O Canal and Potomac River, and meetfriendly horses, cows, sheep, goats, chickens, and turkeys. Poplar Spring is an animal refugededicated to the protection of wildlife and the rescue of abused and abandoned farm animals.Hay rides and sale of refreshments, giant yard sale, t-shirts and crafts to benefit thenon-profit sanctuary.",http://www.animalsanctuary.org,10:00 am to 4:00 pm.,Y,,,Y,Y,Y,,,,Y,,Y,,,,301-428-8128,Teresa Cummings & Dave Hoerauf,"15200 Mt. Nebo Rd
Poolesville 20837
(39.101604, -77.446892)",1,1,34,97,1
"R.B. SAVAGE & SONS FARM,",23035 Mt. Ephraim Rd,Dickerson,20842,"A family-owned and operated farm in the Montgomery County Agricultural Reserve. Ouron-farm-market offers produce from our garden, locally hand crafted items and USDAinspected, farm raised beef, pork and chicken. We also have hay and straw. Pumpkins,gourds and mums in the fall for your decorating needs. Open year-round, Wednesday toFriday 12:00 to 6:00 pm, Saturday & Sunday 10:00 am to 4:00 pm. We will be open from10:00 am to 6:00 pm on the days of the Farm Tour. We are also providing burger, chips and adrink as a special for the Farm Tour. Find us on Facebook @R B Savage & Sons Farm, LLC.",,10:00 am to 6:00 pm,,Y,,Y,Y,,,Y,,,,,Y,,,301-370-7111,R.B. Savage & Family,"23035 Mt. Ephraim Rd
Dickerson 20842
(39.234091, -77.4092)",2,2,48,74,1
KING BARN DAIRY MOOseum,"18028 Central Park Cir., S.",Boyds,20841,"New for 2016 the MOOseum Barn will be showing a video called “Growing Legacy – TheAgricultural Reserve in Montgomery County, Maryland”, created by the MontgomeryCountryside Alliance!! Our restored Model T Ford milk delivery truck has its own trailer nowand will be on-site more often in 2016. It joins the restored 1890’s milk wagon and model ofB&O Railroad in our Transportation Section. Other exhibits include interactive NutritionExhibit, life-size dairy breed models, milking equipment, dairy farm locations map, farmfamily histories, a model of the King farm home, as well as crafts, children’s room and TWOmilkable model cows! Macie’s Attic, our gift shop will offer “All Things MOO” for purchase.This year’s Farm Tour we will be open Saturday from 10:00 am to 3:00 pm.",http://www.mooseum.com,10:00 am to 3:00 pm,Y,,Y,,Y,,,,,,,Y,,,,301-254-6575,Peg Donnellon,"18028 Central Park Cir., S.
Boyds 20841
(39.152994, -77.306773)",2,2,42,75,1
