"report_number","local_case_number","agency_name","acrs_report_type","crash_date_time","hit_run","route_type","mile_point","mile_point_direction","lane_direction","lane_number","lane_type","number_of_lanes","direction","distance","distance_unit","road_grade","nontraffic","road_name","cross_street_type","cross_street_name","off_road_description","municipality","related_non_motorist","at_fault","collision_type","weather","surface_condition","light","traffic_control","driver_substance_abuse","non_motorist_substance_abuse","first_harmful_event","second_harmful_event","fixed_oject_struck","junction","intersection_type","intersection_area","road_alignment","road_condition","road_division","latitude","longitude","geolocation"
"MCP22690023","220037855","Montgomery County Police","Property Damage Crash","2022-09-01T11:07:00.000","No",,,,,"0",,"0",,,,,"Yes",,,,"PARKING LOT OF MVA 15 METROPOLITAN GROVE GAITHERSBURG MD",,,"DRIVER","OTHER","CLEAR",,"DAYLIGHT","N/A","N/A, NONE DETECTED",,"OTHER VEHICLE","PARKED VEHICLE","N/A",,,,,,,"39.12412391","-77.17994169","
,  
(39.12412391, -77.17994169)"
"MCP2592002D","220037841","Montgomery County Police","Property Damage Crash","2022-09-01T10:22:00.000","No","Maryland (State)","0.49","East","East","1",,"1","West","100","FEET","HILL CREST","No","MUNCASTER MILL RD","County","LAYTONIA DR",,"N/A",,"DRIVER","SAME DIR REAR END","CLEAR","DRY","DAYLIGHT","NO CONTROLS","NONE DETECTED",,"OTHER VEHICLE","N/A","N/A","NON INTERSECTION","N/A","N/A","CURVE RIGHT","NO DEFECTS","TWO-WAY, NOT DIVIDED","39.1581899","-77.1594161","
,  
(39.1581899, -77.1594161)"
"DD5655000P","220037778","Rockville Police Departme","Property Damage Crash","2022-08-31T20:27:00.000","No","Maryland (State)","8.13","North","North","0","MEDIAN AREA","3","North","0","FEET","GRADE DOWNHILL","No","ROCKVILLE PIKE","Municipality","TALBOTT ST",,"ROCKVILLE",,"DRIVER","SINGLE VEHICLE","CLEAR","DRY","DARK LIGHTS ON","WARNING SIGN","NONE DETECTED",,"FIXED OBJECT","N/A","OTHER","INTERSECTION","FOUR-WAY INTERSECTION","INTERSECTION","STRAIGHT","NO DEFECTS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER","39.09146118","-77.15301514","
,  
(39.09146118, -77.15301514)"
"MCP9318002C","220036931","Montgomery County Police","Property Damage Crash","2022-08-31T16:20:00.000","No","Maryland (State)","4.09","North","South","3",,"3","South","0","FEET","LEVEL","No","NEW HAMPSHIRE AVE","County","CHALMERS RD",,"N/A",,"DRIVER","ANGLE MEETS RIGHT TURN","N/A","DRY","DAYLIGHT","NO CONTROLS","NONE DETECTED",,"OTHER VEHICLE","N/A","N/A","N/A","OTHER","INTERSECTION","STRAIGHT","NO DEFECTS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER","39.045175","-76.990525","
,  
(39.045175, -76.990525)"
"MCP32330035","220037725","Montgomery County Police","Property Damage Crash","2022-08-31T16:00:00.000","No","County","0.96","East","East","1",,"1","East","0","FEET","LEVEL","No","E FRANKLIN AVE","County","MERWOOD LA",,"N/A",,"DRIVER","OTHER","CLEAR","DRY","DAYLIGHT","NO CONTROLS","NONE DETECTED",,"OTHER VEHICLE","N/A","N/A","NON INTERSECTION","N/A","N/A","STRAIGHT","NO DEFECTS","ONE-WAY TRAFFICWAY","39.01348767","-76.999883","
,  
(39.01348767, -76.999883)"
"DD5655000N","220037710","Rockville Police Departme","Property Damage Crash","2022-08-31T14:32:00.000","No","Maryland (State)","20.79","East","East","0","RIGHT TURN LANE","3","East","150","FEET","LEVEL","No","W MONTGOMERY AVE","Municipality","HURLEY AVE",,"ROCKVILLE",,"DRIVER","STRAIGHT MOVEMENT ANGLE","CLEAR","DRY","DAYLIGHT","NO CONTROLS","NONE DETECTED",,"OTHER VEHICLE","N/A","N/A","OTHER DRIVEWAY","N/A",,"STRAIGHT","NO DEFECTS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER","39.09146118","-77.15301514","
,  
(39.09146118, -77.15301514)"
"MCP29740048","220037532","Montgomery County Police","Property Damage Crash","2022-08-31T13:26:00.000","No","County","0","North","South","1",,"1","North","0","FEET","LEVEL","No","GATESHEAD MANOR WAY","County","BRIGGS CHANEY RD",,"N/A",,"DRIVER","SAME DIR REAR END","CLEAR","DRY","DAYLIGHT","TRAFFIC SIGNAL","NONE DETECTED",,"OTHER VEHICLE","N/A","N/A","INTERSECTION","FOUR-WAY INTERSECTION","N/A","STRAIGHT","NO DEFECTS","TWO-WAY, NOT DIVIDED","39.00591333","-77.00718","
,  
(39.00591333, -77.00718)"
"MCP3330000B","220037684","Montgomery County Police","Property Damage Crash","2022-08-31T11:38:00.000","No","Maryland (State)","12.62","North","South","3",,"6","North","0","FEET","LEVEL","No","FREDERICK RD","County","SHADY GROVE RD",,"N/A",,"DRIVER","SAME DIR BOTH LEFT TURN","CLEAR","DRY","DAYLIGHT","TRAFFIC SIGNAL","N/A",,"OTHER VEHICLE","N/A","N/A","INTERSECTION","FOUR-WAY INTERSECTION","INTERSECTION","STRAIGHT","NO DEFECTS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER","39.122335","-77.177452","
,  
(39.122335, -77.177452)"
"MCP9442002J","220037667","Montgomery County Police","Injury Crash","2022-08-31T10:15:00.000","No","Maryland (State)","3.79","North","South","2",,"3","North","0","FEET","LEVEL","No","MONTGOMERY VILLAGE AVE","Municipality","RUSSELL AVE",,"GAITHERSBURG",,"DRIVER","HEAD ON LEFT TURN","CLEAR","DRY","DAYLIGHT","TRAFFIC SIGNAL","N/A, NONE DETECTED",,"OTHER VEHICLE","N/A","N/A","INTERSECTION","FOUR-WAY INTERSECTION","INTERSECTION","STRAIGHT","NO DEFECTS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER","39.15520167","-77.20982667","
,  
(39.15520167, -77.20982667)"
"MCP2625001Q","220037659","Montgomery County Police","Property Damage Crash","2022-08-31T08:55:00.000","No","County","1.021","North","South","2",,"3","South","0","FEET","GRADE DOWNHILL","No","ROCKLEDGE DR","Unknown","SPUR FROM SB CO 4223 TO WB CO 166",,"N/A",,"DRIVER","OTHER","CLEAR","DRY","DAYLIGHT","NO CONTROLS","NONE DETECTED",,"OTHER VEHICLE","OTHER VEHICLE","N/A","N/A","N/A","N/A","STRAIGHT","NO DEFECTS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER","39.03025667","-77.12463","
,  
(39.03025667, -77.12463)"
