Branch,Webpage,Address,City,Zip,Phone,TTY Phone,Bus 4,Bus 5,Bus 6,Bus 7,Bus 9,Bus 12,Bus 14,Bus 15,Bus 16,Bus 17,Bus 19,Bus 20,Bus 23,Bus 26,Bus 29,Bus 33,Bus 34,Bus 36,Bus 45,Bus 47,Bus 48,Bus 53,Bus 55,Bus 56,Bus 58,Bus 59,Bus 76,Bus 90,Bus 97,Bus 98,Location,Council Districts,Councils,Communities,Zip Codes,Municipalities,Service Regions
Noyes,http://montgomerycountymd.gov/Library/branches/noyes.html,10237 Carroll Place,Kensington,20895,240-773-9570,,y,n,y,y,n,n,n,n,n,n,n,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n,"10237 Carroll Place
Kensington 20895
(39.024508, -77.073049)",1,1,15,25,6,4
Silver Spring,http://montgomerycountymd.gov/Library/branches/SilverSpring.html,900 Wayne Avenue,Silver Spring,20910,240-773-9420,,n,n,n,n,n,n,n,y,y,y,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,"900 Wayne Ave
(38.995311, -77.024591)",5,5,7,3065,1,1
Twinbrook,http://montgomerycountymd.gov/Library/branches/Twinbrook.html,202 Meadow Hall Drive,Rockville,20851,240-777-0240,,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,"202 Meadow Hall Drive
Rockville 20851
(39.074824, -77.113291)",3,3,25,68,12,3
Rockville,http://montgomerycountymd.gov/Library/branches/rockville.html,21 Maryland Avenue,Rockville,20850,240-777-0140,,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,"21 Maryland Avenue
Rockville 20850
(39.086578, -77.151051)",3,3,25,71,12,3
Wheaton,http://montgomerycountymd.gov/Library/branches/Wheaton.html,11701 Georgia Avenue,Wheaton,20902,240-777-0678,,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,"2400 Arcola Ave
Wheaton 20902
(39.047149, -77.050284)",4,4,16,17,1,4
Quince Orchard,http://montgomerycountymd.gov/Library/branches/QuinceOrchard.html,15831 Quince Orchard Road,Gaithersburg,20878,240-777-0200,,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,"15831 Quince Orchard Road
Gaithersburg 20878
(39.115805, -77.252898)",2,2,24,33,1,5
Aspen Hill,http://montgomerycountymd.gov/Library/branches/aspenhill.html,4407 Aspen Hill Road,Rockville,20853,240-773-9410,301-871-2097,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,"4407 Aspen Hill Rd
Rockville 20853
(39.079163, -77.087308)",3,3,61,58,1,4
Gaithersburg,http://montgomerycountymd.gov/Library/branches/gaithersburg.html,18330 Montgomery Village Avenue,Gaithersburg,20879,240-773-9490,,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,y,y,n,n,n,n,"18330 Montgomery Village Ave
Gaithersburg 20879
(39.157594, -77.205133)",2,2,38,28,1,5
Maggie Nightingale,http://montgomerycountymd.gov/Library/branches/poolesville.html,19633 Fisher Avenue,Poolseville,20837,240-773-9550,301-972-7825,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,"19633 Fisher Avenue
Poolseville 20837
(39.144381, -77.41053)",1,1,34,97,16,5
Potomac,http://montgomerycountymd.gov/Library/branches/Potomac.html,10101 Glenolden Drive,Potomac,20854,240-777-0690,301-765-4083,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,"10101 Glenolden Drive
Potomac 20854
(39.018886, -77.207624)",1,1,20,53,1,3
