"name","address1","address2","city","zip","inspectiondate","inspectionresults","violation1","violation2","violation3","violation4","violation5","violation6a","violation6b","violation7a","violation7b","violation8","violation9","violation20","violation22","nutritional_labeling","violationtransfat","violationsmoking","inspectiontype","organization","category","type","latitude","longitude"
"GLOBAL INTERNATIONAL GROCERY","10216 NEW HAMPSHIRE AVE.",,"SILVER SPRING","20903","2022-05-11T00:00:00.000","No Critical Violations Noted","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","Not applicable","In Compliance","In Compliance","Monitoring","FRANCIS ADDAI","Market","Food","39.0226","-76.9784"
"PALISADES SWIMMING POOL ASSN INC","6918 SEVEN LOCKS RD",,"CABIN JOHN","20818","2022-05-13T00:00:00.000","No Critical Violations Noted","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","Not applicable","In Compliance","In Compliance","Pre-Opening - Environmental","NEXKIM INC","Seasonal","Food","38.9791","-77.1629"
"AVENEL COMMUNITY ASSOCIATION","10001 OAKLYN DR.",,"POTOMAC","20854","2022-05-13T00:00:00.000","No Critical Violations Noted","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","Not applicable","In Compliance","In Compliance","Environmental","AVENEL COMMUNITY ASSOCIATION INC","Snack Bar","Food","38.9963","-77.1968"
"KENWOOD GOLF & COUNTRY CLUB","5601 RIVER RD.",,"BETHESDA","20816","2022-05-13T00:00:00.000","No Critical Violations Noted","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","Not applicable","In Compliance","In Compliance","Comprehensive","KENWOOD GOLF & COUNTRY CLUB, INC.","Restaurant","Food","38.9743","-77.1132"
"KENWOOD COUNTRY CLUB GOLF SNACK BAR","5601 RIVER RD.",,"BETHESDA","20816","2022-05-13T00:00:00.000","No Critical Violations Noted","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","Not applicable","In Compliance","In Compliance","Comprehensive","KENWOOD GOLF & COUNTRY CLUB","Snack Bar","Food","38.9743","-77.1132"
"POTOMAC WOODS SWIM CLUB","1520 DUNSTER RD",,"ROCKVILLE","20854","2021-06-30T00:00:00.000","Critical Violations Corrected","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","Out of Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","Not applicable","In Compliance","In Compliance","Comprehensive","POTOMAC WOODS SWIM CLUB  INC.","Snack Bar","Food","39.0635","-77.1753"
"PINE CREST ELEMENTARY","201 WOODMOOR DR.",,"SILVER SPRING","20901","2022-05-10T00:00:00.000","No Critical Violations Noted","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","Not applicable","In Compliance","In Compliance","Monitoring","MONTGOMERY COUNTY PUBLIC SCHOOLS","Public School- Elementary","Food","39.0209","-77.0051"
"THE THAI KITCHEN","7015 WISCONSIN AVE",,"CHEVY CHASE","20815","2021-08-04T00:00:00.000","Critical Violations Corrected","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","Out of Compliance","Out of Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","Out of Compliance","Not applicable","In Compliance","In Compliance","Comprehensive","THE THAI KITCHEN LLC","Restaurant","Food","38.9797","-77.0916"
"7-ELEVEN #32997","779 HUNGERFORD DR",,"ROCKVILLE","20850","2022-04-14T00:00:00.000","Critical Violations Corrected","In Compliance","Out of Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","Not applicable","In Compliance","In Compliance","Monitoring","TILAHUN FAMILY INC","Market","Food","39.0939","-77.1528"
"BARLOW BUILDING CAFE","5454 WISCONSIN AVE.","STE. 403","CHEVY CHASE","20815","2022-04-15T00:00:00.000","Critical Violations Corrected","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","Out of Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","Not applicable","In Compliance","In Compliance","Comprehensive","BARLOW BUILDING CAFE, INC.","Restaurant","Food","38.9626","-77.0872"
"STARBUCKS COFFEE #11130","10155 NEW HAMPSHIRE AVE",,"SILVER SPRING","20903","2022-01-27T00:00:00.000","No Critical Violations Noted","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","Not applicable","In Compliance","In Compliance","Monitoring","STARBUCKS CORP LICENSE SERVICE","Restaurant","Food","39.0217","-76.9766"
"DOKI TOKI","202 ELLINGTON BLVD",,"GAITHERSBURG","20878","2022-04-14T00:00:00.000","Critical Violations Corrected","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","Not applicable","In Compliance","In Compliance","Change of Ownership - Environmental","DOKI TOKI LLC","Restaurant","Food","39.115","-77.2049"
"SARDIS POLLO A LA BRASA","430 N. FREDERICK AVE.",,"GAITHERSBURG","20877","2022-04-15T00:00:00.000","No Critical Violations Noted","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","Not applicable","In Compliance","In Compliance","Monitoring","SARDIS CHICKEN II INC.","Restaurant","Food","39.147","-77.2061"
"WARREN STREET DELI","9226 WARREN ST.",,"SILVER SPRING","20910","2021-08-04T00:00:00.000","Critical Violations Corrected","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","Out of Compliance","Out of Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","Not applicable","In Compliance","In Compliance","Comprehensive","WARREN STREET DELI","Restaurant","Food","39.0066","-77.0492"
"THE REPUBLIC GARDEN","8402 GEORGIA AVE",,"SILVER SPRING","20910","2022-04-15T00:00:00.000","No Critical Violations Noted","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","Out of Compliance","Not applicable","In Compliance","Out of Compliance","Comprehensive","C & G GROUP LLC","Restaurant","Food","38.9935","-77.0271"
"SAINT MARK PRESBYTERIAN CHURCH","10701 OLD GEORGETOWN RD.",,"ROCKVILLE","20852","2022-04-13T00:00:00.000","No Critical Violations Noted","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","Not applicable","In Compliance","In Compliance","Comprehensive","SAINT MARK PRESBYTERIAN CHURCH","Non-Profit","Food","39.0315","-77.1254"
"PARIVAR GROCERY","15110 FREDERICK RD",,"ROCKVILLE","20850","2022-04-13T00:00:00.000","No Critical Violations Noted","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","Not applicable","In Compliance","In Compliance","Comprehensive","SJKM LLC","Market","Food","39.1036","-77.1586"
"BEST BEER, WINE & DELI","18749 - A N. FREDERICK AVE",,"GAITHERSBURG","20879","2022-01-27T00:00:00.000","No Critical Violations Noted","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","Not applicable","In Compliance","In Compliance","Environmental","AMBEKRUPA LLC","Market","Food","39.1639","-77.2257"
"MON AMI GABI","7239 WOODMONT AVE.",,"BETHESDA","20814","2020-09-23T00:00:00.000","Critical Violations Corrected","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","In Compliance","Not applicable","In Compliance","In Compliance","Food Complaint","MON AMI BETHESDA, LLC",,"Food","38.9815","-77.0954"
