"application_type","permit_number","work_type","processed_date","issued_date","final_date","status","description_of_work","street_number","pre_direction","street_name","street_suffix","post_direction","city","state","zip_code","latitude","longitude","general_location","geolocation"
"FLOODPLAIN STATUS REQUEST","291782","INFO","2013-04-17T09:04:40.000","2013-04-19T10:04:20.000","2013-04-19T10:04:20.000","Finaled",,,,,,,,,,"0","0","18982 & 18984 Bonanza Way, Gaithersburg, Maryland 20879","POINT (0 0)"
"FLOODPLAIN STATUS REQUEST","268566","INFO","2011-03-10T11:03:39.000","2011-03-11T11:03:58.000","2011-03-11T11:03:00.000","Finaled",,"7611",,"RICKENBACKER","DR",,"GAITHERSBURG","MD","20879","39.173931","-77.157353",,"POINT (-77.157353 39.173931)"
"FLOODPLAIN STATUS REQUEST","259038","PLACE","2008-08-27T11:08:00.000","2008-08-28T08:08:00.000","2008-08-28T08:08:00.000","Finaled",,"1",,"WACHS","CT",,"OLNEY","MD","20832","39.158028","-77.082092",,"POINT (-77.082092 39.158028)"
"FLOODPLAIN STATUS REQUEST","220901","INFO","2008-03-03T11:03:40.000","2008-03-03T11:03:30.000","2008-09-04T10:09:21.000","Finaled",,"12715",,"SESAME SEED","CT",,"GERMANTOWN","MD","20874","39.157598","-77.262482",,"POINT (-77.262482 39.157598)"
"FLOODPLAIN STATUS REQUEST","222420","INFO","2008-03-03T11:03:55.000","2008-03-03T11:03:00.000","2008-09-04T10:09:53.000","Finaled",,"1715",,"EDGEWATER","PKWY",,"SILVER SPRING","MD","20903","39.026812","-76.975198",,"POINT (-76.975198 39.026812)"
"FLOODPLAIN STATUS REQUEST","218198","INFO","2008-03-03T09:03:35.000","2008-03-03T09:03:45.000","2008-09-04T10:09:15.000","Finaled","Sent copy of tax map showing not in the flood plain.","8230",,"MOUNTAIN ASH","WAY",,"GAITHERSBURG","MD","20879","39.165173","-77.170326",,"POINT (-77.170326 39.165173)"
"FLOODPLAIN STATUS REQUEST","219875","INFO","2008-03-03T09:03:35.000","2008-03-03T09:03:32.000","2008-09-04T10:09:02.000","Finaled",,,,"FORT WILLIAM","DR",,,"MD","00000","0","0",,"POINT (0 0)"
"FLOODPLAIN STATUS REQUEST","219426","INFO","2008-03-03T09:03:33.000","2008-03-03T09:03:03.000","2008-09-04T10:09:21.000","Finaled","FEMA map looks like the property is in the flood plain.
Tax map shows the MNCPPC flood plain and it does not show the property within the flood plain. REcomend to owner to have engineer to plot 100 year flood plain on site plan.","8705",,"BURNING TREE","RD",,"BETHESDA","MD","20817","38.997862","-77.137783",,"POINT (-77.137783 38.997862)"
"FLOODPLAIN STATUS REQUEST","253229","INFO","2007-06-06T11:06:00.000","2007-06-14T02:06:00.000","2007-06-14T02:06:00.000","Finaled",,"9",,"DELFORD","AVE",,"SILVER SPRING","MD","20904","39.070205","-77.007091",,"POINT (-77.007091 39.070205)"
"FLOODPLAIN STATUS REQUEST","237123","INFO","2005-06-03T12:06:49.000","2005-06-03T12:06:54.000","2005-06-03T12:06:56.000","Finaled",,"18723",,"PIER POINT","PL",,"MONTGOMERY VILLAGE","MD","20886","39.161127","-77.197994",,"POINT (-77.197994 39.161127)"
"FLOODPLAIN STATUS REQUEST","214656","INFO","2005-01-26T01:01:23.000","2005-01-26T01:01:05.000","2005-01-26T01:01:08.000","Finaled","Floodplain status request for 24401 Peach Tree Road","24401",,"PEACH TREE","RD",,"CLARKSBURG","MD","20871","39.255498","-77.318764",,"POINT (-77.318764 39.255498)"
"FLOODPLAIN STATUS REQUEST","232620",,"2004-11-10T01:11:00.000","2004-11-10T01:11:00.000","2004-11-10T01:11:00.000","Finaled",,"6301",,"CONTENTION","CT",,"BETHESDA","MD","20817","39.002983","-77.129211",,"POINT (-77.129211 39.002983)"
"FLOODPLAIN STATUS REQUEST","224094","INFO","2003-09-04T08:09:00.000","2003-09-04T08:09:00.000","2003-09-04T08:09:27.000","Finaled","Floodplain info request. Tax maps show no floodplain on lot 253/A","9236",,"SANDY LAKE","CIR",,"GAITHERSBURG","MD","20879","39.174576","-77.19054",,"POINT (-77.19054 39.174576)"
"FLOODPLAIN STATUS REQUEST","223308","INFO","2003-07-28T03:07:00.000","2003-07-31T02:07:00.000","2003-07-31T02:07:00.000","Finaled",,"9981",,"LAKE LANDING","RD",,"MONTGOMERY VILLAGE","MD","20886","39.164271","-77.207395",,"POINT (-77.207395 39.164271)"
"FLOODPLAIN STATUS REQUEST","221007","INFO","2003-04-03T01:04:07.000","2003-04-03T01:04:40.000","2003-04-03T01:04:42.000","Finaled",,"2103",,"DUMFRIES","TER",,"OLNEY","MD","20832","39.152434","-77.04963",,"POINT (-77.04963 39.152434)"
"FLOODPLAIN STATUS REQUEST","220272","INFO","2003-01-24T03:01:05.000","2003-01-24T03:01:30.000","2003-01-24T03:01:32.000","Finaled",,"1901",,"HICKORY HILL","LN",,"SILVER SPRING","MD","20906","39.074141","-77.038691",,"POINT (-77.038691 39.074141)"
"FLOODPLAIN STATUS REQUEST","220260",,"2003-01-23T01:01:55.000","2003-01-23T01:01:28.000","2003-01-23T01:01:30.000","Finaled",,"8705",,"BURNING TREE","RD",,"BETHESDA","MD","20817","38.997862","-77.137783",,"POINT (-77.137783 38.997862)"
"FLOODPLAIN STATUS REQUEST","216457",,"2002-04-09T03:04:06.000","2002-04-09T03:04:05.000",,"Issued",,"6438",,"NEEDLE LEAF","DR",,"ROCKVILLE","MD","20852","39.051895","-77.130951",,"POINT (-77.130951 39.051895)"
"FLOODPLAIN STATUS REQUEST","214818",,"2001-12-10T09:12:56.000","2001-12-10T09:12:58.000","2001-12-10T09:12:00.000","Finaled","Floodplain status request for 4214 Ivy Glen Road, Silver Spring, MD.","4214",,"IVY GLEN","RD",,"SILVER SPRING","MD","20906","39.044301","-77.082356",,"POINT (-77.082356 39.044301)"
"FLOODPLAIN STATUS REQUEST","213218","INFO","2001-08-08T01:08:00.000","2001-08-10T03:08:00.000",,"Issued",,"8516",,"WHITTIER","BLVD",,"BETHESDA","MD","20817","38.996431","-77.129447",,"POINT (-77.129447 38.996431)"
"FLOODPLAIN STATUS REQUEST","213097","INFO","2001-08-02T04:08:52.000","2001-08-02T04:08:09.000",,"Issued",,"1939",,"HICKORY HILL","LN",,"SILVER SPRING","MD","20906","39.073414","-77.03917",,"POINT (-77.03917 39.073414)"
"FLOODPLAIN STATUS REQUEST","209913","INFO","2001-01-23T04:01:16.000","2001-01-23T04:01:35.000",,"Issued","checking on fema floodplain designation.",,,,,,,,,"0","0","10838 NANTUCKET TER.","POINT (0 0)"
"FLOODPLAIN STATUS REQUEST","209874",,"2001-01-19T09:01:18.000","2001-01-19T09:01:29.000","2001-01-19T09:01:33.000","Finaled",,"13416",,"COACHLAMP","LN",,"SILVER SPRING","MD","20906","39.074543","-77.04346",,"POINT (-77.04346 39.074543)"
"FLOODPLAIN STATUS REQUEST","203476","INFO","2000-03-06T02:03:26.000",,,"Open",,"9133",,"TULIP GROVE","RD",,"GAITHERSBURG","MD","20879","39.167575","-77.188772",,"POINT (-77.188772 39.167575)"
"FLOODPLAIN STATUS REQUEST","215490","INFO","2002-02-05T10:02:28.000",,,"Open",,"7113",,"LAVEROCK","LN",,"BETHESDA","MD","20817","38.978563","-77.145091",,"POINT (-77.145091 38.978563)"
"FLOODPLAIN STATUS REQUEST","203498","INFO","2000-03-06T02:03:49.000",,,"Open","new subdivision property not impacted by floodplain",,,,,,,,,"0","0","LOT 157 TOTHILL DR","POINT (0 0)"
"FLOODPLAIN STATUS REQUEST","223043",,"2003-07-14T08:07:08.000",,,"Open","Vacant Lot east side Lutes Dr., 30G08",,,,,,,,,"0","0","LUTES DR","POINT (0 0)"
"FLOODPLAIN STATUS REQUEST","203477","INFO","2001-01-09T02:01:07.000",,,"Open",,,,,,,,,,"0","0","WOODFIELD AND WARFIELD","POINT (0 0)"
"FLOODPLAIN STATUS REQUEST","210393",,"2001-02-23T01:02:26.000",,,"Open",,,,,,,,,,"0","0","13800 GEROIA AVE.","POINT (0 0)"
"FLOODPLAIN STATUS REQUEST","203521","INFO","2000-03-06T01:03:37.000",,,"Open",,,,,,,,,,"0","0","PROPERTY ON GLYNSHIRE DRIVE","POINT (0 0)"
"FLOODPLAIN STATUS REQUEST","212562","INFO","2001-06-28T01:06:02.000",,,"Open",,"12709",,"BEXLEY","TER",,"SILVER SPRING","MD","20904","39.0637","-76.955395",,"POINT (-76.955395 39.0637)"
"FLOODPLAIN STATUS REQUEST","208138","INFO","2001-01-09T02:01:03.000",,,"Open",,"18126",,"BILNEY","DR",,"OLNEY","MD","20832","39.153798","-77.084174",,"POINT (-77.084174 39.153798)"
"FLOODPLAIN STATUS REQUEST","208145","INFO","2001-01-09T02:01:31.000",,,"Open",,"20624",,"NEW HAMPSHIRE","AVE",,"BROOKEVILLE","MD","20833","39.194844","-77.029254",,"POINT (-77.029254 39.194844)"
"FLOODPLAIN STATUS REQUEST","215349","INFO","2002-01-28T11:01:07.000",,,"Open",,,,,,,,,,"0","0","PARCEL 545 ON CAPE MAY ROAD","POINT (0 0)"
"FLOODPLAIN STATUS REQUEST","205565","INFO","2001-01-09T02:01:27.000",,,"Open",,"19039",,"AUTUMN MAPLE","LN",,"GAITHERSBURG","MD","20879","0","0",,"POINT (0 0)"
"FLOODPLAIN STATUS REQUEST","209903","OCCUPY","2007-10-30T12:10:18.000",,,"Open","they are checking floodplain limits in relation to there property limits",,,,,,,,,"0","0","10838 NANTUCKET TER.","POINT (0 0)"
"FLOODPLAIN STATUS REQUEST","202617","INFO","2000-01-06T02:01:28.000",,,"Open","floodplain status request for Sears Warehouse - Shady Grove Industrial Park.",,,,,,,,,"0","0","SHADY GROVE ROAD","POINT (0 0)"
"FLOODPLAIN STATUS REQUEST","209965","INFO","2007-10-30T12:10:15.000",,,"Open","Floodplain status for 19803 Macklen Place",,,,,,,,,"0","0","19803 MACKLEN PLACE, MONTGOMERY VILLAGE","POINT (0 0)"
"FLOODPLAIN STATUS REQUEST","209962","INFO","2001-01-26T12:01:08.000",,,"Open","Floodplain status request for 20201 Swallow Point Road.",,,,,,,,,"0","0","20201 SWALLOW POINT ROAD","POINT (0 0)"
"FLOODPLAIN STATUS REQUEST","212958","INFO","2001-07-24T03:07:50.000",,,"Open",,"12005",,"AMBLESIDE","DR",,"POTOMAC","MD","20854","39.053455","-77.200406",,"POINT (-77.200406 39.053455)"
"FLOODPLAIN STATUS REQUEST","203008","INFO","2000-03-06T01:03:23.000",,,"Open","floodplain status request on residential property","17414",,"FOUNDERS MILL","DR",,"ROCKVILLE","MD","20855","39.136792","-77.150406",,"POINT (-77.150406 39.136792)"
"FLOODPLAIN STATUS REQUEST","208210","INFO","2001-01-09T02:01:23.000",,,"Open","plat shows 100 yr fp- proposed pool and tennes court does not impact fp.","9108",,"PAYTLEY BRIDGE","LN",,"POTOMAC","MD","20854","39.026825","-77.187963",,"POINT (-77.187963 39.026825)"
"FLOODPLAIN STATUS REQUEST","221655","INFO","2003-05-30T02:05:48.000",,,"Open",,"2",,"BELL BLUFF","CT",,"GAITHERSBURG","MD","20879","39.194199","-77.200345",,"POINT (-77.200345 39.194199)"
