OBJECTID,CATEGORY,NAME,ADDRESS,CITY,ZIPCODE,PHONE,URL,DATA,POINT_X,POINT_Y,SHAPE,LATITUDE,LONGITUDE
1,METRO STATIONS,Wheaton,11171 Georgia Ave,Wheaton,20902,202-637-7000,http://www.wmata.com,,1298033.378725850023329,499621.714995649992488,"(39.038541001000056, -77.05034726599996)",39.038533139999998,-77.050344989999999
2,METRO STATIONS,Forest Glen,9730 Georgia Ave,Wheaton,20902,202-637-7000,http://www.wmata.com,,1300013.859495690092444,491147.356203750008717,"(39.01527587900006, -77.04336053799994)",39.015268030000001,-77.043358260000005
3,METRO STATIONS,Silver Spring,8400 Colesville Rd,Silver Spring,20910,202-637-7000,http://www.wmata.com,,1303492.12356292991899,483379.390244519978296,"(38.99395129000004, -77.03110951099995)",38.993943440000002,-77.031107239999997
4,METRO STATIONS,Friendship Heights,5400 Wisconsin Ave,Friendship Heights,20815,202-637-7000,http://www.wmata.com,,1288021.37487652990967,471603.031321550020948,"(38.96158966300004, -77.08550350299998)",38.961581819999999,-77.085501219999998
5,METRO STATIONS,Bethesda,7450 Wisconsin Ave,Bethesda,20814,202-637-7000,http://www.wmata.com,,1285430.249882109928876,479801.281313190003857,"(38.98409269500007, -77.09464595599997)",38.984084850000002,-77.094643669999996
6,METRO STATIONS,Medical Center,8810 Rockville Pik,Bethesda,20892,202-637-7000,http://www.wmata.com,,1284543.266713290009648,485261.263398270006292,"(38.99908162100007, -77.09778689099994)",38.999073770000003,-77.097784599999997
7,METRO STATIONS,Grosvenor-Strathmore,10300 Rockville Pik,Rockville,20852,202-637-7000,http://www.wmata.com,,1282887.75003973999992,496099.53131236997433,"(39.028835135000065, -77.10365543799998)",39.028827280000002,-77.103653140000006
8,METRO STATIONS,White Flint,5500 Marinelli Rd,Rockville,20852,202-637-7000,http://www.wmata.com,,1280348.625045380089432,502944.281142739986535,"(39.04762034000004, -77.11262327999998)",39.047612479999998,-77.112620980000003
9,METRO STATIONS,Twinbrook,1600 Chapman Ave,Rockville,20852,202-637-7000,http://www.wmata.com,,1278155.25006733997725,508173.375035609991755,"(39.06196999700006, -77.12037061699994)",39.061962139999999,-77.120368319999997
10,METRO STATIONS,Rockville,251 Hungerford Dr,Rockville,20850,202-637-7000,http://www.wmata.com,,1270710.25012440001592,516367.812419240013696,"(39.084439184000075, -77.14663672299997)",39.08443132,-77.146634410000004
11,METRO STATIONS,Shady Grove,15903 Somerville Dr,Rockville,20855,202-637-7000,http://www.wmata.com,,1265611.874951659934595,529301.937487290007994,"(39.11992767700008, -77.16468000899994)",39.119919809999999,-77.164677690000005
12,METRO STATIONS,Glenmont,12501 Georgia Ave,Silver Spring,20906,202-637-7000,http://www.wmata.com,,1297252.904869120102376,508272.077883700025268,"(39.06229082600004, -77.05311275099996)",39.062282959999997,-77.053110469999993
13,METRO STATIONS,Takoma,327 Cedar St NW,Washington,20012,202-637-7000,http://www.wmata.com,,1307376.57643055007793,476966.460446549986955,"(38.97634608900006, -77.01743800599996)",38.976338239999997,-77.017435739999996
