NAME,ZIP CODE,PHONE,URL,DATA,POINT_X,POINT_Y,Hours_of_Operation,P1_MAIL_CITY,Image,Location 1,Council Districts,Councils,Communities,Zip Codes,Municipalities,Council Districts_from_i23j_3mj8,Montgomery County Boundary
Mid County Community Center,20906,240-777-6820,http://www.montgomerycountymd.gov/rec/where/centers/index.html,EV-01,1300162.81,517255.75,10:00 am to 8:00 pm,SILVER SPRING,http://www.montgomerycountymd.gov/Elections/Resources/Images/EarlyVoting/2015%20approved/EV-1_Mid-County_Community_Recreation_Center.jpg,"2004 Queensguard Rd
Wheaton
(39.08695326, -77.04287715)",4,4,57,6,1,4,1
Executive Office Building,20850,240-777-1000,http://www.montgomerycountymd.gov/,EV-02,1269956.32,515902.76,10:00 am to 8:00 pm,ROCKVILLE,http://www.montgomerycountymd.gov/Elections/Resources/Images/EarlyVoting/2014/EV-2_Executive_Office_Buildingx400.jpg,"101 Monroe St
Rockville
(39.08315114, -77.14928773)",3,3,25,71,12,3,1
Germantown Recreation Center,20874,240-777-8095,http://www.montgomerycountymd.gov/rec/where/centers/index.html,EV-03,1231505.25,546009.88,10:00 am to 8:00 pm,GERMANTOWN,http://www.montgomerycountymd.gov/Elections/Resources/Images/EarlyVoting/2015%20approved/EV-3_Germantown_Community.jpg,"18905 Kingsview Rd
Germantown
(39.16556251, -77.2850755)",2,2,39,39,1,2,1
Marilyn J Praisner Community Recreation Center,20866,240-777-4970,http://www.montgomerycountymd.gov/rec/where/centers/index.html,EV-04,1328902.5,522587.16,10:00 am to 8:00 pm,BURTONSVILLE,http://www.montgomerycountymd.gov/Elections/Resources/Images/EarlyVoting/2015%20approved/EV-4_Marilyn_J_Praisner_Community.jpg,"14906 Old Columbia Pike
Burtonsville
(39.1015847, -76.94161426)",5,5,30,47,1,5,1
Silver Spring,20910,301-565-7300,http://www.montgomerycountymd.gov/silverspring/,EV-05,1305347.53,484615.12,10:00 am to 8:00 pm,SILVER SPRING,http://www.montgomerycountymd.gov/Elections/Resources/Images/EarlyVoting/2016/Silver%20Spring%20Civic%20Building.jpg,"1 Veterans Pl
Silver Spring
(38.99733798, -77.02458026)",5,5,7,3065,1,5,1
Activity Center At Bohrer Park,20877,301-258-6350,http://www.gaithersburgmd.gov/government/departments/parks-recreation-and-culture,EV-06,1257027.71,534194.23,10:00 am to 8:00 pm,GAITHERSBURG,http://www.montgomerycountymd.gov/Elections/Resources/Images/EarlyVoting/2015%20approved/EV-6_Activity_Center_at_Bohrer_Park.jpg,"506 S Frederick Ave
Gaithersburg
(39.13330577, -77.19497074)",3,3,36,35,21,3,1
Damascus Community Recreation Center,20872,240-777-6930,http://www.montgomerycountymd.gov/rec/where/centers/index.html,EV-07,1251398.91,586599.97,10:00 am to 8:00 pm,DAMASCUS,http://www.montgomerycountymd.gov/Elections/Resources/Images/EarlyVoting/2015%20approved/EV-7_Damascus_Community_Recreation_Center.jpg,"25520 Oak Dr
Damascus
(39.27715395, -77.21524967)",2,2,51,42,1,2,1
Jane E Lawton Center,20815,240-777-6855,http://www.montgomerycountymd.gov/rec/where/centers/index.html,EV-08,1287265.63,479218.41,10:00 am to 8:00 pm,CHEVY CHASE,http://www.montgomerycountymd.gov/Elections/Resources/Images/EarlyVoting/2015%20approved/EV-8-Jane_E_Lawton.jpg,"4301 Willow Ln
Chevy Chase
(38.98248954, -77.08818491)",1,1,5,110,20,1,1
St Catherine Laboure Catholic Church,20902,301-946-3636,http://stcatherinelaboure.webs.com/,EV-09,1293041.03,503524.7,10:00 am to 8:00 pm,,http://www.montgomerycountymd.gov/Elections/Resources/Images/EarlyVoting/ST_%20CATHERINE%20LABOURE%20photo(2).jpg,"11801 Claridge Rd
Wheaton
(39.04924062, -77.06793144)",4,4,23,17,1,4,1
Potomac Community Recreation Center,20854,240-777-6960,http://www.montgomerycountymd.gov/rec/where/centers/index.html,EV-10,1257931.75,500576.03,10:00 am to 8:00 pm,SILVER SPRING,http://www.montgomerycountymd.gov/Elections/Resources/Images/EarlyVoting/2016/Potomac%20Community%20Recreation%20Center.jpg,"11315 Falls Rd
Potomac
(39.04100756, -77.19153505)",1,1,20,53,1,1,1
"Sandy Spring Volunteer Fire Dept, The Oak Room",20860,301-518-4073,https://www.ssvfd.org/,EV-11,1304640.46,540393.58,10:00 am to 8:00 pm,,http://www.montgomerycountymd.gov/Elections/Resources/Images/EarlyVoting/sandy%20spring.jpg,"17921 Brooke Rd
Sandy Spring
(39.15048578, -77.02712646)",4,4,35,50,1,4,1
