Season,Primary Category,Secondary Category,ActivityName,Description,ActivityNumber,Ages,Location,Address,City,State,Zip,Start Date,End Date,Start Time,End Time,Sessions,Days of the Week,Fee,Address/Location,Council Districts,Councils,Communities,Zip Codes,Municipalities,:@computed_region_6ryf_isx3
Spring,Sports,Basketball,Adult Basketball - Women's Drop In Basketball,"Women's Drop In basketball is a non-competitive, drop-in basketball program, just for women. Teams are made up of individuals and play pick-up games. A staff person will run a clock and keep score for all games. A great way to meet new people and have fun! All skill levels encouraged. Location is at Bauer Community Center. Starts Sunday mornings, April 3 and ends Sunday, May 22, 10:00 am to 12:00pm. There is a 8 week session. No games on April 17 and May 30.",R05013_301,Ages 18+,Bauer Drive Community Recreation Center,14625 Bauer Drive,Rockville,MD,20853,4/3/2022,6/5/2022,10:00 AM,12:00 PM,8,Su,60,"14625 Bauer Drive
Rockville, MD 20853
(39.095356, -77.109505)",3,3,61,58,1,1
spring,Sports,Basketball,Team Marko,,R05293_306,Ages 8-10,Recreation Placeholder Location (TBD),Activity Location To Be Determined,,MD,,4/1/2022,5/20/2022,6:00 PM,10:00 PM,8,F,0,"Activity Location To Be Determined, MD",,,,,,
Spring,Sports,Basketball,Spring Basketball U16: Girls,This is a six week an open youth basketball league. Games are played throughout Montgomery County between 6 and 10 p.m. Games will not be played Memorial Day weekend. Team registration only.,R05300_301,TBD,Recreation Placeholder Location (TBD),Activity Location To Be Determined,,MD,,4/1/2022,5/20/2022,6:00 PM,10:00 PM,8,F,520,"Activity Location To Be Determined, MD",,,,,,
Spring,Sports,Basketball,Train Like a Pro Basketball Skills and Drills,Develop elite basketball skills for boys and girls of all abilities.,R05012_303,Ages 9-16,Cabin John Middle School,10701 Gainsborough RD,Potomac,MD,20854,4/7/2022,6/9/2022,6:30 PM,8:00 PM,9,Th,187,"10701 Gainsborough RD
Potomac, MD 20854
(39.030707, -77.172841)",1,1,20,53,1,1
Spring,Sports,Basketball,Youth Basketball Clinic (Play Montgomery) Upper County CC,Youth basketball clinic for 13-18.,R05012_307,Ages 13-18,Upper County Community Recreation Center,8201 Emory Grove Road,Gaithersburg,MD,20877,5/3/2022,6/9/2022,3:30 PM,5:30 PM,12,"Tu,Th",0,"8201 Emory Grove Road
Gaithersburg, MD 20877
(39.149651, -77.1689)",4,4,36,35,1,1
Spring,Sports,Basketball,Team Bernstein,,R05296_302,Ages 10-12,Recreation Placeholder Location (TBD),Activity Location To Be Determined,,MD,,4/1/2022,5/20/2022,6:00 PM,10:00 PM,8,F,0,"Activity Location To Be Determined, MD",,,,,,
Spring,Sports,Basketball,Spring Basketball U10: Girls,This is a six week an open youth basketball league. Games are played throughout Montgomery County between 6 and 10 p.m. Games will not be played Memorial Day weekend. Team registration only.,R05294_301,TBD,Recreation Placeholder Location (TBD),Activity Location To Be Determined,,MD,,4/1/2022,5/20/2022,6:00 PM,10:00 PM,8,F,520,"Activity Location To Be Determined, MD",,,,,,
Spring,Sports,Basketball,Team Ruble,,R05293_304,Ages 8-10,Recreation Placeholder Location (TBD),Activity Location To Be Determined,,MD,,4/1/2022,5/20/2022,6:00 PM,10:00 PM,8,F,0,"Activity Location To Be Determined, MD",,,,,,
Spring,Sports,Basketball,Team Womack,,R05293_303,Ages 8-10,Recreation Placeholder Location (TBD),Activity Location To Be Determined,,MD,,4/1/2022,5/20/2022,6:00 PM,10:00 PM,8,F,0,"Activity Location To Be Determined, MD",,,,,,
Spring,Sports,Basketball,Team Berge,,R05294_302,Ages 8-10,Recreation Placeholder Location (TBD),Activity Location To Be Determined,,MD,,4/1/2022,5/20/2022,6:00 PM,10:00 PM,8,F,0,"Activity Location To Be Determined, MD",,,,,,
Spring,Sports,Basketball,Spring Basketball U12: Boys,This is a six week an open youth basketball league. Games are played throughout Montgomery County between 6 and 10 p.m. Games will not be played Memorial Day weekend. Team registration only.,R05295_301,TBD,Recreation Placeholder Location (TBD),Activity Location To Be Determined,,MD,,4/1/2022,5/20/2022,6:00 PM,10:00 PM,8,F,520,"Activity Location To Be Determined, MD",,,,,,
Spring,Sports,Basketball,Train Like a Pro Basketball Skills and Drills,Develop elite basketball skills for boys and girls of all abilities.,R05012_305,Ages 9-16,Chevy Chase Elementary School,4015 Rosemary ST,Chevy Chase,MD,20815,4/2/2022,6/11/2022,10:00 AM,11:30 AM,9,Sa,187,"4015 Rosemary ST
Chevy Chase, MD 20815
(38.97813, -77.080458)",1,1,5,110,20,1
Spring,Sports,Basketball,Spring Basketball U16: Boys,This is a six week an open youth basketball league. Games are played throughout Montgomery County between 6 and 10 p.m. Games will not be played Memorial Day weekend. Team registration only.,R05299_301,TBD,Recreation Placeholder Location (TBD),Activity Location To Be Determined,,MD,,4/1/2022,5/20/2022,6:00 PM,10:00 PM,8,F,520,"Activity Location To Be Determined, MD",,,,,,
