"license_number","city","zip","date_filed","date_closed","type_of_case","type_of_complaint","case_disposition","geolocation"
"45364","TAKOMA PARK","20912","2022-08-26T00:00:00.000","2022-08-26T00:00:00.000","OLTA-TMF","Quit and Vacate","Non-jurisdiction-Geographic Location","
TAKOMA PARK,  20912
(38.982019, -77.000534)"
"45363","GAITHERSBURG","20878","2022-08-26T00:00:00.000","2022-08-26T00:00:00.000","OLTA-TMF","Eviction","Non-jurisdiction-Geographic Location","
GAITHERSBURG,  20878
(39.114215, -77.239673)"
"45349","GERMANTOWN","20876","2022-08-23T00:00:00.000","2022-08-23T00:00:00.000","OLTA-TMF","No Jurisdiction - Room Rental","Non-jurisdiction-Room Rental","
GERMANTOWN,  20876
(39.198155, -77.240725)"
"45350","GERMANTOWN","20874","2022-08-23T00:00:00.000","2022-08-23T00:00:00.000","OLTA-TMF","Rent Increase","Complaint noted for the record","
GERMANTOWN,  20874
(39.158483, -77.280856)"
"45348","ROCKVILLE","20850","2022-08-16T00:00:00.000","2022-08-23T00:00:00.000","OLTA-TMF","Maintenance - Mold/Mildew","Referred to a Montgomery County Agency","
ROCKVILLE,  20850
(39.092462, -77.178614)"
"45347","CLARKSBURG","20871","2022-08-16T00:00:00.000","2022-08-17T00:00:00.000","OLTA-TSF","Maintenance - Mold/Mildew","Refer to Code Enforcement","
CLARKSBURG,  20871
(39.250697, -77.27543)"
"45346","SILVER SPRING","20910","2022-08-15T00:00:00.000","2022-08-23T00:00:00.000","OLTA-TMF","Maintenance- General","Referred to a MD State Government agency","
SILVER SPRING,  20910
(39.001851, -77.034885)"
"45344","DISTRICT HEIGHTS","20747","2022-08-11T00:00:00.000","2022-08-22T00:00:00.000","OLTA-TMF","No Jurisdiction-Geographical","No jurisdiction","
DISTRICT HEIGHTS,  20747
(38.85327, -76.887155)"
"45334","SILVER SPRING","20902","2022-08-09T00:00:00.000","2022-08-23T00:00:00.000","OLTA-TMF","Fee","Other- no communication from tenant","
SILVER SPRING,  20902
(39.042613, -77.046758)"
"45326","SILVER SPRING","20906","2022-08-03T00:00:00.000","2022-08-30T00:00:00.000","OLTA-LMF","Lease Agreement","No jurisdiction","
SILVER SPRING,  20906
(39.083452, -77.060664)"
"45325","SILVER SPRING","20902","2022-08-02T00:00:00.000","2022-08-19T00:00:00.000","OLTA-TMF","Lease Agreement","Acceptable explanation","
SILVER SPRING,  20902
(39.042613, -77.046758)"
"45312","GAITHERSBURG","20878","2022-07-28T00:00:00.000","2022-08-01T00:00:00.000","OLTA-TSF","No Jurisdiction-Geographical","Non-jurisdiction-Geographic Location","
GAITHERSBURG,  20878
(39.114215, -77.239673)"
"45309","SILVER SPRING","20910","2022-07-27T00:00:00.000","2022-07-27T00:00:00.000","OLTA-TMF","Failure to Pay Rent","Complaint withdrawn","
SILVER SPRING,  20910
(39.001851, -77.034885)"
"45307","GAITHERSBURG","20878","2022-07-26T00:00:00.000","2022-07-26T00:00:00.000","OLTA-TMF","No Jurisdiction-Geographical","Non-jurisdiction-Geographic Location","
GAITHERSBURG,  20878
(39.114215, -77.239673)"
