"status","type","number","description","issuancedate","closingdate","cancelledpostponed","construction","lsbrpindicator","buyer","department","deptcontact"
"Active","Informal","1141898","Pet Waste Removal Project","2022-08-29T00:00:00.000","2022-09-08T00:00:00.000",,"N","Y","--","Dept of Environmental Protection","DEP.Procurements@montgomerycountymd.gov"
"Active","RFP","1143948","Metropolitan Branch Trail","2022-08-26T00:00:00.000","2022-10-18T00:00:00.000",,"N","N","Norris, Robert","Department of Transportation","Brian Copley"
"Active","Informal","1148582","Swimming Pool Parts and Equipment","2022-08-22T00:00:00.000","2022-08-29T00:00:00.000",,"N","N","--","Department of Recreation","Allison Cohen"
"Active","RFP","1104083","Bus Service Lane Operation at the Equipment Maintenance and Transit Operation Center and the Brookville Maintenance Facility","2022-08-22T00:00:00.000","2022-09-20T00:00:00.000",,"N","N","DeLuca, Karen","Department of General Services","Keith Stickley"
"Active","RFP","1104084","Transit Bus Service Lane Operation for Nicholson Court Small Transit Shop (STS)","2022-08-16T00:00:00.000","2022-09-28T00:00:00.000",,"N","Y","Steed, Jeffrey","Department of General Services","Keith Stickley"
"Active","RFP","1142333","Single-Family Residential Food Scraps Collection for Recycling","2022-08-15T00:00:00.000","2022-09-15T00:00:00.000",,"N","N","Norris, Robert","Department of Environmental Protection","DEP"
"Active","IFB","1146858","Time and Material Glass Installation and Repair Services","2022-08-10T00:00:00.000","2022-09-14T00:00:00.000",,"N","N","Karakaya, Penny Perrus","Department of General Services","Yonas Demo"
"Active","RFP","1146983","Graphic Design Services","2022-08-04T00:00:00.000","2022-09-08T00:00:00.000",,"N","Y","DeLuca, Karen","Department of Recreation","Monika Hammer"
"Active","Informal","1141617","Consulting Services for Restoration Center","2022-06-28T00:00:00.000","2022-08-31T00:00:00.000",,"N","Y","--","Department of Health & Human Svcs","Thanikan Fales"
"Active","RFP","1126638","Electric Powered Heavy-Duty Low Floor 40' Transit Buses","2022-05-17T00:00:00.000","2022-10-12T00:00:00.000",,"N","N","Steed, Jeffrey","Department of General Services","Phillip Martin"
"Active","RFP","1131335","Residential Refuse, Recyclable Materials, Yard Trim, and Scrap Metal/e-Waste Collection Services in Service Area 8","2022-01-05T00:00:00.000",,"Cancelled or Indefinitely Postponed","N","N","Norris, Robert","Department of Environmental Protection","DEP Procurements"
"Active","RFP","1131334","Residential Refuse, Recyclable Materials, Yard Trim, and Scrap Metal/e-Waste Collection Services in Service Area 6","2022-01-05T00:00:00.000",,"Cancelled or Indefinitely Postponed","N","N","Norris, Robert","Department of Environmental Protection","DEP Procurements"
