"generation","age","ethnic_origin","gender","length_of_service","job_class","grade","assignment_category","salary_range"
"Baby Boomers","56","Unreported","Male","6","MLS","M2","Fulltime-Regular","130-139K"
"Generation X","47","Unreported","Male","1","MLS","M2","Fulltime-Regular",">=150K"
"Baby Boomers","59","White (Not Hispanic or Latino)","Female","14","MLS","M1","Fulltime-Regular",">=150K"
"Baby Boomers","56","Black or African American (Not Hispanic or Latino)","Male","27","MLS","M3","Fulltime-Regular","140-149K"
"Generation X","53","White (Not Hispanic or Latino)","Female","24","MLS","M3","Fulltime-Regular","140-149K"
"Baby Boomers","63","Asian (Not Hispanic or Latino)","Male","29","MLS","M3","Fulltime-Regular","140-149K"
"Generation X","51","Hispanic or Latino","Female","32","MLS","M3","Fulltime-Regular","110-119K"
"Generation X","51","Unreported","Male","2","MLS","M2","Fulltime-Regular",">=150K"
"Baby Boomers","64","White (Not Hispanic or Latino)","Male","31","MLS","M3","Fulltime-Regular","140-149K"
"Generation X","53","White (Not Hispanic or Latino)","Female","12","MLS","M3","Fulltime-Regular","140-149K"
"Generation X","49","White (Not Hispanic or Latino)","Female","10","MLS","M3","Fulltime-Regular","90-99K"
"Generation X","51","Hispanic or Latino","Female","13","MLS","M3","Fulltime-Regular","100-109K"
"Generation X","43","White (Not Hispanic or Latino)","Female","5","MLS","M2","Fulltime-Regular","130-139K"
"Baby Boomers","58","Hispanic or Latino","Male","24","MLS","M3","Fulltime-Regular","130-139K"
"Generation X","49","White (Not Hispanic or Latino)","Male","13","MLS","M3","Fulltime-Regular","140-149K"
"Baby Boomers","59","Black or African American (Not Hispanic or Latino)","Female","19","MLS","M3","Fulltime-Regular","110-119K"
"Baby Boomers","57","White (Not Hispanic or Latino)","Female","24","MLS","M1","Fulltime-Regular",">=150K"
"Baby Boomers","55","White (Not Hispanic or Latino)","Male","12","MLS","M1","Fulltime-Regular",">=150K"
"Baby Boomers","61","Black or African American (Not Hispanic or Latino)","Male","21","MLS","M3","Fulltime-Regular","140-149K"
"Baby Boomers","66","Black or African American (Not Hispanic or Latino)","Female","31","MLS","M3","Fulltime-Regular","140-149K"
"Baby Boomers","57","White (Not Hispanic or Latino)","Female","22","MLS","M2","Fulltime-Regular",">=150K"
"Baby Boomers","67","White (Not Hispanic or Latino)","Female","21","MLS","M2","Fulltime-Regular",">=150K"
"Baby Boomers","61","White (Not Hispanic or Latino)","Male","22","MLS","M3","Fulltime-Regular","140-149K"
"Baby Boomers","64","Black or African American (Not Hispanic or Latino)","Female","29","MLS","M3","Fulltime-Regular","140-149K"
"Generation X","43","Asian (Not Hispanic or Latino)","Female","14","MLS","M3","Fulltime-Regular","120-129K"
"Generation X","47","White (Not Hispanic or Latino)","Female","5","MLS","M3","Fulltime-Regular","120-129K"
"Generation X","41","Asian (Not Hispanic or Latino)","Female","13","MLS","M3","Fulltime-Regular","140-149K"
"Baby Boomers","65","White (Not Hispanic or Latino)","Male","7","MLS","M3","Fulltime-Regular","140-149K"
"Baby Boomers","61","White (Not Hispanic or Latino)","Male","3","MLS","M3","Fulltime-Regular","130-139K"
"Baby Boomers","71","White (Not Hispanic or Latino)","Male","3","MLS","M3","Fulltime-Regular","120-129K"
"Baby Boomers","56","Black or African American (Not Hispanic or Latino)","Female","11","MLS","M2","Fulltime-Regular",">=150K"
"Baby Boomers","69","Black or African American (Not Hispanic or Latino)","Male","15","MLS","M3","Fulltime-Regular","130-139K"
"Baby Boomers","59","White (Not Hispanic or Latino)","Female","40","MLS","M3","Fulltime-Regular","140-149K"
"Baby Boomers","66","White (Not Hispanic or Latino)","Male","11","MLS","M1","Parttime-Regular","140-149K"
"Baby Boomers","59","Hispanic or Latino","Female","25","MLS","M3","Fulltime-Regular","140-149K"
"Generation X","52","Black or African American (Not Hispanic or Latino)","Male","1","MLS","M2","Fulltime-Regular",">=150K"
"Baby Boomers","60","White (Not Hispanic or Latino)","Female","32","MLS","M2","Fulltime-Regular",">=150K"
"Baby Boomers","70","White (Not Hispanic or Latino)","Male","30","MLS","M2","Fulltime-Regular",">=150K"
"Generation X","47","Hispanic or Latino","Female","16","MLS","M3","Fulltime-Regular","130-139K"
"Baby Boomers","57","Black or African American (Not Hispanic or Latino)","Male","20","MLS","M2","Fulltime-Regular",">=150K"
"Generation X","42","White (Not Hispanic or Latino)","Male","6","MLS","M3","Fulltime-Regular","110-119K"
"Baby Boomers","65","White (Not Hispanic or Latino)","Male","4","MLS","M2","Parttime-Regular","120-129K"
"Baby Boomers","64","White (Not Hispanic or Latino)","Female","20","MLS","M3","Fulltime-Regular","130-139K"
"Baby Boomers","68","White (Not Hispanic or Latino)","Female","11","MLS","M3","Fulltime-Regular","140-149K"
"Baby Boomers","62","White (Not Hispanic or Latino)","Female","16","MLS","M2","Fulltime-Regular",">=150K"
"Baby Boomers","57","White (Not Hispanic or Latino)","Female","33","MLS","M3","Fulltime-Regular","120-129K"
"Generation X","40","Asian (Not Hispanic or Latino)","Female","11","MLS","M3","Fulltime-Regular","140-149K"
"Baby Boomers","67","White (Not Hispanic or Latino)","Female","42","MLS","M3","Fulltime-Regular","120-129K"
"Generation X","47","Asian (Not Hispanic or Latino)","Female","24","MLS","M2","Fulltime-Regular",">=150K"
"Generation X","52","White (Not Hispanic or Latino)","Male","31","MLS","M3","Fulltime-Regular","140-149K"
"Generation X","52","White (Not Hispanic or Latino)","Male","31","MLS","M3","Fulltime-Regular","140-149K"
"Baby Boomers","56","Black or African American (Not Hispanic or Latino)","Female","32","MLS","M3","Fulltime-Regular","130-139K"
"Baby Boomers","58","White (Not Hispanic or Latino)","Female","12","MLS","M3","Fulltime-Regular","140-149K"
"Generation X","48","White (Not Hispanic or Latino)","Male","14","MLS","M2","Fulltime-Regular",">=150K"
"Baby Boomers","61","Black or African American (Not Hispanic or Latino)","Male","13","MLS","M3","Fulltime-Regular","120-129K"
"Generation X","47","White (Not Hispanic or Latino)","Male","23","MLS","M3","Fulltime-Regular","140-149K"
"Generation X","42","White (Not Hispanic or Latino)","Male","14","MLS","M3","Fulltime-Regular","100-109K"
"Baby Boomers","59","White (Not Hispanic or Latino)","Male","13","MLS","M3","Fulltime-Regular","130-139K"
"Baby Boomers","62","White (Not Hispanic or Latino)","Male","27","MLS","M3","Fulltime-Regular","130-139K"
