Date of Complaint,Date of Closure,Street,City,State,ZIP,Cable Provider,Billing,Service,Internet,Telephone Answering Time,Reception,Construction,Marketing,Installation,Cable Service Availability,Cable Line Related,Telephone Service,Other,Type,Location,Council Districts,Councils,Communities,Zip Codes,Municipalities
01/04/2016,03/28/2016,Kirke Street,Chevy Chase,MD,20815,Comcast,1,,,,,,,,,,,,Complaint,"Kirke Street
Chevy Chase, MD 20815",,,,,
01/04/2016,01/05/2016,Cloister Drive,Rockville,MD,20852,Comcast,,1,,,,,,,,,,,Complaint,"Cloister Drive
Rockville, MD 20852",,,,,
01/04/2016,01/06/2016,Evans Drive,Silver Spring,MD,20902,Verizon,1,,,,,,,,,,,,Complaint,"Evans Drive
Silver Spring, MD 20902",,,,,
01/06/2016,01/06/2016,Montrose Avenue,Bethesda,MD,20814,Inquiry,,,1,,,,,,,,,,Complaint,"Montrose Avenue
Bethesda, MD 20814",,,,,
01/06/2016,01/06/2016,Arora Hills Drive,Clarksburg,MD,20871,Inquiry,1,,,,,,,,,,,,Complaint,"Arora Hills Drive
Clarksburg, MD 20871",,,,,
01/06/2016,01/08/2016,Greenvale Street,Chevy Chase,MD,20815,Verizon,1,,,,,,,,,,,,Complaint,"Greenvale Street
Chevy Chase, MD 20815",,,,,
01/06/2016,01/11/2016,Brassie Way,Montgomery Village,MD,20886,Verizon,,1,,,,,,1,,,,,Complaint,"Brassie Way
Montgomery Village, MD 20886",,,,,
01/06/2016,01/06/2015,Fallsmead Way,Potomac,MD,20854,Inquiry,1,,,,,,,,,,,,Complaint,"Fallsmead Way
Potomac, MD 20854",,,,,
01/07/2016,01/07/2016,Baltan Road,Bethesda,MD,20816,Comcast,1,,,,,,,,,,,,Complaint,"Baltan Road
Bethesda, MD 20816",,,,,
01/07/2016,01/12/2016,Lamont Lane,Gaithersburg,MD,20878,Comcast,,,,,1,,,,,,,,Complaint,"Lamont Lane
Gaithersburg, MD 20878",,,,,
01/07/2016,01/08/2016,Violet Place,Silver Spring,MD,20910,Verizon,,1,,,,,,,,,,,Complaint,"Violet Place
Silver Spring, MD 20910",,,,,
01/07/2016,01/07/2016,Weymouth Street,Bethesda,MD,20814,Comcast,,,,,1,,,,,,,,Complaint,"Weymouth Street
Bethesda, MD 20814",,,,,
01/08/2016,01/11/2016,Halpine Road,Rockville,MD,,Inquiry,,,,,,,,,,,,,Complaint,"Halpine Road
Rockville, MD",,,,,
01/08/2016,01/12/2015,Second Avenue,Silver Spring,MD,20910,Verizon,,1,,,,,,,,,,,Complaint,"Second Avenue
Silver Spring, MD 20910",,,,,
