"name","month","quarter","year","filing_frequency","due_date","taxable_amount","tax_due","interest","penalty","total_amount_due"
"Agoda International USA LLC",,"1","2022","Q","2022-04-30T00:00:00.000","9236.55","646.55","0","0","646.55"
"Hotels.com, L.P.",,"1","2022","Q","2022-04-30T00:00:00.000","177394.54","12417.61","0","0","12417.61"
"Travelscape, LLC",,"1","2022","Q","2022-04-30T00:00:00.000","302163.26","21151.42","0","0","21151.42"
"Fallsgrove Hotel Associates LLC",,"1","2022","Q","2022-04-30T00:00:00.000","1208694.51","84608.61","0","0","84608.61"
"Hotwire, Inc.",,"1","2022","Q","2022-04-30T00:00:00.000","55944.1","3916.08","0","0","3916.08"
"Home 2 Suites by Hilton Silver Spring",,"1","2022","Q","2022-04-30T00:00:00.000","643968.93","45077.82","0","0","45077.82"
"RowanLark at Headwaters Farm",,"1","2022","Q","2022-04-30T00:00:00.000","25948","1816.36","0","0","1816.36"
"Basic Overnight Quarters LLC",,"1","2022","Q","2022-04-30T00:00:00.000","0","0","0","0","0"
"Fairfield Inn & Suites - Germantown","5",,"2022","M","2022-06-30T00:00:00.000","266661.72","18666.32","0","0","18666.32"
"Congressional Country Club","5",,"2022","M","2022-06-30T00:00:00.000","92698","6488.86","0","0","6488.86"
"Viktoria Ana D Partalozova","5",,"2022","M","2022-06-30T00:00:00.000","0","0","0","0","0"
"BW RRI III","5",,"2022","M","2022-06-30T00:00:00.000","369880.91","25891.66","0","0","25891.66"
"Hampton Inn & Suites","5",,"2022","M","2022-06-30T00:00:00.000","392854.19","27499.79","0","0","27499.79"
"Tusculum Farm Enterprises, LLC","5",,"2022","M","2022-06-30T00:00:00.000","30746.21","2152.23","0","0","2152.23"
"Hotel Tonight, LLC","5",,"2022","M","2022-06-30T00:00:00.000","20275.76","1419.3","0","0","1419.3"
"Marriott Bethesda Downtown #33816","5",,"2022","M","2022-06-30T00:00:00.000","1227776.71","85944.36","0","0","85944.36"
"Gaithersburg Marriott Washingtonian Center #337K6","5",,"2022","M","2022-06-30T00:00:00.000","1074231.29","75196.19","0","0","75196.19"
"AIL Hospitality LLC dba Radisson Hotel","5",,"2022","M","2022-06-30T00:00:00.000","224697.43","15728.82","0","0","15728.82"
"TownePlace Suites at Gaithersburg","5",,"2022","M","2022-06-30T00:00:00.000","184721.51","12930.5","0","0","12930.5"
"Bethesda Hotel Associates LLC","5",,"2022","M","2022-06-30T00:00:00.000","793101.02","55517.07","0","0","55517.07"
"Maryland National Capital Park & Planning Commission","5",,"2022","M","2022-06-30T00:00:00.000","4199.25","293.94","0","0","293.94"
"Courtyard by Marriott Rockville #311D1","5",,"2022","M","2022-06-30T00:00:00.000","422087.71","29546.13","0","0","29546.13"
"TMG II BETHESDA HOTEL OPERATING COMPANY LLC","5",,"2022","M","2022-06-30T00:00:00.000","1700538.43","119037.69","0","0","119037.69"
"Airbnb Inc","5",,"2022","M","2022-06-30T00:00:00.000","1509776.72","105684.37","0","0","105684.37"
"Hampshire Lodging Inc","5",,"2022","M","2022-06-30T00:00:00.000","269243.09","18847.01","0","0","18847.01"
"Bedford Court","5",,"2022","M","2022-06-30T00:00:00.000","0","0","0","0","0"
"The Bethesdan Hotel","5",,"2022","M","2022-06-30T00:00:00.000","981092.77","68676.49","0","0","68676.49"
"T-R 1775 Rockville Owner LLC dba Rockville Even Hotel","5",,"2022","M","2022-06-30T00:00:00.000","351976.47","24638.35","0","0","24638.35"
"Global Serviced Apartments LLC","5",,"2022","M","2022-06-30T00:00:00.000","53011.08","3710.77","0","0","3710.77"
"LCOF Silver Spring Operating, LLC","5",,"2022","M","2022-06-30T00:00:00.000","674169.96","47191.89","0","0","47191.89"
"RGALTD T/A Comfort Inn","5",,"2022","M","2022-06-30T00:00:00.000","289349","20254.43","0","0","20254.43"
"SpringHill Suites by Marriott Gaithersburg #196A3","5",,"2022","M","2022-06-30T00:00:00.000","426094.57","29826.61","0","0","29826.61"
"Churchill Corporate Services Inc","5",,"2022","M","2022-06-30T00:00:00.000","9667.92","676.75","0","0","676.75"
"American Inn Bethesda","5",,"2022","M","2022-06-30T00:00:00.000","140255.51","9817.88","0","0","9817.88"
"Residence Inn by Marriott Bethesda Downtown #57136","5",,"2022","M","2022-06-30T00:00:00.000","725000.29","50750.02","0","0","50750.02"
"Canopy by Hilton-Washington DC-North Bethesda","5",,"2022","M","2022-06-30T00:00:00.000","714729","50031.03","0","0","50031.03"
"Courtyard by Marriott Bethesda/Chevy Chase","5",,"2022","M","2022-06-30T00:00:00.000","833112.76","58317.89","0","0","58317.89"
"EXTENDED STAY AMERICA #2528","5",,"2022","M","2022-06-30T00:00:00.000","130762.98","9153.4","0","0","9153.4"
"Hilton Garden Inn Silver Spring","5",,"2022","M","2022-06-30T00:00:00.000","423713.07","29659.91","0","0","29659.91"
"GAI Enterprises, LLC. DBA - Motel 6","5",,"2022","M","2022-06-30T00:00:00.000","223044.13","15613.08","0","0","15613.08"
"Courtyard by Marriott Gaithersburg Washingtonian Center #311DQ","5",,"2022","M","2022-06-30T00:00:00.000","827404.14","57918.28","0","0","57918.28"
"Bethesda Marriott #33728","5",,"2022","M","2022-06-30T00:00:00.000","1364288","95500.16","0","0","95500.16"
"EXTENDED STAY AMERICA #9663","5",,"2022","M","2022-06-30T00:00:00.000","160267.7","11218.73","0","0","11218.73"
"Aramark Sports & Entertainment Services, LLC","5",,"2022","M","2022-06-30T00:00:00.000","142149","9950.43","0","0","9950.43"
"Courtyard by Marriott Silver Spring #311F1","5",,"2022","M","2022-06-30T00:00:00.000","406483.57","28453.84","0","0","28453.84"
"Holiday Inn Gaithersburg","5",,"2022","M","2022-06-30T00:00:00.000","0","0","0","0","0"
"EXTENDED STAY AMERICA #9662","5",,"2022","M","2022-06-30T00:00:00.000","146204.21","10234.29","0","0","10234.29"
"EXTENDED STAY AMERICA #2529","5",,"2022","M","2022-06-30T00:00:00.000","91726.27","6420.83","0","0","6420.83"
"HomeAway.com, Inc.","5",,"2022","M","2022-06-30T00:00:00.000","104009.27","7280.64","0","0","7280.64"
