Case Number,Date Filed,Date Assigned,Date Closed,Disposition,Street Address,Unit Number,City,Zip Code,Service Request Number,Service Request Created Date,Service Request Closed Time,Service Request Status,Violation ID,Inspection Date,Corrected,Location Description,Action,Code Reference,Condition,Item,Latitude,Longitude,Location,Council Districts,Councils,Communities,Zip Codes,Municipalities,Council Districts_from_i23j_3mj8,Service Regions
175035,2022/09/01,2022/09/01,2022/09/01,Violations Corrected,8130 LANGPORT TER,,GAITHERSBURG,20877,1503265376,2022/08/26,2022/09/01,Closed,586523,2022/09/01,09/01/2022 12:00:00 AM,Entire Unit,No Action Necessary,,General Condition,No Violations Observed,0,0,"(0.0, 0.0)",,,,,,,
175003,2022/08/29,2022/08/29,2022/09/09,Violations Corrected,5206 WESTERN AVE,,CHEVY CHASE,20815,1503367430,2022/08/27,2022/09/09,Closed,586199,2022/08/29,09/08/2022 12:00:00 AM,Exterior,Cut within 10 days and maintain,26-9(b)(5),Grass and Weeds,Yard,0,0,"(0.0, 0.0)",,,,,,,
175003,2022/08/29,2022/08/29,2022/09/09,Violations Corrected,5206 WESTERN AVE,,CHEVY CHASE,20815,1503367430,2022/08/27,2022/09/09,Closed,586200,2022/08/29,09/08/2022 12:00:00 AM,Exterior,Remove dead tree limbs,26-9(b)(5),General Condition,Tree/ Tree Limbs/ Shrubbery,0,0,"(0.0, 0.0)",,,,,,,
175008,2022/08/29,2022/08/29,2022/09/07,FDA - Passed Inspection,8418 11TH AVE,,SILVER SPRING,20903,,,,,586423,2022/08/31,09/07/2022 12:00:00 AM,Entire Unit,Install on every level,26-8A(b)(2),General Condition,Carbon Monoxide Alarm-Single Dwelling,0,0,"(0.0, 0.0)",,,,,,,
175008,2022/08/29,2022/08/29,2022/09/07,FDA - Passed Inspection,8418 11TH AVE,,SILVER SPRING,20903,,,,,586425,2022/08/31,09/07/2022 12:00:00 AM,Bedroom 2,Repair/Replace,26-9(a)(1),General Condition,Walls/ Ceiling - Interior,0,0,"(0.0, 0.0)",,,,,,,
174994,2022/08/26,2022/08/26,2022/09/09,Violations Corrected,9024 MARSEILLE DR,,POTOMAC,20854,1504133770,2022/09/06,2022/09/09,Closed,586203,2022/08/29,09/09/2022 12:00:00 AM,Exterior,Remove dead tree - standing,26-9(b)(5),General Condition,Tree/ Tree Limbs/ Shrubbery,0,0,"(0.0, 0.0)",,,,,,,
174994,2022/08/26,2022/08/26,2022/09/09,Violations Corrected,9024 MARSEILLE DR,,POTOMAC,20854,1504265227,2022/09/07,2022/09/09,Closed,586203,2022/08/29,09/09/2022 12:00:00 AM,Exterior,Remove dead tree - standing,26-9(b)(5),General Condition,Tree/ Tree Limbs/ Shrubbery,0,0,"(0.0, 0.0)",,,,,,,
174994,2022/08/26,2022/08/26,2022/09/09,Violations Corrected,9024 MARSEILLE DR,,POTOMAC,20854,1503197430,2022/08/25,2022/09/09,Closed,586203,2022/08/29,09/09/2022 12:00:00 AM,Exterior,Remove dead tree - standing,26-9(b)(5),General Condition,Tree/ Tree Limbs/ Shrubbery,0,0,"(0.0, 0.0)",,,,,,,
174983,2022/08/25,2022/08/25,2022/09/07,Violation Unfounded,5020 BATTERY LN,,BETHESDA,20814,1502928490,2022/08/23,2022/09/07,,586138,2022/08/26,08/26/2022 12:00:00 AM,Entire Unit,No Action Necessary,,General Condition,No Violations Observed,0,0,"(0.0, 0.0)",,,,,,,
174980,2022/08/25,2022/08/25,2022/09/09,Violations Corrected,8304 TAHONA DR,,SILVER SPRING,20903,1502506642,2022/08/18,2022/09/09,Closed,586214,2022/08/29,09/09/2022 12:00:00 AM,Exterior,Remove and maintain grounds,26-9(a)(8),General Condition,Solid Waste,0,0,"(0.0, 0.0)",,,,,,,
174972,2022/08/25,2022/08/25,2022/09/09,Violations Corrected,707 NEW YORK AVE,,TAKOMA PARK,20912,1503155871,2022/08/25,2022/09/09,Closed,586048,2022/08/25,09/09/2022 12:00:00 AM,Exterior,Cut within 10 days and maintain,26-9(b)(5),Grass and Weeds,Yard,0,0,"(0.0, 0.0)",,,,,,,
174978,2022/08/25,2022/08/25,2022/08/25,Violations Corrected,7501 BLAIR RD,,TAKOMA PARK,20912,,,,,586080,2022/08/25,08/25/2022 12:00:00 AM,Exterior,Direct exterior lighting away from windows of adjacent dwelling,26-9(b)(6),Nuisance,Light/ Electrical Fixture,0,0,"(0.0, 0.0)",,,,,,,
174978,2022/08/25,2022/08/25,2022/08/25,Violations Corrected,7501 BLAIR RD,,TAKOMA PARK,20912,,,,,586079,2022/08/25,08/25/2022 12:00:00 AM,Exterior,Direct exterior lighting away from windows of adjacent dwelling,26-9(b)(6),Nuisance,Light/ Electrical Fixture,0,0,"(0.0, 0.0)",,,,,,,
174952,2022/08/24,2022/08/24,2022/08/31,Violation Unfounded,11230 SIBLEY TER,,GERMANTOWN,20876,1502873030,2022/08/22,2022/08/30,,585959,2022/08/25,08/31/2022 12:00:00 AM,Kitchen,Install/ Provide,26-9(a)(4),Gasket/ Seal,Refrigerator/ Freezer,0,0,"(0.0, 0.0)",,,,,,,
174929,2022/08/24,2022/08/24,2022/08/30,Violations Corrected,3712 MONITOR PL,,OLNEY,20832,,,,,585851,2022/08/25,08/30/2022 12:00:00 AM,Exterior,Remove hazardous tree - standing,26-9(a)(12),General Condition,Tree/ Tree Limbs/ Shrubbery,0,0,"(0.0, 0.0)",,,,,,,
174929,2022/08/24,2022/08/24,2022/08/30,Violations Corrected,3712 MONITOR PL,,OLNEY,20832,,,,,585850,2022/08/25,08/30/2022 12:00:00 AM,Exterior,Remove dead tree - standing,26-9(b)(5),General Condition,Tree/ Tree Limbs/ Shrubbery,0,0,"(0.0, 0.0)",,,,,,,
