"licensetype","licenseno","issueddate","expiredate","applicant","additionalapplicant","organization","businessname","addr1","addr2","city","state","zip","telephone","geolocation"
"BUILDING CONTRACTORS LICENSE","BC2862","1998-07-14T12:07:00.000","2024-07-14T12:07:00.000","_ WELTY HOMES, INC.","WELTY","WELTY HOMES, INC.",,"14205 Alta Oaks Drive","Apt# 203","Rockville","MD","20850","(301)530-4364","POINT (-77.206534 39.090054)"
"BUILDING CONTRACTORS LICENSE","BC2862","1998-07-14T12:07:00.000","2024-07-14T12:07:00.000","_ WELTY HOMES, INC.","WELTY HOMES, INC.","WELTY HOMES, INC.",,"14205 Alta Oaks Drive","Apt# 203","Rockville","MD","20850","(301)530-4364","POINT (-77.206534 39.090054)"
"BUILDING CONTRACTORS LICENSE","BC3963","2008-09-10T08:09:00.000","2024-09-10T12:09:00.000","_ CARL PETTY ASSOCIATES, LTD","CARL PETTY ASSOCIATES, LTD","CARL PETTY ASSOCIATES, LTD",,"5301 WESTBARD CIRCLE","UNIT 101","BETHESDA","MD","20016","(202)244-5004x","POINT (-77.108751 38.963818)"
"BUILDING CONTRACTORS LICENSE","BC2185","1998-08-12T12:08:00.000","2024-08-12T12:08:00.000","_ BEAZER HOMES, LLC","Merrill","BEAZER HOMES, LLC",,"6085 Marshalee Drive","Suite 350","Elkridge","MD","21075","(470)702-5071","POINT (-76.775569 39.205793)"
"BUILDING CONTRACTORS LICENSE","BC3676","2002-09-10T03:09:00.000","2024-09-10T12:09:00.000","_ HERITAGE HOME DEV. CORP.","NORRIS","HERITAGE HOME DEV. CORP.",,"15623 Riding Stable Road",,"Laurel","MD","20707","(240)786-5691","POINT (-76.90607 39.11251)"
"BUILDING CONTRACTORS LICENSE","BC3358","1998-08-07T12:08:00.000","2024-08-07T12:08:00.000","_ MERIDIAN HOMES, INC.","MERIDIAN HOMES, INC.","MERIDIAN HOMES, INC.",,"4938 HAMPDEN LANE","SUITE 330","BETHESDA","MD","20814","(301)652-4440x","POINT (-77.097801 38.982676)"
"BUILDING CONTRACTORS LICENSE","BC3963","2008-09-10T08:09:00.000","2024-09-10T12:09:00.000","_ CARL PETTY ASSOCIATES, LTD","PETTY","CARL PETTY ASSOCIATES, LTD",,"5301 WESTBARD CIRCLE","UNIT 101","BETHESDA","MD","20016","(202)244-5004x","POINT (-77.108751 38.963818)"
"BUILDING CONTRACTORS LICENSE","BC3358","1998-08-07T12:08:00.000","2024-08-07T12:08:00.000","_ MERIDIAN HOMES, INC.","LERNER","MERIDIAN HOMES, INC.",,"4938 HAMPDEN LANE","SUITE 330","BETHESDA","MD","20814","(301)652-4440x","POINT (-77.097801 38.982676)"
"BUILDING CONTRACTORS LICENSE","BC2185","1998-08-12T12:08:00.000","2024-08-12T12:08:00.000","_ BEAZER HOMES, LLC","BEAZER HOMES, LLC","BEAZER HOMES, LLC",,"6085 Marshalee Drive","Suite 350","Elkridge","MD","21075","(470)702-5071","POINT (-76.775569 39.205793)"
"BUILDING CONTRACTORS LICENSE","BC3676","2002-09-10T03:09:00.000","2024-09-10T12:09:00.000","_ HERITAGE HOME DEV. CORP.","HERITAGE HOME DEV. CORP.","HERITAGE HOME DEV. CORP.",,"15623 Riding Stable Road",,"Laurel","MD","20707","(240)786-5691","POINT (-76.90607 39.11251)"
"BUILDING CONTRACTORS LICENSE","BC2185","1998-08-12T12:08:00.000","2024-08-12T12:08:00.000","_ BEAZER HOMES, LLC","MERRILL","BEAZER HOMES, LLC",,"6085 Marshalee Drive","Suite 350","Elkridge","MD","21075","(470)702-5071","POINT (-76.775569 39.205793)"
"BUILDING CONTRACTORS LICENSE","BC227895","2020-08-05T04:08:13.000","2024-08-05T04:08:13.000","_ PYLE GROUP, LLC","PYLE GROUP, LLC",,,"6116 Executive Blvd","Suite 750","North Bethesda","MD","20852","(301)251-2001","POINT (-77.12542 39.048652)"
"BUILDING CONTRACTORS LICENSE","BC2877","1998-09-14T12:09:00.000","2024-09-14T12:09:00.000","_ HABITAT FOR HUMANITY METRO MARYLAND, INC.","HOLLINGSWORTH",,,"8380 COLESVILLE ROAD, SUITE 700",,"SILVER SPRING","MD","20910","(301)990-0014x","POINT (-77.032703 38.993341)"
"BUILDING CONTRACTORS LICENSE","BC227925","2020-09-01T10:09:56.000","2024-09-01T10:09:56.000","MB Becraft LLC","MB Becraft LLC",,,"1686 E. Gude Drive",,"Rockvill","MD","20850","(301)762-9511","POINT (-77.130846 39.092112)"
"BUILDING CONTRACTORS LICENSE","BC2479","1998-08-12T12:08:00.000","2024-08-12T12:08:00.000","_ S & R BUILDERS, INC.","SEONI","S & R BUILDERS, INC.",,"15720 PAGANO LANE",,"GERMANTOWN","MD","20874","(240)421-1221x","POINT (-77.30067 39.115293)"
"BUILDING CONTRACTORS LICENSE","BC4011","2010-09-08T12:09:00.000","2024-09-08T12:09:00.000","_ N & C CONSTRUCTION, INC.","BENITEZ","N & C CONSTRUCTION, INC.",,"3857 FARRAGUT AVENUE",,"KENSINGTON","MD","20895","(301)949-5500x","POINT (-77.076576 39.031854)"
"BUILDING CONTRACTORS LICENSE","BC3478","1998-09-02T12:09:00.000","2024-09-02T12:09:00.000","_ EDGEWOOD BUILDERS, INC.","EDGEWOOD BUILDERS, INC.","EDGEWOOD BUILDERS, INC.",,"2423 Dexter Avenue",,"Silver Spring","MD","20902","(301)233-4380","POINT (-77.052669 39.022041)"
"BUILDING CONTRACTORS LICENSE","BC205598","2012-10-03T11:10:37.000","2024-10-03T11:10:37.000","_ PCS, INC.","SEXTON","PCS, INC.",,,"10215 SUMMIT AVENUE","KENSINGTON","MD","20895","(301)404-5632","POINT (-77.077422 39.027698)"
"BUILDING CONTRACTORS LICENSE","BC3890","2006-08-22T09:08:00.000","2024-08-22T12:08:00.000","_ MIMAR CONSTRUCTION & DESIGN, INC.","NASSEHI","MIMAR CONSTR., & DESIGN, INC.",,"8816 TUCKERMAN LANE",,"POTOMAC","MD","20854","(301)219-8228x","POINT (-77.181918 39.046703)"
"BUILDING CONTRACTORS LICENSE","BC227934","2020-09-03T03:09:14.000","2024-09-03T03:09:14.000","_ GRANITE ENTERPRISES, INC.","GRANITE ENTERPRISES, INC.",,,"9813 Wilden Lane",,"Potomac","MD","20854","(301)299-4618","POINT (-77.20248 39.041512)"
"BUILDING CONTRACTORS LICENSE","BC4011","2010-09-08T12:09:00.000","2024-09-08T12:09:00.000","_ N & C CONSTRUCTION, INC.","N & C CONSTRUCTION, INC.","N & C CONSTRUCTION, INC.",,"3857 FARRAGUT AVENUE",,"KENSINGTON","MD","20895","(301)949-5500x","POINT (-77.076576 39.031854)"
"BUILDING CONTRACTORS LICENSE","BC3478","1998-09-02T12:09:00.000","2024-09-02T12:09:00.000","_ EDGEWOOD BUILDERS, INC.","SCHWARTZ","EDGEWOOD BUILDERS, INC.",,"2423 Dexter Avenue",,"Silver Spring","MD","20902","(301)233-4380","POINT (-77.052669 39.022041)"
"BUILDING CONTRACTORS LICENSE","BC227896","2020-08-05T04:08:43.000","2024-08-05T04:08:43.000","_ CHAPEL GARDEN, LLC","CHAPEL GARDEN, LLC",,,"6116 Executive Blvd.","Suite 750","North Bethesda","MD","20852","(301)251-2001","POINT (-77.12542 39.048652)"
"BUILDING CONTRACTORS LICENSE","BC2877","1998-09-14T12:09:00.000","2024-09-14T12:09:00.000","_ HABITAT FOR HUMANITY METRO MARYLAND, INC.","HABITAT FOR HUMANITY METRO MARYLAND, INC.",,,"8380 COLESVILLE ROAD, SUITE 700",,"SILVER SPRING","MD","20910","(301)990-0014x","POINT (-77.032703 38.993341)"
"BUILDING CONTRACTORS LICENSE","BC205598","2012-10-03T11:10:37.000","2024-10-03T11:10:37.000","_ PCS, INC.","PCS, INC.","PCS, INC.",,,"10215 SUMMIT AVENUE","KENSINGTON","MD","20895","(301)404-5632","POINT (-77.077422 39.027698)"
"BUILDING CONTRACTORS LICENSE","BC3890","2006-08-22T09:08:00.000","2024-08-22T12:08:00.000","_ MIMAR CONSTRUCTION & DESIGN, INC.","MIMAR CONSTRUCTION & DESIGN, INC.","MIMAR CONSTR., & DESIGN, INC.",,"8816 TUCKERMAN LANE",,"POTOMAC","MD","20854","(301)219-8228x","POINT (-77.181918 39.046703)"
"BUILDING CONTRACTORS LICENSE","BC2479","1998-08-12T12:08:00.000","2024-08-12T12:08:00.000","_ S & R BUILDERS, INC.","S & R BUILDERS, INC.","S & R BUILDERS, INC.",,"15720 PAGANO LANE",,"GERMANTOWN","MD","20874","(240)421-1221x","POINT (-77.30067 39.115293)"
"BUILDING CONTRACTORS LICENSE","BC229387","2022-09-02T02:09:14.000","2024-09-02T02:09:14.000","_ 7500 GLENRIDDLE ROAD, LLC","7500 GLENRIDDLE ROAD, LLC",,,"7500 Glenriddle Road",,"Bethesda",,"20817","(301)674-5830","POINT (-77.142253 38.983968)"
"BUILDING CONTRACTORS LICENSE","BC3202","1993-12-09T12:12:00.000","1995-12-09T12:12:00.000","_ C & J HOMES INC","C & J HOMES INC",,,"012902  FOLLY QUARTER  RD",,"ELLICOTT CITY","MD","21042",,"POINT (-76.959688 39.256635)"
"BUILDING CONTRACTORS LICENSE","BC229247","2022-05-09T09:05:43.000","2024-05-09T09:05:43.000","7018 Poplar LLC","7018 Poplar LLC",,,"4416 Tonquil Place",,"Bethesda","MD","20705","(202)236-7738","POINT (-76.921023 39.031957)"
"BUILDING CONTRACTORS LICENSE","BC3060","1991-07-18T12:07:00.000","1993-07-18T12:07:00.000","_ M J RAINES & CO INC","M J RAINES & CO INC",,,"008278  IMPERIAL  DR",,"LAUREL","MD","20708",,"POINT (-76.858051 39.067667)"
"BUILDING CONTRACTORS LICENSE","BC213402","2014-03-10T11:03:05.000","2024-03-10T11:03:05.000","_ KEVIN SLEZAK","SLEZAK",,,"5241 TURKEY POINT ROAD",,"NORTH EAST","MD","21901","(443)752-5621","POINT (-75.997366 39.463154)"
"BUILDING CONTRACTORS LICENSE","BC223935","2017-07-11T03:07:02.000","2021-07-11T03:07:02.000","_ CMH VILLAGE, LC","CMH VILLAGE, LC",,,"1355 Beverly Road","Suite 330","McLean","VA","22101","(703)734-9855","POINT (-77.177751 38.936807)"
"BUILDING CONTRACTORS LICENSE","BC216341","2014-09-08T04:09:03.000","2016-09-08T04:09:03.000","_ HAVERFORD CONSTRUCTION CORPORATION","HAVERFORD CONSTRUCTION CORPORATION","HAVERFORD CONSTRUCTION CORP.",,"6110 EXECUTIVE BLVD.","SUITE 430","ROCKVILLE","MD","20852","(301)864-6500","POINT (-77.125002 39.048557)"
"BUILDING CONTRACTORS LICENSE","BC229229","2022-04-29T08:04:15.000","2024-04-29T08:04:15.000","Navaneeth Muthuveerasamy & Shathiya Navaneeth","Navaneeth Muthuveerasamy & Shathiya Navaneeth",,,"11015 Ralston Road",,"Rockville","MD","20852","(301)538-7664","POINT (-77.130334 39.036894)"
"BUILDING CONTRACTORS LICENSE","BC3002","1999-03-10T12:03:00.000","2013-03-10T12:03:00.000","LOUIS DOBSON","THE CORTLAND GROUP LTD.","THE CORTLAND GROUP, LTD.",,"2502 SAINT GEORGE WAY",,"BROOKEVILLE","MA","20833","(301)570-6671x","POINT (-77.053913 39.168446)"
"BUILDING CONTRACTORS LICENSE","BC3968","2008-10-07T03:10:18.000","2010-10-07T03:10:18.000","JANUSZ BAZYLUK","VAVEL DESIGN/BUILD","VAVEL DESIGN/BUILD",,"10226 CAPITOL VIEW AVENUE",,"SILVER SPRING","MD","20910","(301)585-1005x","POINT (-77.065283 39.023237)"
"BUILDING CONTRACTORS LICENSE","BC226506","2019-02-05T01:02:27.000","2023-02-05T01:02:27.000","Rivers Edge Builders, LLC","Rivers Edge Builders, LLC",,,"1682 E. Gude Drive","# 301","Rockville","Md","20850","(301)395-3795","POINT (-77.13091 39.092195)"
"BUILDING CONTRACTORS LICENSE","BC221063","2015-09-01T01:09:18.000","2023-09-01T01:09:18.000","_ KOLBE DESIGNS, LLC","BEDROUD","KOLBE DESIGNS, LLC",,"6511 E. HALBERT ROAD",,"BETHESDA","MD","20817","(301)252-6894","POINT (-77.14047 38.976019)"
"BUILDING CONTRACTORS LICENSE","BC203747","2012-07-05T04:07:28.000","2022-07-05T04:07:28.000","_ ALTA DEVELOPMENT, LLC","ALTA DEVELOPMENT, LLC","ALTA DEVELOPMENT, LLC",,"2323 Tracy Place, NW",,"Washington","DC","20008","(703)725-6215","POINT (-77.052027 38.916294)"
"BUILDING CONTRACTORS LICENSE","BC216782","2014-10-08T11:10:16.000","2022-10-08T11:10:16.000","_ WASHINGTON LANDMARK CONSTRUCTION, LLC","VOGLMAYR",,,"4955 BUTTERWORTH PLACE, NW",,"WASHINGTON","DC","20016","(202)439-7701","POINT (-77.0989 38.948806)"
"BUILDING CONTRACTORS LICENSE","BC3518","1999-07-13T12:07:00.000","2005-07-13T12:07:00.000","ROBERT HAHN","HAHN","REHCO COMPANY, INC.",,"7008  HEATHERHILL  ROAD",,"BETHESDA","MD","20817","(301)229-2661x","POINT (-77.152104 38.97963)"
"BUILDING CONTRACTORS LICENSE","BC215641","2014-07-24T02:07:47.000","2018-07-24T12:07:00.000","_ RENOVATION STUDIO, LLC","LONGO","RENOVATION STUDIO, LLC",,"3932 WASHINGTON STREET",,"KENSINGTON","MD","20895","(240)374-2525","POINT (-77.078991 39.023077)"
"BUILDING CONTRACTORS LICENSE","BC0835","1991-06-08T12:06:00.000","1993-06-08T12:06:00.000","_ JOHN C WALKER REALTY CORP","JOHN C WALKER REALTY CORP",,,"006835  OLNEY LAYTONSVILLE  RD",,"LAYTONSVILLE","MD","20882",,"POINT (-77.139531 39.204208)"
"BUILDING CONTRACTORS LICENSE","BC3363","1998-09-11T12:09:00.000","2010-09-11T12:09:00.000","HOWARD KANDEL","KANDEL","KANDEL CONSTRUCTION GROUP,INC.",,"10020 FALLS ROAD",,"POTOMAC","MD","20854","(301)775-7727x","POINT (-77.208143 39.020111)"
"BUILDING CONTRACTORS LICENSE","BC3189","1993-09-03T12:09:00.000","1995-09-03T12:09:00.000","_ NEWMARKET CONSTRUCTION INC","NEWMARKET CONSTRUCTION INC",,,"004310  MOUNTVILLE  RD",,"JEFFERSON","MD","21755",,"POINT (-77.52225 39.353168)"
"BUILDING CONTRACTORS LICENSE","BC228315","2021-03-10T09:03:34.000","2023-03-10T09:03:34.000","_ MATHEW PLEDGER & ESTHER eMSELLEM","MATHEW PLEDGER & ESTHER eMSELLEM",,,"5908 Sonoma Road",,"Bethesda",,"20817","(919)360-1138","POINT (-77.119447 39.002705)"
"BUILDING CONTRACTORS LICENSE","BC3012","1992-09-11T12:09:00.000","1994-09-11T12:09:00.000","_ PETER WOLFE & CO","PETER WOLFE & CO",,,"014635  CROSSWAY  RD",,"ROCKVILLE","MD","20853",,"POINT (-77.08738 39.097605)"
"BUILDING CONTRACTORS LICENSE","BC3204","1993-12-20T12:12:00.000","1995-12-20T12:12:00.000","_ PETRA BUILDERS INC","PETRA BUILDERS INC",,,"006527  RYANLYNN  DR",,"FAIRFAX STATION","VA","22039",,"POINT (-77.343295 38.776927)"
"BUILDING CONTRACTORS LICENSE","BC3631","2001-10-02T12:10:26.000","2003-10-02T12:10:26.000","JEFFREY JONES","JONES","VENTURE BUILDERS, INC.",,"4801 SUNDOWN ROAD",,"LAYTONSVILLE","MD","20882","(301)774-5583x","POINT (-77.091991 39.22026)"
"BUILDING CONTRACTORS LICENSE","BC3066","1997-09-09T12:09:00.000","2003-09-09T12:09:00.000","AMARDIP RANDHAWA","RANDHAWA","ASR DESIGNERS & BUILDERS",,"006712  WHITTIER  AVENUE",,"MCLEAN","VA","22101","(703)448-0770x","POINT (-77.175688 38.931694)"
"BUILDING CONTRACTORS LICENSE","BC3693","2003-01-07T03:01:02.000","2023-01-07T12:01:00.000","DREAM HOMES BY FOROUTAN DREAM HOME REMODELING & CONSTRUCTION, LLC","FOROUTAN","DREAM HOME REMODELING & CONSTR",,"7009 MILLWOOD ROAD",,"BETHESDA","MD","20817","(301)657-4060x","POINT (-77.120542 38.980742)"
"BUILDING CONTRACTORS LICENSE","BC227717","2020-04-30T01:04:40.000","2022-04-30T01:04:40.000","Atul Kashinath Living Trust","Atul Kashinath Living Trust",,,"8706 Ewing Drive",,"Bethesda","MD","20817","(202)250-4434","POINT (-77.123032 38.998488)"
"BUILDING CONTRACTORS LICENSE","BC224228","2017-12-07T09:12:48.000","2021-12-07T09:12:48.000","_ Bethel Regency Homes, LLC","Bethel Regency Homes, LLC",,,"4815 Prince Georges Ave.","# 204","Beltsville","MD","20705","(301)937-7500","POINT (-76.909817 39.03966)"
"BUILDING CONTRACTORS LICENSE","BC3033","1999-04-12T12:04:00.000","2013-04-12T12:04:00.000","JOEL SOMMER","SOMMER","SOMMER HOMES, INC.",,"8120  SPLIT OAK  DRIVE",,"BETHESDA","MD","20817","(301)365-2071x","POINT (-77.166176 38.998662)"
"BUILDING CONTRACTORS LICENSE","BC3519","1999-06-13T12:06:00.000","2013-07-13T12:07:00.000","BRUCE WIEDEMAN","WIEDEMAN","SOLID ROCK CONSTRUCTION, INC.",,"892 SUMMER COURT",,"WESTMINSTER","MD","21158","(410)857-4338x","POINT (-77.026556 39.574774)"
"BUILDING CONTRACTORS LICENSE","BC2668","1998-07-31T12:07:00.000","2004-07-30T12:07:00.000","MARIA MARTINEZ-PATTERSON","MARTINEZ-PATTERSON","P AND P GENERAL CONTRACTORS",,"018209  HOLLINGSWORTH  DRIVE",,"ROCKVILLE","MD","20855","(301)948-7132x","POINT (-77.136061 39.153921)"
"BUILDING CONTRACTORS LICENSE","BC213421","2014-03-10T02:03:03.000","2022-03-10T02:03:03.000","_ METROPOLITAN INDUSTRIES, INC.","KEATING","METROPOLITAN INDUSTRIES, INC.",,"5014 46TH AVENUE",,"EDMONSTON","MD","20781","(301)277-3747","POINT (-76.938481 38.95205)"
"BUILDING CONTRACTORS LICENSE","BC228396","2021-04-08T09:04:11.000","2023-04-08T09:04:11.000","_ DELBERT ADAMS CONSTRUCTION GROUP, LLC","DELBERT ADAMS CONSTRUCTION GROUP, LLC",,,"6305 Falls Road",,"Baltimore","MD","21209","(410)583-7575","POINT (-76.658163 39.384405)"
"BUILDING CONTRACTORS LICENSE","BC3993","2009-07-10T09:07:45.000","2011-07-10T09:07:45.000","MATTHEW WILLIS","WILLIS","WILLIS BUILDER, INC.",,"3113 VERONA COURT",,"SILVER SPRING","MD","20906","(240)277-5896x","POINT (-77.064205 39.076238)"
