OBJECTID,OWNER,PARK_NAME,FACILITY_C,TYPE_,ACRES,URL,SHAPE
31,WSSC,Triadelphia Reservoir,,Water Supply,1100.260500599999887,,"(39.237801183000045, -77.04953934299994)"
37,Rockville,Dawson Farm Park,,Municipal,1.82688697,http://www.rockvillemd.gov/parks-facilities/dawson.htm,"(39.07388630600008, -77.14448364599997)"
41,Rockville,Kinship Park,,Municipal,0.47542116,http://www.rockvillemd.gov/parks-facilities/kinship.htm,"(39.08756817500006, -77.15381217799995)"
43,Friendship Heights,William Tyler Page Park,,Municipal,0.34147331,,"(38.963728142000036, -77.09299731799996)"
66,WSSC,WSSC Filtration Plant,,Water Supply,71.472457849999998,,"(39.03832500000004, -77.25098095199996)"
74,State of Maryland,Islands of the Potomac WMA,,State,502.63293182000001,,"(39.072575345000075, -77.42884745599997)"
81,Town of Chevy Chase,Rosemary Triangle Park,,Municipal,0.17450721,,"(38.97824381100003, -77.08165045999993)"
89,Rockville,David Scull Park,,Municipal,3.73125232,http://www.rockvillemd.gov/parks-facilities/dscull.htm,"(39.09491630100007, -77.13324456899994)"
92,Rockville,Promenade Park,,Municipal,0.35381433, ,"(39.08408071800005, -77.14895964099998)"
101,United States,Dalecarlia Reservoir,,Water Supply,140.645406180000009,,"(38.94404398300003, -77.11897358799996)"
103,State of Maryland,Patuxent River State Park,,State,3136.157056189999821,,"(39.275905032000026, -77.13409900699997)"
120,Takoma Park,Forest Park,,Municipal,1.41436078,,"(38.975823596000055, -77.00002669399998)"
407,Takoma Park,Glengary Place Park,,Municipal,0.85169753,,"(38.98075905500008, -76.99073637099997)"
410,Town of Chevy Chase,Zimmerman Park,,Municipal,0.68590044,,"(38.986573528000065, -77.08332891299995)"
417,Town of Chevy Chase,Rosemary Circle Park,,Municipal,0.26974196,,"(38.97790549100006, -77.08038287299996)"
421,Takoma Park,Spring Park,,Municipal,3.07841435,,"(38.97237259700006, -77.00563091399994)"
426,Chevy Chase Village,Small Oliver Park,,Municipal,0.1334138,,"(38.96659826400003, -77.08224188499997)"
433,Rockville,North Street Park,,Municipal,0.1648892,http://www.rockvillemd.gov/parks-facilities/northst.htm,"(39.09016999000005, -77.15450410599993)"
443,Takoma Park,Memorial Park,,Municipal,0.4110287,,"(38.98073053200005, -77.01075346599998)"
445,WSSC,Triadelphia Reservoir,,Water Supply,31.86003723,,"(39.191027054000074, -77.00370509699997)"
454,Rockville,Mary Trumbo Park,,Municipal,0.24961175,http://www.rockvillemd.gov/parks-facilities/mary-trumbo.htm,"(39.08635671800005, -77.14439551399994)"
456,Chevy Chase Village,Laurel Park,,Municipal,0.82935478,,"(38.97194331700007, -77.07927809199998)"
458,Takoma Park,B.Y. Morrison Park,,Municipal,0.14447879,,"(38.978506863000064, -77.00562297899995)"
459,Rockville,Open Space,,Municipal,0.73841751, ,"(39.07779362700006, -77.16949253599995)"
461,Chevy Chase Village,Belmont Buffer Park,,Municipal,0.34464959,,"(38.965040411000075, -77.08642328499997)"
462,Takoma Park,Toatley Fraser Park,,Municipal,0.28957777,,"(38.99349312800007, -77.00324768899998)"
476,Takoma Park,Thomas Siegler Historic Site,,Municipal,0.20118075,,"(38.977226002000066, -77.01442066299995)"
478,M-NCPPC,Matthew Henson State Park Unit #2,L11,Stream Valley,36.735729759999998,http://www.mc-mncppc.org/parks/,"(39.07650086700005, -77.06948301699998)"
479,Rockville,Dawson Farm Park,,Municipal,7.49641903,http://www.rockvillemd.gov/parks-facilities/dawson.htm,"(39.07502966000004, -77.14250116099998)"
