Licensee Name,Street,City,State,Zip,Licensee Number,Channel Type,Account Name,Location,MoCo_boundary,Zip Codes,Communities,Councils,Municipalities
TWIN VALLEY DISTILLERS,1029 E. GUDE DR.,ROCKVILLE,MD,20850,OCP123261,On Premise,"CELICAR, LLC","1029 E. GUDE DR.
ROCKVILLE, MD 20850
(39.098377, -77.13765)",1,71,27,3,1
FARMSOOK HAPPINESS THAI KITCHEN,"800 KING FARM BLVD., #125",ROCKVILLE,MD,20850,BBWLHR100259,On Premise,"FARMSOOK, LLC","800 KING FARM BLVD., #125
ROCKVILLE, MD 20850
(39.111796, -77.177755)",1,71,25,3,12
MATCHBOX-BETHESDA,7278 WOODMONT AVE.,BETHESDA,MD,20814,BBWLHR95262,On Premise,"MATCHBOX BETHESDA, LLC","7278 WOODMONT AVE.
BETHESDA, MD 20814
(38.981852, -77.096022)",1,111,12,1,1
SUNDAY MORNING BAKEHOUSE,11869 GRAND PARK AVE.,NORTH BETHESDA,MD,20852,BBWLHR42483,On Premise,"SUNDAY MORNING BAKEHOUSE, LLC","11869 GRAND PARK AVE.
NORTH BETHESDA, MD 20852
(39.050391, -77.117345)",1,60,19,1,1
THE BETHESDA BAZAR,8006 NORFOLK AVENUE,BETHESDA,MD,20814,ABWS160264,Off Premise,"AESOLUTIONS, LLC","8006 NORFOLK AVENUE
BETHESDA, MD 20814
(38.989884, -77.098878)",1,111,12,1,1
BONCHON CHICKEN-KENTLANDS,130 MARKET ST.,GAITHERSBURG,MD,20878,BBWLHR277259,On Premise,"KF KENTLANDS, INC.","130 MARKET ST.
GAITHERSBURG, MD 20878
(39.122645, -77.234936)",1,33,36,3,21
DEBAB RESTAURANT,952 SLIGO AVE.,SILVER SPRING,MD,20910,BBWLHR304268,On Premise,"AMROT, LLC","952 SLIGO AVE.
SILVER SPRING, MD 20910
(38.990253, -77.025745)",1,3065,7,5,1
HOT POT HERO,100 PARAMOUNT PARK DR.,GAITHERSBURG,MD,20879,HBWHR299259,On Premise,"HPH ROCKVILLE, LLC","100 PARAMOUNT PARK DR.
GAITHERSBURG, MD 20879
(39.159485, -77.22167)",1,31,36,3,21
MIX BAR & GRILLE,8241 GEORGIA AVENUE,SILVER SPRING,MD,20910,BBWLHR20197,On Premise,"BP HOSPITALITY GROUP, LLC","8241 GEORGIA AVENUE
SILVER SPRING, MD 20910
(38.992822, -77.026558)",1,3065,7,5,1
NC-MEDINA CUISINE,6301 MONTROSE RD.,ROCKVILLE,MD,20852,CATBWL767357,On Premise,"THE KOSHER KITCHEN CATERING CO, LLC","6301 MONTROSE RD.
ROCKVILLE, MD 20852
(39.052973, -77.128805)",1,60,19,3,1
A & H CONVENIENCE MARKET,11235 OAK LEAF DR.,SILVER SPRING,MD,20901,ABW190259,Off Premise,A&H CONVENIENCE MARKET,"11235 OAK LEAF DR.
SILVER SPRING, MD 20901
(39.040723, -76.995529)",1,21,18,5,1
THE BLOCK AT PIKE & ROSE,967 ROSE AVENUE,ROCKVILLE,MD,20852,BBWLHR127259,On Premise,"THE BLOCK AT PIKE & ROSE, INC.","967 ROSE AVENUE
ROCKVILLE, MD 20852
(39.051169, -77.115844)",1,60,19,1,1
BANGKOK GARDEN-ROCKVILLE,891-D ROCKVILLE PIKE,ROCKVILLE,MD,20852,BBWHR209259,On/Off-Premise,"V&Y FOOD, LLC","891-D ROCKVILLE PIKE
ROCKVILLE, MD 20852
(39.074883, -77.13643)",1,60,25,3,12
NT-BIRYANI JOINT INDIAN CUISINE,15504 OLD COLUMBIA PIKE,BURTONSVILLE,MD,20866,BBWHR885396,On/Off-Premise,HASHTAG FOOD AND BEVERAGE LLC,"15504 OLD COLUMBIA PIKE
BURTONSVILLE, MD 20866
(39.109736, -76.934828)",1,47,30,5,1
NC-RIDGEWELLS,5520 CLIPPER LANE,BETHESDA,MD,20816,CATBWL19232,On Premise,RIDGEWELLS,"5520 CLIPPER LANE
BETHESDA, MD 20816
(38.964332, -77.101794)",1,107,12,1,1
NC-SIMPLY FRESH EVENTS,7621 RICKENBACKER DRIVE #500,GAITHERSBURG,MD,20879,CATBWL28122,On Premise,"SIMPLY FRESH EVENTS, LLC","7621 RICKENBACKER DRIVE #500
GAITHERSBURG, MD 20879
(39.173459, -77.158101)",1,31,36,4,1
AMY TEXMEX BAR AND GRILL LLC,621 SLIGO AVE.,SILVER SPRING,MD,20910,BBWLHR798369,On Premise,AMY TEX MEX BAR & GRILL CORP,"621 SLIGO AVE.
SILVER SPRING, MD 20910
(38.991126, -77.014576)",1,3065,7,5,1
GHAR-E-KABAB,944 WAYNE AVE.,SILVER SPRING,MD,20910,BBWLHR802372,On Premise,MDD GROUP LLC,"944 WAYNE AVE.
SILVER SPRING, MD 20910
(38.994631, -77.025739)",1,3065,7,5,1
MEZEHUB,11506-11508 SCHUYLKILL RD,ROCKVILLE,MD,20852,DBW416289,On/Off-Premise,"FILLY FOODS, LLC","11506-11508 SCHUYLKILL RD
ROCKVILLE, MD 20852
(39.045587, -77.097509)",1,60,19,4,1
ENGOCHA MARKET,"11406 GEORGIA AVE, STE A",WHEATON,MD,20902,ABW34662,Off Premise,"ENGOCHA, LLC","11406 GEORGIA AVE, STE A
WHEATON, MD 20902
(39.042028, -77.051982)",1,17,16,4,1
N-CUBASI BISTRO,4710 BETHESDA AVE SUITE A,BETHESDA,MD,20814,BBWLHR873396,On Premise,CUBASI BISTRO CORP,"4710 BETHESDA AVE SUITE A
BETHESDA, MD 20814
(38.981021, -77.093828)",1,111,12,1,1
SQUISITO PIZZA & PASTA,15654 OLD COLUMBIA PIKE,BURTONSVILLE,MD,20866,HBWHR43859,On Premise,"PUNCEATYME, INC.","15654 OLD COLUMBIA PIKE
BURTONSVILLE, MD 20866
(39.112823, -76.932866)",1,47,30,5,1
N-LA CATRINA LOUNGE,4935 CORDELL AVENUE,BETHESDA,MD,20814,BBWLHR878396,On Premise,LA CATRINA LOUNGE LLC,"4935 CORDELL AVENUE
BETHESDA, MD 20814
(38.988911, -77.098565)",1,111,12,1,1
MARIA'S CAFE & RESTAURANT,11305 ELKIN ST.,WHEATON,MD,20902,BBWLHR185262,On Premise,"MARIA'S CAFE & RESTAURANT, INC.","11305 ELKIN ST.
WHEATON, MD 20902
(39.040457, -77.05035)",1,17,16,4,1
HALFSMOKE,7101 DEMOCRACY BLVD.,BETHESDA,MD,20817,DBWL800367,On Premise,"HS WESTFIELD, LLC","7101 DEMOCRACY BLVD.
BETHESDA, MD 20817
(39.0242, -77.1459)",1,103,19,1,1
N-JOY BY SEVEN REASONS,5471-F WISCONSN AVE,CHEVY CHASE,MD,20815,BBWLHR,On Premise,JOY7R LLC,"5471-F WISCONSN AVE
CHEVY CHASE, MD 20815
(38.963042, -77.086756)",1,110,5,1,1
N-BONCHON,19775 FREDERICK ROAD,GERMANTOWN,MD,20876,BBWLHR881399,On Premise,"JSM BC GERMANTOWN, LLC","19775 FREDERICK ROAD
GERMANTOWN, MD 20876
(39.179618, -77.238366)",1,36,39,2,1
NINJA SUSHI,13452 NEW HAMPSHIRE AVE.,SILVER SPRING,MD,20904,BBWHR372277,On/Off-Premise,"NINJA SUSHI, INC.","13452 NEW HAMPSHIRE AVE.
SILVER SPRING, MD 20904
(39.076762, -77.001835)",1,12,26,4,1
Z-GEPETTO CATERING COMPANY,4505 QUEENSBURY ROAD,RIVERDALE,MD,20737,CATBWL26369,On Premise,"GEPETTO CATERING COMPANY, INC.","4505 QUEENSBURY ROAD
RIVERDALE, MD 20737
(38.963028, -76.938235)",,1731,,,
NC-ROSE'S AT HOME CATERING,5223 RIVER RD.,POTOMAC,MD,20816,CATBWL431274,On Premise,"RRG CATERING, LLC","5223 RIVER RD.
POTOMAC, MD 20816",,,,,
N-LA GELATTERIA,10414 DETRICK AVE #500,KENSINGTON,MD,20895,BBWLHR779375,,LA GELATTERIA LLC,"10414 DETRICK AVE #500
KENSINGTON, MD 20895
(39.02795, -77.077975)",1,25,15,1,6
BEST BEER WINE AND DELI,18749-A NORTH FREDERICK ROAD,GAITHERSBURG,MD,20879,ABW854397,Off Premise,BEST BEER WINE AND DELI,"18749-A NORTH FREDERICK ROAD
GAITHERSBURG, MD 20879
(39.163477, -77.226134)",1,31,36,3,21
OLNEY BEER & WINE,18316 VILLAGE CENTER DR,OLNEY,MD,20832,DBW39022,On/Off-Premise,"MERC ENTERPRISES, INC.","18316 VILLAGE CENTER DR
OLNEY, MD 20832
(39.153785, -77.063134)",1,100,58,4,1
GOOD HARVEST,5700-A FISHER LANE,ROCKVILLE,MD,20852,BBWHR393275,On/Off-Premise,"HS HARVEST, INC.","5700-A FISHER LANE
ROCKVILLE, MD 20852
(39.062757, -77.117447)",1,60,19,4,12
DISTRICT TACO,1310 EAST WEST HWY.,SILVER SPRING,MD,20910,HBWHR387275,On Premise,"DISTRICT TACO, LLC","1310 EAST WEST HWY.
SILVER SPRING, MD 20910
(38.99282, -77.031575)",1,3065,7,5,1
KOOK KAI'S THAI NOODLES,939 BONIFANT ST,SILVER SPRING,MD,20910,BBWHR825372,On/Off-Premise,"PK FOOD SERVICE, LLC","939 BONIFANT ST
SILVER SPRING, MD 20910
(38.993902, -77.025212)",1,3065,7,5,1
N-THE HEIGHTS,5406 WISCONSIN AVE SUITE A,CHEVY CHASE,MD,20815,BBWLHR878403,On Premise,THE HEIGHTS MD LLC,"5406 WISCONSIN AVE SUITE A
CHEVY CHASE, MD 20815
(38.96121, -77.086026)",1,110,5,1,1
VIRRAAJ,4914 CORDELL AVE.,BETHESDA,MD,20814,BBWLHR309260,On Premise,"VIRAAJ REST. GROUP,LLC","4914 CORDELL AVE.
BETHESDA, MD 20814
(38.989005, -77.098473)",1,111,12,1,1
DICKERSON MARKET,PO BOX 175,DICKERSON,MD,20842,ABW052,Off Premise,"DICKERSON SERVICES, INC.","PO BOX 175
DICKERSON, MD 20842",,,,,
EL AGUILA-RANDOLPH ROAD,55 RANDOLPH RD.,SILVER SPRING,MD,20904,BBWLHR203297,On Premise,"JWA, LLC","55 RANDOLPH RD.
SILVER SPRING, MD 20904
(39.075476, -77.004069)",1,12,26,4,1
ATTMAN'S DELICATESSEN,12505 PARK POTOMAC AVE.,POTOMAC,MD,20854,BBWHR403274,On/Off-Premise,"ATTMAN'S DELI. CABIN JOHN, LLC","12505 PARK POTOMAC AVE.
POTOMAC, MD 20854
(39.060806, -77.157996)",1,53,20,3,1
SPICE STREET,8242 GEORGIA AVE.,SILVER SPRING,MD,20910,BBWLHR374284,On Premise,"MD ARSHVEER, LLC","8242 GEORGIA AVE.
SILVER SPRING, MD 20910
(38.993025, -77.026748)",1,3065,7,5,1
SILVER STRINGS,8630 COLESVILLE RD.,SILVER SPRING,MD,20910,BBWLHR42502,On Premise,"SILVER STRINGS, INC.","8630 COLESVILLE RD.
SILVER SPRING, MD 20910
(38.996952, -77.027518)",1,3065,7,5,1
FLOWER CHILD-BETHESDA,"10205 OLD GEORGETOWN RD.,",BETHESDA,MD,20814,HBWHR37056,On Premise,"FC WILDWOOD, LLC","10205 OLD GEORGETOWN RD.,
BETHESDA, MD 20814
(39.022756, -77.123692)",1,111,12,1,1
MAHDANG,12300 WILKINS AVENUE,ROCKVILLE,MD,20852,BBWLHR43343,On Premise,"MASJIB, LLC","12300 WILKINS AVENUE
ROCKVILLE, MD 20852
(39.058047, -77.112918)",1,60,19,4,1
GYUZO,33 MARYLAND AVE.,ROCKVILLE,MD,20850,BBWLHR314262,On Premise,"SETSAIL, LLC","33 MARYLAND AVE.
ROCKVILLE, MD 20850
(39.085575, -77.150996)",1,71,25,3,12
VIET PHO & GRILL,1640 ELTON RD.,SILVER SPRING,MD,20903,HBWHR156259,On Premise,"VIET PHO & GRILL, LLC","1640 ELTON RD.
SILVER SPRING, MD 20903
(39.020061, -76.975316)",1,15,11,5,1
