"application_type","permit_number","work_type","addeddate","issuedate","description","businesstype","street_number","pre_direction","street_name","street_suffix","post_direction","city","state","zip_code","latitude","longitude","general_location","location"
"CODE MODIFICATION","991330","INSTALL","2022-04-26T02:04:46.000","2022-08-15T08:08:02.000","NFPA 1221 2016 <strong><font face=""Segoe UI"" style=""background-color: rgb(232, 232, 231);"">FIREALARM-989915</font></strong>","COMMERCIAL","9650",,"ROCKVILLE","PIKE",,"BETHESDA","MD","20814","39.013984","-77.100237",,"POINT (-77.100237 39.013984)"
"CODE MODIFICATION","976727","ALTER","2021-12-07T03:12:58.000","2022-02-04T11:02:44.000","2015 NFPA 101 Life Safety Code","COMMERCIAL","9601",,"CEDAR","LN",,"KENSINGTON","MD","20895","39.0131","-77.089325",,"POINT (-77.089325 39.0131)"
"CODE MODIFICATION","979957","ADD","2022-01-13T08:01:14.000","2022-02-04T11:02:32.000","2015 NFPA 101, Life Safety Code  ; 2018 IBC","COMMERCIAL","23601",,"LAYTONSVILLE","RD",,"GAITHERSBURG","MD","20882","39.243195","-77.142988",,"POINT (-77.142988 39.243195)"
"CODE MODIFICATION","973813","ALTER","2021-11-10T11:11:12.000","2022-02-04T11:02:31.000","925594, 938363 IBC-2018","COMMERCIAL","15401",,"FREDERICK","RD",,"ROCKVILLE","MD","20855","39.108364","-77.158989",,"POINT (-77.158989 39.108364)"
"CODE MODIFICATION","978847","ALTER","2021-12-29T12:12:40.000","2022-02-04T11:02:28.000","<p>2018 IBC</p> <p>IBC Table Table 705.2 ""Minimum Distance of Projectons""</p>","COMMERCIAL","4906",,"DEL RAY","AVE",,"BETHESDA","MD","20814","38.989476","-77.098824",,"POINT (-77.098824 38.989476)"
"CODE MODIFICATION","978534","ALTER","2021-12-23T11:12:26.000","2022-02-04T11:02:11.000","NFPA 1 &amp; 101/2015","COMMERCIAL","9500",,"BRUNETT","AVE",,"SILVER SPRING","MD","20901","39.011307","-77.024323",,"POINT (-77.024323 39.011307)"
"CODE MODIFICATION","979809","ALTER","2022-01-11T03:01:17.000","2022-02-04T11:02:10.000","<p>2015 International Building Code</p> <p>Chapter 12, Section 1208 ""Interior Space Dimensions"", Subsection 1208.2 ""Minimum Ceiling Heights</p>","COMMERCIAL","515",,"THAYER","AVE",,"SILVER SPRING","MD","20910","38.993999","-77.013381",,"POINT (-77.013381 38.993999)"
"CODE MODIFICATION","978845","ALTER","2021-12-29T12:12:02.000","2022-02-04T11:02:09.000","<p>2018 IBC (&amp; 2015 NFPA 101)</p><p>IBC Section 1028.5: ""Access to a public way"" (NFPA 101 Section 7.7.1 ""Exit Termination"")</p>","COMMERCIAL","4906",,"DEL RAY","AVE",,"BETHESDA","MD","20814","38.989476","-77.098824",,"POINT (-77.098824 38.989476)"
"CODE MODIFICATION","978846","ALTER","2021-12-29T12:12:30.000","2022-02-04T11:02:02.000","<p>2018 IBC</p> <p>IBC Table 602: ""Fire Separation Distance"" &amp; Table 705.8 ""Maximum Area of Exterior Wall Openings""</p>","COMMERCIAL","4906",,"DEL RAY","AVE",,"BETHESDA","MD","20814","38.989476","-77.098824",,"POINT (-77.098824 38.989476)"
"CODE MODIFICATION","966402","ALTER","2021-09-09T08:09:26.000","2022-02-03T03:02:57.000","2016 Version of NFPA13","COMMERCIAL","5454",,"NICHOLSON","LN",,"KENSINGTON","MD","20895","39.044689","-77.108646",,"POINT (-77.108646 39.044689)"
"CODE MODIFICATION","972676","ALTER","2021-11-02T08:11:16.000","2022-02-03T03:02:48.000","2018 IBC","COMMERCIAL","915",,"MEETING","ST",,"ROCKVILLE","MD","20852","39.050407","-77.11572",,"POINT (-77.11572 39.050407)"
"CODE MODIFICATION","966658","ALTER","2021-09-10T02:09:19.000","2022-02-03T03:02:45.000","MODIFY IBC-2018, 705.3 &amp; 706.1.1 FIRE WALL","COMMERCIAL","9329",,"GEORGIA","AVE",,"SILVER SPRING","MD","20910","39.008308","-77.039651",,"POINT (-77.039651 39.008308)"
"CODE MODIFICATION","970717","ALTER","2021-10-15T11:10:29.000","2022-02-03T03:02:40.000","2018 IBC SECTION/ SUBSECTION 1006.2.2.1","COMMERCIAL","20400",,"OBSERVATION","DR",,"GERMANTOWN","MD","20876","39.190645","-77.249538",,"POINT (-77.249538 39.190645)"
"CODE MODIFICATION","972773","ALTER","2021-11-02T02:11:36.000","2022-02-03T03:02:38.000","2018 IRC&nbsp; <font face=""Arial"" size=""2""><font face=""Arial"" size=""2"">AJ501.7 Ceiling </font></font><font face=""Arial"" size=""2""><font face=""Arial"" size=""2"">Hght, </font></font><font face=""Arial"" size=""2""><font face=""Arial"" size=""2"">we </font></font><font face=""Arial"" size=""2""><font face=""Arial"" size=""2"">have </font></font><font face=""Arial"" size=""2""><font face=""Arial"" size=""2"">6'-3 </font></font><font face=""Arial"" size=""1""><font face=""Arial"" size=""1"">112"" </font></font><font face=""Arial"" size=""3""><font face=""Arial"" size=""3"">albeam</font></font>","RESIDENTIAL","7519",,"HOLLY","AVE",,"TAKOMA PARK","MD","20912","38.983515","-77.012254",,"POINT (-77.012254 38.983515)"
"CODE MODIFICATION","971524","ALTER","2021-10-22T10:10:06.000","2022-02-03T03:02:27.000","NFPA 101 (2018 Version) and IBC","COMMERCIAL",,,,,,,,,"0","0","8751 Rockville Pike Bethesda, MD 20814","POINT (0 0)"
"CODE MODIFICATION","966505","ALTER","2021-09-09T02:09:39.000","2022-02-03T03:02:26.000","2018 IBC","COMMERCIAL","915",,"MEETING","ST",,"ROCKVILLE","MD","20852","39.050407","-77.11572",,"POINT (-77.11572 39.050407)"
"CODE MODIFICATION","965755","ALTER","2021-09-02T07:09:10.000","2022-02-03T03:02:21.000","2018 IBC","COMMERCIAL","20410",,"OBSERVATION","DR",,"GERMANTOWN","MD","20876","39.191726","-77.248885",,"POINT (-77.248885 39.191726)"
"CODE MODIFICATION","965455","ALTER","2021-08-31T08:08:16.000","2022-02-03T03:02:17.000","NFPA1-FIRE CODE no grilling within 20 ft of a multi-family dwelling","COMMERCIAL","6820",,"WISCONSIN","AVE",,"CHEVY CHASE","MD","20815","38.978029","-77.091395",,"POINT (-77.091395 38.978029)"
"CODE MODIFICATION","973173","ALTER","2021-11-04T01:11:03.000","2022-02-03T03:02:01.000","<p>2018 International Mechanical Code</p><p>Chapter 4, Table 403.3.1.1</p>","COMMERCIAL","11921",,"BOURNEFIELD","WAY",,"SILVER SPRING","MD","20904",,,,"POINT (0 0)"
"CODE MODIFICATION","963348","ALTER","2021-08-12T08:08:41.000","2022-02-02T04:02:57.000","2018 IBC","COMMERCIAL","940",,"ROSE","AVE",,"ROCKVILLE","MD","20852","39.050833","-77.116957",,"POINT (-77.116957 39.050833)"
"CODE MODIFICATION","959734","ALTER","2021-07-14T11:07:12.000","2022-02-02T04:02:41.000","Code modification to attic stairs","RESIDENTIAL","5501",,"ALBEMARLE","ST",,"BETHESDA","MD","20816","38.948955","-77.110839",,"POINT (-77.110839 38.948955)"
"CODE MODIFICATION","960844","ALTER","2021-07-22T01:07:04.000","2022-02-02T04:02:36.000",,"COMMERCIAL","9920",,"MEDICAL CENTER","DR",,"ROCKVILLE","MD","20850","39.097433","-77.202317",,"POINT (-77.202317 39.097433)"
"CODE MODIFICATION","962673","ALTER","2021-08-06T12:08:31.000","2022-02-02T04:02:31.000","2015 NFPA 101 LIFE SAFETY CODE / CHAPTER 7 MEANS OF EGRESS TABLE 7.3.1.2 OCCUPANT LOAD FACTOR - PERMIT NUMBER 955580","COMMERCIAL","12530",,"PARKLAWN","DR",,"ROCKVILLE","MD","20852","39.061155","-77.117802","LEVEL 2","POINT (-77.117802 39.061155)"
"CODE MODIFICATION","964541","ALTER","2021-08-23T10:08:40.000","2022-02-02T04:02:27.000","IBC 2009","COMMERCIAL","19411",,"WOODFIELD","RD",,"GAITHERSBURG","MD","20879","39.174481","-77.150839",,"POINT (-77.150839 39.174481)"
"CODE MODIFICATION","952011","CONSTRUCT","2021-05-07T09:05:44.000","2022-02-02T03:02:54.000","<p><u><strong>CODE MODIFICATION IBC 2018, SEC. 705.2 PROJECTIONS</strong></u></p><p><u><strong>Construction of new 13-story apartment building </strong></u><strong><u>+ Penthouse </u></strong><u><strong>to include Foundation to Grade (2 levels below grade).</strong></u></p>","COMMERCIAL","7000",,"WISCONSIN","AVE",,"CHEVY CHASE","MD","20815","38.979236","-77.092005",,"POINT (-77.092005 38.979236)"
"CODE MODIFICATION","958342","CONSTRUCT","2021-07-01T11:07:46.000","2022-02-02T03:02:34.000","2018 IRC. R101.2 SCOPE/ R202 DEFINITION OF ""STORY","RESIDENTIAL","9760",,"WINDFLOWER","WAY",,"BETHESDA","MD","20817","39.016514","-77.144145",,"POINT (-77.144145 39.016514)"
