"session","primary_category","secondary_category","activityname","description","activitynumber","ages","location","address","city","state","zip","activity_facility","start_date","end_date","start_time","end_time","sessions","day_of_week","fee","status","locations"
"Winter 2020/2021","Health/Wellness",,"Boost Your Brain Power 55+","Maintaining brain fitness is a critical factor in quality of life as we age. Join us to learn the most important lifestyle habits that will make the biggest difference in keeping your brain in tip-top shape. Class will be held over Zoom so that you can participate from home over the computer.","93616","55 and up","Rec Virtual Room 8 at Recreation Virtual","Virtual","Virtual","Virtual","Virtual","Recreation Virtual Rooms","11/19/2020","11/19/2020","1/0/1900 12:00","1/0/1900 12:30","1","Th","0","Open","Virtual
Virtual, Virtual Virtual"
"Winter 2020/2021","Health/Wellness","Yoga","Hatha Yoga and Stress Management Beg/Cont 50+","Learn to handle the stresses of daily life with breathing exercises that help connect body and mind. Become better acquainted with your body through yoga poses (asanas) that increase flexibility and strength and help keep the body in good alignment. A mat or towel, a belt and a block and wear comfortable clothing.  Beginner and continuing levels.","96850","50 and up","Rec Virtual Room 1 at Recreation Virtual","Virtual","Virtual","Virtual","Virtual","Recreation Virtual Rooms","1/15/2021","3/19/2021","1/0/1900 10:00","1/0/1900 11:00","10","F","100","Open","Virtual
Virtual, Virtual Virtual"
"Winter 2020/2021","Educational","Specialty Programs","Thurgood Marshall: A Trail-Blazing Civil Rights Victory","Thurgood Marshall: A Trail-Blazing Civil Rights Victory in Montgomery CountySpeaker: Ralph BuglassCivil rights icon Thurgood Marshall delivered an early blow to school segregation right here in Montgomery County?gaining equal pay for the county?s African American teachers in 1937. This little-known legal case is often seen as the first step in Marshall?s successful drive to have separate schools for white and black children declared unconstitutional, as the Supreme Court did 17 years later in a landmark decision. This illustrated talk details this remarkable local story and its national significance. Spoiler alert: the victory came at a tremendous cost to the teacher bringing the case.","100925","55 and up","Rec Virtual Room 5 at Recreation Virtual","Virtual","Virtual","Virtual","Virtual","Recreation Virtual Rooms","12/15/2020","12/15/2020","1/0/1900 11:00","1/0/1900 12:00","1","T","0","Open","Virtual
Virtual, Virtual Virtual"
"Winter 2020/2021","Fitness","Strength Training","Strength and Toning","Get the look and feel you desire by joining this strength and toning class. Our experienced coach will help you achieve your goals with a fun and engaging class where you use free weights, resistance bands and body weight. Love to exercise with music? We have all that waiting for you and more!","99249","18 and up","Rec Virtual Room 2 at Recreation Virtual","Virtual","Virtual","Virtual","Virtual","Recreation Virtual Rooms","1/11/2021","3/8/2021","1/0/1900 10:00","1/0/1900 10:45","7","M","65","Open","Virtual
Virtual, Virtual Virtual"
"Winter 2020/2021","Therapeutic Recreation","Yoga","TR Yoga Basics","For individuals with disabilities. Introduces beginning and continuing students to yoga principles of body alignment and breath awareness. Emphasis is placed on stretching the legs, back, and shoulders; movements can be adapted by using a chair for seated poses and for balance for standing poses. Wear non-restrictive comfortable clothing. Bare feet are essential.  Use a yoga mat and blanket.","98582","15 and up","Rec Virtual Room 6 at Recreation Virtual","Virtual","Virtual","Virtual","Virtual","Recreation Virtual Rooms","1/20/2021","2/24/2021","1/0/1900 16:00","1/0/1900 17:00","6","W","60","Open","Virtual
Virtual, Virtual Virtual"
"Winter 2020/2021","Sports","Soccer","Grassroots Soccer at Home","Participants will focus on soccer skills with an emphasis on ball control and building confidence.  All lessons are held by a trained licensed soccer coach. Participants will need a small, flat surface and a soccer ball.","100920","At least 8 but less than 13","Rec Virtual Room 4 at Recreation Virtual","Virtual","Virtual","Virtual","Virtual","Recreation Virtual Rooms","1/12/2021","3/2/2021","1/0/1900 17:45","1/0/1900 18:45","8","T","75","Open","Virtual
Virtual, Virtual Virtual"
"Winter 2020/2021","Educational",,"ElderSAFE workshop 55+ (Mandarin)","This ElderSAFE workshop will discuss different scams, frauds, and cons that are used when targeting individuals 55+ or better. This 1 hour workshop will be conducted in Mandarin.","97474","55 and up","Rec Virtual Room 7 at Recreation Virtual","Virtual","Virtual","Virtual","Virtual","Recreation Virtual Rooms","1/7/2021","1/7/2021","1/0/1900 15:00","1/0/1900 16:00","1","Th","0","Open","Virtual
Virtual, Virtual Virtual"
"Winter 2020/2021","Music","Playtime & Music","Learn Now Music: My First Music Class","Virtually Enjoy Music with your child while they experience their FIRST Music class.  We will explore fun topics   such as the farm, cooks in the kitchen, the sea, birds, animals, parts of the body and surprises. Students and parents will participate in language repetition & speech development, greetings and goodbyes, verbal and physical counting, memory, reaction   exercises, gross & fine motor skills, rhythm exercises, and listening & melody development.  The class will be held in Zoom.","100926","At least 2 but less than 6","Rec Virtual Room 3 at Recreation Virtual","Virtual","Virtual","Virtual","Virtual","Recreation Virtual Rooms","1/21/2021","2/25/2021","1/0/1900 10:00","1/0/1900 10:30","6","Th","120","Open","Virtual
Virtual, Virtual Virtual"
"Winter 2020/2021","Cooking","Youth Cooking","The Art of Cupcakes","Virtual Class. Get ready to let your creativity shine! We will be decorating cupcakes into unique and artful creations in this fun-filled series! Animal face cupcakes, floral cupcakes, and hamburger cupcakes are all on the menu.","99982","At least 6 but less than 15","Rec Virtual Room 2 at Recreation Virtual","Virtual","Virtual","Virtual","Virtual","Recreation Virtual Rooms","2/25/2021","3/25/2021","1/0/1900 17:00","1/0/1900 17:45","5","Th","69","Open","Virtual
Virtual, Virtual Virtual"
"Winter 2020/2021","Games","Board Games","It's Game Time","Get a beverage and a snack and try your luck at classic games, such as, Scattegories, Boggle, Charades, etc...the virtual way.  Sure to be an hour of fun!    Class will not meet on January 18, 2021.","100392","55 and up","Rec Virtual Room 8 at Recreation Virtual","Virtual","Virtual","Virtual","Virtual","Recreation Virtual Rooms","1/4/2021","1/25/2021","1/0/1900 14:00","1/0/1900 15:00","3","M","0","Open","Virtual
Virtual, Virtual Virtual"
