OBJECTID,CATEGORY,NAME,ADDRESS,CITY,ZIPCODE,PHONE,URL,DATA,POINT_X,POINT_Y,SHAPE,LATITUDE,LONGITUDE
1,POST OFFICE,Damascus,26400 Woodfield Rd,Damascus,20872,301-253-3781,http://www.usps.com,Post Office,1254683.250005359994248,590538.749959870008752,"(39.28799642000007, -77.20368126899996)",39.287988519999999,-77.203678929999995
2,POST OFFICE,Dickerson,22145 Dickerson Rd,Dickerson,20842,301-428-8243,http://www.usps.com,Post Office,1192108.625041980063543,565640.625010629999451,"(39.21904733100007, -77.42434748099998)",39.219039449999997,-77.424345079999995
3,POST OFFICE,Barnesville,22110 Beallsville Rd,Barnesville,20838,301-972-8153,http://www.usps.com,Post Office,1205206.250035610049963,565377.18746647995431,"(39.218482108000046, -77.37811480799996)",39.218474229999998,-77.378112419999994
4,POST OFFICE,Boyds,15300 Barnsville Rd,Boyds,20841,301-972-9527,http://www.usps.com,Post Office,1222540.750034169992432,553418.937456990010105,"(39.18583131200006, -77.31678555499997)",39.18582344,-77.316783189999995
5,POST OFFICE,Brookeville,22311 Georgia Ave,Brookeville,20833,301-260-2975,http://www.usps.com,Post Office,1295564.374986869981512,566253.062546569970436,"(39.22148107900006, -77.05919184499999)",39.221473189999998,-77.059189549999999
6,POST OFFICE,Germantown,12774 Wisteria Dr,Germantown,20874,301-428-0460,http://www.usps.com,Post Office,1236478.375031860079616,549274.750008270028047,"(39.17457563800008, -77.26757183999996)",39.174567760000002,-77.26756949
7,POST OFFICE,Montgomery Village,10079 Stedwick Rd,Montgomery Village,20886,301-208-3716,http://www.usps.com,Post Office,1253307.999988730065525,547901.187541970051825,"(39.170924823000064, -77.20819648199995)",39.170916949999999,-77.208194149999997
8,POST OFFICE,Olney,3570 Olney Laytonsville Rd,Olney,20832,301-260-9013,http://www.usps.com,Post Office,1292123.499986219918355,542117.687531149946153,"(39.15520881700007, -77.07127061599994)",39.15520094,-77.071268320000001
9,POST OFFICE,Poolesville,19820 Fisher Ave,Poolesville,20837,301-605-0544,http://www.usps.com,Post Office,1194772.374984859954566,538655.250031540053897,"(39.144991169000036, -77.41451314899996)",39.1449833,-77.414510750000005
10,POST OFFICE,Derwood,17533 Redland Rd,Rockville,20855,301-527-1103,http://www.usps.com,Post Office,1271591.250034870114177,538160.687464970047586,"(39.144278102000044, -77.14365385899998)",39.144270229999997,-77.143651550000001
11,POST OFFICE,Sandy Spring,901 Olney Sandy Spring Rd,Sandy Spring,20860,301-929-9135,http://www.usps.com,Post Office,1304695.249987150076777,540124.249966399976984,"(39.14975419600006, -77.02693530199997)",39.149746319999998,-77.026933020000001
12,POST OFFICE,Ashton,19 Olney Sandy Spring Rd,Ashton,20861,301-774-0100,http://www.usps.com,Post Office,1308654.124963809968904,540220.562530299997889,"(39.150021009000056, -77.01297577699995)",39.150013129999998,-77.012973500000001
13,POST OFFICE,Diamond Farms,23 Firstfield Rd,Gaithersburg,20878,301-208-3735,http://www.usps.com,Post Office,1248021.625003169989213,535246.437458610045724,"(39.13614543800003, -77.22673165099997)",39.136137570000002,-77.226729309999996
14,POST OFFICE,Gaithersburg,21 S Summit Ave,Gaithersburg,20877,301-208-3707,http://www.usps.com,Post Office,1257518.500031260075048,536868.312530510011129,"(39.14065844900006, -77.19326286399996)",39.140650579999999,-77.193260539999997
15,POST OFFICE,Washington Grove,111 Washington Grove La,Washington Grove,20880,301-948-5009,http://www.usps.com,Post Office,1261450.250043920008466,536102.18749605002813,"(39.13857700600005, -77.17939542799996)",39.13856913,-77.179393099999999
16,POST OFFICE,Suburban Maryland Processing & Distribution Ctr.,16501 Shady Grove Rd,Rockville,20898,301-670-6085,http://www.usps.com,Post Office,1263630.499990409938619,531733.937493139994331,"(39.12659499800003, -77.17167980599999)",39.126587129999997,-77.171677489999993
17,POST OFFICE,Spencerville,2323 Spencerville Rd,Spencerville,20868,301-384-2709,http://www.usps.com,Post Office,1322755.000027030007914,527685.124966099974699,"(39.11559846800003, -76.96327161799996)",39.115590589999996,-76.963269359999998
18,POST OFFICE,Leisure World Finance,3802 International Dr,Silver Spring,20906,301-438-8741,http://www.usps.com,Post Office,1290972.12497665011324,523256.968796570028644,"(39.10342195100003, -77.07527599699995)",39.10341408,-77.075273710000005
19,POST OFFICE,Burtonsville,15210 Dino Dr,Burtonsville,20866,301-476-9371,http://www.usps.com,Post Office,1331026.507461640052497,526502.321318479953334,"(39.108644979000076, -76.92594402199995)",39.108637100000003,-76.925941780000002
20,POST OFFICE,Rockville,500 N Washington St,Rockville,20850,301-762-5802,http://www.usps.com,Post Office,1268552.250044570071623,518967.437453399994411,"(39.091567060000045, -77.15425462699994)",39.091559199999999,-77.154252310000004
21,POST OFFICE,Aspen Hill,14030 Connecticut Ave,Silver Spring,20906,301-871-4444,http://www.usps.com,Post Office,1291073.750005060108379,517021.374989069998264,"(39.08630147800005, -77.07489985699993)",39.086293609999998,-77.074897570000005
22,POST OFFICE,Twinbrook,2001 Viers Mill Rd,Rockville,20851,301-762-8536,http://www.usps.com,Post Office,1279123.125011740019545,512910.187516800011508,"(39.07497911200005, -77.11698333899994)",39.074971249999997,-77.116981039999999
23,POST OFFICE,Colesville,13217 New Hampshire Ave,Silver Spring,20904,301-879-2331,http://www.usps.com,Post Office,1311694.374956750078127,512052.531248699990101,"(39.07268268900003, -77.00225291499999)",39.072674820000003,-77.002250649999993
24,POST OFFICE,Langley Park,1325 Holton La,Hyattsville,20783,301-422-3984,http://www.usps.com,Post Office,1316066.751651280093938,480342.873630989983212,"(38.98561730800003, -76.98686803599998)",38.985609459999999,-76.986865780000002
25,POST OFFICE,White Flint Station,5056 Nicholson La,Kensington,20895,301-230-1276,http://www.usps.com,Post Office,1281381.125029529910535,501041.531283600023016,"(39.04588550300008, -77.10358600399996)",39.045877650000001,-77.103583709999995
26,POST OFFICE,Garrett Park,4600 Waverly Ave,Garrett Park,20896,301-933-2580,http://www.usps.com,Post Office,1285870.000007630093023,499557.812544180022087,"(39.038339292000046, -77.09316987499994)",39.03833144,-77.093167579999999
27,POST OFFICE,Wheaton,11431 Amherst Ave,Silver Spring,20902,301-929-7835,http://www.usps.com,Post Office,1298784.749987619929016,501066.593789979990106,"(39.04250927800007, -77.04770461799995)",39.042501420000001,-77.047702340000001
28,POST OFFICE,Kensington,10325 Kensington Pkw,Kensington,20895,301-949-2863,http://www.usps.com,Post Office,1292019.250045740045607,494943.187486529990565,"(39.025684236000075, -77.07150792999994)",39.02567638,-77.071505650000006
29,POST OFFICE,Potomac,10221 River Rd,Potomac,20854,301-938-4671,http://www.usps.com,Post Office,1252593.37496993993409,492808.749996899976395,"(39.01965667300004, -77.21026950299995)",39.019648830000001,-77.210267180000002
30,POST OFFICE,Westlake,10421 Motor City Dr,Bethesda,20817,301-767-1742,http://www.usps.com,Post Office,1266943.375000230036676,490647.406223609985318,"(39.02878657900004, -77.14345347899996)",39.028778729999999,-77.143451170000006
31,POST OFFICE,Woodmoor/Takoma Park Annex,110 University Blv W,Silver Spring,20901,301-754-1705,http://www.usps.com,Post Office,1308231.125002169981599,492974.062520059989765,"(39.02029859100003, -77.01444098399998)",39.02029074,-77.014438720000001
32,POST OFFICE,Silver Spring,940 Thayer Ave,Silver Spring,20910,301-495-3704,http://www.usps.com,Post Office,1302557.500037240097299,484602.718766890000552,"(38.99278273600004, -77.02562735499998)",38.997301419999999,-77.034397269999999
33,POST OFFICE,Bethesda,6900 Wisconsin Ave,Chevy Chase,20815,301-941-2670,http://www.usps.com,Post Office,1285543.249969519907609,479680.562485229980666,"(38.97847514400007, -77.09173031799997)",38.983753710000002,-77.094245700000002
34,POST OFFICE,Cabin John,7945 MacArthur Blv,Cabin John,20818,301-229-6977,http://www.usps.com,Post Office,1266118.625028500100598,476608.031290740007535,"(38.975250258000074, -77.16256314399999)",38.975242420000001,-77.162560839999998
35,POST OFFICE,Glen Echo,6106 Harvard Ave,Glen Echo,20812,301-229-3025,http://www.usps.com,Post Office,1271993.125045219901949,474575.062509069975931,"(38.969695209000065, -77.14188843199997)",38.969687370000003,-77.141886130000003
36,POST OFFICE,Chevy Chase,5910 Connecticut Ave,Chevy Chase,20815,301-941-2793,http://www.usps.com,Post Office,1290257.499957849970087,475003.968709849985316,"(38.970933165000076, -77.07764959099995)",38.970925319999999,-77.077647310000003
37,POST OFFICE,Takoma Park,6909 Laurel Ave,Takoma Park,20912,301-270-4392,http://www.usps.com,Post Office,1308807.125007620081306,476126.593751990003511,"(38.97404069700008, -77.01240555599998)",38.97403285,-77.012403289999995
38,POST OFFICE,Friendship Heights,5530 Wisconsin Ave,Chevy Chase,20815,301-941-2695,http://www.usps.com,Post Office,1287234.500001480104402,472787.062459040025715,"(38.96483862400004, -77.08827483899995)",38.96483078,-77.088272549999999
39,POST OFFICE,Pike,143 Rollins Ave,Rockville,20852,301-231-5973,http://www.usps.com,Post Office,1277128.124990419950336,507109.500016289995983,"(39.059045181000045, -77.12398285099994)",39.059037320000002,-77.123980549999999
40,POST OFFICE,Forest Glen,2460 Linden La,Silver Spring,20913,301-295-7594,http://www.usps.com,Post Office,1296904.125021750107408,488596.562497540027834,"(39.00826761500008, -77.05429986999997)",39.008259760000001,-77.054297590000004
41,POST OFFICE,Clarksburg,22505 Gateway Center Dr,Clarksburg,20871,301-540-0856,http://www.usps.com,Post Office,1233923.875040059909225,568275.562532679992728,"(39.22672251600005, -77.27678570199998)",39.226714629999996,-77.276783339999994
42,POST OFFICE,Kentlands,618 Center Point Way,Gaithersburg,20878,301-869-4866,http://www.usps.com,Post Office,1246325.637769700028002,530178.133709380053915,"(39.122218134000036, -77.23266524599995)",39.122210269999997,-77.232662910000002
43,POST OFFICE,Rockville Carrier Annex,2011 E Jefferson St,Rockville,20852,301-881-8489,http://www.usps.com,Post Office,,,"(39.05171898700007, -77.12704152999999)",,
44,POST OFFICE,Silver Spring MPO Carrier Annex,8827 Monard Dr,Silver Spring,20910,301-608-3673,http://www.usps.com,Post Office,,,"(39.00049297400005, -77.05849072499996)",,
45,POST OFFICE,Colesville Carrier Annex,12010 Plum Orchard Dr,Silver Spring,20904,301-586-7612,http://www.usps.com,Post Office,,,"(39.05014603600006, -76.95383577199993)",,
