"registration_type","corporation_name","trade_name","business_address","business_address2","city","state","zip","business_tel_no","niase_certified_mechanical_employees_number","storage_location","storage_location2","storage_city","storage_state","storage_zip","storage_phone","issue_date","expire_date","registration_no","geolocation"
"Corporation","Mr M Auto Service LLC","Mr M Auto Service","23418 Ridge Road",,"Germantown","MD","20876","(301) 377-6223","0",,,,,,,"2022-01-18T00:00:00.000","2023-01-18T00:00:00.000","22-MT-012987","23418 Ridge Road
Germantown, MD 20876
(39.24188, -77.234966)"
"Corporation","W.H. Snider & Co., Inc.","Snider & Company","1311 East Gude Drive",,"Rockville","MD","20850","(301) 340-3038","0",,,,,,,"2022-01-19T00:00:00.000","2023-01-19T00:00:00.000","22-MT-012994","1311 East Gude Drive
Rockville, MD 20850
(39.097026, -77.135721)"
"Corporation","K K Lloyd, LLC","Maaco of Silver Spring","2730 Garfield Avenue",,"Silver Spring","MD","20910","(301) 495-7314","0",,,,,,,"2022-02-03T00:00:00.000","2025-02-03T00:00:00.000","21-MT-006527","2730 Garfield Avenue
Silver Spring, MD 20910
(39.001851, -77.056525)"
"Corporation","Ricardo Auto Repair, LLC","Ricardo Auto Repair","18733 Mooney Drive",,"Gaithersburg","Maryland","20878","(301) 926-9580","0",,,,,,,"2019-10-11T00:00:00.000","2022-10-11T00:00:00.000","15-MT-001213","18733 Mooney Drive
Gaithersburg, Maryland 20878
(39.163494, -77.164212)"
"Corporation","Lyft Center, Inc.","Lyft Center, Inc.","8201 Leesburg Pike",,"Vienna","VA","22182","(415) 475-8459","0",,,,,,,"2021-03-15T00:00:00.000","2022-03-15T00:00:00.000","21-MT-006561","8201 Leesburg Pike
Vienna, VA 22182
(38.916253, -77.228183)"
"Corporation","Shady Grove Automotive Repair Inc","Shady Grove Automotive Repair Inc","15910 INDIANOLA DR STE B",,"DERWOOD","MD","20855-2170","(301) 258-9371","0",,,,,,,"2019-10-22T00:00:00.000","2022-10-22T00:00:00.000","18-MT-002472","15910 INDIANOLA DR STE B
DERWOOD, MD 20855-2170
(39.113375, -77.160744)"
"Corporation","Orbulus Tow and Repair, Inc","On the Run Towing","324 N Stonestreet Avenue",,"Rockville","MD","20850","(301) 740-4600","0","324 N Stonestreet Avenue",,"Rockville","MD","20850","(301) 740-4600","2020-05-22T00:00:00.000","2023-05-22T00:00:00.000","17-MT-002014","324 N Stonestreet Avenue
Rockville, MD 20850
(39.088789, -77.148385)"
"Corporation","Ostovari Enterprise INC","Diamond Auto Clinic","110 East Diamond Avenue",,"Gaithersburg","MD","20877","(301) 258-7330","0",,,,,,,"2021-07-20T00:00:00.000","2024-07-20T00:00:00.000","20-MT-004191","110 East Diamond Avenue
Gaithersburg, MD 20877
(39.141926, -77.195692)"
"Corporation","Kensington Auto Clean & Prep Incorporated","Kensington Auto Clean & Prep","4222 Howard Avenue",,"Kensington","MD","20895","(301) 530-5114","0",,,,,,,"2022-01-18T00:00:00.000","2023-01-18T00:00:00.000","22-MT-012991","4222 Howard Avenue
Kensington, MD 20895
(39.031044, -77.083286)"
"Corporation","AAA Club Alliance Inc.","AAA Mid-Atlantic, AAA Tire & Auto Service, 8040 Gaithersburg Car Care","16045 Shady Grove Road",,"Gaithersburg","MD","20877","(301) 795-3050","2",,,,,,,"2022-05-27T00:00:00.000","2025-05-27T00:00:00.000","15-MT-002094","16045 Shady Grove Road
Gaithersburg, MD 20877
(39.120354, -77.180298)"
