OBJECTID,CATEGORY,NAME,ADDRESS,CITY,ZIPCODE,PHONE,URL,DATA,POINT_X,POINT_Y,SHAPE,LATITUDE,LONGITUDE
1,RECREATION CENTERS,Upper County Neighborhood Recreation Center,8201 Emory Grove Rd,Gaithersburg,20877,240-777-8077,http://www.montgomerycountymd.gov/rec/where/centers/index.html,County,1264921.249927009921521,540234.625113470014185,"(39.14994113200004, -77.16718479999997)",39.149933259999997,-77.167182479999994
2,RECREATION CENTERS,Jane E Lawton Center,4301 Willow La,Chevy Chase,20815,240-777-6855,http://www.montgomerycountymd.gov/rec/where/centers/index.html,County,1287265.624987819930539,479218.406176640011836,"(38.98249733600005, -77.08818722399997)",38.982489489999999,-77.088184940000005
3,RECREATION CENTERS,Plum Gar Neighborhood Recreation Center,19561 Scenery Dr,Germantown,20874,240-777-4919,http://www.montgomerycountymd.gov/rec/where/centers/index.html,County,1246041.000053429976106,549768.687458349973895,"(39.176003886000046, -77.23384541499996)",39.175996009999999,-77.233843070000006
4,RECREATION CENTERS,Clara Barton Recreation Center,7425 Mac Arthur Blv,Cabin John,20818,240-777-4910,http://www.montgomerycountymd.gov/rec/where/centers/index.html,County,1268914.124938729917631,475880.718877540028188,"(38.97326652400005, -77.15272567399995)",38.973258680000001,-77.152723370000004
5,RECREATION CENTERS,Good Hope Neighborhood Rec Center (RENOVATION),14715 Good Hope Rd,Silver Spring,20905,240-777-8055,http://www.montgomerycountymd.gov/rec/where/centers/index.html,County,1316495.499959039967507,520749.84378331998596,"(39.096561558000076, -76.98533685999996)",39.09655369,-76.985334600000002
6,RECREATION CENTERS,Gwendolyn E Coffield Recreation Center,2450 Lyttonsville Rd,Silver Spring,20910,240-777-4900,http://www.montgomerycountymd.gov/rec/where/centers/index.html,County,1297852.250021680025384,485147.531302170013078,"(38.99879911800008, -77.05095650899995)",38.998791269999998,-77.050954230000002
7,RECREATION CENTERS,Scotland Neighborhood Recreation Center,7700 Scotland Dr,Potomac,20854,240-777-8075,http://www.montgomerycountymd.gov/rec/where/centers/index.html,County,1267243.874953180085868,497027.906353230006061,"(39.03132242600003, -77.15872996199994)",39.031314569999999,-77.158727650000003
8,RECREATION CENTERS,Germantown Recreation Center,18905 Kingsview Rd,Germantown,20874,240-777-8095,http://www.montgomerycountymd.gov/rec/where/centers/index.html,County,1231505.249895890010521,546009.875038850004785,"(39.165570339000055, -77.28507788599995)",39.165562469999998,-77.28507553
9,RECREATION CENTERS,Marilyn J Praisner Community Recreation Center,14906 Old Columbia Pik,Burtonsville,20866,240-777-4970,http://www.montgomerycountymd.gov/rec/where/centers/index.html,County,1328902.500034600030631,522587.156297029985581,"(39.10159252700004, -76.94161653699996)",39.101584649999999,-76.941614290000004
10,RECREATION CENTERS,Bauer Drive Recreation Center,14625 Bauer Dr,Rockville,20853,240-777-6922,http://www.montgomerycountymd.gov/rec/where/centers/index.html,County,1281527.25007047993131,519924.062534549972042,"(39.09424488700006, -77.10854433099996)",39.094237020000001,-77.108542029999995
11,RECREATION CENTERS,Longwood Community Recreation Center,19300 Georgia Ave,Brookeville,20833,240-777-6920,http://www.montgomerycountymd.gov/rec/where/centers/index.html,County,1295030.619043050101027,549239.316321859951131,"(39.17476769600006, -77.06103569399994)",39.174759809999998,-77.061033409999993
