"status","type","number","description","issuancedate","closingdate","lsbrpindicator","buyer","department","deptcontact","bidtab"
"Closed","IFB","1142688","BMW R 1250RT-P Motorcycle Services, Accessories, Parts and Repair","2022-07-27T00:00:00.000","2022-08-26T00:00:00.000","N","Comer, Benjamin","Police","Gregory Dilla","https://apps.montgomerycountymd.gov/prosolicitation/BidTabDetail.aspx?type=bidtab&solnumber=1142688"
"Closed","IFB","1136123","Traffic Sign Posts","2022-06-16T00:00:00.000","2022-07-18T00:00:00.000","N","Chen, Jing","Department of Transportation","Yazdan Sanayi","https://apps.montgomerycountymd.gov/prosolicitation/BidTabDetail.aspx?type=bidtab&solnumber=1136123"
"Closed","IFB","1134271","Transit Bus Line Inspection Services","2022-05-19T00:00:00.000","2022-06-24T00:00:00.000","N","Comer, Benjamin","Department of General Services","Ahron Berney","https://apps.montgomerycountymd.gov/prosolicitation/BidTabDetail.aspx?type=bidtab&solnumber=1134271"
"Closed","IFB","1139750","Custodial Services Zones 4 & 5 LSBRP","2022-05-03T00:00:00.000","2022-06-09T00:00:00.000","Y","Norris, Robert","Department of General Services","Leslie Clark","https://apps.montgomerycountymd.gov/prosolicitation/BidTabDetail.aspx?type=bidtab&solnumber=1139750"
"Closed","IFB","1126023","Medical Grade Oxygen and Other Medical and Non-Medical Gases","2021-03-24T00:00:00.000","2022-06-07T00:00:00.000","N","DeLuca, Karen","Fire & Rescue Services","Roseyann Spence","https://apps.montgomerycountymd.gov/prosolicitation/BidTabDetail.aspx?type=bidtab&solnumber=1126023"
"Closed","IFB","1134942","Equipment/Software Maintenance Services for Parking Equipment","2022-05-04T00:00:00.000","2022-06-06T00:00:00.000","N","Harris, Eric","Department of Transportation","Javier Torres","https://apps.montgomerycountymd.gov/prosolicitation/BidTabDetail.aspx?type=bidtab&solnumber=1134942"
"Closed","IFB","1139435","Wedgewood Site Improvement Project","2022-04-28T00:00:00.000","2022-06-01T00:00:00.000","N","Norris, Robert","Department of Housing & Community Affairs","Cynthia Butler","https://apps.montgomerycountymd.gov/prosolicitation/BidTabDetail.aspx?type=bidtab&solnumber=1139435"
"Closed","IFB","1136706","Lake Hallowell Sediment Removal Project","2022-04-05T00:00:00.000","2022-05-25T00:00:00.000","N","Norris, Robert","Department of Environmental Protection","DEP Procurements","https://apps.montgomerycountymd.gov/prosolicitation/BidTabDetail.aspx?type=bidtab&solnumber=1136706"
"Closed","IFB","1139752","Custodial Services � Zones 1, 2, 3, 6 and 7","2022-04-13T00:00:00.000","2022-05-23T00:00:00.000","N","Karakaya, Penny Perrus","Department of General Services","Kevin Patterson","https://apps.montgomerycountymd.gov/prosolicitation/BidTabDetail.aspx?type=bidtab&solnumber=1139752"
"Closed","IFB","1140582","Pools Maintenance/Repair Services - Time & Material","2022-04-13T00:00:00.000","2022-05-19T00:00:00.000","Y","Karakaya, Penny Perrus","Department of General Services","Kevin Ford","https://apps.montgomerycountymd.gov/prosolicitation/BidTabDetail.aspx?type=bidtab&solnumber=1140582"
"Closed","IFB","1126642","Inspection and Testing of Aboveground and Underground Storage Tank Systems","2022-04-18T00:00:00.000","2022-05-18T00:00:00.000","N","DeLuca, Karen","Department of General Services","Brad Weatherly","https://apps.montgomerycountymd.gov/prosolicitation/BidTabDetail.aspx?type=bidtab&solnumber=1126642"
"Closed","IFB","1127529","MD355-Clarksburg Road Intersection Improvements and Clarksburg Road at Snowden Farm Parkway","2022-04-07T00:00:00.000","2022-05-18T00:00:00.000","N","Norris, Robert","Department of Transportation","Brian Copley","https://apps.montgomerycountymd.gov/prosolicitation/BidTabDetail.aspx?type=bidtab&solnumber=1127529"
"Closed","IFB","1139761","Landscaping and Grounds Maintenance","2022-03-21T00:00:00.000","2022-05-17T00:00:00.000","Y","Yaeger, Segyung","Department of General Services","Gus Montes De Oca","https://apps.montgomerycountymd.gov/prosolicitation/BidTabDetail.aspx?type=bidtab&solnumber=1139761"
"Closed","IFB","1129228","Parking Garage Sweeping and Miscellaneous Cleaning Services","2022-04-14T00:00:00.000","2022-05-16T00:00:00.000","Y","Norris, Robert","Department of Transportation","Charles Menter","https://apps.montgomerycountymd.gov/prosolicitation/BidTabDetail.aspx?type=bidtab&solnumber=1129228"
"Closed","IFB","1130855","Tree Planting Services","2022-04-12T00:00:00.000","2022-05-16T00:00:00.000","N","Chen, Jing","Department of Transportation","Melissa Garner","https://apps.montgomerycountymd.gov/prosolicitation/BidTabDetail.aspx?type=bidtab&solnumber=1130855"
"Closed","IFB","1126640","Heavy and Automotive Original Equipment Manufacturer Service and Parts","2022-04-07T00:00:00.000","2022-05-11T00:00:00.000","N","DeLuca, Karen","Department of General Services","Damian Johnson","https://apps.montgomerycountymd.gov/prosolicitation/BidTabDetail.aspx?type=bidtab&solnumber=1126640"
"Closed","IFB","1127301","Automotive Aftermarket Replacement Parts","2022-03-29T00:00:00.000","2022-04-29T00:00:00.000","N","Comer, Benjamin","Department of General Services","Aubrey Bentham","https://apps.montgomerycountymd.gov/prosolicitation/BidTabDetail.aspx?type=bidtab&solnumber=1127301"
"Closed","IFB","1136249","AP1-10 Custodial Cleaning Services � Performed by Vocational firms  (Disability Employment Training Services)","2022-03-15T00:00:00.000","2022-04-25T00:00:00.000","N","Karakaya, Penny Perrus","Department of General Services","Kevin Patterson","https://apps.montgomerycountymd.gov/prosolicitation/BidTabDetail.aspx?type=bidtab&solnumber=1136249"
"Closed","IFB","1139928","Medical Laboratory Testing Services","2022-03-14T00:00:00.000","2022-04-14T00:00:00.000","N","Yaeger, Segyung","Office of Human Resources","Johnna Bryant","https://apps.montgomerycountymd.gov/prosolicitation/BidTabDetail.aspx?type=bidtab&solnumber=1139928"
"Closed","IFB","1129083","Diesel Engine and Vehicle-Based Generators Service and Parts","2022-03-02T00:00:00.000","2022-04-06T00:00:00.000","N","DeLuca, Karen","Fire & Rescue Services","Stephen Lamphier","https://apps.montgomerycountymd.gov/prosolicitation/BidTabDetail.aspx?type=bidtab&solnumber=1129083"
