"unique_id","year_range","cause_of_death","race","hispanic_origin","gender","age_adjusted_rate_per_100_000_population","lower_95_confidence_interval","upper_95_confidence_interval"
"A2010201200000","2010-2012","All causes of mortality","Total","Total","Total","517.3","509.6","525.1"
"A2010201200001","2010-2012","All causes of mortality","Total","Total","Male","609.3","596.2","622.5"
"A2010201200002","2010-2012","All causes of mortality","Total","Total","Female","450.2","440.8","459.6"
"A2010201200010","2010-2012","All causes of mortality","Total","Not Hispanic","Total","531.8","523.6","540"
"A2010201200011","2010-2012","All causes of mortality","Total","Not Hispanic","Male","623.4","609.5","637.2"
"A2010201200012","2010-2012","All causes of mortality","Total","Not Hispanic","Female","464.4","454.4","474.4"
"A2010201200020","2010-2012","All causes of mortality","Total","Hispanic","Total","328.2","303.8","352.7"
"A2010201200021","2010-2012","All causes of mortality","Total","Hispanic","Male","394","348.4","439.6"
"A2010201200022","2010-2012","All causes of mortality","Total","Hispanic","Female","283.8","255.4","312.2"
"A2010201200100","2010-2012","All causes of mortality","White","Total","Total","521","512","530"
"A2010201200101","2010-2012","All causes of mortality","White","Total","Male","614.5","599.3","629.6"
"A2010201200102","2010-2012","All causes of mortality","White","Total","Female","451.5","440.6","462.4"
"A2010201200110","2010-2012","All causes of mortality","White","Not Hispanic","Total","540.9","531.2","550.6"
"A2010201200111","2010-2012","All causes of mortality","White","Not Hispanic","Male","634.2","617.9","650.4"
"A2010201200112","2010-2012","All causes of mortality","White","Not Hispanic","Female","470.6","458.8","482.5"
"A2010201200120","2010-2012","All causes of mortality","White","Hispanic","Total","302.8","278.1","327.5"
"A2010201200121","2010-2012","All causes of mortality","White","Hispanic","Male","362.4","316.6","408.2"
"A2010201200122","2010-2012","All causes of mortality","White","Hispanic","Female","261.4","232.6","290.2"
"A2010201200200","2010-2012","All causes of mortality","Black","Total","Total","597.8","573.5","622.1"
"A2010201200201","2010-2012","All causes of mortality","Black","Total","Male","732.1","686.8","777.4"
"A2010201200202","2010-2012","All causes of mortality","Black","Total","Female","516.1","487.7","544.6"
"A2010201200210","2010-2012","All causes of mortality","Black","Not Hispanic","Total","610.2","585.2","635.1"
"A2010201200211","2010-2012","All causes of mortality","Black","Not Hispanic","Male","746.3","699.9","792.7"
"A2010201200212","2010-2012","All causes of mortality","Black","Not Hispanic","Female","526.9","497.7","556.1"
"A2010201200220","2010-2012","All causes of mortality","Black","Hispanic","Total","315.3","211","419.6"
"A2010201200221","2010-2012","All causes of mortality","Black","Hispanic","Male","402.5","204.2","600.7"
"A2010201200222","2010-2012","All causes of mortality","Black","Hispanic","Female","268.6","147.2","390"
"A2010201200300","2010-2012","All causes of mortality","American Indian/Alaska Native","Total","Total","138.4","57.6","219.2"
"A2010201200301","2010-2012","All causes of mortality","American Indian/Alaska Native","Total","Male",,,
"A2010201200302","2010-2012","All causes of mortality","American Indian/Alaska Native","Total","Female",,,
"A2010201200310","2010-2012","All causes of mortality","American Indian/Alaska Native","Not Hispanic","Total",,,
"A2010201200311","2010-2012","All causes of mortality","American Indian/Alaska Native","Not Hispanic","Male",,,
"A2010201200312","2010-2012","All causes of mortality","American Indian/Alaska Native","Not Hispanic","Female",,,
"A2010201200320","2010-2012","All causes of mortality","American Indian/Alaska Native","Hispanic","Total",,,
"A2010201200321","2010-2012","All causes of mortality","American Indian/Alaska Native","Hispanic","Male",,,
"A2010201200322","2010-2012","All causes of mortality","American Indian/Alaska Native","Hispanic","Female",,,
"A2010201200400","2010-2012","All causes of mortality","Asian/Pacific Islander","Total","Total","348","328.5","367.5"
"A2010201200401","2010-2012","All causes of mortality","Asian/Pacific Islander","Total","Male","407.9","375.7","440.1"
"A2010201200402","2010-2012","All causes of mortality","Asian/Pacific Islander","Total","Female","298.7","274.8","322.7"
"A2010201200410","2010-2012","All causes of mortality","Asian/Pacific Islander","Not Hispanic","Total","349.7","330.1","369.3"
"A2010201200411","2010-2012","All causes of mortality","Asian/Pacific Islander","Not Hispanic","Male","407.9","375.6","440.3"
"A2010201200412","2010-2012","All causes of mortality","Asian/Pacific Islander","Not Hispanic","Female","301.5","277.3","325.7"
"A2010201200420","2010-2012","All causes of mortality","Asian/Pacific Islander","Hispanic","Total",,,
"A2010201200421","2010-2012","All causes of mortality","Asian/Pacific Islander","Hispanic","Male",,,
"A2010201200422","2010-2012","All causes of mortality","Asian/Pacific Islander","Hispanic","Female",,,
"A2010201201000","2010-2012","Salmonella infections","Total","Total","Total",,,
"A2010201201001","2010-2012","Salmonella infections","Total","Total","Male","0","0","0.2"
"A2010201201002","2010-2012","Salmonella infections","Total","Total","Female",,,
"A2010201201010","2010-2012","Salmonella infections","Total","Not Hispanic","Total",,,
"A2010201201011","2010-2012","Salmonella infections","Total","Not Hispanic","Male","0","0","0.2"
"A2010201201012","2010-2012","Salmonella infections","Total","Not Hispanic","Female",,,
"A2010201201020","2010-2012","Salmonella infections","Total","Hispanic","Total","0","0","0.7"
"A2010201201021","2010-2012","Salmonella infections","Total","Hispanic","Male","0","0","1.9"
"A2010201201022","2010-2012","Salmonella infections","Total","Hispanic","Female","0","0","1.1"
"A2010201201100","2010-2012","Salmonella infections","White","Total","Total","0","0","0.1"
"A2010201201101","2010-2012","Salmonella infections","White","Total","Male","0","0","0.2"
"A2010201201102","2010-2012","Salmonella infections","White","Total","Female","0","0","0.2"
"A2010201201110","2010-2012","Salmonella infections","White","Not Hispanic","Total","0","0","0.2"
"A2010201201111","2010-2012","Salmonella infections","White","Not Hispanic","Male","0","0","0.3"
"A2010201201112","2010-2012","Salmonella infections","White","Not Hispanic","Female","0","0","0.3"
"A2010201201120","2010-2012","Salmonella infections","White","Hispanic","Total","0","0","0.7"
"A2010201201121","2010-2012","Salmonella infections","White","Hispanic","Male","0","0","2.1"
"A2010201201122","2010-2012","Salmonella infections","White","Hispanic","Female","0","0","1.2"
"A2010201201200","2010-2012","Salmonella infections","Black","Total","Total",,,
"A2010201201201","2010-2012","Salmonella infections","Black","Total","Male","0","0","1.2"
"A2010201201202","2010-2012","Salmonella infections","Black","Total","Female",,,
"A2010201201210","2010-2012","Salmonella infections","Black","Not Hispanic","Total",,,
"A2010201201211","2010-2012","Salmonella infections","Black","Not Hispanic","Male","0","0","1.2"
"A2010201201212","2010-2012","Salmonella infections","Black","Not Hispanic","Female",,,
"A2010201201220","2010-2012","Salmonella infections","Black","Hispanic","Total","0","0","11.6"
"A2010201201221","2010-2012","Salmonella infections","Black","Hispanic","Male","0","0","35.1"
"A2010201201222","2010-2012","Salmonella infections","Black","Hispanic","Female","0","0","17.8"
"A2010201201300","2010-2012","Salmonella infections","American Indian/Alaska Native","Total","Total","0","0","16.9"
"A2010201201301","2010-2012","Salmonella infections","American Indian/Alaska Native","Total","Male","0","0","48.7"
"A2010201201302","2010-2012","Salmonella infections","American Indian/Alaska Native","Total","Female","0","0","27.6"
"A2010201201310","2010-2012","Salmonella infections","American Indian/Alaska Native","Not Hispanic","Total","0","0","39.1"
"A2010201201311","2010-2012","Salmonella infections","American Indian/Alaska Native","Not Hispanic","Male","0","0","91.8"
"A2010201201312","2010-2012","Salmonella infections","American Indian/Alaska Native","Not Hispanic","Female","0","0","73"
