"farm","description","website","saturday_only","saturday_and_sunday","saturday_times","sunday_times","handicap_parking","food_refreshments","artwork_crafts","animals","christmas_trees","fruits_and_vegetables","pick_your_own","hayrides","winery","brewery","education_center","pumpkins","flowers","buses_and_groups","contact_number","contact","location","location_1"
"STAR GAZING FARM","Star Gazing Farm is a haven for abused, neglected, abandoned, and special needs farm animals. Come and visit with our very special and friendly residents who include: sheep, goats, horses, chickens, ducks, cows, llamas, dogs, cats, and rabbits! There will be educational demonstrations of shearing, spinning and wool crafting, humane and caring animal handling, and more. Lots of hands-on activities for children: face painting, crafting and games, as well as guided tours of the pastures with face-to-face meet-and-greets with the residents. Wool crafts, woven rugs, yarn, and other hand-made gift items. Light refreshments for sale. This year’s Farm Tour we will be open Saturday and Sunday from 10:00 am to 4:00 pm. www.stargazingfarm.org","http://www.stargazingfarm.org",,"Y","10:00AM - 4:00PM","10:00AM - 4:00PM","Y","Y","Y","Y",,,,,,,"Y",,,"Y","301-349-0802","Anne Shroeder","16760 Whites Store Rd
Boyds 20841
(39.184844, -77.348639)","16760 Whites Store Rd
Boyds,  20841
(39.184903, -77.348668)"
"CAMP OLYMPIA","Come visit a Montgomery County landmark for our 60th Anniversary. CAMP OLYMPIA has been serving children and adults through our year-round horseback riding center, year-round nursery/kindergarten and our exciting summer sports day camp. On Farm Tour Day you are invited to see a variety of demonstrations including riding, sports and swimming performed by staff and campers.  Different demonstrations will be offered every half hour. Pony rides throughout the day $. This year’s Farm Tour we will be open from 10:00 am to 3:00 pm. www.camp-olympia.com","http://www.camp-olympia.com","Y",,"10:00AM - 3:00PM",,,,,"Y",,,,,,,,,,,"301-926-9281",,"5511 Muncaster Mill Rd 
Rockville 20855
(39.119653, -77.108716)","5511 Muncaster Mill Rd
Rockville,  20855
(39.119661, -77.108745)"
"CHOCOLATES AND TOMATOES FARM","We are a half acre, suburban farm forming the backbone of the C&T operation. Certified organic, we specialize in unique, seasonal produce and handmade chocolates, and love to grow the unique plants chefs want to cook with! Inspired by the land, we aim to always provide the freshest products seasonally. Our chocolates feature organic items grown on the farm. This year’s Farm Tour we will be open on Saturday July 28th, from 10:00 am to 3:00 pm. www.chocolatesandtomatoes.com","www.chocolatesandtomatoes.com","Y",,"10:00AM - 3:00PM",,,"Y",,,,"Y",,,,,,,,,"571-271-2686","Mark Mills","11104 Watkins Road, Germantown, Maryland 20876",
"ROCKLANDS FARM AND WINERY","Enjoy our scenic and historical farm property located in the Montgomery County Agricultural Reserve. Walk through our gardens, watch animals grazing the land, and take a tour of the farm and winery. Handcrafted wine by the glass and tastings available. All wines are produced and bottled at Rocklands Farm! Fresh produce and locally-made market goods along with grass-fed beef and lamb, pasture-raised chicken, free-range eggs, and heritage breed pork for sale in our market. Delicious wood-fired pizzas available all day! Meet all the farmers and come join us for the tour! Organized tours at 12:00 pm and 3:00 pm both days. We will be open Saturday and Sunday from 11:00 am to 6:00 pm. www.RocklandsFarmMD.com","http://www.RocklandsFarmMD.com",,"Y","11:00AM - 6:00PM","11:00AM - 6:00PM",,"Y",,"Y",,"Y",,,"Y",,,,,,"301-825-8075","Glenn Family","14525 Montevideo Rd 
Poolesville 20837
(39.095124, -77.347947)","14525 Montevideo Rd
Poolesville,  20837
(39.095236, -77.348121)"
"KINGSBURY’S ORCHARD","Kingsbury’s Orchard is a family owned and operated farm dating back to 1907.  We grow more than 50 varieties of peaches, 20 varieties of apples and a wide selection of cherries, nectarines and Asian pears. This year’s Farm Tour we will be open Saturday and Sunday from 9:00 am to 6:00 pm. For additional information, please visit our website at www.kingsburysorchard.com.","http://www.kingsburysorchard.com",,"Y","9:00AM - 6:00PM ","9:00AM - 6:00PM ",,,,,,"Y",,,,,,,,,"301-972-8755","Gene Kingsbury","19415 Peach Tree Road, Dickerson 20842","19415 Peach Tree Rd.
Dickerson,  20842
(39.173268, -77.387308)"
"LEWIS ORCHARDS","Family owned and operated since 1888. We specialize in peaches, sweet corn, cherries, apricots, plums, nectarines, apples, tomatoes, peppers, squash, okra, eggplant, cucumbers, pumpkins and many other summer and fall vegetables. Pick-your-own apples in the fall. We also have honey & jellies and many other things. We are open mid-June thru Thanksgiving – Daily – This year’s Farm Tour we will be open Saturday and Sunday from 9:00 am to 7:00 pm. Come and see our beautiful view. www.LewisOrchardFarmMarket.com","http://www.LewisOrchardFarmMarket.com",,"Y","9:00AM - 7:00PM","9:00AM - 7:00PM","Y",,,,,"Y","Y",,,,,"Y","Y","Y","301-349-4101","Lewis Family","18901 Peach Tree Rd 
Dickerson 20842
(39.166872, -77.38824)","18901 Peach Tree Rd
Dickerson,  20842
(39.166872, -77.38824)"
"MCG GOLF ","Enhance your day at the MC Farm Tour by enjoying Al Fresco Farm to Table Lunch and/or Dinner ($) in the picturesque countryside of the Agricultural Reserve surrounded by family, friends and music. Taste the fantastic flavors of food and drinks from Montgomery County, Frederick and the Eastern Shore. Play a game of horseshoes, corn-hole or volleyball while watching the sunset. Join us for this magical time at the Poolesville Golf Course Pavillion. We will be open Saturday and Sunday from 10:30AM - 9:00PM. Concessions available all day. Visit us at www.mcggolf.com/farmtour2018.aspx","mcggolf.com ",,"Y","5:30PM - 9:00PM","5:30PM - 9:00PM","y","Y",,,,,,,,,,,,"Y","240-907-2209","Josh Carin","16601 W. Willard Road, Poolesville, 20837",
"POPLAR SPRING ANIMAL SANCTUARY","Come tour a beautiful 400 acre farm bordering the C&O Canal and Potomac River, and meet friendly horses, cows, sheep, goats, chickens, and turkeys. Poplar Spring is an animal refuge dedicated to the protection of wildlife and the rescue of abused and abandoned farm animals. Hay rides and sale of refreshments, giant yard sale, t-shirts and crafts to benefit the non-profit sanctuary. This year’s Farm Tour we will be open Saturday ONLY from 10:00 am to 4:00 pm. www.animalsanctuary.org","http://www.animalsanctuary.org","Y",,"10:00AM - 4:00PM",,,"Y","Y","Y",,,,"Y",,,"Y",,,,"301-428-8128","Teresa Cummings & Dave Hoerauf","15200 Mt. Nebo Rd 
Poolesville 20837
(39.101604, -77.446892)","15200 Mt. Nebo Rd
Poolesville,  20837
(39.095712, -77.456944)"
"GLOBAL AQUAPONIC SYSTEMS CORPORATION","We are the first owner operated Aquaponic farm in Maryland. Take the tour through our facility and learn about Aquaponics, and reusable (alternate) energy system, and much more. We have fresh produce for purchase. Visit us on Saturday July, 28th, from 10:00 am to 4:00 pm. For more information visit us at: https://www.facebook.com/globalaquaponicsystems/","https://www.facebook.com/globalaquaponicsystems/","Y",,"10:00AM - 4:00PM",,,"Y",,,,"Y",,,,,"Y",,,,"301-433-3614",,"2511 Fairland Road, Silver Spring 20902","2511 Fairland Road
Silver Spring,  20902
(39.077461, -76.959637)"
"R.B. SAVAGE & SONS FARM, LLC","A family-owned and operated farm in the Montgomery County Agricultural Reserve. Our on-farm-market offers produce from our garden, locally hand crafted items and USDA inspected, farm raised beef, pork and chicken, lamb and goat. We also have hay and straw. Pumpkins, gourds and mums in the fall for your decorating needs. Open year-round, Wednesday to Friday 12:00 to 6:00 pm, Saturday & Sunday 10:00 am to 4:00 pm. We will be open from 10:00 am to 6:00 pm and providing burger, chips and a drink as a special for the Farm Tour. Find us on Facebook @R B Savage & Sons Farm, LLC.","https://www.facebook.com/RBSavageandSonsFarm/",,"Y","10:00AM - 6:00PM","10:00 am to 6:00 pm",,"Y","Y",,,"Y",,,,,,"Y",,,"301-370-7111","R.B. Savage & Family","23035 Mt. Ephraim Rd
Dickerson 20842
(39.234091, -77.4092)","23035 Mt. Ephraim Rd
Dickerson,  20842
(39.233872, -77.409416)"
