"office_type","property","email","phone","city","state","zip","street_address","location_1"
"HUB","Town Center (Rockville)","towncenter@hocmc.org ","(301) 424-5450","Rockville","MD","20850","90 Monroe Street","POINT (-77.14890891099964 39.082787376000454)"
"HUB","Emory Grove","emorygrove@hocmc.org","(301) 948-1882","Gaithersburg","MD","20877","8107 Morning View Drive","POINT (-77.16687860599967 39.147180351000486)"
"HUB","Magruders Discovery","magruders@hocmc.org","(301) 365-7251","Bethesda","MD","20817","10508 Westlake Drive","POINT (-77.14740081099967 39.02748947500049)"
"HUB","Seneca Ridge","senecaridge@hocmc.org","(240) 627-9772","Germantown","MD","20876","19568 Scenery Drive","POINT (-77.23487407499965 39.17688134600047)"
"HUB","Waverly House","waverly@hocmc.org","(301) 986-0052","Bethesda","MD","20814","4521 East-West Highway","POINT (-77.09218439499966 38.984927737000476)"
"Service Center","Gaithersburg Customer Service Center","hrs@hocmc.org","(240) 627-9792","Gaithersburg","MD","20877","101 Lakeforest Blvd., #200","POINT (-77.20792188399963 39.15074685200045)"
"Headquarters","Main Office","hrs@hocmc.org","(240) 627-9400","Kensington","MD","20895","10400 Detrick Avenue","POINT (-77.07858833099965 39.026786176000485)"
"HUB","Arcola Towers","arcola@hocmc.org","(301) 649-3590","Silver Spring","MD","20902","1135 University Boulevard West","POINT (-77.02745901499964 39.036159547000466)"
"HUB","Towne Centre Place (Olney)","tcpolney@hocmc.org","(301) 774-1574","Olney","MD","20832","3502 Morningwood Drive","POINT (-77.07013853799964 39.15221994100045)"
"Upcounty Administrative  Office","East Deer Park","hrs@hocmc.org","(240) 627-9744","Gaithersburg","MD","20877","231 East Deer Park Drive","POINT (-77.18231765999963 39.136071493000486)"
"HUB","Bauer Park","bauerpark@hocmc.org","(301) 460-4545","Rockville","MD","20853","14635 Bauer Drive","POINT (-77.10949858099963 39.09549263400049)"
"HUB","Elizabeth House","elizabethhouse@hocmc.org","(301) 587-7838","Silver Spring","MD","20910","1400 Fenwick Lane","POINT (-77.03321202899963 38.99685969000046)"
"HUB","Holly Hall","hollyhall@hocmc.org ","(301) 439-0900","SilverSpring","MD","20903","10110 New Hampshire Ave","POINT (-76.97713135999965 39.02142626400047)"
"Service Center","Silver Spring Customer Service Center","hrs@hocmc.org","(240) 627-9793","Silver Spring","MD","20910","8241 Georgia Avenue, 3rd Floor","POINT (-77.02658499099965 38.99279321300048)"
