"sra_no","title","sra_file","ordinance_no","ordinance_file","analyst","sponsor_s_","co_sponsor_s_","introduction_date","public_hearing_date","public_hearing_time","committee","worksession_date","worksession_date_2","worksession_date_3","worksession_date_4","worksession_date_5","worksession_date_6","worksession_date_7","worksession_date_8","action","adopted_date","disapproved_date","effective_date","amended_sections","comments"
"05-01","MPDUs - finding financial infeasibility","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2005/sra05-01.pdf","15-48",,,,,,,,,,,,,,,,,,,,,,
"05-02","Lots - location in County","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2005/sra05-02.pdf",,,,,,,,,,,,,,,,,,,,,,,
"05-03","Adequate Public Facilities - Validity Period","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2005/sra05-03.pdf","15-67","https://www.montgomerycountymd.gov/council/Resources/Files/bill/2006/15-67.pdf",,,,,,,,,,,,,,,,,,,,,
"05-04","Site Plan Enforcement","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2005/sra05-04.pdf",,,,,,,,,,,,,,,,,,,,,,,
"05-05","Planning Board Actions - Enforcement","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2005/sra05-05.pdf",,,,,,,,,,,,,,,,,,,,,,,
"05-06","Subdivision and Site Plans - Coordination with other agencies","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2005/sra05-06.pdf",,"https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2005/15-66.pdf",,,,,,,,,,,,,,,,,,,,,
"06-01","Preliminary Subdivision Plans-Energy Efficiency and Environmental Design","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2006/sra0601.pdf",,,,,,,,,,,,,,,,,,,,,,,
"06-02","Fees- Preliminary Subdivision Plans Plan Review Fees","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2006/sra0602.pdf","15-89","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2006/20061031_15-89.pdf",,,,,,,,,,,,,,,,,,,,,
"06-03","Preliminary Subdivision Plans - Aprovals - Applicability of Growth Policy Amendments","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2006/sra0603.pdf","16-01","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2006/16-01.pdf",,,,,,,,,,,,,,,,,,,,,
"06-04","Streets and Roads - Design Standards","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2006/sra06-04.pdf","16-05","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2007/20070703_16-05.pdf",,,,,,,,,,,,,,,,,,,,,
"07-01","Adequate Public Facilities - Validity Period",,"16-10","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2007/20071120_16-10.pdf",,,,,,,,,,,,,,,,,,,,,
"07-02","Transferable Development Rights - Subdivision Standard","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2007/sra07-02.pdf",,,,,,,,,,,,,,,,,,,,,,,
"07-03","Preliminary Subdivision Plans-Approvals-Applicability of Growth Policy Amendments - Extension","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2007/sra07-03.pdf",,,,,,,,,,,,,,,,,,,,,,,
"08-01","Executive Branch Reorganization - Department of Transportation","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2008/sra08-01.pdf","16-16","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2008/20080415_16-16.pdf",,,,,,,,,,,,,,,,,,,,,
"08-02","Alternative Review Committee - Functions","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2008/sra08-02.pdf","16-27","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2008/20081021_16-27.pdf",,,,,,,,,,,,,,,,,,,,,
"08-03","Arts or Entertainment Use - Validity Period","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2008/sra08-03.pdf","16-26","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2008/20081007_16-26.pdf",,,,,,,,,,,,,,,,,,,,,
"08-04","Workforce Housing-Findings",,"16-33","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2008/20090113_16-33.pdf",,,,,,,,,,,,,,,,,,,,,
"09-01","Adequate Public Facilities - Preliminary Subdivision Plans - Validity Period",,"16-35","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2009/20090401_16-35.pdf",,,,,,,,,,,,,,,,,,,,,
"09-02","Subdivision Approval - Conflict Resolution","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2009/sra09-02.pdf",,,,,,,,,,,,,,,,,,,,,,,
"09-03","Enforcement -Amendments",,"16-47","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2009/20100406_16-47.pdf",,,,,,,,,,,,,,,,,,,,,
"10-01","Public Utility Easements - Urban Roads","https://www.montgomerycountymd.gov/council/resources/files/zta/2010/sra_10-01.pdf",,,,,,,,,,,,,,,,,,,,,,,
