"category","name","the_geom","url","city","objectid_1","data","phone","objectid","zipcode"
"Bikeshare Station","Blueridge & Elkins","POINT (-77.0500623 39.0431378)","http://www.montgomerycountymd.gov/bikeshare","Wheaton","70","14 docks","(240) 777-8380",,"20902"
"Bikeshare Station","Broschart & Blackwell","POINT (-77.2003244 39.1021068)","http://www.montgomerycountymd.gov/bikeshare","Rockville","1","15 docks","(240) 777-8380","1","20850"
"Bikeshare Station","Stewart & April","POINT (-76.9811575 39.0449522)","http://www.montgomerycountymd.gov/bikeshare","Silver Spring","89","19 docks","(240) 777-8380",,"20904"
"Bikeshare Station","Fallsgrove & Montgomery","POINT (-77.1878976 39.0994378)","http://www.montgomerycountymd.gov/bikeshare","Rockville","6","15 docks","(240) 777-8380","6","20850"
"Bikeshare Station","Medical Center & Medical Center","POINT (-77.1966519 39.0976271)","http://www.montgomerycountymd.gov/bikeshare","Rockville","11","19 docks","(240) 777-8380","12","20850"
"Bikeshare Station","Amherst & Prichard","POINT (-77.0483966 39.0359612)","http://www.montgomerycountymd.gov/bikeshare","Wheaton","57","15 docks","(240) 777-8380",,"20902"
"Bikeshare Station","Veterans & Pershing","POINT (-77.023959 38.9974804)","http://www.montgomerycountymd.gov/bikeshare","Silver Spring","43","11 docks","(240) 777-8380","45","20910"
"Bikeshare Station","Chevy Chase Dr & Offutt Ln","POINT (-77.0946132 38.9771737)","http://www.montgomerycountymd.gov/bikeshare","Bethesda","25","11 docks","(240) 777-8380","27","20815"
"Bikeshare Station","Fenton & Ellsworth","POINT (-77.0255415 38.9970552)","http://www.montgomerycountymd.gov/bikeshare","Silver Spring","38","15 docks","(240) 777-8380","40","20910"
"Bikeshare Station","Cordell & Norfolk","POINT (-77.0980285 38.9895375)","http://www.montgomerycountymd.gov/bikeshare","Bethesda","26","11 docks","(240) 777-8380","28","20814"
"Bikeshare Station","Woodmont & Strathmore","POINT (-77.0935243 38.9798828)","http://www.montgomerycountymd.gov/bikeshare","Bethesda","53","11 docks","(240) 777-8380",,"20814"
"Bikeshare Station","Piccard & Gude","POINT (-77.1770741 39.1021949)","http://www.montgomerycountymd.gov/bikeshare","Rockville","15","19 docks","(240) 777-8380","16","20850"
"Bikeshare Station","Wisconsin & Wisconsin Circle","POINT (-77.0859872 38.9617477)","http://www.montgomerycountymd.gov/bikeshare","Friendship Heights","21","19 docks","(240) 777-8380","23","20815"
"Bikeshare Station","Garland & Walden","POINT (-77.0007942 39.0004614)","http://www.montgomerycountymd.gov/bikeshare","Silver Spring","47","15 docks","(240) 777-8380","49","20901"
"Bikeshare Station","Briggs Chaney Park & Ride","POINT (-76.9418716 39.0778907)","http://www.montgomerycountymd.gov/bikeshare","Silver Spring","94","23 docks","(240) 777-8380",,"20904"
"Bikeshare Station","Elkin & Amherst","POINT (-77.0478218 39.0448595)","http://www.montgomerycountymd.gov/bikeshare","Wheaton","58","15 docks","(240) 777-8380",,"20902"
"Bikeshare Station","Rockville Pike & Old Georgetown","POINT (-77.1136823 39.0497728)","http://www.montgomerycountymd.gov/bikeshare","North Bethesda","79","15 docks","(240) 777-8380",,"20852"
"Bikeshare Station","Norfolk & Fairmont","POINT (-77.0965413 38.9885698)","http://www.montgomerycountymd.gov/bikeshare","Bethesda","30","11 docks","(240) 777-8380","32","20814"
