"fiscal_year","service","department","program","expense_category","fund","fund_type","cost_center_name","account_name","expense_type","recommended_amount","approved_amount"
"2013","Public Safety","Police","Field Services","Retirement","General Fund","Tax Supported Funds","5th District Administration","ERS","Personnel Costs",,"106110"
"2013","Public Safety","Police","Investigative Services","Retirement","General Fund","Tax Supported Funds","C.I.D-Fraud","ERS","Personnel Costs",,"248012"
"2013","Public Safety","Police","Management Services","Group Insurance","General Fund","Tax Supported Funds","Personnel Recruit","Health","Personnel Costs",,"17880"
"2013","Public Safety","Sheriff","Administration","Salaries and Wages","General Fund","Tax Supported Funds","Sheriff-Director","Overtime","Personnel Costs",,"13503"
"2013","Public Safety","Fire and Rescue Service","Operations","Retirement","Fire","Tax Supported Funds","Fleet Operations","GRIP","Personnel Costs",,"19830"
"2014","Public Safety","Police","Investigative Services","Retirement","General Fund","Tax Supported Funds","C.I.D Pawn Unit","RSP","Personnel Costs",,"3542"
"2014","Public Safety","Police","Field Services","Retirement","General Fund","Tax Supported Funds","3rd District Patrol","RSP","Personnel Costs",,"9063"
"2014","Transportation","Transportation","Administration","Retirement","General Fund","Tax Supported Funds","DTE/Division Chief","RSP","Personnel Costs",,"9685"
"2014","Transportation","Transportation","Ride On","Retirement","Grant Fund","Non-Tax Supported Funds","Access to Jobs Grant","ERS","Personnel Costs",,"21988"
"2014","Public Safety","Sheriff","Administration","Retirement","Grant Fund","Non-Tax Supported Funds","Sheriff-Director","RSP","Personnel Costs",,"3714"
"2014","Public Safety","Fire and Rescue Service","Operations","Retirement","Fire","Tax Supported Funds","Station 23","ERS","Personnel Costs",,"1234897"
"2014","Public Safety","Fire and Rescue Service","Operations","Retirement","Fire","Tax Supported Funds","Station 3","ERS","Personnel Costs",,"1000520"
"2014","Transportation","Transportation","Ride On","Retirement","Mass Transit","Tax Supported Funds","Transit Safety","RSP","Personnel Costs",,"13478"
"2014","Libraries, Culture, and Recreation","Recreation","Aquatics","Uniforms","Recreation","Tax Supported Funds","MAC","Uniforms","Operating Expenses",,"1300"
"2015","General Government","Circuit Court","Jury","Retirement","General Fund","Tax Supported Funds","Circuit Court-Jury","ERS","Personnel Costs",,"68542"
"2015","Public Safety","Police","Patrol Services","Retirement","General Fund","Tax Supported Funds","2nd District Traffic","ERS","Personnel Costs",,"284632"
"2015","Public Safety","Police","Management Services","Retirement","General Fund","Tax Supported Funds","Evidence Unit","GRIP","Personnel Costs",,"3465"
"2015","Public Safety","Fire and Rescue Service","Operations","Retirement","Fire","Tax Supported Funds","Station 9","ERS","Personnel Costs","337969.37","0"
"2015","Public Safety","Police","Management Services","Retirement","General Fund","Tax Supported Funds","Mgmt & Bud FARU","RSP","Personnel Costs",,"18847"
"2015","Public Safety","Sheriff","Administration","Retirement","General Fund","Tax Supported Funds","Sheriff-Director","ERS","Personnel Costs",,"565874"
"2015","Transportation","Transportation","Bridge Maintenance","Retirement","General Fund","Tax Supported Funds","Bridge Maint","GRIP","Personnel Costs","986.96","0"
"2015","Transportation","Transportation","Taxi Regulation","Retirement","Mass Transit","Tax Supported Funds","Taxi Regulation","ERS","Personnel Costs","55918.8","0"
"2015","Transportation","Transportation","Taxi Regulation","Retirement","Mass Transit","Tax Supported Funds","Taxi Regulation","GRIP","Personnel Costs","4251.93","0"
"2015","Public Safety","Fire and Rescue Service","Operations","Group Insurance","Fire","Tax Supported Funds","Station 7","Group Insurance","Personnel Costs","139555","0"
"2015","Public Safety","Fire and Rescue Service","Operations","Retirement","Fire","Tax Supported Funds","Station 7","ERS","Personnel Costs","519512.31","0"
"2013","Environment","Environmental Protection","Administration","Retirement","General Fund","Tax Supported Funds","DEP-Dir Office-Prog Supervision","RSP","Personnel Costs",,"4328"
"2013","General Government","Finance","Payroll","Group Insurance","General Fund","Tax Supported Funds","Payroll","Health","Personnel Costs",,"91126"
"2015","Transportation","Transportation","Roadway and Related Maintenance","Retirement","General Fund","Tax Supported Funds","Mowing","GRIP","Personnel Costs",,"4021"
"2015","Public Safety","Correction and Rehabilitation","Pre-Trial Services","Retirement","General Fund","Tax Supported Funds","ACS","ERS","Personnel Costs","150937.08","0"
"2013","Public Safety","Correction and Rehabilitation","Detention Services","Group Insurance","General Fund","Tax Supported Funds","MCCF- Admin","Dental","Personnel Costs",,"2021"
"2013","Public Safety","Police","Field Services","Group Insurance","General Fund","Tax Supported Funds","1st District Traffic","Health","Personnel Costs",,"139605"
"2013","Public Safety","Police","Field Services","Retirement","General Fund","Tax Supported Funds","3rd District Traffic","ERS","Personnel Costs",,"202180"
"2013","Public Safety","Police","Field Services","Group Insurance","General Fund","Tax Supported Funds","5th District Traffic","Health","Personnel Costs",,"82586"
"2013","Public Safety","Sheriff","Civil Process","Retirement","General Fund","Tax Supported Funds","Sheriff-Civil Section-Civil Processing","RSP","Personnel Costs",,"1566"
"2013","Transportation","Transportation","Transportation Policy","Group Insurance","General Fund","Tax Supported Funds","Metro Transit Liason","Health","Personnel Costs",,"12548"
"2013","Transportation","Transportation","Roadway and Related Maintenance","Retirement","General Fund","Tax Supported Funds","Shoulders","ERS","Personnel Costs",,"26332"
"2013","Transportation","Transportation","Roadway and Related Maintenance","Retirement","General Fund","Tax Supported Funds","Patching","GRIP","Personnel Costs",,"32205"
"2013","Transportation","Transportation","Automation","Group Insurance","General Fund","Tax Supported Funds","Highway-Automation Support","Vision","Personnel Costs",,"34"
"2013","Public Safety","Fire and Rescue Service","Operations","Group Insurance","Fire","Tax Supported Funds","Rescue 1","Dental","Personnel Costs",,"1325"
"2014","Transportation","Transportation","Parking Operations","Uniforms","Wheaton Parking","Non-Tax Supported Funds","Parking Operations","Uniforms","Operating Expenses",,"20"
"2014","Public Safety","Police","Field Services","Retirement","General Fund","Tax Supported Funds","S.O.D Canine","ERS","Personnel Costs",,"635145"
"2014","Public Safety","Police","Office of the Chief","Salaries and Wages","General Fund","Tax Supported Funds","Stress Management","Overtime","Personnel Costs",,"5000"
"2014","Public Safety","Police","Investigative Services","Retirement","General Fund","Tax Supported Funds","SID Crime Analysis","ERS","Personnel Costs",,"124744"
"2014","Public Safety","Police","Investigative Services","Retirement","General Fund","Tax Supported Funds","Family Crimes Domestic Violence","RSP","Personnel Costs",,"789"
"2014","Public Safety","Sheriff","Administration","Uniforms","General Fund","Tax Supported Funds","Sheriff-Training Section","Uniforms","Operating Expenses",,"29320"
"2014","General Government","County Executive","Administration","Retirement","General Fund","Tax Supported Funds","Administration","GRIP","Personnel Costs",,"3350"
"2014","General Government","County Attorney","Finance and Procurement","Retirement","General Fund","Tax Supported Funds","Finance & Procurement","ERS","Personnel Costs",,"94728"
"2014","Public Safety","Fire and Rescue Service","Operations","Retirement","Fire","Tax Supported Funds","Station 8","ERS","Personnel Costs",,"1687614"
"2014","Transportation","Transportation","Ride On","Retirement","Mass Transit","Tax Supported Funds","G'Burg Ride On","GRIP","Personnel Costs",,"2817"
