"fiscal_year","service","department","program","expense_category","fund","fund_type","cost_center_name","account_name","expense_type","recommended_amount","approved_amount"
"2014","Transportation","Transportation","Ride On","Retirement","Grant Fund","Non-Tax Supported Funds","Access to Jobs Grant","ERS","Personnel Costs",,"21988"
"2014","Public Safety","Sheriff","Administration","Retirement","Grant Fund","Non-Tax Supported Funds","Sheriff-Director","RSP","Personnel Costs",,"3714"
"2015","Health and Human Services","Health and Human Services","Cancer & Tobacco Prevention","Retirement","Grant Fund","Non-Tax Supported Funds","Cancer & Tobacco Prevention","ERS","Personnel Costs","35085.12","0"
"2015","General Government","Community Engagement Cluster","Community Partnership","Social Security","Grant Fund","Non-Tax Supported Funds","Community Partnership","Social Security- FICA Medicaid","Personnel Costs","798.6","0"
"2015","General Government","Community Engagement Cluster","Community Partnership","Group Insurance","Grant Fund","Non-Tax Supported Funds","Community Partnership","Group Insurance","Personnel Costs","8051.25","0"
"2015","Health and Human Services","Health and Human Services","Trauma Services","Social Security","Grant Fund","Non-Tax Supported Funds","Victims Assistance & Sexual Assault Program","Social Security- FICA","Personnel Costs","4531.38","0"
"2015","Health and Human Services","Health and Human Services","Trauma Services","Social Security","Grant Fund","Non-Tax Supported Funds","Victims Assistance & Sexual Assault Program","Social Security- FICA Medicaid","Personnel Costs","1059.76","0"
"2015","Health and Human Services","Health and Human Services","Trauma Services","Group Insurance","Grant Fund","Non-Tax Supported Funds","Victims Assistance & Sexual Assault Program","Group Insurance","Personnel Costs","15029","0"
"2015","Health and Human Services","Health and Human Services","Trauma Services","Retirement","Grant Fund","Non-Tax Supported Funds","Victims Assistance & Sexual Assault Program","RSP","Personnel Costs","5846.94","0"
"2015","Health and Human Services","Health and Human Services","Tuberculosis Program","Salaries and Wages","Grant Fund","Non-Tax Supported Funds","Tuberculosis Program","Full Time Salaries","Personnel Costs","219836.57","0"
"2015","Health and Human Services","Health and Human Services","Tuberculosis Program","Social Security","Grant Fund","Non-Tax Supported Funds","Tuberculosis Program","Social Security- FICA","Personnel Costs","13629.87","0"
"2015","Health and Human Services","Health and Human Services","Tuberculosis Program","Social Security","Grant Fund","Non-Tax Supported Funds","Tuberculosis Program","Social Security- FICA Medicaid","Personnel Costs","3187.63","0"
"2015","Health and Human Services","Health and Human Services","Tuberculosis Program","Group Insurance","Grant Fund","Non-Tax Supported Funds","Tuberculosis Program","Group Insurance","Personnel Costs","32205","0"
"2015","Health and Human Services","Health and Human Services","Trauma Services","Retirement","Grant Fund","Non-Tax Supported Funds","Abused Persons Program","RSP","Personnel Costs","5280.47","0"
"2015","Health and Human Services","Health and Human Services","Trauma Services","Retirement","Grant Fund","Non-Tax Supported Funds","Abused Persons Program","GRIP","Personnel Costs","4370.16","0"
"2015","Health and Human Services","Health and Human Services","Office of Eligibility and Support Services","Salaries and Wages","Grant Fund","Non-Tax Supported Funds","Medical Assistance Eligibility Services","Full Time Salaries","Personnel Costs","1158946.65","0"
"2015","Health and Human Services","Health and Human Services","Office of Eligibility and Support Services","Salaries and Wages","Grant Fund","Non-Tax Supported Funds","Medical Assistance Eligibility Services","Lapse (Workforce)","Personnel Costs","-178814.91","0"
"2015","Health and Human Services","Health and Human Services","Office of Eligibility and Support Services","Social Security","Grant Fund","Non-Tax Supported Funds","Medical Assistance Eligibility Services","Social Security- FICA","Personnel Costs","60768.17","0"
"2015","Health and Human Services","Health and Human Services","Office of Eligibility and Support Services","Social Security","Grant Fund","Non-Tax Supported Funds","Medical Assistance Eligibility Services","Social Security- FICA Medicaid","Personnel Costs","14211.91","0"
"2015","Health and Human Services","Health and Human Services","STD/HIV Prevention & Treatment Program","Retirement","Grant Fund","Non-Tax Supported Funds","STD/HIV Services","ERS","Personnel Costs","9037.15","0"
"2015","Health and Human Services","Health and Human Services","Communicable Disease & Epidemiology","Salaries and Wages","Grant Fund","Non-Tax Supported Funds","Disease Control-Immunization","Full Time Salaries","Personnel Costs","196841.18","0"
"2015","Health and Human Services","Health and Human Services","Communicable Disease & Epidemiology","Salaries and Wages","Grant Fund","Non-Tax Supported Funds","Disease Control-Immunization","Part Time Salaries","Personnel Costs","40245.5","0"
"2015","Health and Human Services","Health and Human Services","Communicable Disease & Epidemiology","Social Security","Grant Fund","Non-Tax Supported Funds","Disease Control-Immunization","Social Security- FICA","Personnel Costs","14699.37","0"
"2015","Health and Human Services","Health and Human Services","Communicable Disease & Epidemiology","Social Security","Grant Fund","Non-Tax Supported Funds","Disease Control-Immunization","Social Security- FICA Medicaid","Personnel Costs","3437.76","0"
"2015","Health and Human Services","Health and Human Services","Communicable Disease & Epidemiology","Group Insurance","Grant Fund","Non-Tax Supported Funds","Disease Control-Immunization","Group Insurance","Personnel Costs","42940","0"
"2015","Health and Human Services","Health and Human Services","Communicable Disease & Epidemiology","Retirement","Grant Fund","Non-Tax Supported Funds","Disease Control-Immunization","RSP","Personnel Costs","8150.99","0"
"2015","Health and Human Services","Health and Human Services","Communicable Disease & Epidemiology","Retirement","Grant Fund","Non-Tax Supported Funds","Disease Control-Immunization","ERS","Personnel Costs","25616.2","0"
"2015","Health and Human Services","Health and Human Services","Communicable Disease & Epidemiology","Retirement","Grant Fund","Non-Tax Supported Funds","Disease Control-Immunization","GRIP","Personnel Costs","2704.5","0"
"2015","Health and Human Services","Health and Human Services","STD/HIV Prevention & Treatment Program","Salaries and Wages","Grant Fund","Non-Tax Supported Funds","STD/HIV Services","Full Time Salaries","Personnel Costs","442042.38","0"
"2015","Health and Human Services","Health and Human Services","STD/HIV Prevention & Treatment Program","Salaries and Wages","Grant Fund","Non-Tax Supported Funds","STD/HIV Services","Part Time Salaries","Personnel Costs","161478.41","0"
"2015","Health and Human Services","Health and Human Services","STD/HIV Prevention & Treatment Program","Social Security","Grant Fund","Non-Tax Supported Funds","STD/HIV Services","Social Security- FICA","Personnel Costs","36137.95","0"
"2015","Health and Human Services","Health and Human Services","STD/HIV Prevention & Treatment Program","Social Security","Grant Fund","Non-Tax Supported Funds","STD/HIV Services","Social Security- FICA Medicaid","Personnel Costs","8751.05","0"
"2015","Health and Human Services","Health and Human Services","STD/HIV Prevention & Treatment Program","Group Insurance","Grant Fund","Non-Tax Supported Funds","STD/HIV Services","Group Insurance","Personnel Costs","80819.52","0"
"2015","Health and Human Services","Health and Human Services","STD/HIV Prevention & Treatment Program","Retirement","Grant Fund","Non-Tax Supported Funds","STD/HIV Services","RSP","Personnel Costs","21646","0"
"2015","Health and Human Services","Health and Human Services","STD/HIV Prevention & Treatment Program","Retirement","Grant Fund","Non-Tax Supported Funds","STD/HIV Services","ERS","Personnel Costs","96175.7","0"
"2015","Health and Human Services","Health and Human Services","STD/HIV Prevention & Treatment Program","Retirement","Grant Fund","Non-Tax Supported Funds","STD/HIV Services","GRIP","Personnel Costs","3775.37","0"
"2015","Health and Human Services","Health and Human Services","Treatment Services - Admin","Salaries and Wages","Grant Fund","Non-Tax Supported Funds","Women's Health Services","Full Time Salaries","Personnel Costs","230176.07","0"
"2015","Health and Human Services","Health and Human Services","Treatment Services - Admin","Salaries and Wages","Grant Fund","Non-Tax Supported Funds","Women's Health Services","Part Time Salaries","Personnel Costs","68424.58","0"
"2015","Health and Human Services","Health and Human Services","Treatment Services - Admin","Social Security","Grant Fund","Non-Tax Supported Funds","Women's Health Services","Social Security- FICA","Personnel Costs","18513.24","0"
"2015","Health and Human Services","Health and Human Services","Treatment Services - Admin","Social Security","Grant Fund","Non-Tax Supported Funds","Women's Health Services","Social Security- FICA Medicaid","Personnel Costs","4329.71","0"
"2015","Health and Human Services","Health and Human Services","Treatment Services - Admin","Group Insurance","Grant Fund","Non-Tax Supported Funds","Women's Health Services","Group Insurance","Personnel Costs","42940","0"
"2015","Health and Human Services","Health and Human Services","Treatment Services - Admin","Retirement","Grant Fund","Non-Tax Supported Funds","Women's Health Services","ERS","Personnel Costs","23327.05","0"
"2015","Health and Human Services","Health and Human Services","STD/HIV Prevention & Treatment Program","Salaries and Wages","Grant Fund","Non-Tax Supported Funds","STD/HIV Services","Full Time Salaries","Personnel Costs","80972.33","0"
"2015","Health and Human Services","Health and Human Services","STD/HIV Prevention & Treatment Program","Social Security","Grant Fund","Non-Tax Supported Funds","STD/HIV Services","Social Security- FICA","Personnel Costs","5020.28","0"
"2015","Health and Human Services","Health and Human Services","STD/HIV Prevention & Treatment Program","Social Security","Grant Fund","Non-Tax Supported Funds","STD/HIV Services","Social Security- FICA Medicaid","Personnel Costs","1174.1","0"
"2015","Health and Human Services","Health and Human Services","STD/HIV Prevention & Treatment Program","Group Insurance","Grant Fund","Non-Tax Supported Funds","STD/HIV Services","Group Insurance","Personnel Costs","10735","0"
"2015","Health and Human Services","Health and Human Services","STD/HIV Prevention & Treatment Program","Retirement","Grant Fund","Non-Tax Supported Funds","STD/HIV Services","ERS","Personnel Costs","28137.88","0"
"2015","Health and Human Services","Health and Human Services","Treatment Services - Admin","Salaries and Wages","Grant Fund","Non-Tax Supported Funds","Care Coordination","Full Time Salaries","Personnel Costs","401489.94","0"
"2015","Health and Human Services","Health and Human Services","Treatment Services - Admin","Social Security","Grant Fund","Non-Tax Supported Funds","Care Coordination","Social Security- FICA","Personnel Costs","24892.38","0"
