"objectid","source","suite","telephone_","fax_","areas_serv","beds","legal_serv","counseling","housing","bath","laundry","food","mar_addr","program_co","name","web_url","pop_serv","title","location_1"
"1","Answers Please",,"(202) 635-5923","(202) 832-8216","DC",,,"yes"," ",," "," ","1001 LAWRENCE STREET NE","Rev. Msgr. John G. Kohn","Anchor Mental Health Association - Community Case Management","http://www.anchormha.org","Ages 18 and over, Referrals from DC Department of Mental Health (DMH), diagnosed with major mental illn","President","1001 Lawrence Street NE
,  20017
(38.93131976, -76.99208608)"
"2","Answers Please",,"(202) 635-5939","(202) 832-8226","DC",,,"yes"," ",," "," ","1001 LAWRENCE STREET NE","Rev. Msgr. John G. Kohn","Anchor Mental Health Association - Shelter and Care","http://www.anchormha.org","Ages 18 and older, referrals from DC Department of Mental Health (DMH), diagnosed with major mental ill","President","1001 Lawrence Street NE
,  20017
(38.93131976, -76.99208608)"
"3","Answers Please","1400","(202) 639-9760","(202) 639-9763","DC",,,"yes"," ",," "," ","1012 14TH STREET NW","Karen J. Sammo","Families Forward - Transitional Housing Program"," ","DC resident, custody of at least one child, homeless, income that is less than 50% median income in DC","Director","1012 14th Street NW
,  20005
(38.90322548, -77.03239382)"
"4","Answers Please","1400","(202) 639-9760","(202) 639-9763","DC",,,"yes"," ",," "," ","1012 14TH STREET NW","Juanita Brando","Families Forward - Employment & Training"," ","No restrictions for GED participants. Job training participants must be TANF recipients.","Director","1012 14th Street NW
,  20005
(38.90322548, -77.03239382)"
"5","Answers Please",,"(202) 546-4900","(202) 546-3269","DC","10",,"yes","yes",," "," ","1022 MARYLAND AVENUE NE","Deborah Shore","Sasha Bruce Youthwork - Sasha Bruce House","http://www.sashabruce.org","Teens in crisis, ages 11-17","Executive Director","1022 Maryland Avenue NE
,  20002
(38.89704077, -76.99183512)"
"6","Answers Please",,"(202) 338-8301","(202) 298-8310","DC","10",,"yes","yes",," "," ","1041 WISCONSIN AVENUE NW"," ","Georgetown Ministry Center","http://www.gmcgt.org"," "," ","1041 Wisconsin Avenue NW
,  20007
(38.9035815, -77.06202525)"
"7","Answers Please",,"(202) 526-5426","(202) 526-1580","DC","44",,"yes","yes",," ","yes","116 T STREET NE","Carolyn Cummings-Minns","Catholic Charities - Saint Martins House","http://www.catholiccharitiesdc.or","Homeless women (pregnant or with children) in substance abuse recovery","Director","116 T Street NE
,  20001
(38.9158299, -77.00558478)"
"8","Answers Please",,"(202) 328-5500","(202) 328-5515","DC",,," "," ",," "," ","1200 U STREET NW","Patricia Mullahy Fugere","Washington Legal Clinic for the Homeless","http://www.legalclinic.org","DC residents, homeless, or at risk of becoming homeless","Executive Director","1200 U Street NW
,  20009
(38.91674698, -77.02833267)"
"9","Answers Please",,"(202) 682-1005","(202) 682-8648","DC",,,"yes","yes",,"yes","yes","1222 11TH STREET NW","Tracey L. Rollins","Rachaels Womens Center - Day Center","http://www.rachaels.org","Homeless women, ages 18 and older","Executive Director","1222 11th Street NW
,  20001
(38.90637583, -77.02733196)"
"10","Answers Please",,"(202) 682-1005","(202) 682-8648","Downtown DC",,,"yes"," ",," ","yes","1222 11TH STREET NW","Tracey L. Rollins","Rachaels Womens Center - Street Outreach","http://www.rachaels.org","Homeless women and men on the streets","Executive Director","1222 11th Street NW
,  20001
(38.90637583, -77.02733196)"
"11","Answers Please",,"(202) 638-2382","(202) 638-3169","DC",,,"yes","yes",,"yes","yes","1234 MASSACHUSETTS AVENUE NW","Marla Lahat","Home Care Partners - Homemaker Health Aide Service","http://www.homecarepartners.org","Grants specify eligibility requirements if funding is to be used. No eligibility requirements if fee is","Executive Director","1234 Massachusetts Avenue NW
,  20005
(38.90420514, -77.0293156)"
"12","Answers Please",,"(202) 250-7720"," ","DC",,,"yes","yes",," "," ","1246 TAYLOR STREET NW","Pam Lieber","Salvation Army - Turning Point Center","http://www1.salvationarmy.org/uss","Homeless mothers with children, must be employed or enrolled in school once in the program","Program Director","1246 Taylor Street NW
,  20011
(38.94055107, -77.0283945)"
