"fid","objectid","status","score","side","stan_addr","location","numtrips","shelter","servicepro","time_","busstop","busroute","direction","frequency","location_1"
"13","14","T","69",,"| | 14TH | ST | | | | INDEPENDENCE | AVE | |","14th Street & Independence Avenue","77","No","PRTCPM","Afternoon"," "," "," ",,"14th Street & Independence Avenue
,  "
"17","18","M","85",," |  | M | ST |  |  |  | ISAAC HULL | AVE | SE","M Street across Isaac Hull Avenue","7","No","MTA, PRTC AM/PM","Afternoon","Metrobus stop"," "," ",,"M STREET & ISAAC HULL AVENUE SE
,  "
"27","28","T","69",,"| | 3RD | ST | | | | CONSTITUTION | AVE | |","3rd Street & Constitution Avenue","2","No","PRTCPM","Afternoon","US Courthouse"," "," ",,"3rd Street & Constitution Avenue
,  "
"30","31","M","71",," |  | E | ST | NE | N |  | NORTH CAPITOL | ST | NE","E Street & N North Capitol Street","2","No","MTA, PRTC PM","Afternoon"," "," "," ",,"E ST NE & N NORTH CAPITOL ST NE
,  "
"42","43","T","69",,"| | 18TH | | | | | E | ST | NW |","18th & E St NW","20"," ","MTA, Loudoun County AM","6:04 AM - 8:50 AM","Metro Shelter - SW corner"," "," ",,"18th & E St NW
,  "
"43","44","M","69",,"| | 18TH | | | | | G | ST | NW |","18th & G St NW","20"," ","Loudoun County AM","6:05 AM - 8:52 AM","Metro Shelter - SW corner"," "," ",,"18th & G St NW
,  "
"44","45","M","69",,"| | 18TH | | | | | K | ST | NW |","18th & K St. NW","20"," ","MTA, Loudoun County AM","6:07 AM - 8:54 AM","Metro Shelter - SW corner"," "," ",,"18th & K St. NW
,  "
"50","51","T","69",,"| | 12TH | ST | | | | D | ST | |","12th Street & D Street (500 12th St)","7","No","PRTCPM","Afternoon"," "," "," ",,"12th Street & D Street (500 12th St)
,  "
"69","70","M","85",,"| | M | ST | | | | 9TH | ST | SE |","M st & 9th St SE",," ","MTA"," ","Washington Navy Yard","903/915","B/B",,"M st & 9th St SE
,  "
"70","71","T","69",,"| | 14TH | ST | | | | INDEPENDENCE | AVE | |","14th Street & Independence Avenue","55","No","PRTCAM","Morning"," "," "," ",,"14th Street & Independence Avenue
,  "
"79","80","M","64",,"| | INDEPENDENCE | AVE | | | | LENFANT | PL | SW |","Independence ave & LEnfant Pl SW","20"," ","MTA, Loudoun County AM/PM","6:25 AM - 9:06 AM","SW Corner of LEnfant - no sign"," "," ",,"Independence ave & LEnfant Pl SW
,  "
"131","132","M","69",,"| | INDEPENDENCE | AVE | | | | NEW JERSEY | AVE | SW |","Independence Ave & New Jersey Ave SW",," ","MTA"," "," ","922","B",,"Independence Ave & New Jersey Ave SW
,  "
"136","137","M","64",,"| | INDEPENDENCE | AVE | | | | LENFANT | PL | SW |","Independence Ave & LEnfant Pl SW",," ","MTA, Loudoun County AM/PM"," ","Dept. of Energy","907/909/922","B/B/B",,"Independence Ave & LEnfant Pl SW
,  "
"141","142","T","69",,"| | K | ST | | | | 17TH | AVE | NW |","K St & 17th St./Connecticut Ave NW",," ","MTA, Loudoun County AM","Morning","Farragut M","902/904/905/909","B/B/B/B",,"K St & 17th St./Connecticut Ave NW
,  "
"147","148","M","85",,"| | M | ST | | | | 3RD | ST | SE |","M st & 3rd St SE",," ","MTA"," ","Southeast Federal Center","903","B",,"M st & 3rd St SE
,  "
