"the_geom","id","business_name","full_address","city","state","zip","phone_number","website","resource_type"
"POINT (-91.016838928289 30.399608959043)","43921","BEACON HOUSE ADOPTION SERVICES","5917 JONES CREEK RD","BATON ROUGE","LOUISIANA","70817",,,"GOVERNMENT AGENCIES"
"POINT (-91.083145162209 30.483560228063)","156098","DISTRICT OFFICE OF STATE REP. EDWARD JAMES","3552 MONTERREY DR","BATON ROUGE","LOUISIANA","70814",,,"GOVERNMENT AGENCIES"
"POINT (-91.184866726079 30.451228407812)","21336","LA DISASTER RELIEF FOUNDATION","445 N 6TH ST","BATON ROUGE","LOUISIANA","70801",,,"GOVERNMENT AGENCIES"
"POINT (-91.148943379321 30.5239640408)","171833","UNITED STATES FEDERAL AVIATION ADMINISTRATION","8326 MERLE GUSTAFSON DR","BATON ROUGE","LOUISIANA","70807",,,"GOVERNMENT AGENCIES"
"POINT (-91.083271564802 30.3707381328)","43742","LOUISIANA BOARD OF EXAMINERS FOR SPEECH LANGUAGE PATHOLOGY AND AUDIOLOGY","11930 PERKINS RD","BATON ROUGE","LOUISIANA","70810",,,"GOVERNMENT AGENCIES"
"POINT (-91.05370205481 30.422170187874)","154873","LA LAND TRUST","11601 SOUTHFORK AVE","BATON ROUGE","LOUISIANA","70816",,,"GOVERNMENT AGENCIES"
"POINT (-91.085508676913 30.42054367104)","150869","RADIO & TELEVISION TECHNICAL BOARD","9071 INTERLINE AVE","BATON ROUGE","LOUISIANA","70809",,,"GOVERNMENT AGENCIES"
"POINT (-91.147641076428 30.520996805276)","16293","SOCIAL SECURITY ADMINISTRATION","4332 HARDING BLVD","BATON ROUGE","LOUISIANA","70807","866-613-3070",,"GOVERNMENT AGENCIES"
"POINT (-91.056034076867 30.39341200695)","185215","US COAST GUARD MARINE SAFETY UNIT","6031 CRESTMOUNT DR, STE B","BATON ROUGE","LOUISIANA","70809",,,"GOVERNMENT AGENCIES"
"POINT (-91.146411516502 30.510123313817)","154146","OFFICE OF STATE REPRESENTATIVE REGINA BARROW","4305 AIRLINE HWY","BATON ROUGE","LOUISIANA","70811",,,"GOVERNMENT AGENCIES"
"POINT (-91.061002250261 30.387421765082)","153640","ARMY/NAVY RECRUITING OFFICE","6725 SIEGEN LN","BATON ROUGE","LOUISIANA","70809",,,"GOVERNMENT AGENCIES"
"POINT (-91.184031992649 30.451462381022)","154991","LOUISIANA TREASURY DEPT UNCLAIMED PROPERTY DIVISION","626 MAIN ST","BATON ROUGE","LOUISIANA","70801",,,"GOVERNMENT AGENCIES"
"POINT (-91.134443442176 30.427350221194)","159857","SOCIAL SECURITY ADMINISTRATION","5455 BANKERS AVE","BATON ROUGE","LOUISIANA","70808","866-613-3070",,"GOVERNMENT AGENCIES"
"POINT (-91.131744321487 30.425389413626)","48987","US DEPT OF HOUSING & URBAN DEV.","5757 CORPORATE BLVD","BATON ROUGE","LOUISIANA","70808",,,"GOVERNMENT AGENCIES"
"POINT (-91.132723198516 30.425156969083)","48971","LOUISIANA BOARD OF PHARMACY","5615 CORPORATE BLVD","BATON ROUGE","LOUISIANA","70808",,,"GOVERNMENT AGENCIES"
"POINT (-91.187933372769 30.448070846863)","103137","GOVERNOR'S OFFICE OF INDIAN AFFAIRS","150 3RD ST","BATON ROUGE","LOUISIANA","70801","225-219-8715","http://gov.louisiana.gov/index.cfm?md=pagebuilder&tmp=home&cpid=46","GOVERNMENT AGENCIES"
"POINT (-91.043261076182 30.388000568007)","153374","STATE OF LA PLUMBING BOARD","12497 AIRLINE HWY","BATON ROUGE","LOUISIANA","70817",,,"GOVERNMENT AGENCIES"
"POINT (-91.156597911221 30.531502536768)","56496","GREATER BATON ROUGE AIRPORT DISTRICT POLICE","9412 JACKIE COCHRAN DR","BATON ROUGE","LOUISIANA","70807",,,"GOVERNMENT AGENCIES"
