"the_geom","id","category","facility_name","full_address","city","state","zip","phone_number","website"
"POINT (-91.186982266023 30.41310195594)","55","URGENT CARE","BR General Express Care - Nicholson Gateway","3604 NICHOLSON DR","BATON ROUGE","LOUISIANA","70802","225-831-4030","https://www.brgeneral.org/locations/brg-express-care-nicholson-gateway/"
"POINT (-91.103542481475 30.382528284629)","18","SPECIALTY HOSPITAL","OLOL/LSU Health Perkins Surgery Center","9032 PERKINS RD","BATON ROUGE","LOUISIANA","70810","225-358-4853","https://ololrmc.com/services/lsu-health-baton-rouge/"
"POINT (-91.136509495751 30.508175073286)","33","EMERGENCY ROOM & PRIMARY CARE","OLOL/LSU Health North Clinic","5439 AIRLINE HWY","BATON ROUGE","LOUISIANA","70811","225-358-4853","https://ololrmc.com/services/lsu-health-baton-rouge/"
"POINT (-91.006984306303 30.438798589073)","43","SPECIALTY HOSPITAL","Ochsner Therapy and Wellness O'Neal","2077 O'NEAL LN","BATON ROUGE","LOUISIANA","70816","225-754-5188","https://www.ochsner.org/locations/therapy-wellness-oneal"
"POINT (-91.094430037915 30.394224502082)","1","PRIMARY CARE","Medical Tower 4","8888 SUMMA AVE","BATON ROUGE","LOUISIANA","70809","225-237-1515","https://www.brgeneral.org/locations/baton-rouge-general-physicians-cardiovascular-an/"
"POINT (-91.142124612578 30.44495389361)","59","MENTAL HEALTH CENTER","Capital Area Human Services District","4615 GOVERNMENT ST","BATON ROUGE","LOUISIANA","70806","225-922-2700","http://cahsd.org/"
"POINT (-91.1031304679 30.422408946444)","29","PRIMARY CARE","Ochsner Health Center Jefferson Place","8150 JEFFERSON HWY","BATON ROUGE","LOUISIANA","70809","225-336-3100","https://www.ochsner.org/locations/ochsner-health-center-jefferson-place/"
"POINT (-91.147822243772 30.447937632271)","15","SPECIALTY HOSPITAL","Baton Rouge Behavioral Hospital","4040 NORTH BLVD","BATON ROUGE","LOUISIANA","70806","225-300-8470","http://batonrougebehavioral.com/"
"POINT (-91.147842847556 30.448670412964)","47","MENTAL HEALTH CENTER","Behavioral Wellness Center","4045 NORTH BLVD","BATON ROUGE","LOUISIANA","70806","225-387-7652","https://www.brgeneral.org/locations/behavioral-wellness-center/"
"POINT (-91.097313341536 30.400015024489)","40","SPECIALTY HOSPITAL","OLOL Children's Hospital","8300 CONSTANTIN BLVD","BATON ROUGE","LOUISIANA","70809",,"https://ololchildrens.org"
"POINT (-91.116871560888 30.515055752559)","36","SPECIALTY HOSPITAL","Apollo Behavioral Health Hospital","7414 SUMRALL DR","BATON ROUGE","LOUISIANA","70812","225-663-2881","http://www.apollo-bhh.com/"
"POINT (-91.095142282345 30.410445447864)","37","SPECIALTY HOSPITAL","Baton Rouge Rehabilitation Hospital","8595 UNITED PLAZA BLVD","BATON ROUGE","LOUISIANA","70809","225-927-0567","https://www.brrehab.com"
"POINT (-91.002251406326 30.442264843352)","28","PRIMARY CARE","Ochsner Health Center O'Neal","16777 MEDICAL CENTER DR","BATON ROUGE","LOUISIANA","70816","225-761-5200","https://www.ochsner.org/locations/ochsner-health-center-oneal"
"POINT (-91.06292406187 30.542435600931)","45","PRIMARY CARE","BR General Physicians - Central","11111 PARK PLACE DR","CENTRAL","LOUISIANA","70818","225-333-3636","https://www.brgeneral.org/locations/baton-rouge-general-physicians-central/"
"POINT (-91.093992496107 30.393609432446)","58","PRIMARY CARE","Medical Tower 1","8595 PICARDY AVE","BATON ROUGE","LOUISIANA","70809","225-763-4900","https://www.brgeneral.org/locations/baton-rouge-family-medical-center/"
"POINT (-91.102458575547 30.397457596313)","34","SPECIALTY HOSPITAL","KPC Promise Hospital Baton Rouge","5130 MANCUSO LN","BATON ROUGE","LOUISIANA","70809","225-490-9600","http://batonrouge.kpcph.com"
"POINT (-91.101872794732 30.371715239642)","3","PRIMARY CARE","BR General Physicians - Bluebonnet Family Clinic","8680 BLUEBONNET BLVD","BATON ROUGE","LOUISIANA","70810","225-333-3590","https://www.brgeneral.org/locations/baton-rouge-general-physicians-bluebonnet-family/"
"POINT (-91.111967388424 30.352749793402)","14","PRIMARY CARE","Ochsner Health Center Bluebonnet South","10150 BLUEBONNET BLVD","BATON ROUGE","LOUISIANA","70810","225-761-5200","https://www.ochsner.org/locations/ochsner-health-center-bluebonnet-south"
"POINT (-91.159541974145 30.394692725785)","26","URGENT CARE","Lake After Hours","123 LEE DR","BATON ROUGE","LOUISIANA","70808",,"http://lakeafterhours.com/"
"POINT (-91.10861489237 30.404246165969)","5","PRIMARY CARE","OLOL Medical Plaza","7777 HENNESSY BLVD","BATON ROUGE","LOUISIANA","70808",,"http://www.ololrmc.com"
"POINT (-91.100807138372 30.376548657782)","19","SPECIALTY HOSPITAL","Surgical Specialty Center","8080 BLUEBONNET BLVD","BATON ROUGE","LOUISIANA","70810","225-408-8080","http://www.sscbr.com/"
"POINT (-91.006501433151 30.430780149696)","51","PRIMARY CARE","BR General Physicians - O'Neal","2645 O'NEAL LN, BLDG B","BATON ROUGE","LOUISIANA","70816","225-333-3660","https://www.brgeneral.org/locations/baton-rouge-general-physicians-family-medicine-o/"
"POINT (-91.061263346334 30.458839224234)","35","SPECIALTY HOSPITAL","Oceans Behavioral Hospital Baton Rouge","11135 FLORIDA BLVD","BATON ROUGE","LOUISIANA","70815","225-356-7030","http://obhbr.info/"
"POINT (-91.152530606341 30.648963447408)","42","PRIMARY CARE","Ochsner Health Center Zachary","4845 MAIN ST","ZACHARY","LOUISIANA","70791","225-761-5200","https://www.ochsner.org/locations/ochsner-health-center-zachary"
"POINT (-91.075922689789 30.386029300693)","30","PRIMARY CARE","Ochsner Medical Complex The Grove","10310 THE GROVE BLVD","BATON ROUGE","LOUISIANA","70809","225-761-5200","https://www.ochsner.org/locations/ochsner-medical-complex-high-grove"
"POINT (-91.106953780961 30.403515742967)","12","FULL SERVICE HOSPITAL","Our Lady Of The Lake Regional Medical Center","5000 HENNESSY BLVD","BATON ROUGE","LOUISIANA","70808","225-765-6565","http://www.ololrmc.com"
"POINT (-91.153813563585 30.448669306581)","46","PRIMARY CARE","BR General Mid-City Medical Office Bldg","3401 NORTH BLVD","BATON ROUGE","LOUISIANA","70806","225-381-6620","https://www.brgeneral.org/locations/family-health-center/"
"POINT (-91.028684205996 30.531055571008)","22","URGENT CARE","Lake After Hours","8751 SULLIVAN RD","CENTRAL","LOUISIANA","70818",,"http://lakeafterhours.com/"
"POINT (-91.21222243074 30.650932669734)","39","PRIMARY CARE","BR General Physicians - Zachary","1185 AMERICANA BLVD, STE 2","ZACHARY","LOUISIANA","70791","225-237-1625","https://www.brgeneral.org/locations/baton-rouge-general-physicians-family-medicine-z/"
"POINT (-91.134795338321 30.451562762416)","48","PRIMARY CARE","BR General Physicians - Primary Care Group","5353 FLORIDA BLVD","BATON ROUGE","LOUISIANA","70806","225-367-4558","https://www.brgeneral.org/locations/baton-rouge-general-physicians-primary-care-grou/"
