"the_geom","id","business_name","full_address","city","state","zip","phone_number","website"
"POINT (-91.008540463366 30.434936631809)","60","LAKE AFTER HOURS-ONEAL LN","2380 O'NEAL LN, STE E","BATON ROUGE","LOUISIANA","70816","225-765-0780","http://lakeafterhours.com/"
"POINT (-91.09884746217 30.442949032729)","63","GOODWOOD PRIMARY CARE CLINIC","8333 GOODWOOD BLVD","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.156185435465 30.45002642962)","12","CARE SOUTH","3140 FLORIDA ST","BATON ROUGE","LOUISIANA","70806","225-650-2000","http://caresouth.org/"
"POINT (-91.10486573576 30.403797877366)","78","MARY BIRD PERKINS CANCER CENTER","4950 ESSEN LN","BATON ROUGE","LOUISIANA","70808","225-767-0847","http://marybird.org/olol"
"POINT (-91.0683674384 30.385196711297)","112","CORE CLINICS LLC","10059 N RIEGER RD","BATON ROUGE","LOUISIANA","70809","225-456-2330","http://coreoccupational.com/home"
"POINT (-91.000005068394 30.44265120728)","100","OCHSNER HEALTH CENTER ONEAL","17000 MEDICAL CENTER DR","BATON ROUGE","LOUISIANA","70816",,"https://ochsner.org/"
"POINT (-91.047839318909 30.4114509622)","92","DROZDOV CHIROPRACTIC","11923 COURSEY BLVD","BATON ROUGE","LOUISIANA","70816","225-296-5121","http://drozdovchiropractic.com/"
"POINT (-91.141800652499 30.447046730277)","18","ADVANCED COMPREHENSIVE TESTING","4560 NORTH BLVD","BATON ROUGE","LOUISIANA","70806","225-927-9441",
"POINT (-91.100845026883 30.420970837982)","16","JEFFERSON OAKS BEHAVIORAL HEALTH INC","8318 JEFFERSON HWY","BATON ROUGE","LOUISIANA","70809","225-927-5624",
"POINT (-91.111994876338 30.401716196035)","29","EATING DISORDER CENTER LLC","5329 DIJON DR","BATON ROUGE","LOUISIANA","70808","225-925-5750","http://edcenterbr.com/"
"POINT (-91.007492458398 30.45009446766)","75","DAVITA","1333 O'NEAL LN","BATON ROUGE","LOUISIANA","70816","225-226-1444","http://davita.com/"
"POINT (-91.157315420551 30.398568107117)","65","ST. JAMES PLACE OF BATON ROUGE","333 LEE DR","BATON ROUGE","LOUISIANA","70808","225-769-1407","http://stjude.org/stjude/v/index.jsp?vgnextoid=b5a76f9523e70110VgnVCM1000001e0215acRCRD"
"POINT (-91.110418376669 30.396984193)","10","BATON ROUGE CLINIC URGENT CARE CENTER","7479 PERKINS RD","BATON ROUGE","LOUISIANA","70808","225-246-9997","http://brcurgentcare.com/"
"POINT (-91.136795555926 30.420232620043)","57","PREGNANCY PROBLEM CENTER","4724 JAMESTOWN AVE","BATON ROUGE","LOUISIANA","70808","225-924-1400","http://pregnancyproblemcenterbr.com/"
"POINT (-91.177969143683 30.451432729744)","34","ALLIANCE HOUSE OF BATON ROUGE","445 N 12TH ST","BATON ROUGE","LOUISIANA","70802","225-987-0013","http://mhagbr.com/index.php/alliance-house-drop-in-center"
"POINT (-91.083835038544 30.421032427165)","46","THE C&B GROUP LLC","9151 INTERLINE AVE","BATON ROUGE","LOUISIANA","70809","225-636-2601",
