"the_geom","business_name","full_address","city","state","country","zip","address_authority","abc","business_naics_code","phone_number","website","latitude","longitude","business_id","address_id","jurisdiction"
"POINT (-91.054338825939 30.409747321728)","WALMART NEIGHBORHOOD MARKET","11550 COURSEY BLVD","BATON ROUGE","LOUISIANA","UNITED STATES","70816","PARISH","YES","445110",,,"30","-91","45899","12025","EBRP"
"POINT (-91.179700690005 30.531715151417)","SCOTLANDVILLE CONVENIENCE STORE","1375 ROSENWALD RD","BATON ROUGE","LOUISIANA","UNITED STATES","70807","BATON ROUGE","YES","445000","225-774-1062",,"31","-91","6737","25012","EBRP"
"POINT (-91.103441851432 30.451451429127)","MURPHY EXPRESS #8857","8144 FLORIDA BLVD","BATON ROUGE","LOUISIANA","UNITED STATES","70806","BATON ROUGE","YES","447000",,,"30","-91","64467","136951","EBRP"
"POINT (-91.139417711079 30.448312128343)","CIRCLE K STORES #2706823","110 S FOSTER DR","BATON ROUGE","LOUISIANA","UNITED STATES","70806","BATON ROUGE","YES","447000",,,"30","-91","59774","8216","EBRP"
"POINT (-91.168821196183 30.582291399389)","BAKER TEXACO","790 MAIN ST","BAKER","LOUISIANA","UNITED STATES","70714","BAKER","YES","447000",,,"31","-91","40429","187595","EBRP"
"POINT (-91.053248060623 30.458476686624)","XBIO BAR","11690 STE D FLORIDA BLVD","BATON ROUGE","LOUISIANA","UNITED STATES","70815","BATON ROUGE","YES","722000",,,"30","-91","63296","232296","EBRP"
"POINT (-91.145467661993 30.418405806561)","PHILS OYSTER BAR & SEAFOOD RESTAURANT","4335 PERKINS RD","BATON ROUGE","LOUISIANA","UNITED STATES","70808","BATON ROUGE","YES","722000",,,"30","-91","49044","227727","EBRP"
"POINT (-91.035347479121 30.410380053615)","SAVE MORE MARKET #7","12929 STE B COURSEY BLVD","BATON ROUGE","LOUISIANA","UNITED STATES","70817","PARISH","YES","445000",,,"30","-91","66601","244051","EBRP"
"POINT (-91.006779386586 30.439282280509)","WALGREENS #07440","2001 O'NEAL LN","BATON ROUGE","LOUISIANA","UNITED STATES","70816","PARISH","YES","446110","225-756-8536","http://walgreens.com/","30","-91","38066","51076","EBRP"
"POINT (-91.140066989456 30.469221650225)","CAPITOL CITY WHOLESALERS","2255 N FOSTER DR","BATON ROUGE","LOUISIANA","UNITED STATES","70802","BATON ROUGE","YES","423000",,,"30","-91","26056","56715","EBRP"
"POINT (-91.113925222282 30.430218933877)","SEROPS CAFE","7474 STE 307 CORPORATE BLVD","BATON ROUGE","LOUISIANA","UNITED STATES","70809","BATON ROUGE","YES","722000",,,"30","-91","35613","135058","EBRP"
"POINT (-91.057625116136 30.4721752017)","SHERWOOD DISCOUNT MART","2564 N SHERWOOD FOREST DR","BATON ROUGE","LOUISIANA","UNITED STATES","70815","BATON ROUGE","YES","445000",,,"30","-91","35719","61570","EBRP"
"POINT (-91.026592720776 30.348064994541)","CIRCLE K STORE #2707660","18051 PERKINS RD E","BATON ROUGE","LOUISIANA","UNITED STATES","70810","PARISH","YES","447000",,"http://circlek.com/","30","-91","26597","45039","EBRP"
"POINT (-91.027283981122 30.543657333512)","CALIENTE MEXICAN CRAVINGS","14455 STE F WAX RD","CENTRAL","LOUISIANA","UNITED STATES","70818","CENTRAL","YES","722000",,,"31","-91","50459","230676","EBRP"
"POINT (-91.025571157262 30.347741570078)","CITY PORK OF PERKINS","18143 STE E PERKINS RD E","BATON ROUGE","LOUISIANA","UNITED STATES","70810","PARISH","YES","722000",,,"30","-91","67344","247682","EBRP"
"POINT (-91.069377392109 30.413021566164)","ICEHOUSE TAP ROOM","10466 STE F AIRLINE HWY","BATON ROUGE","LOUISIANA","UNITED STATES","70809","PARISH","YES","722000",,,"30","-91","65080","237867","EBRP"
"POINT (-91.092275838267 30.419026019715)","JEFFS FOOD MART","8731 JEFFERSON HWY","BATON ROUGE","LOUISIANA","UNITED STATES","70809","BATON ROUGE","YES","445110",,,"30","-91","10914","119806","EBRP"
"POINT (-91.139919195457 30.444406982981)","PHIL BRADYS BAR & GRILL INC","4848 GOVERNMENT ST","BATON ROUGE","LOUISIANA","UNITED STATES","70806","BATON ROUGE","YES","722000",,,"30","-91","33930","133958","EBRP"
"POINT (-91.156788152099 30.479765566624)","CITY TOWN MEAT MARKET #4","3475 N ACADIAN THWY","BATON ROUGE","LOUISIANA","UNITED STATES","70805","BATON ROUGE","YES","445000",,,"30","-91","48177","136534","EBRP"
"POINT (-91.156192489163 30.469632046836)","LA PAMELA SALON","2414 N ACADIAN THWY W","BATON ROUGE","LOUISIANA","UNITED STATES","70802","BATON ROUGE","YES","812112",,,"30","-91","23029","143436","EBRP"
