"the_geom","id","business_name","full_address","city","state","zip","phone_number","website"
"POINT (-91.112155373271 30.459907052703)","39","SAINT ANTHONY'S HOME","7439 BISHOP OTT DR","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.03409804761 30.465732009832)","3","FLANNERY OAKS GUEST HOUSE","1642 N FLANNERY RD","BATON ROUGE","LOUISIANA","70815",,
"POINT (-91.055287659951 30.458510058347)","1","CAPITOL HOUSE NURSING & REHAB","11546 FLORIDA BLVD","BATON ROUGE","LOUISIANA","70815",,
"POINT (-91.079334671102 30.420255028185)","2","LANDMARK OF BATON ROUGE","9105 OXFORD PLACE DR","BATON ROUGE","LOUISIANA","70809",,
"POINT (-91.112688520671 30.458898483926)","4","ST. CLARE MANOR NURSING HOME","7435 BISHOP OTT DR","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.096887302679 30.39834936659)","11","AMBER TERRACE","8585 SUMMA AVE","BATON ROUGE","LOUISIANA","70809",,
"POINT (-91.057808488725 30.363137549228)","19","THE PEARL AT JAMESTOWN","14443 PERKINS RD","BATON ROUGE","LOUISIANA","70810",,
"POINT (-91.139010659142 30.650599003093)","18","ZACHARY MANOR NURSING AND REHAB","6161 MAIN ST","ZACHARY","LOUISIANA","70791",,
"POINT (-91.078878220838 30.418349124244)","6","HERITAGE MANOR OF BATON ROUGE","9301 OXFORD PLACE DR","BATON ROUGE","LOUISIANA","70809",,
"POINT (-91.143014222233 30.415938350748)","9","SOUTHSIDE GARDENS ASSISTED LIVING","4536 PERKINS RD","BATON ROUGE","LOUISIANA","70808",,
"POINT (-91.060385304668 30.458027634267)","13","CARE CENTER (THE)","11188 FLORIDA BLVD","BATON ROUGE","LOUISIANA","70815",,
"POINT (-91.070731936098 30.457384716986)","14","GUEST HOUSE (THE)","10145 FLORIDA BLVD","BATON ROUGE","LOUISIANA","70815",,
"POINT (-91.076554020308 30.363951253808)","32","SUNRISE AT SIEGEN","9351 SIEGEN LN","BATON ROUGE","LOUISIANA","70810",,
"POINT (-91.099122822235 30.399111579557)","26","CARRINGTON PLACE OF BATON ROUGE","8225 SUMMA AVE","BATON ROUGE","LOUISIANA","70809",,
"POINT (-91.076237929479 30.372509641425)","8","HAVEN AT WINDERMERE ASSISTED LIVING","8225 YMCA PLAZA DR","BATON ROUGE","LOUISIANA","70810",,
"POINT (-91.056089347176 30.425943797257)","37","NOTTINGHAM REGIONAL REHAB CENTER","2828 WESTFORK DR","BATON ROUGE","LOUISIANA","70816",,
"POINT (-91.1531233058 30.450052663032)","20","BATON ROUGE GENERAL MEDICAL CENTER NURSING HOME","3600 FLORIDA ST","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.019395006556 30.374119796572)","38","OLD JEFFERSON COMMUNITY CARE CENTER","8340 BARINGER FOREMAN RD","BATON ROUGE","LOUISIANA","70817",,
"POINT (-91.021779964073 30.451118528608)","27","COLONIAL CARE RETIREMENT CENTER","14686 OLD HAMMOND HWY","BATON ROUGE","LOUISIANA","70816",,
"POINT (-91.137071359663 30.557793192148)","35","BATON ROUGE HEALTH CARE CENTER","5550 THOMAS RD","BATON ROUGE","LOUISIANA","70811",,
"POINT (-91.145030305758 30.419348110565)","10","WILLIAMSBURG RETIREMENT COMMUNITY","3185 BALIS DR","BATON ROUGE","LOUISIANA","70808",,
"POINT (-91.09622770346 30.418926782514)","12","SUNRISE OF BATON ROUGE","8502 JEFFERSON HWY","BATON ROUGE","LOUISIANA","70809",,
