"name","type","gradelevels","public_private","schoolsystem","open_closed","name_former","full_address","city","state","zip","phone_number","website","geolocation","recno"
"McKinley Senior High School","High","9 to 12","Public","East Baton Rouge Parish","O",,"800 E MC KINLEY ST","BATON ROUGE","LOUISIANA","70802","225-344-7696","https://www.ebrschools.org/schools/","800 E MC KINLEY ST
BATON ROUGE, LOUISIANA 70802
(30.42377, -91.174815)","494"
"Bethany Christian School","Elementary","K to 6","Private","Private","O",,"11107 HONORE LN","BATON ROUGE","LOUISIANA","70809","225-774-0133","http://www.bethanychristianschool.com/","11107 HONORE LN
BATON ROUGE, LOUISIANA 70809
(30.385502, -91.057233)","581"
"Helix Aviation Academy","All Grades","K to 12","Charter","East Baton Rouge Parish","O",,"4400 AIRPARK BLVD","BATON ROUGE","LOUISIANA","70807","225-427-8004","https://helixaviationacademy.org","4400 AIRPARK BLVD
BATON ROUGE, LOUISIANA 70807
(30.5413, -91.1448)","989"
"Baton Rouge Bridge Academy","Elementary","K to 1","Public","Recovery","C",,"5300 MONARCH AVE","BATON ROUGE","LOUISIANA","70811",,"http://www.bridgeacademybr.org/","5300 MONARCH AVE
BATON ROUGE, LOUISIANA 70811
(30.51576, -91.137084)","809"
"Agape School of Baton Rouge","Elementary","K to 8","Private","Private","O",,"17170 PERKINS RD","BATON ROUGE","LOUISIANA","70810","225-605-3055","https://agapeschoolofbr.com","17170 PERKINS RD
BATON ROUGE, LOUISIANA 70810
(30.350616, -91.03573)","1009"
"Children's Charter School","Elementary",,"Public","Charter - EBRPSS","C","Nicholson Elementary School","1143 NORTH ST","BATON ROUGE","LOUISIANA","70802",,,"1143 NORTH ST
BATON ROUGE, LOUISIANA 70802
(30.452766, -91.178121)","547"
"Liberty Magnet High School","High","9 to 12","Public","East Baton Rouge Parish","O","Robert E. Lee High School","1105 LEE DR","BATON ROUGE","LOUISIANA","70808","225-924-9406","https://www.ebrschools.org/schools/","1105 LEE DR
BATON ROUGE, LOUISIANA 70808
(30.405015, -91.150544)","370"
"Community Christian Academy","All Grades",,"Private",,"C",,,,,,,,,"519"
"Hollywood School","Elementary",,"Public",,"C",,,,,,,,,"482"
"South Greenville School (historical)","Elementary",,"Public",,"C",,,,,,,,,"381"
