"title","category_or_snippet","description","tags","open_data_site","url","created"
"2018 Social Vulnerability Index","Government","The 2018 Social Vulnerability Index indicates the relative vulnerability of every U.S. Census tract. Census tracts are subdivisions of counties in which the Census Bureau aggregates statistical data. The SVI ranks the tracts on 15 social factors, including unemployment, minority status, and disability, and further groups them into four related themes. Thus, every tract receives a ranking for each Census variable, each of the four themes, and an overall ranking.","Health, Social, Vulnerability, Tract","Open Data BR","https://data.brla.gov/Government/2018-Social-Vulnerability-Index/q7v5-ijjg","2021-07-07T00:00:00.000"
"311 Citizen Request for Service","Government","Point geometry with attributes displaying all of the citizen service requests submitted since 2012 in East Baton Rouge Parish, Louisiana. The data in this layer is categorized by the responsible department and division including: Department of Environmental Services (DES), Environmental Division, Recycling, Sanitation, Wastewater Operations, Department of Development (DOD), Blight Enforcement, Environmental, Permits and Inspections, Subdivisions, Department of Maintenance (DOM), Drainage Maintenance, Landscape Maintenance, Street Maintenance, Department of Transportation and Drainage (TAD), Field Engineering, Traffic Engineering","311, Citizen, Request, Service","EBRGIS Open Data","https://web-ebrgis.opendata.arcgis.com/maps/ebrgis::311-citizen-request-for-service-all-requests/about","2021-02-01T11:32:15.000"
"311 Citizen Requests for Service","Government","This dataset includes all requests for service received from the City-Parish 311 Call Center, including requests for service submitted online and through the Red Stick 311 mobile application, dating back to January 1, 2016. Submitter names, phone numbers, and e-mail addresses are redacted for privacy purposes. Data is updated daily from the Public Works Business Office and 311 Call Center. Phone numbers are redacted to protect the contact information and privacy of citizens by replacing raw digits with XXX-XXX-XXXX. For any questions about this process, please contact opendata@brgov.com.","Public Works, 311, Service, Request","Open Data BR","https://data.brla.gov/Government/311-Citizen-Requests-for-Service/7ixm-mnvx","2016-10-05T00:00:00.000"
"ABC License","Business and Financial","Point geometry with attributes displaying businesses in the City of Baton Rouge and Parish of East Baton Rouge, Louisiana that have been licensed to sell, serve or dispense alcoholic beverages.","ABC, License, Bar, Lounge, Restaurant, Alcohol, Financial, Business","EBRGIS Open Data","https://web-ebrgis.opendata.arcgis.com/datasets/abc-license/","2015-10-16T07:26:04.000"
"Address Label","Housing and Development","Point geometry with attributes displaying address number labels in East Baton Rouge Parish, Louisiana.","Address, Street, Housing","EBRGIS Open Data","https://web-ebrgis.opendata.arcgis.com/datasets/address-label/","2015-10-16T09:26:13.000"
"Adjudicated Parcel","Housing and Development","Polygon geometry with attributes displaying adjudicated tax parcels in East Baton Rouge Parish, Louisiana.","Adjudicated, Parcel, Tax, Assessor, Assessment, Housing","EBRGIS Open Data","https://web-ebrgis.opendata.arcgis.com/datasets/adjudicated-parcel/","2015-10-15T11:30:22.000"
"Adjudicated Property","Housing and Development","In the event that your taxes are not paid by a certain date, the Sheriff's Office will advertise your property for sale to the general public to collect the unpaid taxes. On the advertised date, the property will be subjected to a tax sale. If no one buys the property at the tax sale, the property will then be adjudicated to the Parish of East Baton Rouge in compliance with the laws of the State of Louisiana. The records in this dataset reflect the most current adjudicated property listing.","Adjudicated, Parcel, Tax, Assessor, Assessment","Open Data BR","https://data.brla.gov/Housing-and-Development/Adjudicated-Property/a4h4-zi7e","2015-01-27T00:00:00.000"
"Animal Control Incidents","Public Safety","Incidents responded to by the Baton Rouge Animal Control and Rescue Center (ACRC). ACRC is responsible for carrying out duties related to animal-related situations, including: administering the anti-rabies vaccination, licensing, and tag program; investigating animal cruelty incidents; investigating dog fighting; resolving dangerous animal situations; rescuing injured animals; investigating abandoned animal cases; investigating occult, animal sacrifice, and bestiality cases; resolving stray animal situations; enforcing the leash law and owned animal problems; assisting law enforcement with narcotics, evictions, and DWI cases; enforcing barking dog cases; inspecting dog yards/pens; chaining or tethering compliance; assisting animal welfare groups with feral interventions; and conducting educational programs. As many of the incidents included within this data set involve active cases that are currently under investigation and computerized system limitations do not allow for automated screening of open/closed cases, the identity of animal owners is redacted to protect the privacy of the animal owner. Members of the public interested in the identity of a specific incident may contact ACRC directly to inquire about the incident and, if it is closed, ACRC will release a copy of the file to the person requesting it. However, location data regarding where the incident was reported or occurred is included within this data set, which may or may not be the same location as the animal owner's home or property. In addition, to protect the identity of the complainant (person filing the complaint or alerting ACRC to a potential incident), only the complainant's street name is included as part of this data set. Finally, while all incidents are updated on a daily basis, incidents involving animal cruelty are updated based on a rolling 30-day delay to allow for ACRC to investigate the incident and make a determination as to the validity of the cruelty complaint.","Animal Control, Rescue, Wildlife, Cats, Dogs","Open Data BR","https://data.brla.gov/Public-Safety/Animal-Control-Incidents/qmns-hw3s","2015-06-28T00:00:00.000"
"Annexation History","Government","Polygon geometry with attributes displaying the annexations of the City of Baton Rouge, Louisiana.","Annexation, City Limits, Baton Rouge","EBRGIS Open Data","https://web-ebrgis.opendata.arcgis.com/datasets/annexation-history/","2019-01-29T13:18:21.000"
"Annual Contracts","Government","Listing of all annual contracts issued to procure goods and/or services within City-Parish.","Procurement, Contracts, Annual Contracts","Open Data BR","https://data.brla.gov/Government/Annual-Contracts/syff-bi5d","2018-08-09T00:00:00.000"
