"parkid","park_name","full_address","city","state","zip","classification","website","acreage","airgun_range","airnasium","archery_range","indoor_basketball","outdoor_basketball","bike_repair_station","bird_watching_wildlife_viewing","blueway_trailhead","bmx_track","canoe_kayak_launch","cricket_pitch","croquet_court","disc_golf","dog_park","equestrian","fishing_access","fitness_center","fitness_station_outdoor","garden_aboretum","golf_course_9_hole","golf_course_18_hole","greenway_trailhead","mountain_bike_trail","multi_purpose_ball_field","nature_trail","pavilion","playgound","primitive_trail","rec_center","rugby_field","rv_park","sand_volleyball","shuffleboard","skate_park","soccer_field","spray_pad","stadium","swimming_pool","tennis_center","tennis_court","velodrome","walking_loop_outdoor","walking_track_indoor","geolocation"
"ACTWY","ACADIAN THRUWAY PARK","2751 N ACADIAN THWY W","BATON ROUGE","LOUISIANA","70805","Neighborhood","http://www.brec.org/index.cfm/park/AcadianThruway","0.64100000000000001","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","POINT (-91.156551 30.472717)"
"ALAST","ALASKA STREET PARK","3014 ALASKA ST","BATON ROUGE","LOUISIANA","70802","Neighborhood","http://www.brec.org/index.cfm/park/AlaskaStreet","2.7409999999999997","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","POINT (-91.184234 30.420778)"
"ALSEN","ALSEN PARK","601 OLD RAFE MAYER RD","BATON ROUGE","LOUISIANA","70807.000000000000000","Neighborhood","http://www.brec.org/index.cfm/park/Alsen","19.852000000000000","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","POINT (-91.197566 30.570722)"
"ALXST","ALEXANDER STREET PARK","6000 ALEXANDER AVE","BATON ROUGE","LOUISIANA","70805","Neighborhood","http://www.brec.org/index.cfm/park/AlexanderStreet","8.8300000000000001","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","POINT (-91.1615 30.504104)"
"ANATJ","ANNA T. JORDAN COMMUNITY PARK","1750 STILT ST","BATON ROUGE","LOUISIANA","70807","Community","http://www.brec.org/index.cfm/park/AnnaTJordanCommunityPark","39.619999999999997","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","YES","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","YES","NO","POINT (-91.175259 30.527419)"
"ANTOC","ANTIOCH BOULEVARD PARK","6229 ANTIOCH BLVD","BATON ROUGE","LOUISIANA","70817.000000000000000","Neighborhood","http://www.brec.org/index.cfm/park/Antioch","30.369999999999997","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","POINT (-91.002156 30.39352)"
"ARHWY","AIRLINE HIGHWAY PARK","16072 AIRLINE HWY","BATON ROUGE","LOUISIANA","70817","Special Facility","http://www.brec.org/index.cfm/park/AirlineHighway","133.36000000000001","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","POINT (-91.000131 30.351631)"
"AVNUF","AVENUE F PARK","4790 AVENUE F","ZACHARY","LOUISIANA","70791","Neighborhood","http://www.brec.org/index.cfm/park/AvenueF","0.29999999999999999","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","POINT (-91.150894 30.658808)"
"BAKRC","BAKER RECREATION CENTER","1420 ALABAMA AVE","BAKER","LOUISIANA","70714.000000000000000","Neighborhood","http://www.brec.org/index.cfm/park/BakerRecreationCenter","0.500000000000000","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",
"BAKRP","BAKER PARK","4331 JEFFERSON ST","BAKER","LOUISIANA","70714.000000000000000","Neighborhood","http://www.brec.org/index.cfm/park/BakerPark","13.010000000000000","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","POINT (-91.153925 30.590626)"
