"the_geom","id","name","type","gradelevels","public_private","schoolsystem","name_former","full_address","city","state","zip","phone_number","website"
"POINT (-90.992227886276 30.515283504121)","111","Bellingrath Hills Elementary School","Elementary","Pre-K to K","Public","Central Community",,"6612 AUDUSSON DR","GREENWELL SPRINGS","LOUISIANA","70739","225-261-4093","http://bellingrathhills.centralcss.org/"
"POINT (-91.033691567894 30.421988078249)","13","Episcopal High School","High","Pre-K to 12","Private","Private",,"3200 WOODLAND RIDGE BLVD","BATON ROUGE","LOUISIANA","70816","225-753-3180","http://www.ehsbr.org/"
"POINT (-91.190137730609 30.642755910421)","38","Copper Mill Elementary School","Elementary",,"Public","Zachary Community",,"1300 INDEPENDENCE BLVD","ZACHARY","LOUISIANA","70791","225-658-1288","http://www.coppermillelementary.org/"
"POINT (-91.115240548798 30.474294475303)","124","Camelot College","College",,"Private","Private",,"2618 WOODDALE BLVD","BATON ROUGE","LOUISIANA","70805","225-928-3005","http://www.camelotcollege.com/"
"POINT (-91.102783911264 30.402227476302)","122","Southeastern Louisiana University School of Nursing","University",,"Public","University of Louisiana System",,"7900 MARGARET ANN AVE","BATON ROUGE","LOUISIANA","70809","225-765-2324","http://southeastern.edu/acad_research/depts/nurs/"
"POINT (-91.06026543629 30.402408457206)","125","Baton Rouge International School","All Grades","K to 12","Private","Private",,"5015 AUTOPLEX DR","BATON ROUGE","LOUISIANA","70809","225-293-4338","http://www.brintl.com/"
"POINT (-91.060923870464 30.566740652915)","35","Central Private School","All Grades","Pre-K to 12","Private","Private",,"12801 CENTERRA CT","BAKER","LOUISIANA","70714","225-261-3341","http://www.centralprivate.org/"
"POINT (-91.160283925296 30.368616467165)","121","LSU Carrol L. Herring Fire and Emergency Training Institute","University",,"Public","Louisiana State University System","Louisiana State University Fireman Training Center","6868 NICHOLSON DR","BATON ROUGE","LOUISIANA","70820","225-334-6300","http://feti.lsu.edu/"
"POINT (-91.143845020118 30.448957290779)","46","Country Day School of Baton Rouge","Elementary","Pre-K","Private","Private",,"4455 NORTH BLVD","BATON ROUGE","LOUISIANA","70806","225-928-4042","http://www.countrydayschoolbr.com/"
"POINT (-91.000835723171 30.395942329336)","45","Shenandoah Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish",,"16555 APPOMATTOX AVE","BATON ROUGE","LOUISIANA","70817","225-753-3560","https://www.ebrschools.org/schools/"
"POINT (-91.113134124891 30.465748801209)","127","Brighter Horizon School of Baton Rouge","All Grades","PK to 12","Private","Private",,"1896 WOODDALE BLVD","BATON ROUGE","LOUISIANA","70806","225-927-2521","http://www.brighterhorizonschool.org/"
"POINT (-91.191805299157 30.523444375115)","123","Southern University","University",,"Public","Southern University System",,"803 HARDING BLVD","BATON ROUGE","LOUISIANA","70813","225-771-4500","http://www.subr.edu/"
"POINT (-91.055611255338 30.449944060875)","119","Saint Thomas More Catholic School","Elementary","Pre-K to 8","Private","Catholic",,"11400 SHERBROOK DR","BATON ROUGE","LOUISIANA","70815","225-275-2820","http://www.stmbr.org/"
"POINT (-91.048338899094 30.467505492133)","6","Belaire Magnet High School","High","9 to 12","Public","East Baton Rouge Parish",,"12121 TAMS DR","BATON ROUGE","LOUISIANA","70815","225-272-1860","https://www.ebrschools.org/schools/"
"POINT (-91.036119029738 30.487618649511)","1","Victory Academy","Elementary","Pre-K to 8","Private","Private",,"3953 N FLANNERY RD","BATON ROUGE","LOUISIANA","70814","225-272-8339","https://www.vcawarriors.org"
"POINT (-91.082505906727 30.418061480188)","10","Brighton School, The","High","7 to 12","Private","Private","Depaul School","12108 PARKMEADOW AVE","BATON ROUGE","LOUISIANA","70816","225-923-2068","http://www.thebrightonschool.org/"
