"the_geom","id","description","facility_type","agency","owner","full_address","city","state","zip","phone_number","website","address_id"
"POINT (-91.165802436764 30.456998733215)","419","LWC Workforce Development Center","STATE OFFICES","STATE OF LOUISIANA","STATE","950 N 22ND ST","BATON ROUGE","LOUISIANA","70802",,,"126096"
"POINT (-91.17939972015 30.449964392821)","131","Department of Development Permits-Inspections","PUBLIC WORKS","DEPARTMENT OF DEVELOPMENT","CITY/PARISH","300 N 10TH ST","BATON ROUGE","LOUISIANA","70802",,,"136099"
"POINT (-91.150266600659 30.522253025443)","93","BRFD Administration And Training Center","FIRE PROTECTION","BATON ROUGE FIRE DEPARTMENT","CITY/PARISH","8011 MERLE GUSTAFSON DR","BATON ROUGE","LOUISIANA","70807",,,"114792"
"POINT (-91.066028104189 30.534967971673)","122","Central FD Station 35","FIRE PROTECTION","CENTRAL VOLUNTEER FIRE DEPARTMENT","CITY/PARISH","10626 LOVETT RD","CENTRAL","LOUISIANA","70818",,,"143067"
"POINT (-91.043065796869 30.560511991296)","3","EBRSO Central Substation","POLICE PROTECTION","EBR SHERIFFS OFFICE","CITY/PARISH","13016 GURNEY RD","CENTRAL","LOUISIANA","70818","225-389-5176",,"143079"
"POINT (-91.084004648105 30.479735846456)","8","BRFD Station 5","FIRE PROTECTION","BATON ROUGE FIRE DEPARTMENT","CITY/PARISH","3215 MONTERREY DR","BATON ROUGE","LOUISIANA","70814",,,"70128"
"POINT (-91.007061486397 30.388391741162)","324","St George FD Station 63","FIRE PROTECTION","ST GEORGE VOLUNTEER FIRE DEPARTMENT","CITY/PARISH","7027 ANTIOCH RD","BATON ROUGE","LOUISIANA","70817",,,"107951"
"POINT (-91.156518745557 30.532729121221)","141","Baton Rouge Metropolitan Airport","SPECIAL FACILITY","BATON ROUGE METROPOLITAN AIRPORT AUTHORITY","CITY/PARISH","9430 JACKIE COCHRAN DR","BATON ROUGE","LOUISIANA","70807",,,"138274"
"POINT (-91.067058874379 30.389835508346)","370","Industriplex Park","BREC PARK","BREC","BREC","10777 INDUSTRIPLEX BLVD","BATON ROUGE","LOUISIANA","70809","225-272-9200","http://www.brec.org/index.cfm/park/Industriplex","130220"
"POINT (-91.189335716634 30.446472823515)","331","Old State Capitol","SPECIAL FACILITY","STATE OF LOUISIANA","STATE","100 NORTH BLVD","BATON ROUGE","LOUISIANA","70802",,,"13"
"POINT (-90.997890118056 30.383035745695)","245","Woodlawn Acres Park","BREC PARK","BREC","BREC","16600 WOODLAWN ACRES AVE","BATON ROUGE","LOUISIANA","70817","225-272-9200","http://www.brec.org/index.cfm/park/WoodlawnAcres","102428"
"POINT (-91.194586607771 30.533606164259)","353","Mills Avenue Park","BREC PARK","BREC","BREC","401 MILLS AVE","BATON ROUGE","LOUISIANA","70807","225-778-1288","http://www.brec.org/index.cfm/park/MillsAvenue","248221"
"POINT (-91.103320111808 30.449409544829)","393","LA State Fire Marshal","PUBLIC SAFETY","STATE OF LOUISIANA","STATE","8181 INDEPENDENCE BLVD","BATON ROUGE","LOUISIANA","70806",,,"133317"
"POINT (-91.156305437219 30.648078996899)","98","Zachary Police Headquarters","POLICE PROTECTION","CITY OF ZACHARY","ZACHARY","4510 MAIN ST","ZACHARY","LOUISIANA","70791","225-654-9393","http://www.zacharypd.org/","175529"
"POINT (-90.986917424325 30.551665642149)","269","Kinchloe Lloyd Baker Park","BREC PARK","BREC","BREC","20821 GREENWELL SPRINGS RD","GREENWELL SPRINGS","LOUISIANA","70739","225-272-9200","http://www.brec.org/index.cfm/park/KinchloeLloydBaker","52886"
"POINT (-91.116317410264 30.50007576039)","369","Dover Street Park","BREC PARK","BREC","BREC","7300 DOVER ST","BATON ROUGE","LOUISIANA","70812","225-272-9200","http://www.brec.org/index.cfm/park/DoverStreet","110015"
