"the_geom","id","lot_id","business_name","full_address","city","zip","phone_number","website","lot_location","lb_map","lot_num","block_num","property_info","subdivision","abc","business_naics_code","dotd_map","census_tract","block_group","school_district","voting_district","economic_dev_zone","enterprise_zone","industrial_area","historic_district","historic_landmark","redevelopment_district","udd_name","udod_name","existing_land_use","future_land_use","zoning_type","subd_restriction","plss","design_level","area_meas_acres","character_area","service_name","condominium","service_type"
"MULTIPOLYGON (((-91.116731027477 30.448956401637, -91.116735681248 30.449066309609, -91.116418531794 30.449076147512, -91.116416208092 30.449021245847, -91.116413879413 30.448966240433, -91.116731027477 30.448956401637)))","77330","1030370368",,"239 CROYDON AVE","BATON ROUGE","70806",,,"Baton Rouge","37","17-B",,,"FLORIDA PLAZA",,,"96","18","1","EBR-9","1-033","NO","NO","No",,,,,,"MDR","CN","A2.5",,"T7S R1E Sect 82","Suburban","0","Suburban",,"NO",
"MULTIPOLYGON (((-91.116735681248 30.449066309609, -91.116740335031 30.449176216675, -91.116423185227 30.449186054589, -91.116420457501 30.449121639834, -91.116418531794 30.449076147512, -91.116735681248 30.449066309609)))","77329","1030370367",,"233 CROYDON AVE","BATON ROUGE","70806",,,"Baton Rouge","37","17-A",,,"FLORIDA PLAZA",,,"96","18","1","EBR-9","1-033","NO","NO","No",,,,,,"MDR","CN","A2.5",,"T7S R1E Sect 82","Suburban","0","Suburban",,"NO",
"MULTIPOLYGON (((-91.111211130511 30.435772540347, -91.111211025732 30.435819378127, -91.110897478189 30.435826516993, -91.110898402949 30.435413715399, -91.11098153181 30.435412004126, -91.111211130511 30.435772540347)))","77220","1030370838","SHAPIRO & SHAPIRO LLC","1500 LOBDELL AVE","BATON ROUGE","70806",,,"Baton Rouge","37","C",,,"GOODWOOD ESTATES","NO","541000","95","19","1","EBR-5","1-034","NO","NO","No",,,,,,"O","CN","B1",,"T7S R1E Sect 90","Suburban","0","Suburban",,"YES",
"MULTIPOLYGON (((-91.132933912657 30.442684049187, -91.132807034581 30.442687293794, -91.132797176664 30.442358741849, -91.132924066033 30.442355884262, -91.132933912657 30.442684049187)))","77323","1030371694",,"708 FRANKLIN ST","BATON ROUGE","70806",,,"Baton Rouge","37","18","24",,"CAPITAL HEIGHTS",,,"66","19","3","EBR-5","1-035","NO","NO","No",,,,,,"LDR","RN","A2",,"T7S R1E Sect 82","Walkable","0","Urban/Walkable",,"NO",
"MULTIPOLYGON (((-91.119687304969 30.44977478748, -91.119053002056 30.449794477579, -91.119044271887 30.449588401454, -91.119041362185 30.44951970971, -91.119675663346 30.449500019665, -91.119687304969 30.44977478748)))","77325","1030370303",,"185 KENWOOD AVE","BATON ROUGE","70806",,,"Baton Rouge","37","19","2",,"NORTH GOODWOOD",,,"96","18","1","EBR-9","1-033","NO","NO","No",,,,,,"LDR","RN","A1",,"T7S R1E Sect 82","Suburban","0","Suburban",,"NO",
"MULTIPOLYGON (((-91.116726374755 30.448846494565, -91.116731027477 30.448956401637, -91.116413879413 30.448966240433, -91.116412076434 30.448923670146, -91.116409226003 30.448856332447, -91.116726374755 30.448846494565)))","77331","1030370369",,"245 CROYDON AVE","BATON ROUGE","70806",,,"Baton Rouge","37","16-A",,,"FLORIDA PLAZA",,,"96","18","1","EBR-9","1-033","NO","NO","No",,,,,,"MDR","CN","A2.5",,"T7S R1E Sect 82","Suburban","0","Suburban",,"NO",
"MULTIPOLYGON (((-91.11432462932 30.44874254012, -91.113932944329 30.448754860136, -91.113930603306 30.448698998578, -91.114322213107 30.44868668115, -91.11432462932 30.44874254012)))","77324","1030370480",,"7225 WINTHROP AVE","BATON ROUGE","70806",,,"Baton Rouge","37","36-D",,,"OLD GOODWOOD TOWNHOUSE",,,"96","18","1","EBR-9","1-033","NO","NO","No",,,,,,"MDR","CN","C2",,"T7S R1E Sect 82","Suburban","0","Suburban",,"NO",
"MULTIPOLYGON (((-91.116745685853 30.449302610381, -91.116750339658 30.449412517439, -91.116433189098 30.449422356278, -91.116432091075 30.449396425106, -91.116428535645 30.449312448307, -91.116745685853 30.449302610381)))","77328","1030370365",,"219 CROYDON AVE","BATON ROUGE","70806",,,"Baton Rouge","37","18-A",,,"FLORIDA PLAZA",,,"96","18","1","EBR-9","1-033","NO","NO","No",,,,,,"MDR","CN","A2.5",,"T7S R1E Sect 82","Suburban","0","Suburban",,"NO",
"MULTIPOLYGON (((-91.119517343052 30.445763167722, -91.119200204426 30.445773012305, -91.119176598938 30.44521578156, -91.119493735787 30.445205937032, -91.119517343052 30.445763167722)))","77321","1030370297",,"6933 GOVERNMENT ST","BATON ROUGE","70806",,,"Baton Rouge","37","12","9",,"NORTH GOODWOOD",,,"96","18","1","EBR-9","1-033","NO","NO","No",,,,,,"LDR","RN","A1",,"T7S R1E Sect 82","Suburban","0","Suburban",,"NO",
"MULTIPOLYGON (((-91.153794897428 30.657741232223, -91.153849639673 30.657470319255, -91.154006939336 30.65749070491, -91.153952196467 30.657761617939, -91.153794897428 30.657741232223)))","174472","122170354",,"4546 AVENUE D","ZACHARY","70791",,,"Zachary","217","22",,,"KENNEDY",,,"335","46.02","2","Zachary-6","2-028","NO","YES","No",,,,,,"LDR",,,,"T4S R1E Sect 52",,"0",,,"NO",
