"the_geom","id","business_name","full_address","city","state","zip","business_naics_code","phone_number","website","resource_type","sub_resource_type","abc","address_authority","address_id","business_id"
"POINT (-91.015668444327 30.404624171929)","149068","BICYCLE SHOP","5443 JONES CREEK RD, STE C-D","BATON ROUGE","LOUISIANA","70817","453310",,,"RETAIL",,"NO","PARISH","0","11468"
"POINT (-90.998751406183 30.442123710912)","41821","THE MASTOLOGY CENTERS INC","17050 MEDICAL CENTER DR","BATON ROUGE","LOUISIANA","70816","621000",,,"HEALTH CARE",,"NO","PARISH","0","37136"
"POINT (-91.099145459279 30.451813215327)","93305","CULLENS BABYLAND INC #1","8424 FLORIDA BLVD, STE B","BATON ROUGE","LOUISIANA","70806","453000",,,"RETAIL",,"NO","BATON ROUGE","0","27200"
"POINT (-91.145924127533 30.700204600226)","146981","TEXACO","23896 ZACHARY-SLAUGHTER HWY","SLAUGHTER","LOUISIANA","70777","447110",,,"RETAIL","GAS STATION","YES","PARISH","0","23161"
"POINT (-91.088851263251 30.545005696324)","186936","CHERISHED PORTRAITS","10275 BLACKWATER RD","BAKER","LOUISIANA","70714","541000",,,"PROFESSIONAL SERVICES",,"NO","CENTRAL","0","48156"
"POINT (-91.088104665139 30.381034088859)","53050","BONILLA ENTERPRISES LLC","7614 JOHN NEWCOMBE AVE","BATON ROUGE","LOUISIANA","70810","238000",,,"CONSTRUCTION",,"NO","PARISH","0","23377"
"POINT (-91.107471072413 30.478716216876)","174638","MIRROR IMAGE BEAUTY AND BARBER","7871 GREENWELL SPRINGS RD","BATON ROUGE","LOUISIANA","70814","812112",,,"PERSONAL SERVICES","HAIR SALON","NO","BATON ROUGE","0","31415"
"POINT (-91.077948946664 30.355681617095)","172875","ASOKAS LANDSCAPING & MAINT INC","13354 BRIARBEND AVE","BATON ROUGE","LOUISIANA","70810","561730",,,"PROFESSIONAL SERVICES",,"NO","PARISH","0","24589"
"POINT (-91.117954674657 30.356602095316)","85524","BROUSSARD COMMUNITY HOME","9929 GLERMA AVE","BATON ROUGE","LOUISIANA","70810","621000",,,"HEALTH CARE",,"NO","PARISH","0","60075"
"POINT (-91.168310427305 30.474919008506)","20156","LUCKY LITEHOUSE SPIRITUAL SUPPLY SHOP","2994 SCENIC HWY","BATON ROUGE","LOUISIANA","70805","453000",,,"RETAIL",,"NO","BATON ROUGE","0","32264"
"POINT (-91.129005666053 30.452955475296)","155077","DEEP SOUTH FLEA MARKET","5905 FLORIDA BLVD","BATON ROUGE","LOUISIANA","70806","453000",,,"RETAIL",,"NO","BATON ROUGE","0","60487"
"POINT (-91.110628371512 30.394155046863)","29816","FUEL ZONE","2147 STARING LN","BATON ROUGE","LOUISIANA","70808",,,,"RETAIL","GAS STATION","YES","BATON ROUGE","0","10566"
"POINT (-91.120460118852 30.455317174728)","33850","GRADUATE SUPPLY INC","6855 VAN GOGH AVE","BATON ROUGE","LOUISIANA","70806","448000",,,"RETAIL",,"NO","BATON ROUGE","0","29504"
"POINT (-91.161541591949 30.42762938267)","110298","LIBBY WILLINGHAM DESIGNS","2421 HILLSDALE DR","BATON ROUGE","LOUISIANA","70808","454000",,,"RETAIL",,"NO","BATON ROUGE","0","48801"
"POINT (-91.026607382902 30.330231794168)","80783","R & S CORPORATION","17906 E AUGUSTA DR","BATON ROUGE","LOUISIANA","70810","339000",,,"INDUSTRIAL",,"NO","PARISH","0","41079"
"POINT (-91.060129141039 30.415270878435)","173918","EXOTIC NAIL #3","10979 COURSEY BLVD, STE C","BATON ROUGE","LOUISIANA","70816","812000",,,"PERSONAL SERVICES","NAIL SALON","NO","PARISH","0","49946"
"POINT (-91.142424531321 30.420577502744)","32115","WALMART STORES INC 1206","3132 COLLEGE DR","BATON ROUGE","LOUISIANA","70808","453000",,,"RETAIL",,"NO","BATON ROUGE","0","36447"
"POINT (-91.138290068197 30.418811561155)","43899","SOUTHSIDE CHILD DEVELOPMENT CENTER","3030 VALLEY CREEK DR","BATON ROUGE","LOUISIANA","70808","624000",,,"COMMUNITY RESOURCE","PLAY PLACE","NO","BATON ROUGE","0","36120"
