"the_geom","id","sub_resource_type","business_name","full_address","city","state","zip","phone_number","website"
"POINT (-91.09939585528 30.446240097951)","27572","HEALTH/EDUCATION ISSUES","TAYLOR'S KIDNEY SUPPORT GROUP","8334 O'HARA CT","BATON ROUGE","LOUISIANA","70806","225-928-5210",
"POINT (-91.164562197223 30.458116294473)","148669","FEDERALLY QUALIFIED HEALTH CENTERS","CARESOUTH","1000 N 23RD ST","BATON ROUGE","LOUISIANA","70802","225-650-2000",
"POINT (-91.04984936195 30.460718117103)","178081","DISABLED SERVICES","LOUISIANA CNI, L.L.C.","12009 FLORIDA BLVD","BATON ROUGE","LOUISIANA","70815","225-272-2090","http://lctf.org/"
"POINT (-91.160934969815 30.459120391469)","147732","FEDERALLY QUALIFIED HEALTH CENTERS","CARESOUTH","1111 N 28TH ST","BATON ROUGE","LOUISIANA","70802","225-650-2000",
"POINT (-91.145030305758 30.419348110565)","27782","ELDERLY SERVICES","WILLIAMSBURG RETIREMENT COMMUNITY","3185 BALIS DR","BATON ROUGE","LOUISIANA","70808",,
"POINT (-91.078878220838 30.418349124244)","26076","ELDERLY SERVICES","HERITAGE MANOR OF BATON ROUGE","9301 OXFORD PLACE DR","BATON ROUGE","LOUISIANA","70809",,
"POINT (-91.018279065446 30.465673396863)","22000","DISABLED SERVICES","BATON ROUGE RESPITE CARE","15059 FLORIDA BLVD","BATON ROUGE","LOUISIANA","70819","225-928-4077",
"POINT (-91.098475246178 30.394688691589)","39166","HEALTH/EDUCATION ISSUES","ARTHRITIS ASSOCIATION OF LA","8401 PICARDY AVE","BATON ROUGE","LOUISIANA","70809","(225) 761-8230","http://aaola.org"
"POINT (-91.148434992182 30.44865254653)","30020","ELDERLY SERVICES","AFFINITY NURSING AND REHAB CENTER","4005 NORTH BLVD","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.171939230938 30.448875392609)","14531","HEALTH/EDUCATION ISSUES","ST. VINCENT DEPAUL PHARMACY","1647 CONVENTION ST","BATON ROUGE","LOUISIANA","70802","225-383-7450","http://svdpbr.org/"
"POINT (-91.089146057074 30.374210293163)","35060","DISABLED SERVICES","GULF COAST SOCIAL SERVICES","11021 PERKINS RD, STE B","BATON ROUGE","LOUISIANA","70810","225-201-0696","http://gctfs.org"
"POINT (-91.101716856975 30.444929978761)","25948","FEDERALLY QUALIFIED HEALTH CENTERS","RKM BEREAVEMENT SERVICES","641 E AIRPORT AVE","BATON ROUGE","LOUISIANA","70806","225-636-2231",
"POINT (-91.076554020308 30.363951253808)","175858","ELDERLY SERVICES","SUNRISE AT SIEGEN","9351 SIEGEN LN","BATON ROUGE","LOUISIANA","70810",,
"POINT (-91.070731936098 30.457384716986)","147174","ELDERLY SERVICES","GUEST HOUSE (THE)","10145 FLORIDA BLVD","BATON ROUGE","LOUISIANA","70815",,
"POINT (-91.181722516767 30.421188252655)","151533","OUTPATIENT PHYSICAL THERAPY/SPEECH PATHOLOGY SERVICES","BATON ROUGE SPEECH & HEARING FOUNDATION","535 W ROOSEVELT ST","BATON ROUGE","LOUISIANA","70802","225-343-4232","http://brshf.org"
"POINT (-91.164127112144 30.448056434942)","12949","HEALTH/EDUCATION ISSUES","BATON ROUGE SICKLE CELL ANEMIA FOUNDATION","2301 NORTH BLVD","BATON ROUGE","LOUISIANA","70806","225-346-8434","http://brscaf.org"
"POINT (-91.09622770346 30.418926782514)","27974","ELDERLY SERVICES","SUNRISE OF BATON ROUGE","8502 JEFFERSON HWY","BATON ROUGE","LOUISIANA","70809",,
"POINT (-91.134822833518 30.419987598873)","42733","HEALTH/EDUCATION ISSUES","GRIEF RECOVERY CENTER","4919 JAMESTOWN AVE","BATON ROUGE","LOUISIANA","70808","225-924-6621",
"POINT (-91.048368579337 30.431517222178)","67150","HEALTH/EDUCATION ISSUES","LOUISIANA LUPUS FOUNDATION","12090 S HARRELL'S FERRY RD, STE A","BATON ROUGE","LOUISIANA","70816","225-293-3442","http://louisianalupusfoundation.org/"
"POINT (-91.03409804761 30.465732009832)","27053","ELDERLY SERVICES","FLANNERY OAKS GUEST HOUSE","1642 N FLANNERY RD","BATON ROUGE","LOUISIANA","70815",,
"POINT (-91.189849318322 30.448374976087)","99904","FAMILY SERVICES","THE ARC BATON ROUGE - LOUISIANA CAREER DEVELOPMENT CENTER","121 CONVENTION ST","BATON ROUGE","LOUISIANA","70801","225-387-0889","http://arcbatonrouge.org/"
"POINT (-91.086077503478 30.398574306094)","179571","DISABLED SERVICES","LOUISIANA RELAY SERVICE","9107 BLUEBONNET CENTRE BLVD","BATON ROUGE","LOUISIANA","70809","225-291-4500",
"POINT (-91.139010659142 30.650599003093)","172536","ELDERLY SERVICES","ZACHARY MANOR NURSING AND REHAB","6161 MAIN ST","ZACHARY","LOUISIANA","70791",,
"POINT (-91.137480918952 30.65086785375)","172744","FEDERALLY QUALIFIED HEALTH CENTERS","SOUTHEAST COMMUNITY HEALTH SYSTEMS","6351 MAIN ST","ZACHARY","LOUISIANA","70791","225-306-2000",
"POINT (-91.080814852602 30.423443149232)","41719","HOME HEALTH","CYPRESS HOME HEALTH","3050 TEDDY DR","BATON ROUGE","LOUISIANA","70809",,
"POINT (-91.137583017139 30.417119606965)","43021","FAMILY SERVICES","BATON ROUGE CRISIS INTERVENTION CENTER","4837 REVERE AVE","BATON ROUGE","LOUISIANA","70808","225-924-1431","http://brcic.org"
"POINT (-91.098786812189 30.44601310489)","34166","HEALTH/EDUCATION ISSUES","MENTAL HEALTH ASSOCIATION FOR GREATER BATON ROUGE","544 COLONIAL DR","BATON ROUGE","LOUISIANA","70806","225-929-7674","http://mhagbr.com"
"POINT (-91.141800652499 30.447046730277)","159155","FEDERALLY QUALIFIED HEALTH CENTERS","EXCELTH BEHAVIORAL HEALTH","4560 NORTH BLVD","BATON ROUGE","LOUISIANA","70806","225-201-9862",
"POINT (-91.149853824006 30.448210605679)","33965","ELDERLY SERVICES","STERLING PLACE","3888 NORTH BLVD","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.076237929479 30.372509641425)","42616","ELDERLY SERVICES","HAVEN AT WINDERMERE ASSISTED LIVING","8225 YMCA PLAZA DR","BATON ROUGE","LOUISIANA","70810",,
"POINT (-91.018279065446 30.465673396863)","21998","ELDERLY SERVICES","BATON ROUGE RESPITE CARE","15059 FLORIDA BLVD","BATON ROUGE","LOUISIANA","70819","225-928-4077",
"POINT (-91.153757251934 30.47614543149)","23797","FEDERALLY QUALIFIED HEALTH CENTERS","BATON ROUGE PRIMARY CARE COLLABORATIVE","3605 ONTARIO ST","BATON ROUGE","LOUISIANA","70805","225-774-1120",
"POINT (-91.076888684594 30.365268943561)","42660","HEALTH/EDUCATION ISSUES","CONNECTING FOR COMMUNICATION","9270 SIEGEN LN","BATON ROUGE","LOUISIANA","70810","225-302-8228","http://connectingforcommunication.com"
"POINT (-91.099122822235 30.399111579557)","76487","ELDERLY SERVICES","CARRINGTON PLACE OF BATON ROUGE","8225 SUMMA AVE","BATON ROUGE","LOUISIANA","70809",,
